KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25803.86,MWH,11226.61,11321.55,11331.46,11344.24,11349.75,11310.98,11318.43,11286.72,11363.03,11326.58,11302.02,11308.01,11250.4,11403.94,11400.06,11297.11,11766.97,11814.14,11952.77,11983.94,11806.26,11835.02,11805.89,11979.7,2020-05-27
BARAJLI,21317.101,MWH,17535.33,17551.33,17552.43,17538.53,17538.23,17536.93,17517.53,17556.53,17425.03,17427.33,17434.67,17430.03,17479.93,17479.93,17479.93,17475.03,17426.23,17428.13,17406.93,17423.93,17423.83,17436.83,17433.83,17363.83,2020-05-27
LİNYİT,10319.732,MWH,3311.0,3311.0,3376.0,3376.0,3376.0,3376.0,3376.0,3376.0,3376.0,3376.0,3376.0,3379.0,3379.0,3379.0,3379.0,3379.0,3381.0,3251.0,3251.0,3251.0,3251.0,3239.0,3239.0,3239.0,2020-05-27
İTHAL KÖMÜR,8996.25,MWH,3570.9,3556.9,3550.9,3546.9,3453.9,3455.5,3456.5,3459.5,3866.9,4267.9,4524.5,4552.5,5339.5,5336.5,5334.5,5339.5,5333.2,4992.2,4996.2,4995.2,4994.2,4995.2,4994.2,4994.2,2020-05-27
AKARSU,7980.566,MWH,4792.39,4758.53,4780.76,4721.6,4719.19,4705.03,4665.13,4656.79,4744.83,4726.09,4760.09,4810.69,4814.81,4786.23,4788.66,4820.29,4873.9,4841.96,4845.13,4871.4,4908.49,4942.1,4943.8,4926.05,2020-05-27
RÜZGAR,7835.281,MWH,2368.43,2354.56,2382.66,2511.04,2676.26,2810.28,3061.48,3129.85,3308.35,3453.93,3634.54,3867.07,3996.3,3914.86,3996.18,4006.0,3937.97,3771.57,3604.27,3385.36,3127.78,2967.27,2771.65,2585.12,2020-05-27
JEOTERMAL,1562.638,MWH,980.7,989.0,994.7,999.9,1006.3,1013.2,1012.9,1004.6,986.9,970.2,952.8,937.9,928.4,917.3,910.8,902.5,895.8,899.6,912.6,924.8,938.3,957.2,968.1,978.1,2020-05-27
TAŞ KÖMÜR,844.766,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-27
BİYOKÜTLE,758.087,MWH,416.73,418.93,420.53,421.33,430.43,429.68,432.89,432.89,432.55,435.8,437.22,439.7,438.72,440.2,443.02,440.92,433.63,436.78,438.28,436.71,434.99,435.39,435.45,435.45,2020-05-27
ASFALTİT KÖMÜR,405.0,MWH,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,2020-05-27
GÜNEŞ,179.608,MWH,0.0,0.0,0.0,0.0,0.0,3.32,17.83,54.59,101.45,137.57,157.9,163.11,164.77,162.14,152.91,135.28,106.43,62.65,21.12,3.94,0.0,0.0,0.0,0.0,2020-05-27
ATIK ISI,162.625,MWH,18.7,17.7,17.3,17.3,17.3,17.6,17.3,17.3,17.3,17.3,17.3,17.3,15.3,14.0,12.7,13.7,11.3,10.0,9.3,9.2,8.7,8.7,8.7,8.7,2020-05-27
FUEL OİL,158.48,MWH,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,2020-05-27
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-27
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-27
