KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
Doğal Gaz,25646.532,MWH,12546.66,12559.98,12575.93,12542.65,12602.06,12616.17,12619.11,12604.66,12645.76,12595.15,12551.71,12517.7,12464.69,12457.68,12490.41,12487.96,12492.16,12518.06,12576.55,12610.18,12576.18,12614.59,12624.93,12643.47,2020-10-09
Barajlı,21853.857,MWH,14328.52,14548.52,14548.52,14526.52,14548.52,14098.84,14098.84,13576.84,13223.14,12940.94,13007.92,12854.74,13203.92,13196.12,12978.14,13115.14,13800.14,14129.14,14383.62,14384.62,14458.82,14438.32,14353.82,14363.82,2020-10-09
Linyit,10097.312,MWH,3970.65,3969.65,3967.65,3969.65,3972.65,3972.65,3952.65,3952.65,3989.65,3976.65,4086.65,4088.65,4088.65,3885.65,3884.65,3880.65,3880.65,3879.65,3872.65,3886.65,3891.65,3894.65,3894.65,4045.65,2020-10-09
İthal Kömür,8966.85,MWH,6615.6,6616.6,6617.6,6616.6,6619.6,6617.6,6615.6,6622.6,6622.6,6627.6,6626.6,6609.9,6609.9,6609.9,6609.9,6607.9,6609.9,6608.9,6607.9,6609.9,6616.6,6616.6,6616.6,6614.6,2020-10-09
Rüzgar,8120.243,MWH,1618.05,1675.16,1649.7,1649.53,1663.4,1666.33,1637.33,1605.94,1481.24,1350.75,1486.07,1548.02,1600.77,1645.21,1697.81,1743.16,1708.14,1693.27,1661.88,1635.06,1592.69,1583.35,1585.99,1544.36,2020-10-09
Akarsu,7941.837,MWH,1809.49,1782.36,1793.96,1792.86,1776.87,1704.54,1716.42,1722.62,1659.84,1717.54,1746.03,1790.23,1778.17,1713.97,1511.75,1534.23,1601.46,1652.56,1902.06,1919.7,1911.2,1937.8,1925.13,1901.68,2020-10-09
Güneş,6381.334,MWH,0.0,0.0,0.0,0.0,0.0,0.0,10.396,559.732,1794.676,2939.152,3894.701,4385.663,4498.511,4279.055,3700.779,2856.2000000000003,1723.756,535.4250000000001,6.343,0.0,0.0,0.0,0.0,0.0,2020-10-09
Jeotermal,1540.688,MWH,895.9,907.0,920.8,919.4,928.9,933.7,937.7,938.9,924.5,899.9,864.4,845.1,839.6,823.1,807.3,800.4,802.1,816.3,836.2,852.7,872.8,895.4,907.6,916.8,2020-10-09
Biyokütle,877.562,MWH,435.25,436.55,441.6,440.85,440.45,439.71,439.36,438.81,441.92,440.79,441.49,423.24,424.94,442.84,440.97,439.1,433.53,434.63,436.33,438.81,446.08,442.58,440.61,440.61,2020-10-09
Taş Kömür,810.766,MWH,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,287.0,2020-10-09
Asfaltit Kömür,405.0,MWH,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2020-10-09
Atık Isı,369.622,MWH,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,2020-10-09
Fuel Oil,305.93,MWH,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2020-10-09
Nafta,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-09
Motorin,1.04,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-09
