KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25808.74,MWH,13405.89,13416.98,13375.78,13389.64,13408.23,13414.68,13415.58,12601.36,12599.67,12563.89,12549.87,12515.17,12503.96,12514.43,12527.57,12530.55,11749.13,11767.18,11191.34,11253.81,12068.38,12042.11,12047.3,12025.83,2020-04-15
BARAJLI,20822.211,MWH,17201.55,17201.55,17201.55,17201.55,17189.55,17189.55,17186.45,17146.45,17179.1,17176.0,16921.32,16913.67,17179.65,17195.4,17191.8,17191.8,17196.8,17207.85,17207.85,17170.95,17188.45,17188.45,17188.45,17174.35,2020-04-15
LİNYİT,10323.452,MWH,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3232.0,3234.0,3234.0,3234.0,3234.0,2020-04-15
İTHAL KÖMÜR,8996.25,MWH,3970.0,3966.0,3964.7,3964.7,3966.3,3965.3,3965.0,4534.0,4528.3,4543.3,4543.3,4544.3,4543.0,4543.3,4551.3,4552.3,4553.0,4553.3,4553.3,4554.3,4561.3,4562.3,4563.3,4562.3,2020-04-15
AKARSU,7975.49,MWH,4402.61,4428.55,4465.94,4444.54,4436.25,4407.75,4396.03,4421.0,4446.41,4431.97,4406.41,4407.38,4459.62,4419.02,4568.23,4443.05,4388.36,4565.92,4578.07,4684.7,4701.67,4654.3,4663.21,4628.02,2020-04-15
RÜZGAR,7807.981,MWH,3852.93,3710.4,3556.75,3430.22,3386.99,3317.68,3066.81,3101.22,3162.83,3345.13,3600.06,3892.41,4240.96,4569.11,4754.57,4929.26,5053.17,4949.08,5004.27,5026.11,4954.5,4872.09,4784.81,4717.48,2020-04-15
JEOTERMAL,1562.638,MWH,999.1,1002.3,1005.7,1009.0,1012.9,1013.8,1018.5,1014.3,1002.1,987.5,972.3,952.8,938.4,922.9,911.7,903.4,906.0,915.0,927.5,945.1,964.3,979.4,992.0,999.4,2020-04-15
TAŞ KÖMÜR,844.766,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15
BİYOKÜTLE,750.582,MWH,422.49,423.69,425.49,426.89,425.99,427.49,430.15,431.35,430.39,427.76,429.66,429.66,433.56,433.96,434.56,435.76,434.06,430.26,431.52,429.05,431.75,428.55,427.45,426.09,2020-04-15
ASFALTİT KÖMÜR,405.0,MWH,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2020-04-15
GÜNEŞ,179.608,MWH,0.0,0.0,0.0,0.0,0.0,0.03,5.52,30.64,65.29,102.52,125.3,137.38,140.01,126.35,113.74,92.21,64.32,35.15,7.4,0.4,0.0,0.0,0.0,0.0,2020-04-15
ATIK ISI,162.625,MWH,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.6,17.6,17.6,17.6,17.0,14.3,12.5,12.5,12.0,9.9,9.4,9.2,8.6,8.6,8.6,8.6,2020-04-15
FUEL OİL,158.48,MWH,27.42,27.42,27.32,27.32,27.42,27.42,27.32,27.32,30.32,27.42,27.42,27.42,27.32,27.42,27.42,27.42,27.32,27.42,27.42,27.42,27.42,27.42,27.42,27.42,2020-04-15
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-15
