KAYNAK ADI,KURULU GÜÇ,BİRİM,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,date
DOĞAL GAZ,25733.47,MWH,12433.97,12390.97,12327.37,13162.3,13154.8,13166.2,13504.0,14112.17,14180.56,14169.99,14177.53,14183.2,14169.33,14152.57,14146.39,14148.01,14153.68,14160.29,14195.13,14213.17,14221.26,14225.03,14222.87,14011.3,2020-12-16
BARAJLI,22920.719,MWH,16446.29,16446.29,16446.29,16446.29,16446.29,16446.59,16446.59,16466.59,16354.09,16151.89,16151.89,16257.19,16259.19,16251.39,16127.24,16123.64,16185.84,16265.84,16305.99,16303.99,16285.79,16285.79,16283.29,16280.29,2020-12-16
LİNYİT,10275.732,MWH,4144.15,4142.15,4142.15,4163.15,4163.15,4164.15,4184.15,4076.15,4098.15,4142.15,4150.15,4142.15,4159.15,4161.15,3960.15,3959.15,3959.15,4024.15,4083.15,4180.15,4180.15,4184.15,4185.15,4185.15,2020-12-16
İTHAL KÖMÜR,9016.25,MWH,7372.8,7386.8,7452.8,7462.8,7462.8,7398.8,7396.8,7396.8,7418.5,7424.7,7422.7,7421.7,7422.7,7422.7,7422.7,7420.7,7401.7,7401.7,7421.7,7424.1,7413.1,7413.1,7413.1,7412.1,2020-12-16
RÜZGAR,8633.772,MWH,5121.27,5069.91,4978.47,4916.79,4939.42,4957.13,4897.03,4795.49,4642.62,4572.89,4439.71,4348.34,4226.4,4127.68,4088.88,4110.32,4152.2,4073.56,4007.54,3824.02,3503.85,3199.91,2902.29,2591.65,2020-12-16
AKARSU,8122.324,MWH,2396.6,2436.17,2301.1,2305.3,2283.0,2278.72,2307.72,2306.4,2340.23,2459.02,2443.2,2443.42,2408.81,2371.43,2408.67,2404.61,2499.45,2523.84,2496.28,2457.46,2531.79,2472.27,2471.26,2440.6,2020-12-16
JEOTERMAL,1650.963,MWH,1019.3,1022.9,1026.91,1044.4,1032.91,1037.01,1052.7,1037.61,1022.2,1016.4,1009.5,999.9,993.8,988.1,985.9,982.5,987.6,992.4,1001.5,1008.6,1014.4,1018.5,1022.6,1024.6,2020-12-16
BİYOKÜTLE,999.078,MWH,462.84,467.44,468.14,467.74,470.3,469.1,470.9,470.96,479.4,484.84,488.24,477.94,489.04,476.94,486.28,473.8,488.2,477.89,484.86,484.76,478.06,477.86,477.06,473.7,2020-12-16
TAŞ KÖMÜR,844.766,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,2020-12-16
ASFALTİT KÖMÜR,405.0,MWH,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,2020-12-16
GÜNEŞ,353.365,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,16.13,57.93,99.04,124.44,133.48,125.11,107.19,78.26,29.49,1.56,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-16
ATIK ISI,162.625,MWH,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21.5,21.5,21.5,20.5,20.5,19.8,18.4,15.8,13.2,12.2,11.2,11.2,11.2,11.2,11.2,11.2,2020-12-16
FUEL OİL,158.48,MWH,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2020-12-16
NAFTA,4.736,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-16
LNG,1.95,MWH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-16
