datetime,Coal,region
2018-08-01 00:00:00,1855,MIDA
2018-08-01 01:00:00,1824,MIDA
2018-08-01 02:00:00,1842,MIDA
2018-08-01 03:00:00,1835,MIDA
2018-08-01 04:00:00,1714,MIDA
2018-08-01 05:00:00,1335,MIDA
2018-08-01 06:00:00,1232,MIDA
2018-08-01 07:00:00,1180,MIDA
2018-08-01 08:00:00,1167,MIDA
2018-08-01 09:00:00,1171,MIDA
2018-08-01 10:00:00,1200,MIDA
2018-08-01 11:00:00,1379,MIDA
2018-08-01 12:00:00,1637,MIDA
2018-08-01 13:00:00,1740,MIDA
2018-08-01 14:00:00,1749,MIDA
2018-08-01 15:00:00,1752,MIDA
2018-08-01 16:00:00,1750,MIDA
2018-08-01 17:00:00,1750,MIDA
2018-08-01 18:00:00,1751,MIDA
2018-08-01 19:00:00,1748,MIDA
2018-08-01 20:00:00,1755,MIDA
2018-08-01 21:00:00,1754,MIDA
2018-08-01 22:00:00,1751,MIDA
2018-08-01 23:00:00,1740,MIDA
2018-08-02 00:00:00,1745,MIDA
2018-08-02 01:00:00,1738,MIDA
2018-08-02 02:00:00,1748,MIDA
2018-08-02 03:00:00,1740,MIDA
2018-08-02 04:00:00,1738,MIDA
2018-08-02 05:00:00,1524,MIDA
2018-08-02 06:00:00,1302,MIDA
2018-08-02 07:00:00,1203,MIDA
2018-08-02 08:00:00,1167,MIDA
2018-08-02 09:00:00,1172,MIDA
2018-08-02 10:00:00,1211,MIDA
2018-08-02 11:00:00,1486,MIDA
2018-08-02 12:00:00,1662,MIDA
2018-08-02 13:00:00,1711,MIDA
2018-08-02 14:00:00,1737,MIDA
2018-08-02 15:00:00,1740,MIDA
2018-08-02 16:00:00,1740,MIDA
2018-08-02 17:00:00,1719,MIDA
2018-08-02 18:00:00,1737,MIDA
2018-08-02 19:00:00,1741,MIDA
2018-08-02 20:00:00,1745,MIDA
2018-08-02 21:00:00,1749,MIDA
2018-08-02 22:00:00,1738,MIDA
2018-08-02 23:00:00,1744,MIDA
2018-08-03 00:00:00,1739,MIDA
2018-08-03 01:00:00,1734,MIDA
2018-08-03 02:00:00,1749,MIDA
2018-08-03 03:00:00,1730,MIDA
2018-08-03 04:00:00,1652,MIDA
2018-08-03 05:00:00,1673,MIDA
2018-08-03 06:00:00,1447,MIDA
2018-08-03 07:00:00,1364,MIDA
2018-08-03 08:00:00,1183,MIDA
2018-08-03 09:00:00,1165,MIDA
2018-08-03 10:00:00,1297,MIDA
2018-08-03 11:00:00,1596,MIDA
2018-08-03 12:00:00,1690,MIDA
2018-08-03 13:00:00,1699,MIDA
2018-08-03 14:00:00,1719,MIDA
2018-08-03 15:00:00,1733,MIDA
2018-08-03 16:00:00,1727,MIDA
2018-08-03 17:00:00,1743,MIDA
2018-08-03 18:00:00,1732,MIDA
2018-08-03 19:00:00,1741,MIDA
2018-08-03 20:00:00,1736,MIDA
2018-08-03 21:00:00,1737,MIDA
2018-08-03 22:00:00,1737,MIDA
2018-08-03 23:00:00,1741,MIDA
2018-08-04 00:00:00,1738,MIDA
2018-08-04 01:00:00,1740,MIDA
2018-08-04 02:00:00,1743,MIDA
2018-08-04 03:00:00,1746,MIDA
2018-08-04 04:00:00,1746,MIDA
2018-08-04 05:00:00,1633,MIDA
2018-08-04 06:00:00,1276,MIDA
2018-08-04 07:00:00,1164,MIDA
2018-08-04 08:00:00,1170,MIDA
2018-08-04 09:00:00,1099,MIDA
2018-08-04 10:00:00,1145,MIDA
2018-08-04 11:00:00,1171,MIDA
2018-08-04 12:00:00,1176,MIDA
2018-08-04 13:00:00,1249,MIDA
2018-08-04 14:00:00,1489,MIDA
2018-08-04 15:00:00,1734,MIDA
2018-08-04 16:00:00,1742,MIDA
2018-08-04 17:00:00,1734,MIDA
2018-08-04 18:00:00,1747,MIDA
2018-08-04 19:00:00,1732,MIDA
2018-08-04 20:00:00,1734,MIDA
2018-08-04 21:00:00,1735,MIDA
2018-08-04 22:00:00,1736,MIDA
2018-08-04 23:00:00,1741,MIDA
2018-08-05 00:00:00,1735,MIDA
2018-08-05 01:00:00,1742,MIDA
2018-08-05 02:00:00,1734,MIDA
2018-08-05 03:00:00,1730,MIDA
2018-08-05 04:00:00,1508,MIDA
2018-08-05 05:00:00,1282,MIDA
2018-08-05 06:00:00,1022,MIDA
2018-08-05 07:00:00,771,MIDA
2018-08-05 08:00:00,776,MIDA
2018-08-05 09:00:00,797,MIDA
2018-08-05 10:00:00,837,MIDA
2018-08-05 11:00:00,831,MIDA
2018-08-05 12:00:00,903,MIDA
2018-08-05 13:00:00,1165,MIDA
2018-08-05 14:00:00,1428,MIDA
2018-08-05 15:00:00,1787,MIDA
2018-08-05 16:00:00,1878,MIDA
2018-08-05 17:00:00,1888,MIDA
2018-08-05 18:00:00,1898,MIDA
2018-08-05 19:00:00,1903,MIDA
2018-08-05 20:00:00,1905,MIDA
2018-08-05 21:00:00,1905,MIDA
2018-08-05 22:00:00,1924,MIDA
2018-08-05 23:00:00,1917,MIDA
2018-08-06 00:00:00,1922,MIDA
2018-08-06 01:00:00,1918,MIDA
2018-08-06 02:00:00,1922,MIDA
2018-08-06 03:00:00,1915,MIDA
2018-08-06 04:00:00,1938,MIDA
2018-08-06 05:00:00,1883,MIDA
2018-08-06 06:00:00,1790,MIDA
2018-08-06 07:00:00,1445,MIDA
2018-08-06 08:00:00,1347,MIDA
2018-08-06 09:00:00,1342,MIDA
2018-08-06 10:00:00,1355,MIDA
2018-08-06 11:00:00,1356,MIDA
2018-08-06 12:00:00,1599,MIDA
2018-08-06 13:00:00,1865,MIDA
2018-08-06 14:00:00,1908,MIDA
2018-08-06 15:00:00,1927,MIDA
2018-08-06 16:00:00,1934,MIDA
2018-08-06 17:00:00,1930,MIDA
2018-08-06 18:00:00,1933,MIDA
2018-08-06 19:00:00,1939,MIDA
2018-08-06 20:00:00,1937,MIDA
2018-08-06 21:00:00,1938,MIDA
2018-08-06 22:00:00,1932,MIDA
2018-08-06 23:00:00,1939,MIDA
2018-08-07 00:00:00,1937,MIDA
2018-08-07 01:00:00,1948,MIDA
2018-08-07 02:00:00,1939,MIDA
2018-08-07 03:00:00,1940,MIDA
2018-08-07 04:00:00,1937,MIDA
2018-08-07 05:00:00,1918,MIDA
2018-08-07 06:00:00,1678,MIDA
2018-08-07 07:00:00,1617,MIDA
2018-08-07 08:00:00,1394,MIDA
2018-08-07 09:00:00,1356,MIDA
2018-08-07 10:00:00,1474,MIDA
2018-08-07 11:00:00,1805,MIDA
2018-08-07 12:00:00,1892,MIDA
2018-08-07 13:00:00,1920,MIDA
2018-08-07 14:00:00,1916,MIDA
2018-08-07 15:00:00,1920,MIDA
2018-08-07 16:00:00,1920,MIDA
2018-08-07 17:00:00,1937,MIDA
2018-08-07 18:00:00,1940,MIDA
2018-08-07 19:00:00,1941,MIDA
2018-08-07 20:00:00,1939,MIDA
2018-08-07 21:00:00,1932,MIDA
2018-08-07 22:00:00,1939,MIDA
2018-08-07 23:00:00,1943,MIDA
2018-08-08 00:00:00,1945,MIDA
2018-08-08 01:00:00,1944,MIDA
2018-08-08 02:00:00,1940,MIDA
2018-08-08 03:00:00,1927,MIDA
2018-08-08 04:00:00,1926,MIDA
2018-08-08 05:00:00,1859,MIDA
2018-08-08 06:00:00,1789,MIDA
2018-08-08 07:00:00,1743,MIDA
2018-08-08 08:00:00,1480,MIDA
2018-08-08 09:00:00,1442,MIDA
2018-08-08 10:00:00,1453,MIDA
2018-08-08 11:00:00,1684,MIDA
2018-08-08 12:00:00,1913,MIDA
2018-08-08 13:00:00,1937,MIDA
2018-08-08 14:00:00,1943,MIDA
2018-08-08 15:00:00,1950,MIDA
2018-08-08 16:00:00,1949,MIDA
2018-08-08 17:00:00,1948,MIDA
2018-08-08 18:00:00,1951,MIDA
2018-08-08 19:00:00,1945,MIDA
2018-08-08 20:00:00,1945,MIDA
2018-08-08 21:00:00,1941,MIDA
2018-08-08 22:00:00,1946,MIDA
2018-08-08 23:00:00,1952,MIDA
2018-08-09 00:00:00,1953,MIDA
2018-08-09 01:00:00,1953,MIDA
2018-08-09 02:00:00,1953,MIDA
2018-08-09 03:00:00,1948,MIDA
2018-08-09 04:00:00,1628,MIDA
2018-08-09 05:00:00,1390,MIDA
2018-08-09 06:00:00,1399,MIDA
2018-08-09 07:00:00,1413,MIDA
2018-08-09 08:00:00,1274,MIDA
2018-08-09 09:00:00,1260,MIDA
2018-08-09 10:00:00,1383,MIDA
2018-08-09 11:00:00,1586,MIDA
2018-08-09 12:00:00,1876,MIDA
2018-08-09 13:00:00,1910,MIDA
2018-08-09 14:00:00,1929,MIDA
2018-08-09 15:00:00,1935,MIDA
2018-08-09 16:00:00,1937,MIDA
2018-08-09 17:00:00,1937,MIDA
2018-08-09 18:00:00,1938,MIDA
2018-08-09 19:00:00,1938,MIDA
2018-08-09 20:00:00,1935,MIDA
2018-08-09 21:00:00,1936,MIDA
2018-08-09 22:00:00,1920,MIDA
2018-08-09 23:00:00,1902,MIDA
2018-08-10 00:00:00,1902,MIDA
2018-08-10 01:00:00,1897,MIDA
2018-08-10 02:00:00,1792,MIDA
2018-08-10 03:00:00,1704,MIDA
2018-08-10 04:00:00,1698,MIDA
2018-08-10 05:00:00,1670,MIDA
2018-08-10 06:00:00,1564,MIDA
2018-08-10 07:00:00,1299,MIDA
2018-08-10 08:00:00,1125,MIDA
2018-08-10 09:00:00,1162,MIDA
2018-08-10 10:00:00,1406,MIDA
2018-08-10 11:00:00,1661,MIDA
2018-08-10 12:00:00,1715,MIDA
2018-08-10 13:00:00,1732,MIDA
2018-08-10 14:00:00,1744,MIDA
2018-08-10 15:00:00,1744,MIDA
2018-08-10 16:00:00,1707,MIDA
2018-08-10 17:00:00,1647,MIDA
2018-08-10 18:00:00,1643,MIDA
2018-08-10 19:00:00,1668,MIDA
2018-08-10 20:00:00,1736,MIDA
2018-08-10 21:00:00,1697,MIDA
2018-08-10 22:00:00,1625,MIDA
2018-08-10 23:00:00,1692,MIDA
2018-08-11 00:00:00,1738,MIDA
2018-08-11 01:00:00,1752,MIDA
2018-08-11 02:00:00,1750,MIDA
2018-08-11 03:00:00,1740,MIDA
2018-08-11 04:00:00,1735,MIDA
2018-08-11 05:00:00,1406,MIDA
2018-08-11 06:00:00,1174,MIDA
2018-08-11 07:00:00,1171,MIDA
2018-08-11 08:00:00,1169,MIDA
2018-08-11 09:00:00,1169,MIDA
2018-08-11 10:00:00,1170,MIDA
2018-08-11 11:00:00,1171,MIDA
2018-08-11 12:00:00,1169,MIDA
2018-08-11 13:00:00,1171,MIDA
2018-08-11 14:00:00,1172,MIDA
2018-08-11 15:00:00,1173,MIDA
2018-08-11 16:00:00,1177,MIDA
2018-08-11 17:00:00,1180,MIDA
2018-08-11 18:00:00,1177,MIDA
2018-08-11 19:00:00,1173,MIDA
2018-08-11 20:00:00,1178,MIDA
2018-08-11 21:00:00,1500,MIDA
2018-08-11 22:00:00,1732,MIDA
2018-08-11 23:00:00,1442,MIDA
2018-08-12 00:00:00,1181,MIDA
2018-08-12 01:00:00,1182,MIDA
2018-08-12 02:00:00,1182,MIDA
2018-08-12 03:00:00,1179,MIDA
2018-08-12 04:00:00,1171,MIDA
2018-08-12 05:00:00,1181,MIDA
2018-08-12 06:00:00,1182,MIDA
2018-08-12 07:00:00,1181,MIDA
2018-08-12 08:00:00,1179,MIDA
2018-08-12 09:00:00,1180,MIDA
2018-08-12 10:00:00,1179,MIDA
2018-08-12 11:00:00,1170,MIDA
