ID,BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
7,BATI AKDENİZ YTM,2254.89,13.05.2018,2018-05-13
5,BATI ANADOLU YTM,4374.45,13.05.2018,2018-05-13
11,DOĞU AKDENİZ YTM,2677.79,13.05.2018,2018-05-13
9,DOĞU ANADOLU YTM,1406.82,13.05.2018,2018-05-13
10,GÜNEY DOĞU ANADOLU YTM,3906.71,13.05.2018,2018-05-13
4,KUZEY BATI ANADOLU YTM,6363.45,13.05.2018,2018-05-13
6,ORTA ANADOLU YTM,3380.67,13.05.2018,2018-05-13
8,ORTA KARADENİZ YTM,1828.08,13.05.2018,2018-05-13
3,TRAKYA YTM,3884.05,13.05.2018,2018-05-13
