ID,BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
7,BATI AKDENİZ YTM,3435.14,15.08.2018,2018-08-15
5,BATI ANADOLU YTM,6099.44,15.08.2018,2018-08-15
11,DOĞU AKDENİZ YTM,3815.28,15.08.2018,2018-08-15
9,DOĞU ANADOLU YTM,1136.45,15.08.2018,2018-08-15
10,GÜNEY DOĞU ANADOLU YTM,7113.07,15.08.2018,2018-08-15
4,KUZEY BATI ANADOLU YTM,8350.0,15.08.2018,2018-08-15
6,ORTA ANADOLU YTM,4768.67,15.08.2018,2018-08-15
8,ORTA KARADENİZ YTM,2005.83,15.08.2018,2018-08-15
3,TRAKYA YTM,6532.25,15.08.2018,2018-08-15
