ID,BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
7,BATI AKDENİZ YTM,2531.33,20.02.2018,2018-02-20
5,BATI ANADOLU YTM,5498.52,20.02.2018,2018-02-20
11,DOĞU AKDENİZ YTM,3090.41,20.02.2018,2018-02-20
9,DOĞU ANADOLU YTM,1323.63,20.02.2018,2018-02-20
10,GÜNEY DOĞU ANADOLU YTM,5248.4,20.02.2018,2018-02-20
4,KUZEY BATI ANADOLU YTM,8728.06,20.02.2018,2018-02-20
6,ORTA ANADOLU YTM,3973.11,20.02.2018,2018-02-20
8,ORTA KARADENİZ YTM,1993.64,20.02.2018,2018-02-20
3,TRAKYA YTM,6840.06,20.02.2018,2018-02-20
