ID,BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
7,BATI AKDENİZ YTM,3425.8,14.08.2018,2018-08-14
5,BATI ANADOLU YTM,6019.35,14.08.2018,2018-08-14
11,DOĞU AKDENİZ YTM,3732.81,14.08.2018,2018-08-14
9,DOĞU ANADOLU YTM,1092.0,14.08.2018,2018-08-14
10,GÜNEY DOĞU ANADOLU YTM,6894.11,14.08.2018,2018-08-14
4,KUZEY BATI ANADOLU YTM,8337.97,14.08.2018,2018-08-14
6,ORTA ANADOLU YTM,4730.22,14.08.2018,2018-08-14
8,ORTA KARADENİZ YTM,2013.7,14.08.2018,2018-08-14
3,TRAKYA YTM,6478.16,14.08.2018,2018-08-14
