datetime,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],year,month,month_date,weekday,hour,date
2015-01-01 03:00:00,19.0,2782.0,,,,,,,,,,,475.0,,2069.0,,,0.0,,,472.0,2015,1,01-01,Thursday,3,2015-01-01
2015-01-01 04:00:00,18.0,2689.0,,,,,,,,0.0,,,378.0,,2067.0,,,0.0,,,479.0,2015,1,01-01,Thursday,4,2015-01-01
2015-01-01 05:00:00,18.0,2632.0,,,,,,,,0.0,,,295.0,,2069.0,,,0.0,,,465.0,2015,1,01-01,Thursday,5,2015-01-01
2015-01-01 06:00:00,17.0,2622.0,,,,,,,,0.0,,,290.0,,2070.0,,,0.0,,,460.0,2015,1,01-01,Thursday,6,2015-01-01
2015-01-01 07:00:00,17.0,2611.0,,,,,,,,0.0,,,272.0,,2072.0,,,0.0,,,468.0,2015,1,01-01,Thursday,7,2015-01-01
2015-01-01 08:00:00,16.0,2813.0,,,,,,,,0.0,,,341.0,,2072.0,,,0.0,,,460.0,2015,1,01-01,Thursday,8,2015-01-01
2015-01-01 09:00:00,15.0,2944.0,,,,,,,,0.0,,,482.0,,2071.0,,,52.0,,,432.0,2015,1,01-01,Thursday,9,2015-01-01
2015-01-01 10:00:00,15.0,2919.0,,,,,,,,0.0,,,657.0,,2071.0,,,234.0,,,316.0,2015,1,01-01,Thursday,10,2015-01-01
2015-01-01 11:00:00,17.0,2839.0,,,,,,,,0.0,,,723.0,,2071.0,,,445.0,,,272.0,2015,1,01-01,Thursday,11,2015-01-01
2015-01-01 12:00:00,16.0,2824.0,,,,,,,,0.0,,,645.0,,2070.0,,,576.0,,,264.0,2015,1,01-01,Thursday,12,2015-01-01
2015-01-01 13:00:00,17.0,2816.0,,,,,,,,0.0,,,585.0,,2070.0,,,599.0,,,290.0,2015,1,01-01,Thursday,13,2015-01-01
2015-01-01 14:00:00,17.0,2701.0,,,,,,,,0.0,,,563.0,,2070.0,,,588.0,,,328.0,2015,1,01-01,Thursday,14,2015-01-01
2015-01-01 15:00:00,17.0,2667.0,,,,,,,,0.0,,,579.0,,2071.0,,,446.0,,,342.0,2015,1,01-01,Thursday,15,2015-01-01
2015-01-01 16:00:00,17.0,2714.0,,,,,,,,0.0,,,794.0,,2069.0,,,222.0,,,332.0,2015,1,01-01,Thursday,16,2015-01-01
2015-01-01 17:00:00,18.0,2851.0,,,,,,,,0.0,,,948.0,,2069.0,,,37.0,,,370.0,2015,1,01-01,Thursday,17,2015-01-01
2015-01-01 18:00:00,19.0,3074.0,,,,,,,,0.0,,,1164.0,,2068.0,,,1.0,,,408.0,2015,1,01-01,Thursday,18,2015-01-01
2015-01-01 19:00:00,18.0,3214.0,,,,,,,,0.0,,,1194.0,,2068.0,,,0.0,,,447.0,2015,1,01-01,Thursday,19,2015-01-01
2015-01-01 20:00:00,17.0,3210.0,,,,,,,,0.0,,,1164.0,,2070.0,,,0.0,,,475.0,2015,1,01-01,Thursday,20,2015-01-01
2015-01-01 21:00:00,18.0,3204.0,,,,,,,,0.0,,,1131.0,,2070.0,,,0.0,,,446.0,2015,1,01-01,Thursday,21,2015-01-01
2015-01-01 22:00:00,18.0,3216.0,,,,,,,,0.0,,,996.0,,2070.0,,,0.0,,,457.0,2015,1,01-01,Thursday,22,2015-01-01
2015-01-01 23:00:00,17.0,3105.0,,,,,,,,0.0,,,951.0,,2070.0,,,0.0,,,462.0,2015,1,01-01,Thursday,23,2015-01-01
2015-01-02 00:00:00,11.0,2866.0,,,,,,,,0.0,,,882.0,,2069.0,,,0.0,,,465.0,2015,1,01-02,Friday,0,2015-01-02
2015-01-02 01:00:00,17.0,2908.0,,,,,,,,0.0,,,428.0,,2069.0,,,0.0,,,466.0,2015,1,01-02,Friday,1,2015-01-02
2015-01-02 02:00:00,18.0,2773.0,,,,,,,,0.0,,,209.0,,2070.0,,,0.0,,,461.0,2015,1,01-02,Friday,2,2015-01-02
2015-01-02 03:00:00,17.0,2632.0,,,,,,,,0.0,,,171.0,,2069.0,,,0.0,,,460.0,2015,1,01-02,Friday,3,2015-01-02
2015-01-02 04:00:00,18.0,2607.0,,,,,,,,0.0,,,171.0,,2069.0,,,0.0,,,459.0,2015,1,01-02,Friday,4,2015-01-02
2015-01-02 05:00:00,16.0,2609.0,,,,,,,,0.0,,,170.0,,2071.0,,,0.0,,,453.0,2015,1,01-02,Friday,5,2015-01-02
2015-01-02 06:00:00,16.0,2606.0,,,,,,,,0.0,,,195.0,,2070.0,,,0.0,,,432.0,2015,1,01-02,Friday,6,2015-01-02
2015-01-02 07:00:00,18.0,2642.0,,,,,,,,0.0,,,292.0,,2069.0,,,0.0,,,414.0,2015,1,01-02,Friday,7,2015-01-02
2015-01-02 08:00:00,19.0,2827.0,,,,,,,,0.0,,,526.0,,2069.0,,,1.0,,,398.0,2015,1,01-02,Friday,8,2015-01-02
2015-01-02 09:00:00,16.0,3135.0,,,,,,,,0.0,,,716.0,,2069.0,,,61.0,,,396.0,2015,1,01-02,Friday,9,2015-01-02
2015-01-02 10:00:00,19.0,3252.0,,,,,,,,0.0,,,833.0,,2071.0,,,212.0,,,369.0,2015,1,01-02,Friday,10,2015-01-02
2015-01-02 11:00:00,19.0,3278.0,,,,,,,,0.0,,,865.0,,2071.0,,,342.0,,,313.0,2015,1,01-02,Friday,11,2015-01-02
2015-01-02 12:00:00,20.0,3288.0,,,,,,,,0.0,,,903.0,,2073.0,,,419.0,,,255.0,2015,1,01-02,Friday,12,2015-01-02
2015-01-02 13:00:00,17.0,3287.0,,,,,,,,0.0,,,904.0,,2071.0,,,406.0,,,184.0,2015,1,01-02,Friday,13,2015-01-02
2015-01-02 14:00:00,18.0,3301.0,,,,,,,,0.0,,,817.0,,2069.0,,,353.0,,,159.0,2015,1,01-02,Friday,14,2015-01-02
2015-01-02 15:00:00,16.0,3311.0,,,,,,,,0.0,,,775.0,,2069.0,,,285.0,,,147.0,2015,1,01-02,Friday,15,2015-01-02
2015-01-02 16:00:00,19.0,3299.0,,,,,,,,0.0,,,875.0,,2070.0,,,141.0,,,134.0,2015,1,01-02,Friday,16,2015-01-02
2015-01-02 17:00:00,18.0,3300.0,,,,,,,,0.0,,,1033.0,,2070.0,,,21.0,,,139.0,2015,1,01-02,Friday,17,2015-01-02
2015-01-02 18:00:00,17.0,3377.0,,,,,,,,0.0,,,1077.0,,2070.0,,,0.0,,,146.0,2015,1,01-02,Friday,18,2015-01-02
2015-01-02 19:00:00,18.0,3478.0,,,,,,,,0.0,,,1121.0,,2071.0,,,0.0,,,142.0,2015,1,01-02,Friday,19,2015-01-02
2015-01-02 20:00:00,18.0,3489.0,,,,,,,,0.0,,,1165.0,,2071.0,,,0.0,,,195.0,2015,1,01-02,Friday,20,2015-01-02
2015-01-02 21:00:00,18.0,3479.0,,,,,,,,0.0,,,1209.0,,2073.0,,,0.0,,,238.0,2015,1,01-02,Friday,21,2015-01-02
2015-01-02 22:00:00,18.0,3486.0,,,,,,,,0.0,,,1056.0,,2071.0,,,0.0,,,238.0,2015,1,01-02,Friday,22,2015-01-02
2015-01-02 23:00:00,16.0,3476.0,,,,,,,,0.0,,,993.0,,2071.0,,,0.0,,,204.0,2015,1,01-02,Friday,23,2015-01-02
2015-01-03 00:00:00,18.0,3466.0,,,,,,,,0.0,,,591.0,,2070.0,,,0.0,,,304.0,2015,1,01-03,Saturday,0,2015-01-03
2015-01-03 01:00:00,17.0,3235.0,,,,,,,,0.0,,,260.0,,2070.0,,,0.0,,,318.0,2015,1,01-03,Saturday,1,2015-01-03
2015-01-03 02:00:00,17.0,2953.0,,,,,,,,0.0,,,195.0,,2071.0,,,0.0,,,333.0,2015,1,01-03,Saturday,2,2015-01-03
2015-01-03 03:00:00,18.0,2802.0,,,,,,,,0.0,,,186.0,,2072.0,,,0.0,,,310.0,2015,1,01-03,Saturday,3,2015-01-03
2015-01-03 04:00:00,18.0,2701.0,,,,,,,,0.0,,,186.0,,2071.0,,,0.0,,,328.0,2015,1,01-03,Saturday,4,2015-01-03
2015-01-03 05:00:00,19.0,2664.0,,,,,,,,0.0,,,179.0,,2071.0,,,0.0,,,315.0,2015,1,01-03,Saturday,5,2015-01-03
2015-01-03 06:00:00,18.0,2648.0,,,,,,,,0.0,,,172.0,,2069.0,,,0.0,,,347.0,2015,1,01-03,Saturday,6,2015-01-03
2015-01-03 07:00:00,17.0,2732.0,,,,,,,,0.0,,,190.0,,2068.0,,,0.0,,,305.0,2015,1,01-03,Saturday,7,2015-01-03
2015-01-03 08:00:00,18.0,2776.0,,,,,,,,0.0,,,460.0,,2069.0,,,1.0,,,215.0,2015,1,01-03,Saturday,8,2015-01-03
2015-01-03 09:00:00,17.0,2978.0,,,,,,,,0.0,,,684.0,,2071.0,,,16.0,,,187.0,2015,1,01-03,Saturday,9,2015-01-03
2015-01-03 10:00:00,17.0,2901.0,,,,,,,,0.0,,,836.0,,2070.0,,,92.0,,,355.0,2015,1,01-03,Saturday,10,2015-01-03
2015-01-03 11:00:00,17.0,2780.0,,,,,,,,0.0,,,929.0,,2069.0,,,259.0,,,302.0,2015,1,01-03,Saturday,11,2015-01-03
2015-01-03 12:00:00,17.0,2806.0,,,,,,,,0.0,,,850.0,,2070.0,,,411.0,,,170.0,2015,1,01-03,Saturday,12,2015-01-03
2015-01-03 13:00:00,17.0,2740.0,,,,,,,,0.0,,,812.0,,2069.0,,,498.0,,,147.0,2015,1,01-03,Saturday,13,2015-01-03
2015-01-03 14:00:00,17.0,2713.0,,,,,,,,0.0,,,708.0,,2067.0,,,458.0,,,152.0,2015,1,01-03,Saturday,14,2015-01-03
2015-01-03 15:00:00,17.0,2695.0,,,,,,,,0.0,,,714.0,,2066.0,,,359.0,,,182.0,2015,1,01-03,Saturday,15,2015-01-03
2015-01-03 16:00:00,18.0,2798.0,,,,,,,,0.0,,,729.0,,2069.0,,,198.0,,,247.0,2015,1,01-03,Saturday,16,2015-01-03
2015-01-03 17:00:00,18.0,2970.0,,,,,,,,0.0,,,863.0,,2069.0,,,31.0,,,274.0,2015,1,01-03,Saturday,17,2015-01-03
2015-01-03 18:00:00,17.0,3228.0,,,,,,,,0.0,,,1104.0,,2070.0,,,0.0,,,238.0,2015,1,01-03,Saturday,18,2015-01-03
2015-01-03 19:00:00,18.0,3266.0,,,,,,,,0.0,,,1183.0,,2072.0,,,0.0,,,237.0,2015,1,01-03,Saturday,19,2015-01-03
2015-01-03 20:00:00,18.0,3270.0,,,,,,,,0.0,,,1167.0,,2072.0,,,0.0,,,227.0,2015,1,01-03,Saturday,20,2015-01-03
2015-01-03 21:00:00,18.0,3258.0,,,,,,,,0.0,,,1148.0,,2054.231,,,0.0,,,215.0,2015,1,01-03,Saturday,21,2015-01-03
2015-01-03 22:00:00,18.0,3467.0,,,,,,,,0.0,,,1140.667,,2036.462,,,0.0,,,186.0,2015,1,01-03,Saturday,22,2015-01-03
2015-01-03 23:00:00,18.0,3477.0,,,,,,,,0.0,,,1133.333,,2018.692,,,0.0,,,174.0,2015,1,01-03,Saturday,23,2015-01-03
2015-01-04 00:00:00,18.0,3468.0,,,,,,,,0.0,,,1126.0,,2000.923,,,0.0,,,145.0,2015,1,01-04,Sunday,0,2015-01-04
2015-01-04 01:00:00,18.0,3460.0,,,,,,,,0.0,,,946.0,,1983.154,,,0.0,,,152.0,2015,1,01-04,Sunday,1,2015-01-04
2015-01-04 02:00:00,17.0,3464.0,,,,,,,,0.0,,,753.0,,1965.385,,,0.0,,,173.0,2015,1,01-04,Sunday,2,2015-01-04
2015-01-04 03:00:00,16.0,3462.0,,,,,,,,0.0,,,570.0,,1947.615,,,0.0,,,185.0,2015,1,01-04,Sunday,3,2015-01-04
