unit,date,year,month,month_date,weekday,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2018-01-01,2018,1,01-01,Monday,0.0,0.0,36.456,114.892,6.53425,31.988,0.106,23.531,36.456,177.05125,213.50725,0.0,0.0,0.1707483001162724,0.5381175580688712,0.03060434715917141,0.14982161027318744,0.000496470260377575,0.11021171412211997,0.1707483001162724,0.8292516998837276
Gwh,2018-01-02,2018,1,01-02,Tuesday,0.0,0.0,44.241,118.476,7.47925,30.514,0.018,28.537,44.241,185.02425,229.26525,0.0,0.0,0.19296862476978086,0.5167638793929739,0.03262269358308771,0.1330947450605794,7.85116802480969e-05,0.12447154551333008,0.19296862476978086,0.8070313752302191
Gwh,2018-01-03,2018,1,01-03,Wednesday,0.0,0.0,40.974,118.454,6.647,39.407,0.184,28.104,40.974,192.796,233.77,0.0,0.0,0.17527484279419941,0.5067117251999829,0.02843393078667066,0.1685716730119348,0.0007870984300808486,0.12022072977713136,0.17527484279419941,0.8247251572058005
Gwh,2018-01-04,2018,1,01-04,Thursday,0.0,0.0,46.742,118.521,4.359,32.622,0.084,31.72,46.742,187.306,234.048,0.0,0.0,0.19971117035821712,0.5063961238720263,0.01862438474159147,0.13938166529942575,0.00035890073831009025,0.1355277549904293,0.19971117035821712,0.8002888296417829
Gwh,2018-01-05,2018,1,01-05,Friday,0.0,0.0,44.879,118.724,6.5725,26.818,0.081,31.953,44.879,184.1485,229.0275,0.0,0.0,0.1959546342688105,0.5183831635938916,0.028697427164860113,0.11709510866598989,0.00035366931918656057,0.13951599698726136,0.1959546342688105,0.8040453657311896
Gwh,2018-01-06,2018,1,01-06,Saturday,0.0,0.0,40.367,118.85,5.4515,11.007,0.152,31.603,40.367,167.0635,207.4305,0.0,0.0,0.19460493996784464,0.5729629924239685,0.02628109173916083,0.05306355622726648,0.0007327755561501322,0.15235464408560942,0.19460493996784464,0.8053950600321554
Gwh,2018-01-07,2018,1,01-07,Sunday,0.0,0.0,37.838,118.914,7.854,37.337,0.164,29.278,37.838,193.547,231.385,0.0,0.0,0.16352831860319383,0.5139226829742637,0.03394342762063228,0.16136309613847052,0.0007087754175940532,0.12653369924584568,0.16352831860319383,0.8364716813968062
Gwh,2018-01-08,2018,1,01-08,Monday,0.0,0.0,55.829,119.01,7.631222,24.767,0.132,32.774,55.829,184.314222,240.143222,0.0,0.0,0.23248209770417755,0.49557925894739596,0.031777794669549324,0.10313428708806113,0.0005496719786661312,0.13647688961214988,0.23248209770417755,0.7675179022958224
Gwh,2018-01-09,2018,1,01-09,Tuesday,0.0,0.0,71.801,118.995,7.101278000000001,11.088,0.0765,28.843,71.801,166.10377799999998,237.904778,0.0,0.0,0.3018056240972176,0.5001791094754726,0.02984924497817358,0.046606882355258956,0.00032155722404196525,0.12123758186983534,0.3018056240972176,0.6981943759027823
Gwh,2018-01-10,2018,1,01-10,Wednesday,0.0,0.0,65.697,117.983,5.1295,14.911,0.204,31.285,65.697,169.5125,235.2095,0.0,0.0,0.27931269782895674,0.5016081408276452,0.021808217780319248,0.06339454826441959,0.0008673119070445709,0.1330090833916147,0.27931269782895674,0.7206873021710433
Gwh,2018-01-11,2018,1,01-11,Thursday,0.0,0.0,69.075,118.983,5.119,1.271,0.24,31.704,69.075,157.317,226.392,0.0,0.0,0.30511237146188913,0.5255618573094456,0.02261122301141383,0.005614155977243012,0.001060108131029365,0.14004028410897912,0.30511237146188913,0.6948876285381109
