unit,date,year,month,month_date,weekday,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc,biomass
Gwh,2018-01-01,2018,1,01-01,Monday,5.605,0.0,0.875,16.707,10.07,0.0,0.0295,0.508,6.48,27.3145,33.7945,0.16585539067007946,0.0,0.02589178712512391,0.49437038571365166,0.29797748154285464,0.0,0.0008729231087898919,0.01503203183950051,0.19174717779520337,0.8082528222047967,0.264
Gwh,2018-01-02,2018,1,01-02,Tuesday,5.598,0.0,0.929,16.703,16.889,0.0,0.027,0.497,6.527,34.116,40.643,0.13773589548015647,0.0,0.022857564648278917,0.41096867849322144,0.41554511231946456,0.0,0.0006643210392933592,0.012228428019585168,0.1605934601284354,0.8394065398715645,0.264
Gwh,2018-01-03,2018,1,01-03,Wednesday,5.783,0.0,0.974,16.7,15.461,0.0,0.009,0.481,6.757,32.651,39.408,0.14674685343077548,0.0,0.024715793747462442,0.4237718229801055,0.39233150629313845,0.0,0.00022838002436053592,0.01220564352415753,0.17146264717823792,0.8285373528217621,0.242
Gwh,2018-01-04,2018,1,01-04,Thursday,6.309,0.0,1.04,16.697,13.931,0.0,0.01,0.432,7.349,31.07,38.419,0.1642156224784612,0.0,0.027069939352924337,0.43460267055363233,0.36260704338998934,0.0,0.0002602878783935032,0.01124443634659934,0.19128556183138554,0.8087144381686145,0.217
Gwh,2018-01-05,2018,1,01-05,Friday,6.447,0.0,1.137,16.704,13.392,0.0,0.009,0.464,7.584,30.569,38.153,0.16897753780829816,0.0,0.02980106413650303,0.43781616124551154,0.3510077844468325,0.0,0.0002358923282572799,0.012161560034597542,0.19877860194480118,0.8012213980551988,0.239
Gwh,2018-01-06,2018,1,01-06,Saturday,5.739,0.0,1.13,16.705,12.392,0.0,0.0,0.469,6.869,29.566,36.435,0.15751337999176615,0.0,0.031014134760532452,0.458487717853712,0.34011252916152046,0.0,0.0,0.012872238232468778,0.1885275147522986,0.8114724852477013,0.24
Gwh,2018-01-07,2018,1,01-07,Sunday,5.278,0.0,1.155,16.704,12.053,0.0,0.0,0.462,6.433,29.219,35.652,0.14804218557163693,0.0,0.03239649949511949,0.46852911477616965,0.33807360035902617,0.0,0.0,0.012958599798047796,0.18043868506675642,0.8195613149332436,0.232
Gwh,2018-01-08,2018,1,01-08,Monday,10.168,0.0,1.169,16.689,14.056,0.0,0.0,0.385,11.337,31.13,42.467,0.2394329714837403,0.0,0.02752725645795559,0.39298749617349943,0.33098641297948994,0.0,0.0,0.009065862905314715,0.2669602279416959,0.7330397720583041,0.125
Gwh,2018-01-09,2018,1,01-09,Tuesday,16.356,0.0,1.186,16.687,16.845,0.0,0.023,0.46,17.542,34.015,51.557,0.31724111177919584,0.0,0.02300366584556898,0.32366119052698955,0.3267257598386252,0.0,0.0004461081909343057,0.008922163818686114,0.34024477762476485,0.6597552223752352,0.218
Gwh,2018-01-10,2018,1,01-10,Wednesday,17.186,0.0,1.458,16.644,17.752,0.0,0.0045,0.509,18.644,34.9095,53.5535,0.3209127321276854,0.0,0.02722511133726087,0.31079201172659116,0.33148160250963987,0.0,8.402812141129897e-05,0.009504514177411374,0.34813784346494625,0.6518621565350537,0.263
Gwh,2018-01-11,2018,1,01-11,Thursday,17.442,0.0,1.39,16.692,17.066,0.0,0.0135,0.505,18.832,34.2765,53.1085,0.3284220040106574,0.0,0.026172834856943803,0.31429997081446476,0.32134215803496613,0.0,0.0002541965975314686,0.009508835685436418,0.35459483886760124,0.6454051611323988,0.266
Gwh,2018-01-12,2018,1,01-12,Friday,16.913,0.0,1.329,16.693,17.722,0.0,0.0235,0.501,18.242,34.9395,53.1815,0.318024124930662,0.0,0.02498989310192454,0.3138873480439627,0.3332361817549336,0.0,0.00044188298562470034,0.009420569182892547,0.3430140180325865,0.6569859819674135,0.256
Gwh,2018-01-13,2018,1,01-13,Saturday,12.532,0.0,1.381,16.703,16.484,0.0,0.0135,0.507,13.913,33.7075,47.6205,0.26316397349880827,0.0,0.02900011549647736,0.3507523020547873,0.3461534423200093,0.0,0.00028349135351371784,0.01064667527640407,0.2921640889952857,0.7078359110047144,0.264
Gwh,2018-01-14,2018,1,01-14,Sunday,10.891,0.0,1.226,16.688,13.271,0.0,0.016,0.516,12.117,30.491,42.608,0.25560927525347354,0.0,0.028773939166353738,0.3916635373638753,0.31146733007885846,0.0,0.00037551633496057084,0.012110401802478408,0.2843832144198273,0.7156167855801728,0.264
Gwh,2018-01-15,2018,1,01-15,Monday,12.707,0.0,1.234,16.684,13.779,0.0,0.029,0.507,13.941,30.999,44.94,0.28275478415665334,0.0,0.027458834000890078,0.3712505562972853,0.3066088117489987,0.0,0.0006453048509123277,0.011281708945260347,0.31021361815754345,0.6897863818424567,0.255
Gwh,2018-01-16,2018,1,01-16,Tuesday,12.979,0.0,1.232,16.692,12.41,0.0,0.018,0.511,14.211,29.631,43.842,0.29604032662743485,0.0,0.028100907805300855,0.38073080607636517,0.283061904110214,0.0,0.0004105652114410839,0.011655490169244104,0.32414123443273574,0.6758587655672643,0.264
Gwh,2018-01-17,2018,1,01-17,Wednesday,12.73,0.0,1.212,16.704,13.039,0.0,0.018,0.479,13.942,30.24,44.182,0.28812638631116744,0.0,0.02743198587660133,0.37807251822008964,0.295120184690598,0.0,0.0004074057308406138,0.010841519170703,0.3155583721877688,0.6844416278122312,0.241
Gwh,2018-01-18,2018,1,01-18,Thursday,11.987,0.0,1.487,16.7,11.937,0.0,0.02,0.488,13.474,29.145,42.619,0.2812595321335555,0.0,0.034890541777141654,0.39184401323353435,0.2800863464651916,0.0,0.0004692742673455501,0.011450292123231422,0.3161500739106971,0.6838499260893028,0.26
Gwh,2018-01-19,2018,1,01-19,Friday,13.324,0.0,1.225,16.704,12.238,0.0,0.0335,0.495,14.549,29.4705,44.0195,0.3026840377559945,0.0,0.027828575972012406,0.3794681902338736,0.2780131532616227,0.0,0.0007610263633162575,0.011245016413180523,0.3305126137280069,0.6694873862719931,0.263
Gwh,2018-01-20,2018,1,01-20,Saturday,12.895,0.0,1.167,16.704,11.67,0.0,0.015,0.487,14.062,28.876,42.938,0.3003167357585355,0.0,0.027178722809632492,0.38902603754250314,0.27178722809632494,0.0,0.0003493409101495179,0.011341934882854347,0.32749545856816803,0.6725045414318319,0.252
Gwh,2018-01-21,2018,1,01-21,Sunday,12.48,0.0,1.157,16.705,11.238,0.0,0.02,0.472,13.637,28.435,42.072,0.2966343411294923,0.0,0.02750047537554668,0.3970574253660391,0.2671135196805476,0.0,0.0004753755466818787,0.011218862901692335,0.32413481650503895,0.6758651834949609,0.241
Gwh,2018-01-22,2018,1,01-22,Monday,10.905,0.0,1.298,16.701,11.939,0.0,0.015,0.473,12.203,29.128,41.331,0.26384553966756186,0.0,0.03140499866927972,0.4040792625390143,0.2888630809803779,0.0,0.0003629237134354358,0.011444194430330743,0.29525053833684156,0.7047494616631583,0.247
Gwh,2018-01-23,2018,1,01-23,Tuesday,11.916,0.0,1.239,16.705,11.204,0.0,0.025,0.521,13.155,28.455,41.61,0.28637346791636625,0.0,0.029776496034607067,0.401465993751502,0.26926219658735884,0.0,0.0006008171112713291,0.012521028598894497,0.31614996395097333,0.6838500360490266,0.264
