unit,date,year,month,month_date,weekday,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc,biomass
Gwh,2018-01-01,2018,1,01-01,Monday,70.589,0.0,0.048,0.0,31.193,0.0,0.0,1.600375,70.637,32.793375,103.430375,0.6824784305384177,0.0,0.0004640803052294841,0.0,0.3015845200213187,0.0,0.0,0.015472969135034076,0.6829425108436472,0.31705748915635273,0.12
Gwh,2018-01-02,2018,1,01-02,Tuesday,69.98,0.0,0.048,0.0,34.771,0.0,0.0,1.594625,70.028,36.365625,106.393625,0.6577461760514317,0.0,0.00045115485067831837,0.0,0.32681469401949603,0.0,0.0,0.01498797507839403,0.6581973309021101,0.34180266909789003,0.12
Gwh,2018-01-03,2018,1,01-03,Wednesday,65.464,0.0,0.048,0.0,36.979,0.0,0.0,1.597,65.512,38.576,104.088,0.6289293674583045,0.0,0.0004611482591653217,0.0,0.355266697409884,0.0,0.0,0.015342786872646223,0.6293905157174698,0.3706094842825302,0.12
Gwh,2018-01-04,2018,1,01-04,Thursday,75.113,0.0,0.048,0.0,34.859,0.0,0.0,1.5135,75.161,36.3725,111.5335,0.6734568537703919,0.0,0.00043036397136286407,0.0,0.31254286828621,0.0,0.0,0.013569913972035308,0.6738872177417548,0.3261127822582453,0.12
Gwh,2018-01-05,2018,1,01-05,Friday,78.223,0.0,0.048,0.0,39.783,0.0,0.0,0.504,78.271,40.287,118.558,0.6597867710319,0.0,0.00040486512930380065,0.0,0.3355572799811063,0.0,0.0,0.004251083857689907,0.6601916361612038,0.33980836383879615,0.12
Gwh,2018-01-06,2018,1,01-06,Saturday,76.699,0.0,0.048,0.0,36.999,0.0,0.0,0.504,76.747,37.503,114.25,0.6713260393873085,0.0,0.0004201312910284464,0.0,0.3238424507658644,0.0,0.0,0.004411378555798687,0.671746170678337,0.328253829321663,0.12
Gwh,2018-01-07,2018,1,01-07,Sunday,78.457,0.0,0.048,0.0,33.825,0.0,0.0,0.504,78.505,34.329,112.834,0.6953311944981122,0.0,0.000425403690377014,0.0,0.2997766630625521,0.0,0.0,0.004466738748958647,0.6957565981884892,0.3042434018115107,0.12
Gwh,2018-01-08,2018,1,01-08,Monday,83.762,0.0,0.048,0.0,31.629,0.0,0.0,0.504,83.81,32.133,115.943,0.7224411995549538,0.0,0.000413996532779038,0.0,0.27279784031808735,0.0,0.0,0.0043469635941798986,0.7228551960877327,0.27714480391226726,0.12
Gwh,2018-01-09,2018,1,01-09,Tuesday,86.173,0.0,0.048,0.0,30.322,0.0,0.0,0.504,86.221,30.826,117.047,0.7362256187685289,0.0,0.00041009167257597377,0.0,0.25905832699684744,0.0,0.0,0.004305962562047724,0.7366357104411049,0.2633642895588952,0.12
Gwh,2018-01-10,2018,1,01-10,Wednesday,71.667,0.0,0.048,0.0,41.048,0.0,0.0,0.504,71.715,41.552,113.267,0.6327262132836572,0.0,0.00042377744621116477,0.0,0.36240034608491445,0.0,0.0,0.00444966318521723,0.6331499907298684,0.36685000927013167,0.12
