unit,date,year,month,month_date,weekday,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc,biomass
Gwh,2019-01-01,2019,1,01-01,Tuesday,0.0,11.911,0.0,0.0,0.0,0.7025,0.0,0.0,11.911,0.7025,12.6135,0.0,0.9443057042058112,0.0,0.0,0.0,0.05569429579418877,0.0,0.0,0.9443057042058112,0.05569429579418877,0.0
Gwh,2019-01-02,2019,1,01-02,Wednesday,0.0,12.9325,0.0,0.0,0.0,1.2805,0.0,0.0,12.9325,1.2805,14.213,0.0,0.9099064236966158,0.0,0.0,0.0,0.09009357630338423,0.0,0.0,0.9099064236966158,0.09009357630338423,0.0
Gwh,2019-01-03,2019,1,01-03,Thursday,0.0,13.2165,0.0,0.0,0.0,0.951207,0.0,0.0,13.2165,0.951207,14.167707,0.0,0.9328609068496405,0.0,0.0,0.0,0.06713909315035947,0.0,0.0,0.9328609068496405,0.06713909315035947,0.0
Gwh,2019-01-04,2019,1,01-04,Friday,0.0,13.337,0.0,0.0,0.0,1.045293,0.0,0.0,13.337,1.045293,14.382292999999999,0.0,0.9273208382001397,0.0,0.0,0.0,0.07267916179986043,0.0,0.0,0.9273208382001397,0.07267916179986043,0.0
Gwh,2019-01-05,2019,1,01-05,Saturday,0.0,12.5885,0.0,0.0,0.0,0.5745,0.0,0.0,12.5885,0.5745,13.163,0.0,0.9563549342854972,0.0,0.0,0.0,0.04364506571450277,0.0,0.0,0.9563549342854972,0.04364506571450277,0.0
Gwh,2019-01-06,2019,1,01-06,Sunday,0.0,11.241,0.0,0.0,0.0,1.62425,0.0,0.0,11.241,1.62425,12.86525,0.0,0.8737490526806708,0.0,0.0,0.0,0.1262509473193292,0.0,0.0,0.8737490526806708,0.1262509473193292,0.0
Gwh,2019-01-07,2019,1,01-07,Monday,0.0,14.927,0.0,0.0,0.0,0.64925,0.0,0.0,14.927,0.64925,15.57625,0.0,0.958317952010272,0.0,0.0,0.0,0.04168204798972795,0.0,0.0,0.958317952010272,0.04168204798972795,0.0
Gwh,2019-01-08,2019,1,01-08,Tuesday,0.0,15.0505,0.0,0.0,0.0,1.27076,0.0,0.0,15.0505,1.27076,16.32126,0.0,0.9221408151086374,0.0,0.0,0.0,0.07785918489136255,0.0,0.0,0.9221408151086374,0.07785918489136255,0.0
Gwh,2019-01-09,2019,1,01-09,Wednesday,0.0,15.43,0.0,0.0,0.0,1.01224,0.0,0.0,15.43,1.01224,16.44224,0.0,0.9384366120431278,0.0,0.0,0.0,0.06156338795687205,0.0,0.0,0.9384366120431278,0.06156338795687205,0.0
Gwh,2019-01-10,2019,1,01-10,Thursday,0.0,15.681,0.0,0.0,0.0,0.607,0.0,0.0,15.681,0.607,16.288,0.0,0.9627333005893909,0.0,0.0,0.0,0.03726669941060903,0.0,0.0,0.9627333005893909,0.03726669941060903,0.0
Gwh,2019-01-11,2019,1,01-11,Friday,0.0,14.3605,0.0,0.0,0.0,0.6925,0.0,0.0,14.3605,0.6925,15.053,0.0,0.9539958812196904,0.0,0.0,0.0,0.04600411878030957,0.0,0.0,0.9539958812196904,0.04600411878030957,0.0
Gwh,2019-01-12,2019,1,01-12,Saturday,0.0,12.85,0.0,0.0,0.0,0.978,0.0,0.0,12.85,0.978,13.828,0.0,0.929273936939543,0.0,0.0,0.0,0.07072606306045705,0.0,0.0,0.929273936939543,0.07072606306045705,0.0
Gwh,2019-01-13,2019,1,01-13,Sunday,0.0,13.3205,0.0,0.0,0.0,0.87775,0.0,0.0,13.3205,0.87775,14.19825,0.0,0.9381790009332136,0.0,0.0,0.0,0.061820999066786404,0.0,0.0,0.9381790009332136,0.061820999066786404,0.0
Gwh,2019-01-14,2019,1,01-14,Monday,0.0,14.15925,0.0,0.0,0.0,0.603861,0.0,0.0,14.15925,0.603861,14.763111,0.0,0.9590966294299352,0.0,0.0,0.0,0.0409033705700648,0.0,0.0,0.9590966294299352,0.0409033705700648,0.0
Gwh,2019-01-15,2019,1,01-15,Tuesday,0.0,12.377,0.0,0.0,0.0,1.682639,0.0,0.0,12.377,1.682639,14.059638999999999,0.0,0.880321322617174,0.0,0.0,0.0,0.11967867738282613,0.0,0.0,0.880321322617174,0.11967867738282613,0.0
Gwh,2019-01-16,2019,1,01-16,Wednesday,0.0,13.3225,0.0,0.0,0.0,1.82,0.0,0.0,13.3225,1.82,15.1425,0.0,0.8798084860491993,0.0,0.0,0.0,0.12019151395080073,0.0,0.0,0.8798084860491993,0.12019151395080073,0.0
Gwh,2019-01-17,2019,1,01-17,Thursday,0.0,13.71025,0.0,0.0,0.0,0.84675,0.0,0.0,13.71025,0.84675,14.557,0.0,0.9418321082640654,0.0,0.0,0.0,0.0581678917359346,0.0,0.0,0.9418321082640654,0.0581678917359346,0.0
Gwh,2019-01-18,2019,1,01-18,Friday,0.0,14.957,0.0,0.0,0.0,0.0995,0.0,0.0,14.957,0.0995,15.0565,0.0,0.9933915584631223,0.0,0.0,0.0,0.006608441536877761,0.0,0.0,0.9933915584631223,0.006608441536877761,0.0
Gwh,2019-01-19,2019,1,01-19,Saturday,0.0,14.173,0.0,0.0,0.0,0.071,0.0,0.0,14.173,0.071,14.244,0.0,0.9950154450996911,0.0,0.0,0.0,0.004984554900308902,0.0,0.0,0.9950154450996911,0.004984554900308902,0.0
