datetime,Coal,region,Other,Wind,Hydro,Solar,Petroleum,Nuclear,Natural gas
2022-04-01 00:00:00,1498,SW,37,401,727,1531,0,3956,3388
2022-04-01 01:00:00,1549,SW,67,382,906,809,0,3958,4587
2022-04-01 02:00:00,1604,SW,71,492,1085,166,0,3954,5700
2022-04-01 03:00:00,1610,SW,61,761,1169,122,0,3954,5979
2022-04-01 04:00:00,1592,SW,51,782,1172,150,0,3950,5630
2022-04-01 05:00:00,1608,SW,23,743,1016,121,0,3950,5415
2022-04-01 06:00:00,1611,SW,47,566,888,44,0,3951,5086
2022-04-01 07:00:00,1619,SW,51,430,754,10,0,3960,4712
2022-04-01 08:00:00,1630,SW,56,363,757,7,0,3961,4223
2022-04-01 09:00:00,1572,SW,49,507,825,11,0,3960,3979
2022-04-01 10:00:00,1540,SW,38,642,823,14,0,3968,3914
2022-04-01 11:00:00,1551,SW,36,754,819,6,0,3961,4022
2022-04-01 12:00:00,1548,SW,37,1098,897,3,0,3968,4164
2022-04-01 13:00:00,1589,SW,37,1297,978,1,0,3967,4542
2022-04-01 14:00:00,1673,SW,39,1376,1173,115,0,3966,4856
2022-04-01 15:00:00,1701,SW,37,1144,914,889,0,3967,4113
2022-04-01 16:00:00,1514,SW,33,1289,477,1661,0,3956,3361
2022-04-01 17:00:00,1344,SW,6,1486,446,1889,0,3954,2762
2022-04-01 18:00:00,1288,SW,2,1576,434,1908,0,3951,2489
2022-04-01 19:00:00,1246,SW,19,1686,390,1900,0,3948,2473
2022-04-01 20:00:00,1241,SW,23,1662,431,1813,0,3944,2578
2022-04-01 21:00:00,1275,SW,32,1662,477,1835,0,3943,2641
2022-04-01 22:00:00,1365,SW,34,1714,486,1911,0,3944,2805
2022-04-01 23:00:00,1438,SW,37,1681,518,1958,0,3940,2961
2022-04-02 00:00:00,1489,SW,35,1383,673,1863,0,3945,3349
2022-04-02 01:00:00,1610,SW,70,1078,908,1205,0,3941,4363
2022-04-02 02:00:00,1694,SW,65,833,1121,296,0,3946,5430
2022-04-02 03:00:00,1676,SW,64,926,1174,144,0,3947,5930
2022-04-02 04:00:00,1647,SW,57,1089,1269,136,0,3940,5547
2022-04-02 05:00:00,1661,SW,61,1030,1337,104,0,3949,5411
2022-04-02 06:00:00,1666,SW,53,936,1089,81,0,3946,5295
2022-04-02 07:00:00,1715,SW,46,678,823,55,0,3946,4708
2022-04-02 08:00:00,1739,SW,39,431,685,20,0,3938,4313
2022-04-02 09:00:00,1755,SW,37,261,659,15,0,3940,3822
2022-04-02 10:00:00,1803,SW,35,186,659,13,0,3944,3624
2022-04-02 11:00:00,1882,SW,37,228,659,8,0,3946,3512
2022-04-02 12:00:00,1932,SW,39,219,650,12,0,3950,3435
2022-04-02 13:00:00,1986,SW,38,217,812,11,0,3950,3617
2022-04-02 14:00:00,1983,SW,40,361,773,171,0,3950,3561
2022-04-02 15:00:00,1789,SW,38,268,601,1078,0,3950,3090
2022-04-02 16:00:00,1602,SW,38,180,490,1853,0,3941,2633
2022-04-02 17:00:00,1364,SW,6,214,453,1989,0,3942,2556
2022-04-02 18:00:00,1305,SW,3,533,499,1895,0,3936,2642
2022-04-02 19:00:00,1316,SW,15,858,520,1864,0,3929,2524
2022-04-02 20:00:00,1303,SW,24,1084,406,1846,0,3928,2523
2022-04-02 21:00:00,1302,SW,29,1291,414,1806,0,3933,2569
2022-04-02 22:00:00,1322,SW,35,1495,413,1836,0,3929,2611
2022-04-02 23:00:00,1361,SW,35,1556,451,1879,0,3930,3037
2022-04-03 00:00:00,1376,SW,37,1486,596,1812,0,3925,3359
2022-04-03 01:00:00,1395,SW,59,1338,763,1221,0,3925,3972
