datetime,Wind,region,Nuclear,Other,Solar,Petroleum,Natural gas,Coal,Hydro
2022-04-01 00:00:00,527,NE,3350,588,0,0,6951,7,1382
2022-04-01 01:00:00,602,NE,3326,586,0,0,6356,6,1291
2022-04-01 02:00:00,594,NE,3340,579,0,0,5893,4,869
2022-04-01 03:00:00,596,NE,3325,567,0,0,4825,4,868
2022-04-01 04:00:00,578,NE,3349,579,0,0,3980,6,920
2022-04-01 05:00:00,576,NE,3334,570,0,0,3735,6,885
2022-04-01 06:00:00,590,NE,3352,558,0,0,3367,5,844
2022-04-01 07:00:00,594,NE,3347,555,0,0,3191,5,830
2022-04-01 08:00:00,564,NE,3342,557,0,0,3075,7,870
2022-04-01 09:00:00,544,NE,3356,559,0,0,3172,5,875
2022-04-01 10:00:00,523,NE,3387,571,0,0,3691,5,912
2022-04-01 11:00:00,596,NE,3386,572,1,0,4683,5,1062
2022-04-01 12:00:00,501,NE,3358,567,12,0,5284,5,1516
2022-04-01 13:00:00,457,NE,3278,577,72,0,5309,3,1690
2022-04-01 14:00:00,402,NE,3284,559,169,0,5138,3,1252
2022-04-01 15:00:00,386,NE,3287,555,222,0,5062,3,1225
2022-04-01 16:00:00,349,NE,3314,564,205,0,5220,1,1267
2022-04-01 17:00:00,375,NE,3271,552,213,0,5102,2,1307
2022-04-01 18:00:00,390,NE,3284,548,221,35,5011,1,1046
2022-04-01 19:00:00,448,NE,3279,547,146,2,5016,3,1002
2022-04-01 20:00:00,509,NE,3288,538,185,0,4771,3,1078
2022-04-01 21:00:00,625,NE,3283,556,159,0,4891,4,1005
2022-04-01 22:00:00,651,NE,3307,574,89,0,5476,6,1273
2022-04-01 23:00:00,905,NE,3303,578,33,0,5455,4,1355
2022-04-02 00:00:00,1075,NE,3309,574,2,0,5734,3,1533
2022-04-02 01:00:00,1072,NE,3286,560,0,0,5706,2,1412
2022-04-02 02:00:00,1013,NE,3281,562,0,0,5394,3,1094
2022-04-02 03:00:00,1060,NE,3274,567,0,0,4909,2,977
2022-04-02 04:00:00,1064,NE,3274,560,0,0,4133,4,974
2022-04-02 05:00:00,1088,NE,3285,557,0,0,3633,5,946
2022-04-02 06:00:00,1086,NE,3290,559,0,0,3553,4,950
2022-04-02 07:00:00,1091,NE,3281,551,0,0,3535,3,906
2022-04-02 08:00:00,1088,NE,3296,557,0,0,3528,3,910
2022-04-02 09:00:00,1086,NE,3289,557,0,0,3533,5,945
2022-04-02 10:00:00,1066,NE,3294,560,0,0,3613,6,1103
2022-04-02 11:00:00,1083,NE,3300,553,1,0,3735,7,1225
2022-04-02 12:00:00,1096,NE,3299,554,54,0,3794,6,1572
2022-04-02 13:00:00,1123,NE,3274,549,200,0,3251,2,1430
2022-04-02 14:00:00,1066,NE,3267,552,387,0,3062,3,1091
2022-04-02 15:00:00,1035,NE,3279,553,462,0,2826,1,968
2022-04-02 16:00:00,1043,NE,3311,561,488,0,2745,2,947
2022-04-02 17:00:00,1023,NE,3275,554,485,0,2662,3,926
2022-04-02 18:00:00,852,NE,3288,557,486,0,2576,2,854
2022-04-02 19:00:00,893,NE,3305,560,485,0,2584,4,837
2022-04-02 20:00:00,975,NE,3296,555,458,0,2626,4,892
2022-04-02 21:00:00,574,NE,3299,557,361,3,2800,3,860
2022-04-02 22:00:00,914,NE,3337,568,199,0,3654,3,1028
2022-04-02 23:00:00,918,NE,3315,564,47,0,4478,3,1406
2022-04-03 00:00:00,929,NE,3300,570,4,0,4407,3,2141
2022-04-03 01:00:00,853,NE,3266,559,1,0,4262,4,2153
2022-04-03 02:00:00,752,NE,3268,557,0,0,4589,2,1591
2022-04-03 03:00:00,695,NE,3263,501,0,0,4510,3,1099
2022-04-03 04:00:00,663,NE,3259,476,0,0,3991,3,935
2022-04-03 05:00:00,652,NE,3267,458,0,0,3877,5,902
2022-04-03 06:00:00,568,NE,3276,450,0,0,3651,4,898
2022-04-03 07:00:00,463,NE,3298,481,0,0,3634,3,929
2022-04-03 08:00:00,464,NE,3276,479,0,0,3503,2,936
2022-04-03 09:00:00,381,NE,3279,479,0,0,3544,0,939
2022-04-03 10:00:00,233,NE,3303,481,0,0,3375,0,947
2022-04-03 11:00:00,157,NE,3289,480,2,0,3550,0,1102
2022-04-03 12:00:00,107,NE,3294,480,43,0,3674,0,1147
2022-04-03 13:00:00,51,NE,3296,476,113,0,4029,0,1169
2022-04-03 14:00:00,40,NE,3291,481,220,0,4115,0,1156
2022-04-03 15:00:00,21,NE,3275,480,349,0,3976,3,1108
2022-04-03 16:00:00,13,NE,3273,476,383,0,3902,3,965
2022-04-03 17:00:00,11,NE,3279,482,379,0,3838,3,884
2022-04-03 18:00:00,17,NE,3315,489,285,0,4359,4,922
