data,sector,hour_data,source,title
3.8亿千瓦,水电,为2360,https://cec.org.cn/detail/index.html?3-301096,1-8月份全国电力工业统计数据及运行简况
12.8亿千瓦,火电,为2988,https://cec.org.cn/detail/index.html?3-301096,1-8月份全国电力工业统计数据及运行简况
10.9亿千瓦,燃煤发电,为3089,https://cec.org.cn/detail/index.html?3-301096,1-8月份全国电力工业统计数据及运行简况
10656万千瓦,燃气发电,为1849,https://cec.org.cn/detail/index.html?3-301096,1-8月份全国电力工业统计数据及运行简况
3458万千瓦,生物质发电,,https://cec.org.cn/detail/index.html?3-301096,1-8月份全国电力工业统计数据及运行简况
5326万千瓦,核电,,https://cec.org.cn/detail/index.html?3-301096,1-8月份全国电力工业统计数据及运行简况
3.0亿千瓦,风电,,https://cec.org.cn/detail/index.html?3-301096,1-8月份全国电力工业统计数据及运行简况
2.8亿千瓦,太阳能发电,,https://cec.org.cn/detail/index.html?3-301096,1-8月份全国电力工业统计数据及运行简况
