data,sector,hour_data,source,title
3.8亿千瓦,水电,为2794,https://cec.org.cn/detail/index.html?3-302143,2021年1-9月份电力工业运行简况
12.8亿千瓦,火电,为3339,https://cec.org.cn/detail/index.html?3-302143,2021年1-9月份电力工业运行简况
11.0亿千瓦,燃煤发电,为3450,https://cec.org.cn/detail/index.html?3-302143,2021年1-9月份电力工业运行简况
10657万千瓦,燃气发电,为2074,https://cec.org.cn/detail/index.html?3-302143,2021年1-9月份电力工业运行简况
3536万千瓦,生物质发电,,https://cec.org.cn/detail/index.html?3-302143,2021年1-9月份电力工业运行简况
5326万千瓦,核电,,https://cec.org.cn/detail/index.html?3-302143,2021年1-9月份电力工业运行简况
3.0亿千瓦,风电,,https://cec.org.cn/detail/index.html?3-302143,2021年1-9月份电力工业运行简况
2.8亿千瓦,太阳能发电,,https://cec.org.cn/detail/index.html?3-302143,2021年1-9月份电力工业运行简况
