datetime,Coal,region,Wind,Hydro,Solar,Other,Petroleum,Nuclear,Natural gas
2020-03-01 00:00:00,0,NE,587,1587,0,706,0,3348,6453
2020-03-01 01:00:00,0,NE,640,1375,0,695,0,3333,6287
2020-03-01 02:00:00,0,NE,705,1192,0,700,0,3320,6279
2020-03-01 03:00:00,0,NE,682,1153,0,677,0,3211,6073
2020-03-01 04:00:00,0,NE,711,1203,0,706,0,3350,6336
2020-03-01 05:00:00,0,NE,709,1200,0,704,0,3342,6320
2020-03-01 06:00:00,0,NE,0,0,0,0,0,0,0
2020-03-01 07:00:00,5,NE,737,815,0,682,0,3314,4113
2020-03-01 08:00:00,8,NE,719,816,0,672,0,3341,4167
2020-03-01 09:00:00,4,NE,732,771,0,665,0,3342,4237
2020-03-01 10:00:00,2,NE,749,743,0,669,0,3341,4266
2020-03-01 11:00:00,0,NE,750,787,0,666,0,3358,4397
2020-03-01 12:00:00,0,NE,683,825,3,657,0,3341,5046
2020-03-01 13:00:00,0,NE,649,923,35,660,0,3345,4911
2020-03-01 14:00:00,0,NE,653,934,77,665,0,3343,5035
2020-03-01 15:00:00,1,NE,653,896,104,663,0,3341,4889
2020-03-01 16:00:00,0,NE,665,832,130,661,0,3339,4816
2020-03-01 17:00:00,0,NE,642,803,154,653,0,3309,4128
2020-03-01 18:00:00,0,NE,732,794,161,664,0,3347,4160
2020-03-01 19:00:00,0,NE,741,788,169,661,0,3340,3962
2020-03-01 20:00:00,0,NE,665,754,157,666,0,3346,4141
2020-03-01 21:00:00,0,NE,654,759,118,674,0,3364,4571
2020-03-01 22:00:00,0,NE,601,1025,52,677,0,3370,5505
2020-03-01 23:00:00,0,NE,508,1358,4,683,0,3369,6157
2020-03-02 00:00:00,0,NE,511,1751,0,674,0,3355,6510
2020-03-02 01:00:00,0,NE,548,1720,0,659,0,3333,6345
2020-03-02 02:00:00,0,NE,517,1579,0,644,0,3313,6033
2020-03-02 03:00:00,0,NE,488,1158,0,635,0,3301,5478
2020-03-02 04:00:00,0,NE,381,944,0,612,0,3318,4847
2020-03-02 05:00:00,0,NE,260,935,0,611,0,3314,4243
2020-03-02 06:00:00,0,NE,206,862,0,608,0,3322,3889
2020-03-02 07:00:00,0,NE,174,779,0,608,0,3328,3664
2020-03-02 08:00:00,0,NE,193,719,0,619,0,3351,3716
2020-03-02 09:00:00,0,NE,216,715,0,619,0,3358,3819
2020-03-02 10:00:00,0,NE,249,724,0,631,0,3401,4206
2020-03-02 11:00:00,0,NE,277,1011,0,632,0,3422,5518
2020-03-02 12:00:00,0,NE,356,1651,2,637,0,3382,6283
2020-03-02 13:00:00,8,NE,416,1593,28,637,0,3328,6340
2020-03-02 14:00:00,7,NE,439,1294,69,627,0,3325,6143
2020-03-02 15:00:00,0,NE,457,987,95,639,0,3343,6222
2020-03-02 16:00:00,0,NE,517,870,117,627,0,3349,6217
2020-03-02 17:00:00,0,NE,583,753,117,624,0,3350,6305
2020-03-02 18:00:00,0,NE,537,729,154,620,0,3327,5908
2020-03-02 19:00:00,0,NE,507,714,154,615,0,3328,5636
2020-03-02 20:00:00,0,NE,530,725,138,629,0,3351,5412
2020-03-02 21:00:00,0,NE,528,736,100,623,0,3354,5656
2020-03-02 22:00:00,0,NE,561,859,40,615,25,3372,6460
2020-03-02 23:00:00,0,NE,621,1167,3,629,0,3363,7043
2020-03-03 00:00:00,8,NE,661,1549,0,623,0,3331,7192
2020-03-03 01:00:00,6,NE,668,1199,0,622,0,3321,7002
2020-03-03 02:00:00,0,NE,609,991,0,620,0,3332,6741
2020-03-03 03:00:00,0,NE,600,844,0,612,0,3305,5970
2020-03-03 04:00:00,0,NE,611,739,0,612,0,3294,4656
2020-03-03 05:00:00,0,NE,645,723,0,620,0,3308,3619
2020-03-03 06:00:00,0,NE,574,704,0,625,0,3332,3096
2020-03-03 07:00:00,0,NE,569,702,0,634,0,3352,3049
2020-03-03 08:00:00,0,NE,536,688,0,623,0,3336,3075
2020-03-03 09:00:00,0,NE,469,687,0,624,0,3336,3109
2020-03-03 10:00:00,0,NE,407,708,0,602,0,3357,3174
2020-03-03 11:00:00,0,NE,320,719,0,612,0,3411,3879
2020-03-03 12:00:00,0,NE,270,1071,1,626,0,3396,4996
2020-03-03 13:00:00,0,NE,266,1237,31,606,0,3336,5345
2020-03-03 14:00:00,0,NE,170,997,79,608,0,3337,5172
2020-03-03 15:00:00,0,NE,93,934,123,596,34,3320,4512
2020-03-03 16:00:00,0,NE,86,844,157,606,14,3348,4493
2020-03-03 17:00:00,0,NE,60,784,166,590,0,3339,4530
2020-03-03 18:00:00,0,NE,71,745,155,600,0,3373,4858
2020-03-03 19:00:00,0,NE,56,765,92,596,0,3378,5295
2020-03-03 20:00:00,0,NE,56,885,64,591,0,3362,5744
2020-03-03 21:00:00,0,NE,86,1022,48,597,0,3361,5763
2020-03-03 22:00:00,0,NE,148,1302,17,605,0,3370,6126
2020-03-03 23:00:00,0,NE,263,1566,2,619,0,3370,6473
2020-03-04 00:00:00,0,NE,427,1843,0,618,0,3351,6523
2020-03-04 01:00:00,0,NE,526,1610,0,617,0,3325,6334
2020-03-04 02:00:00,0,NE,570,1362,0,610,0,3336,6000
2020-03-04 03:00:00,0,NE,614,973,0,619,0,3321,5759
2020-03-04 04:00:00,0,NE,560,759,0,625,0,3325,5040
2020-03-04 05:00:00,0,NE,510,747,0,632,0,3334,4229
2020-03-04 06:00:00,0,NE,469,721,0,619,0,3320,3723
2020-03-04 07:00:00,0,NE,450,713,0,617,0,3327,3364
2020-03-04 08:00:00,0,NE,465,731,0,626,0,3337,3084
2020-03-04 09:00:00,0,NE,461,732,0,625,0,3353,3189
2020-03-04 10:00:00,4,NE,623,732,0,597,0,3372,3502
2020-03-04 11:00:00,4,NE,662,747,0,589,0,3371,4311
2020-03-04 12:00:00,3,NE,726,1075,2,592,0,3363,5126
