date,mw,region
2011-03-31 0:00,12733,ОЭС СР. ВОЛГИ
2011-03-31 1:00,12220,ОЭС СР. ВОЛГИ
2011-03-31 2:00,12053,ОЭС СР. ВОЛГИ
2011-03-31 3:00,11784,ОЭС СР. ВОЛГИ
2011-03-31 4:00,12232,ОЭС СР. ВОЛГИ
2011-03-31 5:00,11830,ОЭС СР. ВОЛГИ
2011-03-31 6:00,13014,ОЭС СР. ВОЛГИ
2011-03-31 7:00,13268,ОЭС СР. ВОЛГИ
2011-03-31 8:00,14169,ОЭС СР. ВОЛГИ
2011-03-31 9:00,14815,ОЭС СР. ВОЛГИ
2011-03-31 10:00,14965,ОЭС СР. ВОЛГИ
2011-03-31 11:00,14850,ОЭС СР. ВОЛГИ
2011-03-31 12:00,14563,ОЭС СР. ВОЛГИ
2011-03-31 13:00,14925,ОЭС СР. ВОЛГИ
2011-03-31 14:00,14783,ОЭС СР. ВОЛГИ
2011-03-31 15:00,14594,ОЭС СР. ВОЛГИ
2011-03-31 16:00,14049,ОЭС СР. ВОЛГИ
2011-03-31 17:00,13880,ОЭС СР. ВОЛГИ
2011-03-31 18:00,14253,ОЭС СР. ВОЛГИ
2011-03-31 19:00,14809,ОЭС СР. ВОЛГИ
2011-03-31 20:00,14071,ОЭС СР. ВОЛГИ
2011-03-31 21:00,15490,ОЭС СР. ВОЛГИ
2011-03-31 22:00,13969,ОЭС СР. ВОЛГИ
2011-03-31 23:00,13911,ОЭС СР. ВОЛГИ
