unit,date,year,month,month_date,weekday,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc,biomass
Gwh,2021-01-01,2021,1,01-01,Friday,27.223,0.0,0.0,0.0,30.757763,0.447,0.0,0.0,27.223,31.204763,58.427763,0.46592576203884445,0.0,0.0,0.0,0.5264237653596288,0.007650472601526778,0.0,0.0,0.46592576203884445,0.5340742379611556,0.0
Gwh,2021-01-02,2021,1,01-02,Saturday,27.189,0.0,0.0,0.0,26.742965,0.731,0.0,0.0,27.189,27.473965,54.662965,0.49739343630554983,0.0,0.0,0.0,0.4892337069531446,0.013372856741305563,0.0,0.0,0.49739343630554983,0.5026065636944501,0.0
Gwh,2021-01-03,2021,1,01-03,Sunday,26.665,0.0,0.0,0.0,28.192666000000003,0.481,0.0,0.0,26.665,28.673666,55.338665999999996,0.4818511526822855,0.0,0.0,0.0,0.5094569139053696,0.008691933412344996,0.0,0.0,0.4818511526822855,0.5181488473177146,0.0
Gwh,2021-01-04,2021,1,01-04,Monday,27.597,0.0,0.0,0.0,31.781367999999997,0.179,0.0,0.0,27.597,31.960368,59.557368000000004,0.46336836107331003,0.0,0.0,0.0,0.5336261333778215,0.0030055055488684454,0.0,0.0,0.46336836107331003,0.53663163892669,0.0
Gwh,2021-01-05,2021,1,01-05,Tuesday,32.969,0.0,0.0,0.0,32.551569,0.418,0.0,0.0,32.969,32.969569,65.938569,0.4999956853780069,0.0,0.0,0.0,0.49366508090280214,0.006339233719190963,0.0,0.0,0.4999956853780069,0.5000043146219931,0.0
Gwh,2021-01-06,2021,1,01-06,Wednesday,34.855,0.0,0.0,0.0,32.11227,0.596,0.0,0.0,34.855,32.70827,67.56327,0.5158868124648199,0.0,0.0,0.0,0.4752918264613303,0.00882136107384974,0.0,0.0,0.5158868124648199,0.48411318753517996,0.0
Gwh,2021-01-07,2021,1,01-07,Thursday,33.736,0.0,0.0,0.0,30.972472000000003,0.002,0.0,0.0,33.736,30.974472000000002,64.710472,0.5213375665070099,0.0,0.0,0.0,0.47863152659433555,3.090689865467215e-05,0.0,0.0,0.5213375665070099,0.4786624334929902,0.0
Gwh,2021-01-08,2021,1,01-08,Friday,33.923,0.0,0.0,0.0,32.245674,0.247,0.0,0.0,33.923,32.492674,66.415674,0.5107679852801013,0.0,0.0,0.0,0.48551301308784434,0.003719001632054506,0.0,0.0,0.5107679852801013,0.48923201471989886,0.0
Gwh,2021-01-09,2021,1,01-09,Saturday,34.427,0.0,0.0,0.0,30.818375,0.256,0.0,0.0,34.427,31.074375,65.501375,0.5255920200148471,0.0,0.0,0.0,0.4704996650833666,0.003908314901786413,0.0,0.0,0.5255920200148471,0.474407979985153,0.0
Gwh,2021-01-10,2021,1,01-10,Sunday,34.655,0.0,0.0,0.0,28.382077000000002,0.23,0.0,0.0,34.655,28.612077000000003,63.26707700000001,0.5477572482130002,0.0,0.0,0.0,0.4486073696750681,0.0036353821119316132,0.0,0.0,0.5477572482130002,0.45224275178699974,0.0
Gwh,2021-01-11,2021,1,01-11,Monday,35.092,0.0,0.0,0.0,28.903778,0.081,0.0,0.0,35.092,28.984778,64.076778,0.5476555016545931,0.0,0.0,0.0,0.4510803898410747,0.0012641085043320999,0.0,0.0,0.5476555016545931,0.45234449834540674,0.0
Gwh,2021-01-12,2021,1,01-12,Tuesday,34.7395,0.0,0.0,0.0,28.328979999999998,0.169,0.0,0.0,34.7395,28.49798,63.23748,0.5493498475903847,0.0,0.0,0.0,0.4479776866503852,0.0026724657592301277,0.0,0.0,0.5493498475903847,0.4506501524096153,0.0
Gwh,2021-01-13,2021,1,01-13,Wednesday,34.836,0.0,0.0,0.0,30.178682000000002,0.384,0.0,0.0,34.836,30.562682000000002,65.398682,0.5326712853326311,0.0,0.0,0.0,0.46145703670297217,0.005871677964396898,0.0,0.0,0.5326712853326311,0.4673287146673691,0.0
Gwh,2021-01-14,2021,1,01-14,Thursday,34.895,0.0,0.0,0.0,31.187883000000003,0.369,0.0,0.0,34.895,31.556883000000003,66.451883,0.5251167976684725,0.0,0.0,0.0,0.4693303122802405,0.005552890051287185,0.0,0.0,0.5251167976684725,0.4748832023315277,0.0
Gwh,2021-01-15,2021,1,01-15,Friday,34.95,0.0,0.0,0.0,29.815583999999998,0.864,0.0,0.0,34.95,30.679584,65.62958400000001,0.5325342302946793,0.0,0.0,0.0,0.45430097499932337,0.013164794705997221,0.0,0.0,0.5325342302946793,0.4674657697053206,0.0
Gwh,2021-01-16,2021,1,01-16,Saturday,34.532,0.0,0.0,0.0,25.625786,1.003,0.0,0.0,34.532,26.628786,61.160786,0.5646101408834084,0.0,0.0,0.0,0.4189904622873879,0.016399396829203598,0.0,0.0,0.5646101408834084,0.4353898591165915,0.0
Gwh,2021-01-17,2021,1,01-17,Sunday,34.843,0.0,0.0,0.0,24.125987000000002,0.182,0.0,0.0,34.843,24.307987,59.150987,0.5890518783735595,0.0,0.0,0.0,0.40787124989140083,0.0030768717350396872,0.0,0.0,0.5890518783735595,0.4109481216264405,0.0
Gwh,2021-01-18,2021,1,01-18,Monday,35.28,0.0,0.0,0.0,27.304188999999997,0.881,0.0,0.0,35.28,28.185188999999998,63.465188999999995,0.555895295608432,0.0,0.0,0.0,0.43022307867073395,0.013881625720834142,0.0,0.0,0.555895295608432,0.44410470439156813,0.0
Gwh,2021-01-19,2021,1,01-19,Tuesday,35.83,0.0,0.0,0.0,28.997391,0.196,0.0,0.0,35.83,29.193391,65.023391,0.5510324738369919,0.0,0.0,0.0,0.4459532262782173,0.00301429988479069,0.0,0.0,0.5510324738369919,0.44896752616300795,0.0
Gwh,2021-01-20,2021,1,01-20,Wednesday,35.714,0.0,0.0,0.0,28.232092,0.489,0.0,0.0,35.714,28.721092000000002,64.435092,0.5542631955891364,0.0,0.0,0.0,0.4381477720245981,0.007589032386265546,0.0,0.0,0.5542631955891364,0.4457368044108636,0.0
Gwh,2021-01-21,2021,1,01-21,Thursday,35.07,0.0,0.0,0.0,28.092794,1.039,0.0,0.0,35.07,29.131794000000003,64.201794,0.5462464179739276,0.0,0.0,0.0,0.437570233629297,0.016183348396775328,0.0,0.0,0.5462464179739276,0.45375358202607236,0.0
Gwh,2021-01-22,2021,1,01-22,Friday,35.042,0.0,0.0,0.0,26.253995,1.1775,0.0,0.0,35.042,27.431494999999998,62.47349499999999,0.5609098706579487,0.0,0.0,0.0,0.42024213628515583,0.018847993056895572,0.0,0.0,0.5609098706579487,0.4390901293420514,0.0
Gwh,2021-01-23,2021,1,01-23,Saturday,32.96,0.0,0.0,0.0,27.731697,1.052,0.0,0.0,32.96,28.783697,61.743697,0.533819670694484,0.0,0.0,0.0,0.44914215292291293,0.01703817638260307,0.0,0.0,0.533819670694484,0.466180329305516,0.0
Gwh,2021-01-24,2021,1,01-24,Sunday,33.282,0.0,0.0,0.0,31.041399000000002,0.9775,0.0,0.0,33.282,32.018899000000005,65.300899,0.5096713905883592,0.0,0.0,0.0,0.47535944336692826,0.014969166044712493,0.0,0.0,0.5096713905883592,0.4903286094116408,0.0
Gwh,2021-01-25,2021,1,01-25,Monday,34.083,0.0,0.0,0.0,34.147599,0.415,0.0,0.0,34.083,34.562599,68.645599,0.49650670249086176,0.0,0.0,0.0,0.4974477533512381,0.006045544157900057,0.0,0.0,0.49650670249086176,0.5034932975091382,0.0
Gwh,2021-01-26,2021,1,01-26,Tuesday,35.09,0.0,0.0,0.0,33.566301,1.005,0.0,0.0,35.09,34.571301,69.66130100000001,0.503723006838474,0.0,0.0,0.0,0.4818500446898056,0.014426948471720328,0.0,0.0,0.503723006838474,0.49627699316152585,0.0
