"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7557","n/e","5842","1265","n/e","n/e","n/e","n/e","4045"
"Sweden (SE)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7929","n/e","5839","1273","n/e","n/e","n/e","n/e","4021"
"Sweden (SE)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8003","n/e","5839","1277","n/e","n/e","n/e","n/e","3948"
"Sweden (SE)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7592","n/e","5840","1277","n/e","n/e","n/e","n/e","3763"
"Sweden (SE)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8456","n/e","5839","1301","n/e","n/e","n/e","n/e","3597"
"Sweden (SE)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8655","n/e","5839","1334","n/e","n/e","n/e","n/e","3355"
"Sweden (SE)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9316","n/e","5840","1423","n/e","n/e","n/e","n/e","3135"
"Sweden (SE)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10376","n/e","5840","1469","n/e","n/e","n/e","n/e","2937"
"Sweden (SE)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10709","n/e","5840","1480","n/e","n/e","n/e","n/e","2713"
"Sweden (SE)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11096","n/e","5840","1535","n/e","n/e","n/e","n/e","2441"
