date,mw,region
2001-06-14 0:00,15492,ОЭС СИБИРИ
2001-06-14 1:00,15508,ОЭС СИБИРИ
2001-06-14 2:00,15973,ОЭС СИБИРИ
2001-06-14 3:00,16293,ОЭС СИБИРИ
2001-06-14 4:00,17165,ОЭС СИБИРИ
2001-06-14 5:00,17499,ОЭС СИБИРИ
2001-06-14 6:00,17826,ОЭС СИБИРИ
2001-06-14 7:00,17932,ОЭС СИБИРИ
2001-06-14 8:00,17559,ОЭС СИБИРИ
2001-06-14 9:00,17537,ОЭС СИБИРИ
2001-06-14 10:00,17783,ОЭС СИБИРИ
2001-06-14 11:00,17762,ОЭС СИБИРИ
2001-06-14 12:00,17656,ОЭС СИБИРИ
2001-06-14 13:00,17417,ОЭС СИБИРИ
2001-06-14 14:00,17339,ОЭС СИБИРИ
2001-06-14 15:00,17183,ОЭС СИБИРИ
2001-06-14 16:00,17019,ОЭС СИБИРИ
2001-06-14 17:00,17328,ОЭС СИБИРИ
2001-06-14 18:00,17332,ОЭС СИБИРИ
2001-06-14 19:00,17092,ОЭС СИБИРИ
2001-06-14 20:00,16754,ОЭС СИБИРИ
2001-06-14 21:00,16170,ОЭС СИБИРИ
2001-06-14 22:00,15831,ОЭС СИБИРИ
2001-06-14 23:00,15328,ОЭС СИБИРИ
