date,mw,region
2017-01-25 0:00,25662,ОЭС СИБИРИ
2017-01-25 1:00,25623,ОЭС СИБИРИ
2017-01-25 2:00,26263,ОЭС СИБИРИ
2017-01-25 3:00,26655,ОЭС СИБИРИ
2017-01-25 4:00,27053,ОЭС СИБИРИ
2017-01-25 5:00,27614,ОЭС СИБИРИ
2017-01-25 6:00,27701,ОЭС СИБИРИ
2017-01-25 7:00,28380,ОЭС СИБИРИ
2017-01-25 8:00,28433,ОЭС СИБИРИ
2017-01-25 9:00,28198,ОЭС СИБИРИ
2017-01-25 10:00,28134,ОЭС СИБИРИ
2017-01-25 11:00,28119,ОЭС СИБИРИ
2017-01-25 12:00,28294,ОЭС СИБИРИ
2017-01-25 13:00,28500,ОЭС СИБИРИ
2017-01-25 14:00,28492,ОЭС СИБИРИ
2017-01-25 15:00,28487,ОЭС СИБИРИ
2017-01-25 16:00,28920,ОЭС СИБИРИ
2017-01-25 17:00,28189,ОЭС СИБИРИ
2017-01-25 18:00,27908,ОЭС СИБИРИ
2017-01-25 19:00,27494,ОЭС СИБИРИ
2017-01-25 20:00,26678,ОЭС СИБИРИ
2017-01-25 21:00,26107,ОЭС СИБИРИ
2017-01-25 22:00,25803,ОЭС СИБИРИ
2017-01-25 23:00,25738,ОЭС СИБИРИ
