unit,year,month,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2020,1,729.803,500.302,0.744,2081.885,1154.047,890.038,0.0,509.568,1230.849,4635.538,5866.387,0.12440416903964911,0.08528281547057841,0.00012682422758675827,0.354883678829917,0.1967219346422253,0.15171825520546123,0.0,0.0868623225845823,0.20981380873781427,0.7901861912621857
Gwh,2020,2,756.477,417.797,0.696,1946.705,1291.782,741.254,0.0,448.055,1174.97,4427.796,5602.766,0.13501848908199987,0.07456977500041945,0.00012422435632685714,0.3474542752633253,0.23056147624227033,0.13230143825389104,0.0,0.0799703218017672,0.20971248843874618,0.790287511561254
Gwh,2020,3,669.207,417.915,0.744,2053.582339,1445.589,800.4235,0.0,678.09,1087.866,4977.684839,6065.5508389999995,0.11032913873166533,0.06889976048224827,0.00012265992318723356,0.3385648547854831,0.23832773615633032,0.13196221105814065,0.0,0.11179363886294517,0.17935155913710082,0.8206484408628991
Gwh,2020,4,573.774,289.679,0.72,1939.0046610000002,1218.964,588.578,0.0,592.373,864.173,4338.919661,5203.092661000001,0.11027556827898667,0.055674388075250145,0.0001383792384473162,0.37266387268746737,0.23427681946485324,0.11312079917617288,0.0,0.11385017307882228,0.16608833559268413,0.8339116644073158
Gwh,2020,5,323.193,295.24,0.744,1934.43141,1433.433,345.743,0.0,598.869,619.177,4312.47641,4931.65341,0.06553441069979814,0.05986633192862594,0.00015086218315572993,0.3922480452656141,0.2906597201444454,0.07010691369732733,0.0,0.12143371608103337,0.12555160481157981,0.8744483951884202
Gwh,2020,6,253.439,236.219,0.72,1908.7875900000001,1042.1,342.221,0.0,549.1595,490.378,3842.26809,4332.64609,0.05849520010068489,0.054520723616269334,0.0001661802014389779,0.4405593141811405,0.2405227609993873,0.07898660377312286,0.0,0.1267492171279561,0.1131821039183932,0.8868178960816068
Gwh,2020,7,102.697,172.318,0.744,2023.698,1049.228,362.128,0.0,589.063,275.759,4024.117,4299.876,0.023883711995415682,0.04007510914268225,0.0001730282454656832,0.4706410138338873,0.24401354829767186,0.0842182425725765,0.0,0.13699534591230073,0.06413184938356362,0.9358681506164364
Gwh,2020,8,208.055,248.884,0.744,1908.142051,972.785,344.491,0.0,557.298,457.683,3782.716051,4240.399051,0.049064957683861155,0.05869353261488596,0.00017545518500777533,0.4499911513162915,0.22940883353197408,0.0812402313689698,0.0,0.13142583829900964,0.10793394548375489,0.892066054516245
Gwh,2020,9,321.393,357.023,0.72,1820.551679,889.246,638.67,0.0,509.685,679.136,3858.152679,4537.288678999999,0.0708337120993663,0.07868641941439937,0.00015868507625101897,0.40124219722366056,0.19598620738321335,0.14076027451283094,0.0,0.1123325042902786,0.14967881659001667,0.8503211834099834
Gwh,2020,10,538.264,427.269,0.744,1913.20477,1147.269,596.429,0.0,584.665,966.277,4241.56777,5207.84477,0.10335638325871223,0.08204334400696817,0.00014286140099371665,0.3673697766533084,0.22029631271056493,0.11452511093182986,0.0,0.11226621103762277,0.1855425886666741,0.8144574113333258
Gwh,2020,11,557.085,315.466,0.72,1997.181,1431.068,839.011,0.0,618.569,873.271,4885.829,5759.1,0.09673126009272282,0.05477696167803997,0.0001250195343022347,0.34678699796843254,0.24848813182615337,0.14568439513118367,0.0,0.1074072337691653,0.151633241305065,0.8483667586949348
Gwh,2020,12,748.125,474.794,0.744,2031.878,1333.95,667.733,0.0,711.266,1223.663,4744.827,5968.49,0.1253457742243013,0.07955010396264382,0.00012465464464211215,0.3404341801695236,0.2234987408875612,0.111876370740338,0.0,0.11917017537098998,0.20502053283158722,0.7949794671684128
