GWh,POLAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,12508.865,10944.779999999999,179.226,713.879,654.907,16.073,0,189.661,1209.769,2.101,0,0,5.333,2056.438,11859.291000000001,13915.729000000001,1671,1773,13813.729000000001,54.467,891.436,12867.826000000001,2016,1
,2016-02-01,10769.143,9308.09,140.13,663.673,641.177,16.073,0,294.58,1458.393,3.811,0,0,5.333,2397.9610000000002,10133.299,12531.260000000002,1388,1128,12791.260000000002,84.598,796.071,11910.591000000002,2016,2
,2016-03-01,11618.328,10091.786,153.606,718.695,638.168,16.073,0,299.625,825.715,10.308,0,0,5.333,1773.816,10985.493,12759.309000000001,1532,1045,13246.309000000001,86.047,817.349,12342.913,2016,3
,2016-04-01,10736.869,9338.123,141.211,663.631,577.831,16.073,0,242.121,922.739,14.779,0,0,5.333,1757.47,10164.371,11921.840999999999,1433,1071,12283.840999999999,69.533,763.79,11450.517999999998,2016,4
,2016-05-01,10576.512,9220.646,154.999,561.701,623.093,16.073,0,212.865,764.065,18.605,0,0,5.333,1618.6280000000002,9958.752000000002,11577.380000000003,1457,1016,12018.380000000003,61.131,745.462,11211.787000000002,2016,5
,2016-06-01,10869.996,9624.643999999998,193.82,402.626,632.833,16.073,0,147.291,640.763,18.905,0,0,5.333,1439.7920000000001,10242.496,11682.287999999999,1163,683,12162.287999999999,42.299,734.647,11385.341999999999,2016,6
,2016-07-01,11143.309,9979.955999999998,223.611,288.395,635.274,16.073,0,170.493,744.862,18.455,0,0,5.333,1569.0839999999998,10513.368,12082.452000000001,906,690,12298.452000000001,48.963,742.835,11506.654,2016,7
,2016-08-01,11055.567,9942.628999999999,211.047,357.789,528.029,16.073,0,151.325,736.777,15.904,0,0,5.333,1432.035,10532.871000000001,11964.906,933,577,12320.906,43.458,737.657,11539.791000000001,2016,8
,2016-09-01,11230.043,10010.953,193.547,472.106,537.364,16.073,0,127.114,658.955,10.713,0,0,5.333,1334.146,10698.012,12032.158000000001,1052,693,12391.158000000001,36.505,748.309,11606.344000000001,2016,9
,2016-10-01,11947.113,10452.131,163.915,720.624,594.37,16.073,0,233.042,1227.961,6.272,0,0,5.333,2061.645,11358.076000000001,13419.721000000001,901,1043,13277.721000000001,66.925,819.031,12391.765000000001,2016,10
,2016-11-01,12182.1,10736.443,173.073,716.488,540.023,16.073,0,226.988,1408.871,2.446,0,0,5.333,2178.328,11647.41,13825.738,559,1032,13352.738,65.187,822.692,12464.858999999999,2016,11
,2016-12-01,12307.159,10722.948999999999,156.316,811.5,600.321,16.073,0,295.589,1679.729,1.575,0,0,5.333,2577.214,11712.171,14289.385,1022,1267,14044.385,84.888,875.689,13083.808,2016,12
,2017-01-01,13518.286,12036.847,160.795,763.415,533.752,23.477,0,208.874,1159.436,3.506,0,0,5.144,1905.568,12989.678000000002,14895.246000000001,1196.776,1638.989,14453.033000000001,56.33,1447.854,12948.849000000002,2017,1
,2017-02-01,11724.95,10384.055,143.451,678.038,495.929,23.477,0,212.01,1269.83,5.655,0,0,5.144,1983.4239999999998,11234.165,13217.589,1001.482,1307.463,12911.608,58.525,579.891,12273.192000000001,2017,2
,2017-03-01,11572.476,10092.013,138.731,781.556,536.699,23.477,0,335.724,1204.496,11.665,0,0,5.144,2088.584,11040.921000000002,13129.505000000001,1258.962,929.183,13459.284,61.206,964.838,12433.24,2017,3
,2017-04-01,10580.594,9074.006,154.439,821.325,507.347,23.477,0,303.949,1329.436,15.15,0,0,5.144,2155.882,10078.391000000001,12234.273000000001,1133.892,861.925,12506.240000000002,53.833,768.396,11684.011000000002,2017,4
,2017-05-01,11000.456,9707.585,157.377,620.003,492.014,23.477,0,286.465,915.309,22.6,0,0,5.144,1716.388,10513.586000000001,12229.974000000002,1287.025,914.723,12602.276000000002,46.139,578.919,11977.218,2017,5
,2017-06-01,10595.179,9312.282,162.746,611.216,485.458,23.477,0,161.617,1107.308,27.594,0,0,5.144,1781.977,10114.865,11896.842,1100.581,813.154,12184.269,37.342,396.413,11750.514000000001,2017,6
,2017-07-01,11355.587,10099.706,187.429,636.598,408.377,23.477,0,153.396,751.081,22.634,0,0,5.144,1335.488,10952.354000000001,12287.842,1210.979,936.876,12561.945,37.434,662.531,11861.98,2017,7
,2017-08-01,11366.419,10027.23,199.435,594.25,522.027,23.477,0,145.32,808.426,22.48,0,0,5.144,1498.2530000000002,10849.536,12347.789,1012.443,640.344,12719.887999999999,42.952,732.026,11944.91,2017,8
,2017-09-01,10979.52,9676.702000000001,124.739,700.776,453.826,23.477,0,222.948,1111.839,15.009,0,0,5.144,1803.6219999999998,10530.838000000002,12334.460000000001,840.836,534.193,12641.103000000001,56.47,711.194,11873.439,2017,9
,2017-10-01,11189.735,9643.039,135.821,916.634,470.764,23.477,0,277.36,1749.773,9.595,0,0,5.144,2507.4919999999997,10724.115000000002,13231.607000000002,1005.097,637.931,13598.773000000001,94.498,1011.02,12493.255000000001,2017,10
,2017-11-01,11766.65,10105.854,121.817,952.971,562.531,23.477,0,320.615,1313.358,4.807,0,0,5.144,2201.3109999999997,11209.262999999999,13410.573999999999,1052.162,857.492,13605.243999999999,82.424,880.512,12642.307999999999,2017,11
,2017-12-01,11418.242,9937.630000000001,131.761,954.756,370.618,23.477,0,371.578,1853.901,4.768,0,0,5.144,2600.865,11052.768000000002,13653.633000000002,1170.765,911.726,13912.672,107.728,1262.406,12542.538,2017,12
,2018-01-01,11825.458,10149.545,190.437,1009.511,444.989,30.976,0,350.148,1709.626,4.194,0,0,10.163,2508.957,11390.632000000001,13899.589000000002,1336.84,736.227,14500.202000000001,93.084,1005.931,13401.187000000002,2018,1
,2018-02-01,12155.887,10441.453000000001,172.711,1019.433,491.973,30.317,0,246.939,593.892,7.752,0,0,10.163,1340.556,11674.077000000001,13014.633000000002,1068.993,644.131,13439.495000000003,43.212,599.913,12796.370000000003,2018,2
,2018-03-01,12536.171,10789.743,170.223,1149.415,392.179,34.611,0,254.643,1106.7,17.011,0,0,10.163,1770.533,12154.155000000002,13924.688000000002,1139.878,612.084,14452.482000000002,51.539,942.578,13458.365000000002,2018,3
,2018-04-01,10169.17,8695.829,142.009,860.959,448.874,21.499,0,281.864,1273.828,33.653,0,0,10.163,2038.219,9730.459,11768.678,1131.117,406.889,12492.906,54.137,539.456,11899.313,2018,4
,2018-05-01,10738.862,9244.829999999998,102.217,867.791,490.653,33.371,0,200.705,796.922,42.856,0,0,10.163,1531.1360000000002,10258.371999999998,11789.507999999998,1318.793,454.774,12653.526999999998,64.654,699.236,11889.636999999999,2018,5
,2018-06-01,11073.77,9616.181,91.305,827.904,503.742,34.638,0,135.54,747.101,38.181,0,0,10.163,1424.564,10580.191000000003,12004.755000000003,1156.894,460.105,12701.544000000004,39.398,647.021,12015.125000000004,2018,6
,2018-07-01,12051.082,10435.912,88.933,973.576,514.985,37.676,0,183.635,673.891,39.482,0,0,10.163,1411.993,11546.260000000002,12958.253000000002,911.345,773.788,13095.810000000001,32.365,899.45,12163.995,2018,7
,2018-08-01,11987.747,10313.266,89.056,1061.364,488.843,35.218,0,141.828,681.504,41.468,0,0,10.163,1353.6430000000003,11509.067000000001,12862.710000000001,1302.462,1030.335,13134.837,45.145,533.693,12555.999,2018,8
,2018-09-01,11212.224,9887.233,126.561,727.54,437.135,33.755,0,111.069,984.183,35.547,0,0,10.163,1567.934,10785.251999999999,12353.185999999998,1081.084,613.118,12821.151999999998,37.537,715.204,12068.410999999998,2018,9
,2018-10-01,11643.93,10040.379,116.467,888.72,562.488,35.876,0,132.165,1439.144,23.975,0,0,10.163,2157.772,11091.605000000001,13249.377,1241.943,749.38,13741.94,58.704,812.148,12871.088,2018,10
,2018-11-01,12162.961,10451.49,150.365,949.649,576.04,35.417,0,130.769,1009.058,11.763,0,0,10.163,1727.6299999999999,11597.083999999999,13324.713999999998,1056.772,647.091,13734.394999999997,50.132,762.98,12921.282999999998,2018,11
,2018-12-01,12449.155,10520.605,191.776,1118.592,584.521,33.661,0,189.826,1455.832,4.605,0,0,10.163,2234.784,11874.797,14109.581,1069.682,993.379,14185.884,91.35,736.39,13358.144,2018,12
,2019-01-01,13021.814,11007.28,253.747,1125.416,588.892,46.479,0,254.516,1547.692,6.363,0,0,19.051,2397.4629999999997,12451.972999999998,14849.435999999998,1213.481,1030.032,15032.884999999998,74.985,662.296,14295.603999999998,2019,1
,2019-02-01,10777.022,9016.459,206.406,999.971,520.759,33.427,0,256.036,1520.288,23.201,0,0,19.051,2320.284,10275.314,12595.598,1229.749,619.544,13205.803,74.009,449.304,12682.49,2019,2
,2019-03-01,10899.842,8970.647,143.674,1150.287,592.511,42.723,0,339.425,1782.206,40.105,0,0,19.051,2754.247,10326.382000000001,13080.629,1498.273,541.118,14037.784,111.104,819.039,13107.641,2019,3
,2019-04-01,10439.096,8469.712,113.007,1254.515,557.852,44.01,0,249.846,1235.698,71.981,0,0,19.051,2115.3770000000004,9900.294999999998,12015.671999999999,1389.153,498.335,12906.49,97.339,628.906,12180.244999999999,2019,4
,2019-05-01,10828.888,9102.476,105.327,1070.412,510.02,40.653,0,315.77,1006.703,66.631,0,0,19.051,1899.124,10337.919,12237.043,1531.471,615.739,13152.775,80.25,664.841,12407.684,2019,5
,2019-06-01,10743.657,9151.179,90.211,914.843,544.563,42.861,0,245.857,746.809,122.368,0,0,19.051,1659.5969999999998,10218.145,11877.742,1488.156,454.019,12911.879,77.756,704.957,12129.166000000001,2019,6
,2019-07-01,10968.17,9131.357,93.635,1085.893,606.822,50.463,0,134.302,897.203,92.789,0,0,19.051,1731.116,10380.399,12111.515,1659.894,658.094,13113.314999999999,64.743,801.145,12247.427,2019,7
,2019-08-01,11295.661,9378.021,84.92,1191.439,593.871,47.41,0,139.087,590.478,99.172,0,0,19.051,1422.608,10720.841,12143.449,1373.654,506.419,13010.684000000001,64.009,687.329,12259.346000000001,2019,8
,2019-09-01,10445.995,8889.546,81.061,866.67,566.178,42.54,0,140.21,1180.767,76.112,0,0,19.051,1963.2670000000003,9898.868,11862.135,1606.212,633.933,12834.414,72.335,718.17,12043.909000000001,2019,9
