GWh,LUXEMBOURG,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,46.643,0,0,29.830000000000002,11.311,5.502,0,137.851,13.058,1.61,0,0,0,163.83,35.332,199.162,665.889,122.176,742.875,166.757,13.925,562.193,2016,1
,2016-02-01,44.091,0,0,28.398,10.756,4.937,0,138.836,15.443,3.981,0,0,0,169.01600000000002,33.335,202.35100000000003,648.144,122.784,727.711,170.574,13.456,543.681,2016,2
,2016-03-01,44.251,0,0,27.366,11.482,5.403,0,138.592,10.055,7.305,0,0,0,167.43400000000003,32.769,200.20300000000003,676.806,126.024,750.985,173.165,13.976,563.844,2016,3
,2016-04-01,39.546,0,0,21.59,11.782,6.174,0,139.936,8.11,11.057,0,0,0,170.88500000000002,27.764,198.64900000000003,650.856,127.763,721.742,176.974,13.171,531.597,2016,4
,2016-05-01,34.084,0,0,16.690000000000005,11.664,5.73,0,159.516,6.816,14.024,0,0,0,192.01999999999998,22.420000000000005,214.44,677.416,149.457,742.399,204.435,13.009,524.9549999999999,2016,5
,2016-06-01,30.991,0,0,13.625999999999998,11.404,5.961,0,110.489,4.328,12.602,0,0,0,138.823,19.586999999999996,158.41,610.72,98.376,670.754,137.228,12.902,520.624,2016,6
,2016-07-01,29.529,0,0,11.747,11.596,6.186,0,99.824,4.178,14.616,0,0,0,130.214,17.933,148.147,615.427,92.702,670.8720000000001,132.471,13.025,525.3760000000001,2016,7
,2016-08-01,27.911,0,0,11.183,10.541,6.187,0,106.635,4.396,13.666,0,0,0,135.238,17.37,152.608,558.661,102.83,608.439,136.874,11.407,460.15799999999996,2016,8
,2016-09-01,25.394,0,0,12.584,9.44,3.37,0,110.684,4.075,10.82,0,0,0,135.019,15.954,150.973,631.591,108.906,673.6580000000001,148.417,12.729,512.5120000000002,2016,9
,2016-10-01,35.216,0,0,21.102,10.077,4.037,0,115.766,5.848,5.634,0,0,0,137.325,25.139,162.464,659.787,113.436,708.8149999999999,155.095,13.421,540.299,2016,10
