GWh,NORTHMACEDONIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2016-01-01,456.741,367.176,12.769,72.223,4.573,0,0,143.053,11.943,1.151,0,0,0,160.72000000000003,452.168,612.888,2016,1
,2016-02-01,325.191,261.423,9.092,51.421,3.256,0,0,102.038,5.972,1.45,0,0,0,112.716,321.936,434.652,2016,2
,2016-03-01,257.838,207.277,7.209,40.771,2.581,0,0,199.074,7.962,1.897,0,0,0,211.51399999999998,255.257,466.77099999999996,2016,3
,2016-04-01,244.156,196.278,6.826,38.607,2.444,0,0,118.044,5.972,1.914,0,0,0,128.374,241.71099999999998,370.085,2016,4
,2016-05-01,171.541,137.903,4.796,27.125,1.717,0,0,198.074,8.958,2.362,0,0,0,211.11100000000002,169.82399999999998,380.935,2016,5
,2016-06-01,144.179,115.906,4.031,22.798,1.444,0,0,201.075,5.972,2.823,0,0,0,211.314,142.735,354.049,2016,6
,2016-07-01,255.733,205.585,7.15,40.438,2.56,0,0,85.032,10.948,3.124,0,0,0,101.66399999999999,253.173,354.837,2016,7
,2016-08-01,216.794,174.282,6.061,34.281,2.171,0,0,104.039,9.953,2.895,0,0,0,119.058,214.62400000000002,333.682,2016,8
,2016-09-01,174.698,140.441,4.884,27.624,1.749,0,0,133.049,5.972,2.128,0,0,0,142.89800000000002,172.94899999999998,315.847,2016,9
,2016-10-01,252.576,203.047,7.061,39.939,2.529,0,0,190.071,8.958,1.809,0,0,0,203.367,250.047,453.414,2016,10
,2016-11-01,355.711,285.957,9.945,56.247,3.561,0,0,176.065,7.962,1.18,0,0,0,188.768,352.149,540.917,2016,11
,2016-12-01,426.221,342.641,11.916,67.397,4.267,0,0,220.082,18.911,0.965,0,0,0,244.225,421.954,666.179,2016,12
,2017-01-01,500.215,327.121,12.623,157.193,3.278,0,0,166.344,11.26,0.754,0,0,0,181.63599999999997,496.937,678.573,2017,1
