GWh,SLOVENIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,456.851,380.622,0.186,49.189,26.221,0.633,517.095,258.7,0,10.777,0,0,0,295.698,947.725,1243.423,778.093,712.925,1308.5910000000001,20.438,73.961,1214.192,2016,1
,2016-02-01,378.157,306.34499999999997,0.276,44.891,26.122,0.523,485.089,366.829,0.963,10.777,0,0,0,404.69100000000003,837.124,1241.815,715.086,752.921,1203.98,28.981,71.583,1103.416,2016,2
,2016-03-01,406.305,331.349,0.763,46.041,27.589,0.563,518.095,416.345,0.963,20.575,0,0,0,465.47200000000004,896.8109999999999,1362.283,704.084,815.914,1250.4529999999997,32.893,75.602,1141.9579999999996,2016,3
,2016-04-01,318.504,266.713,1.414,26.095,23.838,0.444,501.092,409.272,0,27.433,0,0,0,460.543,795.758,1256.301,738.088,859.91,1134.4789999999998,32.334,73.064,1029.081,2016,4
,2016-05-01,302.233,255.426,2.295,19.716,24.373,0.423,516.095,485.062,0,30.372,0,0,0,539.807,793.955,1333.7620000000002,721.086,902.905,1151.943,38.322,75.319,1038.302,2016,5
,2016-06-01,353.446,327.66100000000006,1.147,16.2,7.942,0.496,496.091,566.917,0.963,33.312,0,0,0,609.134,841.595,1450.729,553.066,861.91,1141.8850000000002,44.789,73.501,1023.5950000000003,2016,6
,2016-07-01,485.023,458.28000000000003,0.205,15.04,10.815,0.683,505.093,446.662,0,35.271,0,0,0,492.748,979.301,1472.049,726.087,1018.893,1179.243,35.288,80.7,1063.2549999999999,2016,7
,2016-08-01,367.503,338.03,1.862,16.8,10.295,0.516,506.093,435.546,0.963,34.291,0,0,0,481.095,863.301,1344.3960000000002,549.066,779.918,1113.5440000000003,34.41,69.463,1009.6710000000003,2016,8
,2016-09-01,447.574,416.446,0.627,17.562,12.31,0.629,486.09,273.858,0,26.453,0,0,0,312.621,921.354,1233.975,681.081,766.92,1148.136,21.636,70.289,1056.211,2016,9
,2016-10-01,558.397,497.845,0.493,32.734,26.543,0.782,0,313.27,0.963,15.676,0,0,0,356.452,531.854,888.306,904.108,563.941,1228.473,24.75,65.741,1137.982,2016,10
,2016-11-01,460.536,390.224,0.376,42.585,26.711,0.64,383.071,473.946,0,10.777,0,0,0,511.434,816.896,1328.33,646.077,747.922,1226.485,37.444,72.285,1116.7559999999999,2016,11
,2016-12-01,586.469,508.58200000000005,0.186,48.508,28.376,0.817,517.095,274.869,0.963,11.757,0,0,0,315.96500000000003,1075.188,1391.1530000000002,643.077,750.921,1283.3090000000002,21.716,74.502,1187.0910000000001,2016,12
,2017-01-01,624.949,522.771,2.331,72.214,26.705,0.928,514.159,191.255,0.923,8.431,0,0,0,227.314,1112.403,1339.717,773.32,700.826,1412.2110000000002,28.709,140.169,1243.3330000000003,2017,1
,2017-02-01,486.42,405.692,1.464,53.902,24.553,0.809,441.967,241.748,0.665,12.43,0,0,0,279.396,903.8340000000001,1183.23,653.401,623.72,1212.9109999999998,28.9,89.09,1094.9209999999998,2017,2
,2017-03-01,494.439,418.92100000000005,1.797,46.734,26.164,0.823,516.508,293.51,0.364,27.809,0,0,0,347.847,984.7830000000001,1332.63,772.776,843.535,1261.871,26.369,65.947,1169.555,2017,3
,2017-04-01,383.866,325.42699999999996,0.652,32.063,24.99,0.734,472.754,250.101,0.431,28.731,0,0,0,304.253,831.6299999999999,1135.8829999999998,844.638,835.038,1145.4829999999997,24.69,54.845,1065.9479999999996,2017,4
,2017-05-01,359.797,309.48400000000004,1.367,22.567,25.515,0.864,513.033,374.603,0.218,35.838,0,0,0,436.17400000000004,847.315,1283.489,846.831,936.42,1193.9,28.438,43.928,1121.534,2017,5
,2017-06-01,299.281,260.219,1.213,20.517,16.774,0.558,487.255,344.514,0.305,36.491,0,0,0,398.084,769.762,1167.846,851.738,809.265,1210.319,32.648,47.997,1129.674,2017,6
,2017-07-01,450.235,413.63100000000003,0.687,19.363,16.554,0,501.005,324.476,0.245,38.604,0,0,0,379.87899999999996,934.686,1314.565,692.648,814.381,1192.8320000000003,25.217,49.064,1118.5510000000004,2017,7
,2017-08-01,441.546,402.486,0.701,22.803,15.018,0.538,494.787,339.446,0.378,36.73,0,0,0,391.57200000000006,921.315,1312.8870000000002,720.847,853.074,1180.6600000000003,29.957,53.409,1097.2940000000003,2017,8
,2017-09-01,330.622,290.19800000000004,1.289,20.825,17.809,0.501,493.551,537.109,0.637,18.636,0,0,0,574.1909999999999,806.364,1380.5549999999998,639.553,831.335,1188.7729999999997,21.707,58.452,1108.6139999999996,2017,9
,2017-10-01,386.176,333.409,0.339,31.088,20.856,0.484,516.536,332.472,0.274,22.264,0,0,0,375.866,881.856,1257.722,843.172,849.641,1251.2530000000002,39.443,73.822,1137.988,2017,10
,2017-11-01,407.604,342.358,0.605,39.632,24.072,0.937,500.04,381.226,0.73,9.206,0,0,0,415.23400000000004,883.5720000000001,1298.806,738.746,740.995,1296.5570000000002,38.66,92.016,1165.8810000000003,2017,11
,2017-12-01,389.708,321.619,0.526,44.524,22.188,0.851,516.231,474.558,0.546,8.508,0,0,0,505.79999999999995,883.751,1389.551,754.862,809.963,1334.45,40.562,124.551,1169.337,2017,12
,2018-01-01,442.655,359.241,1.759,55.545,25.102,1.008,517.734,403.689,0.418,9.526,0,0,0,438.735,935.287,1374.022,783.969,834.747,1323.2440000000001,4.594,108.214,1210.4360000000001,2018,1
,2018-02-01,509.802,427.64300000000003,3.738,59.036,18.408,0.977,467.488,265.526,0.669,4.809,0,0,0,289.41200000000003,958.8820000000001,1248.294,756.63,745.531,1259.393,0,109.823,1149.57,2018,2
,2018-03-01,489.906,415.81,1.575,51.803,19.63,1.088,516.728,421.221,0.619,14.472,0,0,0,455.942,987.0039999999999,1442.946,850.416,911.192,1382.17,20.795,103.466,1257.909,2018,3
,2018-04-01,355.949,303.137,0.719,28.476,22.89,0.727,0.376,644.86,0.328,31.883,0,0,0,699.961,333.43499999999995,1033.396,852.017,709.517,1175.896,32.257,43.237,1100.402,2018,4
,2018-05-01,195.214,144.505,1.837,25.274,22.873,0.725,473.142,637.782,0.518,33.458,0,0,0,694.6310000000001,645.483,1340.114,787.713,902.583,1225.2440000000001,39.28,44.073,1141.891,2018,5
,2018-06-01,168.28,131.89,0.555,20.714,15.121,0,494.888,492.515,0.311,33.258,0,0,0,541.2049999999999,648.047,1189.252,825.167,807.011,1207.408,33.612,47.27,1126.5259999999998,2018,6
,2018-07-01,406.123,370.609,1.383,18.796,14.729,0.606,497.765,330.114,0.176,30.319,0,0,0,375.33799999999997,889.1589999999999,1264.4969999999998,758.575,807.709,1215.3629999999998,25.435,47.67,1142.2579999999998,2018,7
,2018-08-01,450.033,413.451,0.835,19.69,15.194,0.863,498.216,279.728,0.523,33.627,0,0,0,329.07200000000006,933.0550000000001,1262.1270000000002,536.481,610.961,1187.6470000000002,28.715,50.401,1108.5310000000002,2018,8
,2018-09-01,411.987,371.20000000000005,1.154,21.246,17.529,0.858,494.918,339.114,0.364,26.931,0,0,0,383.93799999999993,889.376,1273.3139999999999,582.123,657.26,1198.177,31.305,52.343,1114.529,2018,9
,2018-10-01,519.96,457.89300000000003,0.98,37.428,22.746,0.913,511.252,279.425,0.787,19.421,0,0,0,322.37899999999996,1008.4660000000001,1330.845,731.636,810.689,1251.792,33.888,71.845,1146.059,2018,10
,2018-11-01,506.962,437.46799999999996,1.677,43.959,23,0.858,499.793,481.04,0.896,8.078,0,0,0,513.014,983.755,1496.769,560.385,827.778,1229.376,2.554,81.665,1145.157,2018,11
,2018-12-01,403.99,330.61800000000005,0.427,48.599,23.692,0.654,517.606,255.762,0.411,8.619,0,0,0,288.48400000000004,897.904,1186.388,905.126,807.426,1284.0880000000002,0,119.686,1164.4020000000003,2018,12
,2019-01-01,498.687,405.978,2.964,65.081,23.718,0.946,514.602,197.047,0.752,9.547,0,0,0,231.064,989.571,1220.635,905.543,737.607,1388.571,0,120.744,1267.827,2019,1
,2019-02-01,428.925,357.052,1.221,47.076,22.746,0.83,467.434,317.886,0.524,18.237,0,0,0,359.39300000000003,873.613,1233.006,701.43,730.698,1203.7380000000003,0,83.977,1119.7610000000002,2019,2
,2019-03-01,374.058,300.967,0.355,49.604,22.267,0.865,516.859,265.995,0.685,28.892,0,0,0,317.839,868.6500000000001,1186.489,896.809,807.121,1276.1769999999997,0,71.038,1205.1389999999997,2019,3
,2019-04-01,305.335,251.726,0.671,30.571,21.68,0.687,500.027,398.837,0.464,27.899,0,0,0,448.88,783.682,1232.562,846.982,874.117,1205.427,15.381,64.101,1125.945,2019,4
,2019-05-01,336.385,287.402,0.985,26.99,20.265,0.743,515.904,543.043,0.421,24.787,0,0,0,588.5160000000001,832.024,1420.54,721.336,903.965,1237.911,29.735,59.204,1148.972,2019,5
