GWh,SWEDEN,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-08-01,829.624,0,10.183,1.927,706.804,110.71,4930.118,3847.727,1193.754,77.928,0,0,0,5826.213,5052.938,10879.151,1247.405,2619.771,9506.785,1.895,631.933,8872.957,2019,8
,2019-09-01,863.741,0.2400000000000091,24.363,1.705,746.382,91.051,4350.799,4488.297,1652.297,61.166,0,0,0,6948.141999999999,4468.158,11416.3,959.803,2419.634,9956.469,2.211,689.756,9264.501999999999,2019,9
,2019-10-01,1142.51,7.326000000000022,9.568,3.536,988.269,133.811,5457.322,5690.442,1633.225,38.008,0,0,0,8349.944,5611.563,13961.507,711.743,2870.248,11803.002,2.803,923.464,10876.735,2019,10
,2019-11-01,1417.576,6.689999999999827,13.743,8.407,1253.507,135.229,5584.947,6367.03,1480.319,16.247,0,0,0,9117.103,5749.016,14866.118999999999,848.974,2905.308,12809.785,3.136,1067.234,11739.415,2019,11
,2019-12-01,1512.259,1.2769999999998163,9.243,12.698,1339.409,149.632,5754.979,6154.663,2471.42,11.836,0,0,0,9977.328,5927.829,15905.157,701.517,3180.724,13425.949999999999,3.031,1161.174,12261.744999999999,2019,12
,2020-01-01,1508.944827,216.83418700000016,21.765458,12.400395,1088.896667,169.04812,5799.75794,5941.589922,3505.782967,19.050455,0,0,0,10555.320011,6219.806100000001,16775.126111,355.018071,3588.134134,13542.010048,2.483288,1125.456046,12414.070714,2020,1
,2020-02-01,1294.29025,189.69436099999984,15.113784,12.630659,937.12288,139.728566,4716.234496,6453.310647,3044.205741,41.574816,0,0,0,10476.214084000001,5073.401866,15549.615950000001,730.520262,3201.105041,13079.031171000002,8.02671,1047.594185,12023.410276000002,2020,2
,2020-03-01,1261.424662,180.074795,20.779777,2.712859,915.746439,142.110792,5216.821419,7010.42436,2968.488259,108.027285,0,0,0,11002.686343,5562.499642,16565.185985,607.189542,3712.331485,13460.044042,7.816533,1127.345192,12324.882317,2020,3
,2020-04-01,980.402224,127.6351360000001,30.126988,0.350234,695.957139,126.332727,3979.749961,6229.194723,2497.302054,129.991338,0,0,0,9552.445254,4264.195046,13816.6403,639.694732,3257.4342,11198.900832,10.841256,832.42535,10355.634226,2020,4
,2020-05-01,947.162355,123.42028600000015,27.186707,3.010847,666.262884,127.281631,3420.930202,6089.500562,1664.671154,146.800563,0,0,0,8567.235163000001,3701.829673,12269.064836000001,913.951332,2359.462664,10823.553504000001,9.090161,744.274912,10070.188431000002,2020,5
,2020-06-01,839.677421,91.26408800000002,45.94483,0.200272,574.789484,127.478747,2910.266435,5350.632572,1149.017851,143.438718,0,0,0,7217.878625,3175.154372,10393.032997,1190.340945,2471.759981,9111.613961,9.953715,605.78601,8495.874236,2020,6
,2020-07-01,811.822935,102.31908300000009,21.862685,15.41995,543.157668,129.063549,3681.199315,4700.753393,1766.371093,133.353183,0,0,0,7143.635337,3949.864582,11093.499919,1282.11948,3602.501174,8773.118224999998,3.268026,587.340199,8182.509999999998,2020,7
,2020-08-01,747.798403,96.42797800000005,26.046803,16.063335,537.736151,71.524136,2580.820719,5875.987321,1200.834107,118.785188,0,0,0,7733.342766999999,2790.882971,10524.225738,1518.561859,2609.48437,9433.303226999999,3.84944,711.49097,8717.962816999998,2020,8
,2020-09-01,895.459621,117.98821700000008,23.937981,9.806539,629.475518,114.251366,3170.38049,4649.148457,2363.25624,93.235167,0,0,0,7735.115382000001,3436.3645930000002,11171.479975000002,1339.066812,2693.813608,9816.733179000003,8.528165,702.926844,9105.278170000003,2020,9
,2020-10-01,1044.818329,123.45192099999997,44.154511,7.780602,718.558553,150.872742,3938.16788,5712.292868,2222.268335,57.935795,0,0,0,8711.055551,4264.427656,12975.483207,1512.348823,3221.159097,11266.672933,3.876854,887.607776,10375.188302999999,2020,10
,2020-11-01,1129.634815,156.04473499999995,22.063845,8.692951,802.160994,140.67229,3614.641604,6200.938932,3112.679823,24.765591,0,0,0,10140.545339999999,3942.115425,14082.660764999999,290.316694,2898.460186,11474.517272999998,0.029699,888.189052,10586.298521999997,2020,11
,2020-12-01,1406.554395,195.40213799999992,26.214436,15.149051,996.639099,173.149671,4558.538142,7126.645157,2031.122375,18.041901,0,0,0,10172.448532,4968.4534380000005,15140.90197,1447.871447,3208.354061,13380.419356,5.236152,1173.343464,12201.83974,2020,12
,2021-01-01,1850.049636,168.05821100000003,148.489239,92.134637,1245.059563,196.307986,5015.545336,7897.636754,1622.691357,12.497835,0,0,0,10777.885509,5620.535409,16398.420918,1374.098017,2558.327225,15214.19171,2.35307,1067.60944,14144.2292,2021,1
,2021-02-01,1566.287212,189.263285,64.840413,81.530882,1061.58393,169.068702,4656.8951,6225.349948,2407.592637,27.274686,0,0,0,9721.801201,5161.598382,14883.399583,1246.687273,2464.686961,13665.399895,3.461069,967.823803,12694.115023,2021,2
,2021-03-01,1565.270143,222.83090500000003,26.519528,11.590601,1133.290827,171.038282,5061.136809,6187.262833,3005.612184,70.870074,0,0,0,10397.035918,5493.116125,15890.152042999998,579.473381,3100.318756,13369.306667999997,6.54519,866.100581,12496.660896999998,2021,3
,2021-04-01,1301.849111,183.71196399999985,23.032763,6.404823,936.638178,152.061383,4951.356811,5725.248698,2693.078403,85.279342,0,0,0,9440.244621,5316.567744,14756.812365,344.432009,3422.649666,11678.594708,4.420573,773.096491,10901.077644,2021,4
,2021-05-01,1058.769473,140.109056,26.519528,2.089791,738.974504,151.076594,3789.891884,6085.172936,1486.563315,96.306843,0,0,0,8407.017598,4109.686853,12516.704451000001,818.624776,2725.487697,10609.841530000002,3.16408,671.373269,9935.304181000001,2021,5
