GWh,BELGIUM,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,2894.694,359.8800000000001,22.056,1910.401,499.056,103.301,4248.933,160.487,772.175,76.736,0,0,46.381,1508.454,6690.952,8199.406,947.396,967.099,8179.703000000001,147.156,357.142,7675.405000000002,2016,1
,2016-02-01,2387.905,233.0650000000005,22.464,1568.262,461.188,102.926,3926.73,147.19,667.697,141.787,0,0,41.75,1417.8619999999999,5895.197,7313.059,976.77,586.974,7702.855,137.199,336.936,7228.719999999999,2016,2
,2016-03-01,2651.689,291.62999999999965,20.599,1765.509,464.881,109.07,4062.11,142.21,516.201,247.638,0,0,40.351,1370.9299999999998,6289.268999999999,7660.198999999999,913.801,679.314,7894.685999999998,124.251,345.974,7424.4609999999975,2016,3
,2016-04-01,2142.329,146.21100000000024,16.638,1563.643,305.003,110.834,3768.366,128.524,423.858,341.421,0,0,37.582,1198.806,5643.274,6842.08,1046.799,669.522,7219.357,109.995,317.196,6792.166,2016,4
,2016-05-01,1961.632,185.15599999999995,20.325,1217.238,434.348,104.565,3166.101,121.655,345.339,431.172,0,0,36.249,1332.5140000000001,4729.634,6062.148,1348.288,430.676,6979.759999999999,119.171,306.051,6554.538,2016,5
,2016-06-01,1927.468,173.68499999999972,21.912,1170.015,456.206,105.65,3132.471,143.991,273.023,349.015,0,0,34.948,1222.2350000000001,4638.6810000000005,5860.916000000001,1648.831,638.811,6870.9360000000015,138.169,300.556,6432.211000000001,2016,6
,2016-07-01,2106.212,198.24699999999984,13.844,1306.981,473.384,113.756,3542.899,102.787,307.323,427.761,0,0,36.9,1311.255,5212.6269999999995,6523.882,901.154,747.665,6677.371,99.751,292.863,6284.757,2016,7
,2016-08-01,2232.628,199.42600000000039,12.533,1449.514,451.977,119.178,3938.498,65.28,368.313,398.889,0,0,48.669,1284.4589999999998,5767.818,7052.277,757.986,960.921,6849.342,61.587,301.886,6485.869,2016,8
,2016-09-01,2334.336,187.94399999999996,9.237,1694.498,351.756,90.901,3058.729,78.608,285.709,324.78,0,0,42.297,1040.853,5083.606,6124.459,1342.647,559.722,6907.384,93.448,303.868,6510.068,2016,9
,2016-10-01,3335.618,188.93700000000035,10.236,2565.273,457.307,113.865,2265.656,122.268,349.444,179.638,0,0,41.652,1108.657,5185.619000000001,6294.276000000001,1780.531,559.176,7515.631,154.827,326.933,7033.871,2016,10
,2016-11-01,3248.955,178.54700000000003,10.293,2522.987,429.372,107.756,2801.844,125.17,566.838,86.259,0,0,39.229,1207.6390000000001,5660.656,6868.295,1505.504,631.702,7742.096999999999,147.235,337.576,7257.285999999999,2016,11
,2016-12-01,3449.135,207.71900000000005,10.895,2633.09,481.547,115.884,3517.662,114.829,464.478,67.705,0,0,42.191,1128.559,6527.441,7656,1478.293,1033.419,8100.874,142.212,353.719,7604.943,2016,12
,2017-01-01,3468.533,186.13699999999972,28.238,2629.425,502.259,122.474,3627.62,136.989,449.734,90.663,0,0,55.444,1179.645,6649.338000000001,7828.983,1700.008,914.695,8614.296,160.765,371.686,8081.845,2017,1
,2017-02-01,2787.379,192.57299999999987,21.182,1998.558,463.814,111.252,3356.704,133.811,580.453,106.808,0,0,44.246,1284.886,5724.515,7009.401,1199.042,750.75,7457.692999999999,128.499,322.122,7007.071999999999,2017,2
,2017-03-01,2612.958,202.64300000000003,17.408,1823.065,458.657,111.185,3479.598,144.065,680.535,292.823,0,0,47.546,1576.08,5681.445,7257.525,1171.993,684.662,7744.856,126.523,334.263,7284.07,2017,3
,2017-04-01,2670.029,180.57200000000012,9.427,1932.445,436.309,111.276,2058.918,89.693,328.414,384.767,0,0,48.151,1239.183,4340.789,5579.972,1723.075,177.19,7125.857,98.934,307.943,6718.98,2017,4
,2017-05-01,2329.514,208.62300000000005,8.833,1533.54,468.589,109.929,2668.023,98.178,362.982,468.734,0,0,47.798,1398.483,4576.746,5975.229,1392.6,277.156,7090.673,122.568,305.318,6662.787,2017,5
,2017-06-01,2070.349,177.5920000000001,7.177,1345.342,441.826,98.412,3599.506,87.502,472.243,491.192,0,0,44.126,1492.763,5272.155000000001,6764.918000000001,831.025,631.367,6964.576,111.175,300.445,6552.956,2017,6
,2017-07-01,2165.027,211.1869999999999,6.082,1414.702,427.235,105.821,4097.05,76.592,427.324,451.09,0,0,39.348,1382.241,5874.1900000000005,7256.4310000000005,494.27,975.396,6775.305000000001,97.608,292.715,6384.982000000001,2017,7
,2017-08-01,2127.076,201.49199999999996,7.163,1341.534,461.422,115.465,4115.571,74.643,328.036,381.042,0,0,40.139,1245.143,5821.3640000000005,7066.5070000000005,660.507,833.832,6893.182,94.274,298.606,6500.302,2017,8
,2017-09-01,2157.49,183.12199999999984,6.721,1449.232,414.734,103.681,3615.259,99.168,435.871,297.997,0,0,44.826,1247.77,5402.840999999999,6650.610999999999,867.428,547.504,6970.534999999999,109.627,301.682,6559.225999999999,2017,9
,2017-10-01,2848.467,202.3779999999997,12.016,2058.53,458.388,117.155,2934.598,121.523,806.19,186.11,0,0,31.594,1572.2110000000002,5356.271,6928.482,1346.951,736.564,7538.869000000001,141.775,325.17,7071.924000000001,2017,10
,2017-11-01,3143.603,175.11000000000013,13.15,2350.086,495.73,109.527,2922.666,133.321,629.291,95.875,0,0,38.104,1354.217,5608.643000000001,6962.860000000001,1509.347,702.539,7769.668000000001,136.481,335.84,7297.347000000001,2017,11
,2017-12-01,3058.376,204.40200000000004,31.405,2200.705,511.789,110.075,3652.988,165.414,889.927,36.999,0,0,32.278,1604.1290000000001,6231.853,7835.982,1293.152,936.143,8192.991,157.172,353.513,7682.3060000000005,2017,12
,2018-01-01,2359.466,152.98299999999972,23.03,1578.239,490.068,115.146,3687.057,166.045,935.661,60.474,0,0,38.362,1652.2479999999998,5594.817,7247.065,1438.515,458.884,8226.696,158.552,347.381,7720.763,2018,1
,2018-02-01,2741.84,168.00700000000006,14.404,2020.252,432.095,107.082,3348.801,132.99,718.816,216.147,0,0,41.393,1500.048,5699.939,7199.987,1436.621,824.19,7812.418,111.27,328.52,7372.628,2018,2
,2018-03-01,2569.241,203.2199999999998,10.393,1813.757,430.655,111.216,3648.067,160.696,712.064,253.047,0,0,29.863,1556.462,5816.5160000000005,7372.978000000001,1458.385,648.89,8182.473000000001,145.056,346.499,7690.918000000001,2018,3
,2018-04-01,1897.762,166.48599999999988,17.397,1195.17,412.415,106.294,2719.131,142.406,495.172,404.442,0,0,37.023,1454.435,4241.501,5695.936,1737.51,347.001,7086.445,140.081,299.639,6646.724999999999,2018,4
,2018-05-01,1981.419,179.5719999999999,16.661,1287.214,385.188,112.784,2443.418,112.358,366.646,574.123,0,0,39.167,1438.315,4078.8160000000003,5517.131,2101.774,464.592,7154.313000000001,123.499,302.541,6728.273000000001,2018,5
,2018-06-01,2296.09,192.45100000000048,7.831,1528.491,471.885,95.432,2081.97,87.08,396.715,515.081,0,0,30.677,1470.761,3936.8520000000003,5407.613,1942.953,388.548,6962.018000000001,83.952,295.977,6582.089000000001,2018,6
,2018-07-01,2558.861,213.98699999999963,2.628,1758.452,472.867,110.927,2180.427,66.041,289.36,616.704,0,0,38.222,1444.972,4304.643,5749.615,1574.454,253.333,7070.736,81.616,300.035,6689.085,2018,7
,2018-08-01,2628.781,202.1289999999999,2.506,1866.943,442.469,114.734,1882.254,45.908,423.41,468.808,0,0,37.553,1380.595,4106.119,5486.714,1774.646,285.192,6976.168,59.161,296.993,6620.013999999999,2018,8
,2018-09-01,2412.865,204.26999999999998,3.043,1710.657,394.881,100.014,1379.841,70.989,522.098,312.114,0,0,38.662,1300.0819999999999,3436.4869999999996,4736.5689999999995,2203.406,97.101,6842.874,93.29,291.057,6458.527,2018,9
,2018-10-01,3528.388,194.82000000000016,4.209,2828.795,394.949,105.615,993.448,94.519,646.659,268.923,0,0,45.721,1405.05,4172.607999999999,5577.657999999999,2003.708,121.437,7459.929,122.475,315.304,7022.15,2018,10
,2018-11-01,3891.664,184.33100000000013,9.381,3119.83,471.436,106.686,1129.545,91.933,815.351,122.859,0,0,40.422,1501.579,4590.195,6091.773999999999,1833.208,276.639,7648.343,118.289,323.189,7206.865,2018,11
,2018-12-01,3054.324,184.22199999999975,42.574,2270.969,442.487,114.072,1632.342,122.536,993.846,62.876,0,0,35.334,1621.7450000000001,4279.513,5901.258,2130.721,142.593,7889.3859999999995,110.66,334.565,7444.160999999999,2018,12
,2019-01-01,3607.9,203.71200000000044,14.522,2774.899,508.193,106.574,2903.652,137.474,876.161,72.155,0,0,37.942,1593.983,6041.301,7635.284000000001,1523.302,822.326,8336.260000000002,118.196,340.795,7877.269000000002,2019,1
,2019-02-01,2767.27,189.1210000000001,7.002,2039.278,428.26,103.609,2805.043,105.53,724.388,227.743,0,0,34.64,1485.9209999999998,5178.693,6664.614,1571.54,898.932,7337.221999999999,93.147,299.984,6944.0909999999985,2019,2
,2019-03-01,2288.83,218.6790000000001,3.981,1550.257,397.092,118.821,3526.759,116.647,1126.539,291.573,0,0,40.262,1931.851,5458.759,7390.610000000001,1211.28,914.003,7687.8870000000015,107.703,313.678,7266.506000000001,2019,3
,2019-04-01,2227.806,195.29700000000003,4.153,1623.674,300.345,104.337,3547.064,97.039,606.688,495.003,0,0,33.784,1499.075,5508.308999999999,7007.383999999999,1048.282,1026.194,7029.472,93.391,286.662,6649.419,2019,4
,2019-05-01,2093.776,217.27499999999964,2.795,1473.828,295.478,104.4,3659.128,88.998,505.187,538.543,0,0,35.185,1428.2060000000001,5492.611,6920.817,1268.714,1143.029,7046.502,89.273,287.733,6669.496,2019,5
,2019-06-01,2475.33,197.44299999999976,3.618,1728.878,452.87,92.521,2899.653,89.934,557.884,601.987,0,0,30.671,1702.6750000000002,4952.784,6655.459,1415.254,1275.071,6795.642,104.714,275.033,6415.8949999999995,2019,6
,2019-07-01,2647.431,213.30099999999993,4.326,1892.649,445.637,91.518,3566.572,56.219,422.345,569.757,0,0,30.048,1493.958,5798.414,7292.371999999999,813.273,1319.36,6786.285,72.136,276.299,6437.85,2019,7
,2019-08-01,2633.663,216.07300000000032,5.818,1853.418,453.471,104.883,4190.533,53.664,665.727,530.836,0,0,31.333,1703.698,6402.058,8105.756,550.855,1786.583,6870.028,67.123,279.98,6522.925,2019,8
,2019-09-01,2782.481,174.19500000000016,4.333,2084.448,416.792,102.713,4104.43,57.648,812.945,429.486,0,0,31.543,1716.871,6501.662,8218.533,335.391,1575.95,6977.973999999999,72.571,284.786,6620.616999999999,2019,9
,2019-10-01,3411.465,223.41400000000021,4.264,2691.209,391.207,101.371,3148.257,97.551,1027.627,234.718,0,0,32.625,1751.103,6201.14,7952.243,641.528,1077.658,7516.113000000001,108.417,306.17,7101.526000000002,2019,10
,2019-11-01,3546.162,194.08500000000004,6.207,2778.911,473.127,93.832,3239.499,112.147,912.727,140.49,0,0,30.17,1638.491,6342.704,7981.195,1031.572,1277.416,7735.351,101.483,316.16,7317.708,2019,11
,2019-12-01,2782.284,173.60699999999997,7.465,2014.643,471.35,115.219,3715.01,137.749,1311.881,85.108,0,0,34.297,2006.088,6060.241,8066.329,1323.41,1472.478,7917.2609999999995,134.047,322.921,7460.293,2019,12
,2020-01-01,3255.552801,194.91299499999968,5.690185,2455.76255,503.05083,96.136241,3061.702392,146.378734,1282.897086,94.638606,0,0,27.065094,2026.965256,5841.269456999999,7868.234713,2167.150738,1510.877374,8524.508077,432.562396,304.258428,7787.687253,2020,1
,2020-02-01,2521.125531,183.33239700000013,5.573153,1938.202888,298.683869,95.333224,2862.109879,134.355628,1792.224016,160.680116,0,0,28.881044,2385.943629,5113.4325850000005,7499.376214,1740.305489,1387.450668,7852.231035000001,410.846807,283.371293,7158.012935000001,2020,2
,2020-03-01,2675.657889,185.11743300000035,3.459097,1902.085819,475.826012,109.169528,3052.400514,131.74289,1354.808558,447.109819,0,0,35.40166,2409.487279,5287.634051,7697.12133,1682.229106,1984.000026,7395.350410000001,413.444418,275.775857,6706.130135000001,2020,3
,2020-04-01,1989.15445,138.36910699999999,5.034532,1288.49285,446.204766,111.053195,2950.195102,115.063032,675.006277,673.346784,0,0,33.843252,1909.6208589999997,4526.988038,6436.608897,2049.924714,2043.882798,6442.650813,408.995935,234.456123,5799.198755,2020,4
,2020-05-01,2350.868785,155.7429530000004,5.927713,1626.450493,460.572239,102.175387,3031.630188,88.443529,751.802392,791.947497,0,0,36.859395,2092.765657,4958.786129000001,7051.551786000001,1812.857784,2381.656008,6482.753562000002,352.894183,245.956962,5883.902417000002,2020,5
,2020-06-01,2891.299722,149.6645470000003,5.935224,2209.486082,431.535221,94.678648,2148.325233,80.445067,628.906314,669.439855,0,0,27.786775,1810.3264570000001,4635.876509,6446.202966,1745.253609,1315.867499,6875.589076,362.543477,247.808505,6265.237094,2020,6
,2020-07-01,3514.055461,208.1417250000004,5.708583,2759.655434,444.706468,95.843251,2168.486877,84.290597,665.289185,634.659882,0,0,24.058042,1828.946132,5261.893912,7090.840044,1184.821334,1800.981753,6474.679624999999,388.284507,248.698192,5837.696925999999,2020,7
,2020-08-01,3107.929561,175.04412600000023,5.991921,2392.593152,434.472825,99.827537,2028.408966,73.391137,659.98887,576.084191,0,0,17.633494,1743.937023,4719.499196,6463.436218999999,2170.232383,1324.866479,7308.8021229999995,356.692825,257.817733,6694.2915649999995,2020,8
,2020-09-01,2776.899347,118.5776020000003,9.184743,2149.610485,409.017458,90.509059,2575.567677,93.109089,741.257145,459.662593,0,0,19.349013,1703.046285,4962.798579,6665.844864000001,2165.002376,1690.54811,7140.299130000001,430.232984,256.200933,6453.865213000001,2020,9
,2020-10-01,2517.103604,105.41694299999972,9.735361,2028.349979,267.08353,106.517791,2531.278646,103.639455,1515.925016,208.66137,0,0,13.026709,2095.309371,4794.325429,6889.6348,2647.554521,1798.61938,7738.569941,394.096266,272.876321,7071.5973539999995,2020,10
,2020-11-01,2847.352535,64.61458200000015,6.670518,2234.514728,434.716998,106.835709,2998.308595,97.252889,1172.644765,145.506805,0,0,16.980637,1850.121457,5427.924769,7278.046226,2587.743501,2393.10053,7472.689197,369.88172,271.879894,6830.927583,2020,11
,2020-12-01,3165.67338,82.60117499999978,15.900089,2487.714263,467.621203,111.83665,3271.464074,136.718126,1398.28572,75.311595,0,0,15.402173,2077.9366440000003,5984.918424,8062.855068000001,2569.416444,2694.829376,7937.4421360000015,459.446482,292.721758,7185.2738960000015,2020,12
,2021-01-01,3151.193853,100.3406700000005,11.144395,2508.099809,427.954356,103.654623,3881.853181,146.65933,1200.84932,100.091028,0,0,18.128733,1875.554034,6623.2214109999995,8498.775445,3165.730277,3273.605898,8390.899824,434.022603,309.172929,7647.704292,2021,1
,2021-02-01,2432.889606,57.27079300000014,8.774043,1942.716534,321.741834,102.386402,4038.818491,129.30992,1333.394225,248.049013,0,0,15.499196,2032.4949920000001,6165.465459,8197.960451,1986.691364,3227.35725,6957.294565000001,410.1783,273.871549,6273.244716000001,2021,2
,2021-03-01,2869.741853,160.8907479999998,8.237817,2173.887927,412.329528,114.395833,4395.690963,151.824332,1129.303543,515.815203,0,0,17.111146,2209.272606,6870.214434,9079.48704,1617.342649,3729.464402,6967.3652870000005,480.699222,285.582978,6201.083087000001,2021,3
,2021-04-01,2743.061222,191.89858099999992,12.01925,2060.14896,378.94387,100.050561,3767.191546,81.900696,831.656953,691.501638,0,0,15.558503,1984.0031569999999,6146.8674009999995,8130.870558,1978.964557,3511.894885,6597.94023,264.63192,265.271699,6068.036611,2021,4
,2021-05-01,2085.252144,159.21479399999998,9.13321,1523.715076,291.609816,101.579248,3831.400381,36.739114,990.21003,730.178117,0,0,15.756577,2048.7370769999998,5640.7992859999995,7689.536362999999,2459.489324,3227.815615,6921.210072,24.814021,267.267776,6629.128275,2021,5
