GWh,FINLAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,3415.892,1423.521,25.003,695.391,1231.793,40.184,2064.093,1565.424,222.234,2.207,0,0,20.75,3021.6579999999994,4268.942,7290.599999999999,2518.103,318.124,9490.579,0,283.472,9207.107,2016,1
,2016-02-01,2564.792,962.8799999999999,17.002,500.841,1048.4,35.669,1928.087,1567.659,236.312,2.207,0,0,20.75,2854.578,3465.2290000000003,6319.807000000001,2068.976,494.107,7894.676000000001,0,235.008,7659.6680000000015,2016,2
,2016-03-01,2576.5,1001.4359999999999,18.002,452.952,1069.796,34.314,2060.092,1578.832,217.206,2.207,0,0,20.75,2868.041,3587.5460000000003,6455.587,2111.893,556.959,8010.521,0,236.837,7773.683999999999,2016,3
,2016-04-01,2106.594,865.4760000000001,15.002,253.414,946.515,26.187,1839.083,1592.241,199.105,2.207,0,0,20.75,2740.0679999999998,3019.9120000000003,5759.98,1605.877,310.388,7055.469,0,208.489,6846.9800000000005,2016,4
,2016-05-01,1473.179,556.0150000000001,12.001,72.832,807.95,24.381,1504.068,0,150.838,2.207,0,0,20.75,960.995,2190.047,3151.042,1872.359,422.554,4600.847,0,188.372,4412.474999999999,2016,5
,2016-06-01,1175.86,376.4259999999998,9.001,58.864,704.027,27.542,1693.076,1441.397,193.073,2.207,0,0,20.75,2340.7039999999997,2185.6589999999997,4526.362999999999,1706.681,320.058,5912.986,0,174.656,5738.33,2016,6
,2016-07-01,1039.676,234.37900000000002,10.001,58.864,707.084,29.348,1987.089,1363.181,144.804,2.207,0,0,20.75,2217.276,2340.431,4557.707,1702.689,195.322,6065.0740000000005,0,180.142,5884.932000000001,2016,7
,2016-08-01,1171.193,336.856,10.001,77.82,720.329,26.187,1702.076,1553.133,292.625,2.207,0,0,20.75,2568.294,2173.69,4741.984,1702.689,195.322,6249.351000000001,0,186.543,6062.808000000001,2016,8
,2016-09-01,1312.249,547.898,11.001,82.808,639.84,30.702,1606.072,1519.612,238.323,2.207,0,0,20.75,2399.982,2299.2309999999998,4699.213,1747.601,109.264,6337.55,0,187.458,6150.092000000001,2016,9
,2016-10-01,2309.403,1167.8349999999998,20.002,206.522,876.214,38.83,1950.088,1259.267,250.391,2.207,0,0,20.75,2388.079,3404.0269999999996,5792.106,1580.925,60.917,7312.114,0,218.548,7093.566,2016,10
,2016-11-01,2989.173,1305.8239999999998,23.003,561.701,1053.494,45.151,1985.089,1051.437,404.246,0,0,0,20.75,2509.1769999999997,3941.518,6450.695,1580.925,44.479,7987.141,0,239.58,7747.561,2016,11
,2016-12-01,2815.486,1153.6299999999999,19.002,510.818,1085.079,46.957,1961.088,1141.944,518.882,0,0,0,20.75,2745.905,3712.245,6458.15,1911.283,131.504,8237.928999999998,0,246.895,7991.033999999998,2016,12
,2017-01-01,2858.632,1042.342,19.119,654.023,1099.917,43.231,2000.907,1152.617,556.354,2.109,0,0,27.917,2810.997,3787.5389999999998,6598.536,2089.094,151.17,8536.460000000001,0,275.442,8261.018,2017,1
,2017-02-01,2688.675,1001.4860000000001,18.113,570.174,1056.621,42.281,1858.914,1000.799,299.654,2.109,0,0,27.917,2359.183,3518.8849999999998,5878.067999999999,1941.087,146.164,7672.990999999999,0,247.316,7425.674999999999,2017,2
,2017-03-01,2647.051,1027.3949999999998,18.113,449.826,1112.287,39.43,2064.904,1061.726,498.059,2.109,0,0,27.917,2674.181,3627.5849999999996,6301.766,1629.073,62.07,7868.769,0,253.135,7615.634,2017,3
,2017-04-01,2151.355,851.0139999999999,14.088,279.168,970.03,37.055,1801.916,935.877,366.13,4.219,0,0,27.917,2276.256,3011.158,5287.414,1946.088,66.074,7167.428,0,230.828,6936.599999999999,2017,4
,2017-05-01,1735.901,769.3000000000001,13.081,108.511,811.279,33.73,1517.93,1328.406,329.313,4.219,0,0,27.917,2473.217,2470.469,4943.686,1720.077,108.122,6555.641,0,211.431,6344.21,2017,5
,2017-06-01,1227.594,433.47900000000004,10.063,36.499,713.348,34.205,1333.938,1356.373,282.268,6.328,0,0,27.917,2358.317,1876.101,4234.418,1809.081,182.205,5861.294,0,189.124,5672.17,2017,6
,2017-07-01,1130.893,314.8950000000001,10.063,43.404,722.626,39.905,1619.925,1235.518,239.314,6.328,0,0,27.917,2203.786,2056.109,4259.895,1912.086,240.27,5931.711,0,191.064,5740.647,2017,7
,2017-08-01,1087.811,285.996,9.056,65.106,695.824,31.829,1722.92,1110.668,411.13,4.219,0,0,27.917,2221.841,2142.824,4364.665,2081.094,164.185,6281.574,0,201.732,6079.842,2017,8
,2017-09-01,1323.443,447.42999999999995,13.081,91.741,742.212,28.979,1750.919,1457.252,270.231,4.219,0,0,27.917,2473.9139999999998,2360.067,4833.981,1766.08,129.145,6470.915999999999,0,208.521,6262.3949999999995,2017,9
,2017-10-01,2016.264,789.2299999999998,18.113,175.59,995.801,37.53,1837.915,1364.363,416.67,4.219,0,0,27.917,2781.0530000000003,2886.2949999999996,5667.348,1867.084,160.18,7374.2519999999995,0,238.587,7135.664999999999,2017,10
,2017-11-01,2237.889,850.017,15.094,210.116,1124.657,38.005,1997.907,1292.45,571.206,4.219,0,0,27.917,2992.532,3139.056,6131.588,1725.078,163.183,7693.482999999999,0,260.894,7432.588999999999,2017,11
,2017-12-01,2575.494,904.825,16.1,437.988,1176.2,40.381,2065.904,1313.424,554.864,4.219,0,0,27.917,3048.707,3493.1150000000002,6541.822,1718.077,206.232,8053.6669999999995,0,259.924,7793.7429999999995,2017,12
,2018-01-01,2823.178,1063.413,21.225,544.15,1150.1,44.29,2071.148,1480.569,498.119,1.014,0,0,20,3129.802,3764.226,6894.028,1999,169.065,8723.963,0,301.672,8422.291,2018,1
,2018-02-01,2904.931,1057.058,22.474,661.321,1124.477,39.601,1871.23,1380.733,457.283,1.014,0,0,20,2963.507,3671.684,6635.191000000001,1872,165.063,8342.128,0,288.149,8053.979,2018,2
,2018-03-01,3259.366,1310.201,24.971,686.146,1197.405,40.643,2059.153,1323.826,489.197,3.041,0,0,20,3013.469,4141.114,7154.583,1742,112.043,8784.539999999999,0,302.712,8481.828,2018,3
,2018-04-01,2079.569,842.0450000000001,19.977,211.504,963.837,42.206,1814.254,1251.944,331.729,7.096,0,0,20,2554.6059999999998,2949.986,5504.592,1713,87.033,7130.558999999999,0,246.539,6884.0199999999995,2018,4
,2018-05-01,1330.47,495.69500000000005,12.486,24.824,757.864,39.601,1510.379,1615.348,441.353,13.179,0,0,20,2827.744,2102.9849999999997,4930.728999999999,1754,287.11,6397.619,0,221.573,6176.045999999999,2018,5
,2018-06-01,1234.159,403.54600000000005,12.486,25.817,756.878,35.432,1486.389,922.485,493.105,14.193,0,0,20,2186.661,1983.67,4170.331,2042,267.102,5945.229,0,205.969,5739.26,2018,6
,2018-07-01,1522.159,581.4880000000002,17.48,52.628,827.836,42.727,1905.216,769.736,273.938,20.275,0,0,20,1891.7850000000003,2619.539,4511.3240000000005,1715,110.042,6116.282,0,211.17,5905.112,2018,7
,2018-08-01,1569.871,407.78300000000013,22.474,231.363,870.213,38.038,1696.302,677.887,485.101,14.193,0,0,20,2047.394,2415.96,4463.354,1990,150.057,6303.2970000000005,0,218.452,6084.845,2018,8
,2018-09-01,1735.378,478.74800000000005,22.474,306.829,891.895,35.432,1594.344,764.744,614.616,7.096,0,0,20,2278.351,2457.827,4736.178,1879,271.104,6344.074,0,219.492,6124.581999999999,2018,9
,2018-10-01,2207.088,766.8440000000003,23.723,289.949,1088.013,38.559,1807.257,999.359,606.638,7.096,0,0,20,2701.1059999999998,2946.3320000000003,5647.438,2044,347.133,7344.305,0,253.82,7090.485000000001,2018,10
