GWh,TURKEY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,15155.456,7252.288,372.394,7422.541,106.956,1.277,0,5467.606,1209.887,19.885,336.575,0,50.344,7140.909,15098.844,22239.752999999997,696.943,190.12,22746.575999999997,0,3044.724,19701.852,2016,1
,2016-02-01,13425.553,6617.447,66.21,6629.729,111.262,0.905,0,5037.421,1093.567,37.22,322.743,0,58.546,6602.213000000001,13372.837000000001,19975.050000000003,583.04,115.214,20442.876000000004,0,2728.977,17713.899000000005,2016,2
,2016-03-01,12713.199,6461.628000000001,53.798,6066.461,130.007,1.305,0,7123.925,1198.787,57.118,353.929,0,57.28,8863.766,12640.472000000002,21504.238,454.773,60.968,21898.043,0,2914.942,18983.101000000002,2016,3
,2016-04-01,12255.096,5539.027999999999,76.445,6507.978,130.336,1.309,0,6892.838,786.951,75.64,323.599,0,63.558,8209.364,12188.318,20397.682,389.333,108.504,20678.511,0,2759.366,17919.144999999997,2016,4
,2016-05-01,12987.645,6952.539000000001,64.918,5846.902,121.535,1.751,0,6542.443,890.948,80.85,330.406,0,53.177,7966.182000000001,12919.287,20885.469,390.582,59.245,21216.806,0,2824.283,18392.523,2016,5
,2016-06-01,14093.544,6914.754,54.191,7001.92,120.464,2.215,0,6301.514,1070.238,97.714,295.52,0,49.433,7885.450000000001,14022.513,21907.963000000003,499.082,69.368,22337.677000000003,0,2974.416,19363.261000000002,2016,6
,2016-07-01,14783.462,7148.633999999999,59.005,7441.345,132.56,1.918,0,6076.977,1716.912,126.785,310.879,0,63.893,8364.113000000001,14714.795,23078.908000000003,640.09,166.604,23552.394000000004,0,3148.57,20403.824000000004,2016,7
,2016-08-01,17277.244,7989.225,61.796,9088.64,134.747,2.836,0,5541.388,1645.315,122.85,315.354,0,54.646,7759.654000000001,17197.143,24956.797000000002,658.157,121.919,25493.035,0,3400.249,22092.786,2016,8
,2016-09-01,14379.429,7661.7429999999995,53.466,6535.189,126.756,2.275,0,4116.174,1266.763,122.975,324.251,0,61.11,5956.919000000001,14313.783000000001,20270.702,470.623,98.15,20643.175,0,2753.301,17889.874,2016,9
,2016-10-01,15376.755,7785.457999999999,52.017,7397.013,140.252,2.015,0,3949.341,1070.022,117.426,336.35,0,59.399,5613.3910000000005,15295.901999999996,20909.292999999998,425.269,191.58,21142.981999999996,0,2832.049,18310.932999999997,2016,10
,2016-11-01,16120.217,7813.352000000001,178.54,7986.199,139.72,2.406,0,3686.765,1281.725,93.454,362.939,0,52.854,5564.602999999999,16033.351,21597.953999999998,417.915,133.388,21882.481,0,2922.489,18959.992,2016,11
,2016-12-01,15598.399,8693.303,719.596,6039.18,143.949,2.371,0,5949.491,2149.971,61.217,397.456,0,56.759,8702.084,15511.208999999999,24213.292999999998,704.195,136.939,24780.549,0,3307.664,21472.885,2016,12
,2017-01-01,16369.764,8611.673999999999,470.514,7133.023,153.644,0.909,0,5529.835,1622.333,74.382,440.594,0,60.573,7820.788,16276.693,24097.481,339.739,233.938,24203.282000000003,0,2951.3,21251.982000000004,2017,1
,2017-02-01,15485.397,7355.179000000002,214.044,7768.397,146.422,1.355,0,4200.266,1541.83,127.886,381.14,0,59.663,6397.544,15398.638000000003,21796.182,179.334,212.768,21762.748,0,2653.998,19108.75,2017,2
,2017-03-01,15387.525,7264.683999999999,47.298,7907.917,165.924,1.702,0,5618.153,1350.44,159.169,419.608,0,57.927,7713.294,15279.527999999998,22992.822,305.27,248.478,23049.614,0,2813.726,20235.888000000003,2017,3
,2017-04-01,12964.904,5690.461000000001,40.482,7076.351,155.701,1.909,0,7064.871,975.334,203.606,381.053,0,58.387,8780.565,12867.590000000002,21648.155000000002,156.357,305.686,21498.826,0,2633.345,18865.481,2017,4
,2017-05-01,13217.125,5829.497,44.125,7177.574,163.635,2.294,0,7300.901,1292.504,228.191,383.598,0,70.319,9368.829000000002,13123.809,22492.638,230.687,330.877,22392.448,0,2744.311,19648.137,2017,5
,2017-06-01,15054.419,7274.0070000000005,44.538,7573.532,160.146,2.196,0,5516.03,963.7,268.982,369.524,0,73.047,7278.382,14967.320000000002,22245.702,199.78,253.063,22192.419,0,2710.756,19481.663,2017,6
