GWh,NETHERLANDS,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-11-01,9311.36,3303.428000000001,112.483,5382.231,382.019,131.199,330.182,4.766,1075.105,74.503,0,0,111.676,1536.393,9371.199,10907.592,1874.489,2457.654,10324.427,0,491.618,9832.809,2016,11
,2016-12-01,9135.194,3269.8189999999995,95.709,5260.73,360.73,148.206,324.506,2.859,1096.704,74.503,0,0,111.676,1534.7959999999998,9210.645999999997,10745.441999999997,1865.77,2409.699,10201.512999999997,0,482.889,9718.623999999998,2016,12
,2017-01-01,10114.605,3555.6680000000006,108.675,5883.471,411.873,154.918,369.271,5.33,842.828,70.53,0,0,130.333,1330.561,10202.336000000001,11532.897,1639.906,2331.062,10841.741,0,503.165,10338.576,2017,1
,2017-02-01,8417.063,3505.925,69.157,4349.879,371.907,120.195,333.667,11.725,1124.785,69.354,0,0,130.333,1577.7710000000002,8509.156,10086.927000000001,1467.916,1813.048,9741.795,0,451.392,9290.403,2017,2
,2017-03-01,8306.595,2960.7349999999988,59.277,4772.905,377.457,136.221,364.185,14.923,962.913,184.553,0,0,130.333,1539.846,8423.655999999999,9963.501999999999,1914.891,1660.044,10218.348999999998,0,473.234,9745.114999999998,2017,3
,2017-04-01,7432.654,2441.4130000000005,59.277,4406.282,384.119,141.563,281.786,3.198,723.118,244.503,0,0,130.333,1354.9379999999999,7460.654,8815.592,1919.89,1778.047,8957.435,0,413.372,8544.063,2017,4
,2017-05-01,7195.658,1798.7260000000006,0,4890.574,367.466,138.892,0,2.132,579.8,258.609,0,0,130.333,1208.0069999999998,6958.525,8166.531999999999,2326.867,1190.032,9303.367,0,433.595,8869.772,2017,5
,2017-06-01,7351.869,2917.956,167.952,3759.586,360.805,145.57,0,1.066,729.927,262.136,0,0,130.333,1353.934,7121.397,8475.331,1983.887,1104.029,9355.189,0,443.303,8911.886,2017,6
,2017-07-01,7451.208,2202.6440000000002,88.916,4637.731,376.347,145.57,177.006,2.132,579.837,266.838,0,0,130.333,1225.154,7382.2,8607.354,1555.911,1257.033,8906.232,0,409.327,8496.905,2017,7
,2017-08-01,6113.537,2299.1459999999997,108.675,3185.827,386.339,133.55,341.805,1.066,548.494,312.682,0,0,130.333,1248.5810000000001,6199.336,7447.917,2203.874,909.024,8742.767000000002,0,398.811,8343.956000000002,2017,8
,2017-09-01,6567.004,2449.3720000000003,79.036,3563.147,355.254,120.195,347.908,2.132,609.349,239.801,0,0,130.333,1206.536,6689.991,7896.527,2158.877,1202.032,8853.372000000001,0,406.9,8446.472000000002,2017,9
,2017-10-01,8229.162,3060.221999999999,256.868,4469.493,326.39,116.189,339.77,3.198,1373.932,168.096,0,0,130.333,1871.616,8372.875,10244.491,1841.895,1857.049,10229.337,0,465.953,9763.384,2017,10
,2017-11-01,9407.622,2696.0999999999995,0,6200.498,370.796,140.228,354.012,8.527,992.889,86.987,0,0,130.333,1459.199,9521.170999999998,10980.369999999999,1631.907,2015.053,10597.223999999998,0,496.693,10100.530999999999,2017,11
,2017-12-01,9159.353,2907.011999999998,138.314,5637.435,343.042,133.55,368.254,5.33,1500.937,43.493,0,0,130.333,1892.8019999999997,9314.898,11207.699999999999,1811.896,1835.049,11184.546999999999,0,518.535,10666.011999999999,2017,12
,2018-01-01,8420.04,2858.2850000000008,60.058,4937.66,387.023,177.014,370.973,4.206,1298.426,91.854,0,0,48.578,1781.509,8452.568000000001,10234.077000000001,2004.835,1553.56,10685.352,0,460.88,10224.472000000002,2018,1
,2018-02-01,8863.541,2931.3139999999985,69.667,5298.523,387.023,177.014,335.105,4.206,923.942,295.463,0,0,48.578,1610.634,8860.200999999997,10470.834999999997,1695.637,1979.408,10187.063999999998,0,437.199,9749.864999999998,2018,2
,2018-03-01,8348.328,2710.378999999999,64.862,5009.05,387.023,177.014,370.973,4.206,923.942,295.463,0,0,48.578,1610.634,8380.856,9991.49,2052.404,1516.101,10527.793,0,450.861,10076.931999999999,2018,3
,2018-04-01,7720.047,2308.258999999999,79.276,4768.475,387.023,177.014,350.477,10.936,684.385,420.997,0,0,48.578,1503.3410000000001,7732.079,9235.42,2369.531,1200.657,10404.294000000002,0,439.02,9965.274000000001,2018,4
,2018-05-01,7232.38,2039.255,141.736,4579.731,312.956,158.702,96.33,10.936,550.336,647.57,0,0,48.578,1521.7980000000002,7064.332,8586.130000000001,2952.251,886.199,10652.182,0,512.797,10139.385,2018,5
,2018-06-01,6971.638,1547.4679999999998,365.151,4579.731,312.956,166.332,227.502,10.936,669.833,561.839,0,0,48.578,1555.5639999999999,6934.762000000001,8490.326000000001,2498.363,1037.021,9951.668,0,447.218,9504.449999999999,2018,6
,2018-07-01,7073.627,1768.402,26.425,4709.798,402.67,166.332,356.626,0.841,365.962,345.983,0,0,48.578,1115.456,7076.161000000001,8191.617000000001,2185.201,1380.066,8996.752,0,477.275,8519.477,2018,7
,2018-08-01,6878.178,2958.122,72.069,3283.95,387.023,177.014,40.991,4.206,917.804,298.525,0,0,48.578,1607.558,6580.724,8188.282,2398.27,1855.202,8731.35,0,474.543,8256.807,2018,8
,2018-09-01,6350.98,2752.901999999999,2.402,3031.639,387.023,177.014,179.718,4.206,917.804,312.303,0,0,48.578,1621.3359999999998,6192.253,7813.589,2398.27,1855.202,8356.657000000001,0,455.415,7901.242000000001,2018,9
,2018-10-01,7610.244,2843.494999999999,62.46,4264.832,306.697,132.76,342.279,2.524,1220.115,218.918,0,0,48.578,1748.254,7694.4039999999995,9442.658,1826.451,1948.85,9320.259,0,455.415,8864.844,2018,10
,2018-11-01,8441.748,2003.2029999999995,249.84,5657.43,378.677,152.598,355.601,6.73,950.385,131.657,0,0,48.578,1467.4489999999998,8467.25,9934.699,2112.856,1775.356,10272.199,0,358.867,9913.332,2018,11
,2018-12-01,8472.695,2539.363000000001,52.851,5404.141,378.677,97.663,368.923,8.413,1125.577,88.792,0,0,48.578,1601.4589999999998,8511.519,10112.978,2260.518,1797.043,10576.453,0,364.332,10212.121,2018,12
,2019-01-01,9896.258,2757.482,120.526,6368.31,445.468,204.472,360.784,10.246,1270.729,79.876,0,0,49.684,1806.319,9861.257999999998,11667.576999999997,1607.018,2137.944,11136.650999999998,0,475.303,10661.347999999998,2019,1
,2019-02-01,8736.378,2352.7310000000007,105.643,5713.988,388.409,175.607,247.09,7.608,959.336,202.214,0,0,49.684,1557.567,8644.743,10202.310000000001,1349.015,1891.986,9659.339,0,425.706,9233.633,2019,2
,2019-03-01,8474.433,1997.7920000000013,124.759,5714.067,481.411,156.404,359.383,8.993,1448.434,315.183,0,0,49.684,2254.0209999999997,8402.089,10656.11,1681.569,1899.986,10437.693,0,438.105,9999.588,2019,3
,2019-04-01,6842.939,1627.2570000000005,112.314,4548.619,409.545,145.204,347.101,8.556,814.051,623.288,0,0,49.684,1855.44,6830.179,8685.619,1669.809,1174.891,9180.537,0,401.942,8778.595000000001,2019,4
,2019-05-01,7576.617,1357.5370000000003,131.052,5526.257,408.827,152.944,329.488,8.542,688.686,725.706,0,0,49.684,1831.761,7546.962,9378.723,2131.794,1801.026,9709.491,0,402.974,9306.517,2019,5
,2019-06-01,6522.539,1059.2799999999997,138.273,4811.83,387.426,125.73,31.514,6.476,582.187,845.346,0,0,49.684,1821.435,6216.311,8037.745999999999,2035.503,1076.542,8996.707,0,393.1,8603.607,2019,6
,2019-07-01,7309.923,1147.534999999999,82.955,5552.1,402.135,125.198,308.644,0.987,552.255,807.575,0,0,49.684,1762.952,7266.116,9029.068,1763.4,1376.87,9415.597999999998,0,407.166,9008.431999999999,2019,7
,2019-08-01,7026.666,645.3669999999993,74.39,5695.206,475.635,136.068,317.578,1.037,765.307,735.273,0,0,49.684,1977.252,6918.293000000001,8895.545,1843.171,1423.609,9315.107,0,384.771,8930.336,2019,8
,2019-09-01,7140.221,550.7489999999998,84.794,6128.728,273.677,102.273,336.721,0.512,928.796,481.051,0,0,49.684,1684.036,7252.949,8936.985,1636.378,1410.799,9162.564000000002,0,395.968,8766.596000000001,2019,9
,2019-10-01,8962.488,1625.6729999999998,153.011,6665.579,389.681,128.544,354.233,4.817,1115.068,264.028,0,0,49.684,1773.594,8976.723999999998,10750.318,1253.604,1678.977,10324.944999999998,0,430.577,9894.367999999999,2019,10
,2019-11-01,9342.08,2285.5380000000005,130.531,6012.579,755.003,158.429,347.521,8.135,934.889,145.253,0,0,49.684,1843.28,8984.282000000001,10827.562000000002,1453.796,1963.275,10318.083000000002,0,441.823,9876.260000000002,2019,11
,2019-12-01,8527.151,2001.9499999999998,106.071,5437.949,806.573,174.608,360.242,8.273,1448.19,110.663,0,0,49.684,2373.699,8130.504,10504.203,1977.798,1711.714,10770.287,0,461.174,10309.113000000001,2019,12
,2020-01-01,9083.440693,944.5412530000003,147.164339,7343.187543,516.012826,132.534732,361.007294,10.481764,1520.599836,106.858743,0,0,41.451284,2153.9531690000003,8969.886445000002,11123.839614000002,1746.274,2002.073,10868.040614000001,0,494.645639,10373.394975000001,2020,1
,2020-02-01,7580.416698,854.6904639999993,170.154835,5775.191924,634.078639,146.300836,330.16759,2.436795,1959.728862,206.65296,0,0,41.451284,2802.8972559999997,7317.9569329999995,10120.854189,1669.463,1507.997,10282.320189,0,420.170672,9862.149517,2020,2
,2020-03-01,7246.214724,935.8148030000002,163.476455,5247.817627,766.802979,132.30286,359.91231,5.82703,1494.353126,617.049603,0,0,41.451284,2884.032738,6880.775339,9764.808077,2028.609,1763.805,10029.612077,0,432.408594,9597.203483,2020,3
,2020-04-01,5824.701641,477.6533099999988,123.146399,4460.538298,600.914011,162.449623,347.173867,6.707518,832.295611,1029.795738,0,0,41.451284,2469.7128780000003,5612.412781,8082.125659,2029.113,1507.553,8603.685659,0,396.714404,8206.971255,2020,4
,2020-05-01,6793.262516,508.3998769999989,74.615437,5317.890188,711.732296,180.624718,311.429758,3.748915,817.421537,1295.712675,0,0,41.451284,2828.615423,6434.411262,9263.026685,1899.107,2243.648,8918.485685,0,397.733983,8520.751702,2020,5
,2020-06-01,6802.550273,392.3219220000001,84.073273,5607.819125,557.857812,160.478141,156.458547,2.436795,796.593667,1150.455489,0,0,41.451284,2507.343763,6442.602292,8949.946055,1352.964,1385.947,8916.963055,0,389.575367,8527.387688,2020,6
,2020-07-01,8198.950638,547.0772669999997,88.176056,6640.913738,759.484138,163.299439,304.258316,1.16723,874.311509,1098.016275,0,0,41.451284,2732.979152,7785.176100000001,10518.155252,1153.764,2421.54,9250.379251999999,0,407.932749,8842.446503,2020,7
,2020-08-01,8417.838673,603.1556690000007,96.905828,6815.456807,741.295102,161.025267,346.614364,0.078018,870.589522,1051.320374,0,0,41.451284,2663.283016,8064.609219,10727.892235,1108.409,2285.573,9550.728234999999,0,385.49606,9165.232175,2020,8
,2020-09-01,7759.02753,1169.5762100000002,86.898159,5636.929713,716.337976,149.285472,337.507183,0.674805,953.938176,747.833638,0,0,41.451284,2418.784595,7421.648021,9840.432616,1426.531,1938.263,9328.700616000002,0,396.714404,8931.986212000002,2020,9
,2020-10-01,7518.854221,1111.851615999999,94.897538,5381.529056,783.119243,147.456768,354.556499,2.683007,1888.265165,331.820084,0,0,41.451284,3005.887499,7131.7427609999995,10137.63026,1840.823,1930.397,10048.056260000001,0,431.389016,9616.667244000002,2020,10
,2020-11-01,7928.845212,1088.608554999999,78.636677,5799.546357,812.727031,149.326592,301.622949,2.793448,1582.024354,226.78315,0,0,41.451284,2624.327983,7459.192413999998,10083.520396999998,1790.775,1849.511,10024.784396999998,0,442.607361,9582.177035999997,2020,11
,2020-12-01,8255.57094,1093.9073019999996,93.761759,6015.264671,890.604498,162.03271,357.690314,7.332675,1749.008636,126.781271,0,0,41.451284,2773.7270799999997,7764.10804,10537.83512,1727.451,1596.524,10668.762120000001,0,463.219751,10205.542369,2020,12
,2021-01-01,8886.340317,1617.1239319999995,124.899576,6007.155413,994.174157,142.987239,358.148726,7.487698,1760.035013,190.016912,0,0,41.451284,2951.71378,8291.76617,11243.47995,1541.829,1666.541,11118.767950000001,0,469.122363,10649.645587,2021,1
,2021-02-01,7932.411858,1053.025150999999,115.728307,5778.460114,877.734266,107.46402,321.377694,4.293014,1789.206829,426.904281,0,0,41.451284,3098.13839,7417.50657,10515.64496,1378.034,1976.688,9916.99096,0,420.170672,9496.820287999999,2021,2
,2021-03-01,8317.677595,1231.9880789999988,112.453768,5984.234639,882.670177,106.330932,360.054438,11.89014,1581.935922,767.075996,0,0,41.451284,3243.572235,7836.513139999999,11080.085374999999,1269.343,2199.362,10150.066374999999,0,432.408594,9717.657780999998,2021,3
,2021-04-01,6442.462528,811.1619939999991,147.257531,4471.085369,867.682517,145.275117,332.964102,8.264838,1337.513961,1253.669611,0,0,41.451284,3467.130927,5949.1953969999995,9416.326324,1384.175,1710.877,9089.624323999999,0,395.227312,8694.397011999998,2021,4
,2021-05-01,5972.369111,728.2561440000009,126.939319,4176.741907,776.271064,164.160677,209.879535,9.575945,1273.43857,1416.631251,0,0,41.451284,3475.91683,5447.428866,8923.345696,1867.728,1492.402,9298.671696,0,395.645091,8903.026605,2021,5
