GWh,HUNGARY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-12-01,1306.605,492.914,6.144,614.674,176.019,16.854,1118,24.029,56.889,8.556,0,0,5.917,265.493,2254.503,2519.996,1792.9,518,3794.8960000000006,0,385,3409.8960000000006,2016,12
,2017-01-01,1516.525,416.5790000000002,29.888,918.278,140.017,11.763,1407.656,14.562,60.017,9.015,0,0,6.333,223.611,2790.497,3014.1079999999997,1916.845,847.602,4083.3509999999997,0,374.1,3709.2509999999997,2017,1
,2017-02-01,1092.683,408.727,5.264,546.571,121.291,10.83,966.665,9.409,47.665,13.427,0,0,6.333,191.79199999999997,1944.39,2136.1820000000002,1823.85,396.608,3563.424,0,286.869,3276.555,2017,2
,2017-03-01,1061.538,489.948,2.99,392.268,159.838,16.494,1397.043,11.323,75.216,30.473,0,0,6.333,276.85,2305.076,2581.926,1644.098,567.574,3658.4499999999994,0,314.195,3344.254999999999,2017,3
,2017-04-01,847.734,207.23199999999997,2.386,445.242,172.763,20.111,1379.081,25.362,86.232,29.122,0,0,6.333,313.479,2060.3849999999998,2373.8639999999996,1766.988,749.996,3390.8559999999998,0,219.414,3171.442,2017,4
,2017-05-01,862.904,245.21000000000004,3.515,423.072,172.727,18.38,1400.58,25.547,60.275,38.424,0,0,6.333,296.97299999999996,2097.09,2394.063,1737.918,630.66,3501.321,0,214.078,3287.243,2017,5
,2017-06-01,913.382,212.86199999999997,6.403,542.34,139.776,12.001,1336.869,23.451,51.819,40.729,0,0,6.333,255.77499999999998,2116.808,2372.583,1641.286,505.836,3508.0330000000004,0,197.835,3310.1980000000003,2017,6
,2017-07-01,1130.351,387.1360000000002,4.233,565.761,159.318,13.903,1307.252,20.319,45.178,46.797,0,0,6.333,271.61199999999997,2284.618,2556.23,1568.755,591.693,3533.2920000000004,0,238.765,3294.5270000000005,2017,7
,2017-08-01,1308.433,495.1600000000001,3.709,630.237,164.472,14.855,1024.901,13.542,43.984,48.527,0,0,6.333,270.52500000000003,2175.195,2445.7200000000003,1636.306,447.059,3634.967,0,240.055,3394.9120000000003,2017,8
,2017-09-01,1166.293,494.54399999999987,5.57,522.459,129.734,13.986,1118.621,18.652,58.962,30.883,0,0,6.333,238.23100000000002,2161.5130000000004,2399.7440000000006,1594.362,499.378,3494.7280000000005,0,236.17,3258.5580000000004,2017,9
,2017-10-01,1215.906,493.977,5.021,536.866,166.95,13.092,1408.399,18.338,66.912,31.784,0,0,6.333,283.984,2463.688,2747.672,1470.066,546.09,3671.648,0,399.241,3272.407,2017,10
,2017-11-01,1602.78,493.2489999999998,6.135,930.162,157.258,15.976,1043.722,22.622,60.025,14.865,0.459,0,6.333,255.229,2495.5769999999998,2750.8059999999996,1527.544,546.883,3731.4669999999996,0,424.781,3306.6859999999997,2017,11
,2017-12-01,1391.473,333.32299999999987,2.884,738.926,292.376,23.964,1424.211,10.872,80.715,11.953,0.541,0,6.333,396.45699999999994,2529.641,2926.098,1474.981,595.622,3805.457,0,310.496,3494.961,2017,12
,2018-01-01,1338.193,422.5609999999999,9.224,722.136,167.35,16.922,1316.501,16.709,57.45,15.813,0.521,0,10.583,257.843,2497.927,2755.77,1562.72,380.912,3937.578,0,365.1,3572.478,2018,1
,2018-02-01,1184.179,354.797,11.1,674.305,129.978,13.999,1214.946,17.528,48.438,16.691,0.523,0,10.583,213.15800000000002,2279.73,2492.888,1414.301,212.066,3695.123,0,318.375,3376.748,2018,2
,2018-03-01,1054.999,348.495,8.173,527.428,153.302,17.601,1172,14.962,51.327,29.031,0.774,0,10.583,249.396,2084.28,2333.6760000000004,1799.103,199,3933.7790000000005,0,332.511,3601.2680000000005,2018,3
,2018-04-01,815.761,260.495,7.003,364.554,165.195,18.514,1377.796,11.153,69.153,60.279,0.582,0,10.583,306.36199999999997,2038.9450000000002,2345.3070000000002,1333.704,227.861,3451.1500000000005,0,251.629,3199.5210000000006,2018,4
,2018-05-01,892.977,310.134,8.332,397.342,161.511,15.658,1048.357,28.063,26.666,73.196,0.44,0,10.583,289.876,1790.406,2080.282,1647.68,165.599,3562.3630000000003,0,236.827,3325.536,2018,5
,2018-06-01,832.874,259.374,5.221,379.027,172.834,16.418,1036.72,25.803,46.516,66.04,0.459,0,10.583,311.652,1707.3430000000003,2018.9950000000003,1717.75,157.759,3578.9860000000003,0,222.611,3356.3750000000005,2018,6
,2018-07-01,1169.528,433.706,4.895,516.591,194.76,19.576,1386.038,27.065,43.363,79.336,0.12,0,10.583,344.644,2371.389,2716.0330000000004,1337.86,462.956,3590.937,0,238.51,3352.4269999999997,2018,7
,2018-08-01,1106.528,411.0400000000001,6.607,475.032,194.621,19.228,1208.631,15.221,27.803,83.857,0.382,0,10.583,321.884,2131.121,2453.005,1567.02,339.07,3680.955,0,248.597,3432.3579999999997,2018,8
,2018-09-01,1096.233,404.1679999999999,5.824,481.657,190.023,14.561,1351.823,13.27,37.198,79.993,0.57,0,10.583,321.05400000000003,2268.616,2589.67,1328.002,418.089,3499.583,0,226.987,3272.596,2018,9
,2018-10-01,1222.415,441.73400000000004,4.165,549.888,209.29,17.338,1289.828,13.634,61.829,62.873,0.691,0,10.583,348.31699999999995,2313.536,2661.853,1507.054,509.102,3659.8050000000003,0,262.93,3396.8750000000005,2018,10
,2018-11-01,1377.556,392.096,5.547,756.325,206.021,17.567,1096.257,15.632,47.708,36.109,0.582,0,10.583,306.05199999999996,2278.3750000000005,2584.4270000000006,1501.478,361.63,3724.2750000000005,0,288.511,3435.7640000000006,2018,11
,2018-12-01,1357.761,384.92099999999994,6.268,794.655,157.065,14.852,1356.105,16.96,71.549,20.784,0.356,0,10.583,266.714,2567.384,2834.098,1896.328,830.955,3899.4709999999995,0,364.413,3535.0579999999995,2018,12
,2019-01-01,1579.142,383.10500000000025,5.015,1010.449,165.252,15.321,1444.952,19.004,83.784,31.744,0.873,0,8.5,300.657,2867.342,3167.9990000000003,1969.064,997.357,4139.706,0,384.043,3755.663,2019,1
,2019-02-01,1105.267,332.87299999999993,5.331,577.991,173.502,15.57,1012.346,19.491,74.139,76.343,0.783,0,8.5,344.25800000000004,1952.6109999999999,2296.8689999999997,1730.463,363.311,3664.0209999999993,0,306.335,3357.6859999999992,2019,2
,2019-03-01,1115.555,372.43500000000006,4.734,516.163,202.145,20.078,1083.407,18.373,73.813,122.071,0.79,0,8.5,417.19200000000006,2005.317,2422.509,1847.462,478.972,3790.999,0,295.448,3495.551,2019,3
,2019-04-01,940.606,262.43600000000004,5.677,478.153,174.083,20.257,1337.388,25.15,72.991,133.535,0.775,0,8.5,406.534,2112.411,2518.945,1706.992,703.802,3522.1349999999998,0,249.009,3273.1259999999997,2019,4
,2019-05-01,801.997,210.48199999999997,4.327,413.837,154.031,19.32,1249.094,14.483,76.755,122.662,0.767,0,8.5,368.69800000000004,1905.56,2274.258,1833.499,448.069,3659.6879999999996,0,238.884,3420.8039999999996,2019,5
,2019-06-01,971.953,298.606,8.032,483.382,165.362,16.571,1201.304,18.037,31.658,190.405,0.567,0,8.5,406.029,2016.395,2422.424,1517.697,268.176,3671.945,0,226.423,3445.522,2019,6
,2019-07-01,1239.631,382.2460000000001,7.931,636.088,191.128,22.238,1390.423,17.8,34.08,191.161,0.63,0,8.5,434.799,2447.4260000000004,2882.2250000000004,1342.768,535.218,3689.7750000000005,0,243.638,3446.1370000000006,2019,7
,2019-08-01,1140.778,306.49,6.186,651.359,156.588,20.155,1271.773,15.201,29.732,193.702,0.601,0,8.5,395.82399999999996,2264.4629999999997,2660.287,1623.117,621.916,3661.4879999999994,0,254.408,3407.0799999999995,2019,8
