GWh,ITALY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-11-01,19053.22,3202.202000000001,1051.704,12805.575,1768.079,225.66,0,2102.496,1515.326,1039.622,479,0,48.573,6904.523,17333.714,24238.237,2990.992,308.014,26921.215,253.806,1548.952,25118.457,2017,11
,2017-12-01,17913.952,3010.7300000000014,988.819,12039.878,1662.358,212.167,0,2351.673,2237.34,902.167,501.139,0,48.573,7654.677000000001,16300.167000000001,23954.844,3661.99,310.014,27306.820000000003,319.796,1571.001,25416.023000000005,2017,12
,2018-01-01,16538.172,2664.618999999999,949.372,11064.327,1648.627,211.227,0,2767.248,2013.386,1001.051,498.269,0,44.414,7928.581000000001,14933.958999999999,22862.54,4897.75,325.724,27434.566000000003,230.917,1527.015,25676.634000000002,2018,1
,2018-02-01,15984.913,2575.478000000001,917.612,10694.187,1593.475,204.161,0,2635.522,1719.387,1023.427,448.845,0,44.414,7420.655999999999,14435.852000000003,21856.508,4609.346,199.704,26266.149999999998,198.817,1455.812,24611.520999999997,2018,2
,2018-03-01,15619.384,2516.583999999999,896.629,10449.642,1557.037,199.492,0,3229.299,2455.398,1642.152,496.251,0,44.414,9380.137,14106.761,23486.898,4730.623,178.257,28039.264,296.154,1552.166,26190.944,2018,3
,2018-04-01,11859.807,1910.844000000001,680.811,7934.418,1182.259,151.475,0,4737.049,1237.837,2362.053,480.113,0,44.414,9999.311,10721.962000000001,20721.273,4003.134,337.107,24387.3,309.616,1360.02,22717.664,2018,4
,2018-05-01,12428.958,2002.5449999999983,713.483,8315.191,1238.995,158.744,0,6604.51,921.535,2370.808,490.2,0,44.414,11626.048000000003,11234.377,22860.425000000003,3670.848,370.498,26160.775,208.136,1459.41,24493.229000000003,2018,5
,2018-06-01,13048.767,2102.4080000000013,749.063,8729.854,1300.782,166.66,0,6097.874,1437.554,2718.112,470.027,0,44.414,12024.349,11792.399000000001,23816.748,3612.23,274.837,27154.141,143.935,1508.79,25501.416,2018,6
,2018-07-01,16484.535,2655.9770000000008,946.293,11028.443,1643.28,210.542,0,5033.937,1240.878,2887.386,474.061,0,44.414,11279.542,14885.669,26165.211,4685.101,327.106,30523.206,139.793,1696.988,28686.425,2018,7
,2018-08-01,15685.934,2527.306999999997,900.449,10494.165,1563.671,200.342,0,4329.714,760.342,2614.991,476.079,0,44.414,9744.797,14166.677,23911.474000000002,2992.172,285.495,26618.151,112.87,1479.893,25025.388000000003,2018,8
,2018-09-01,16804.372,2707.508999999998,964.653,11242.419,1675.164,214.627,0,3442.087,959.045,2287.144,468.009,0,44.414,8831.449,15173.622,24005.071,3167.489,149.101,27023.459000000003,104.586,1494.686,25424.187,2018,9
,2018-10-01,16583.862,2671.9799999999996,951.994,11094.895,1653.182,211.811,0,2833.11,1495.34,1563.352,487.174,0,44.414,8032.158,14975.094000000001,23007.252,4064.514,112.196,26959.57,160.503,1489.141,25309.926,2018,10
,2018-11-01,16559.031,2667.9799999999996,950.569,11078.282,1650.706,211.494,0,4595.191,1379.768,908.632,470.027,0,44.414,9004.324,14952.739,23957.063000000002,2770.462,300.489,26427.036,166.716,1470.205,24790.115,2018,11
,2018-12-01,16205.421,2611.0059999999994,930.27,10841.711,1615.457,206.977,0,3623.463,1936.338,886.256,498.269,0,44.414,8559.783,14634.378,23194.161,3966.536,410.902,26749.795000000002,240.237,1494.033,25015.525,2018,12
,2019-01-01,19180.521,2129.612000000001,1017.381,14197.578,1592.602,243.348,0,2765.004,2308.046,1015.991,495.983,0,47.449,8177.626,17635.368000000002,25812.994000000002,3351.995,530.973,28634.016000000003,255.022,1584.718,26794.276,2019,1
,2019-02-01,14866.672,1624.5640000000003,776.104,10830.557,1449.81,185.637,0,2591.004,2329.047,1546.986,437.985,0,47.449,8354.832,13464.311000000003,21819.143000000004,4154.994,325.984,25648.153000000002,187.016,1411.339,24049.798000000003,2019,2
,2019-03-01,15456.875,1673.438,799.453,11156.384,1636.378,191.222,0,2194.003,2486.05,2276.979,481.983,0,47.449,9075.393,13867.946,22943.339,4202.994,418.979,26727.354,226.02,1475.032,25026.302,2019,3
,2019-04-01,14302.393,1541.346999999998,736.349,10275.77,1572.799,176.128,0,3456.004,1495.03,2138.98,472.984,0,47.449,9135.797,12777.043,21912.84,3038.996,508.974,24442.862,232.02,1355.791,22855.051,2019,4
,2019-05-01,13292.473,1421.7129999999997,679.196,9478.196,1550.911,162.457,0,4948.006,1655.033,2295.979,490.983,0,47.449,10940.912,11789.011,22729.923000000003,3547.995,410.979,25866.939000000002,204.018,1427.845,24235.076,2019,5
,2019-06-01,14267.501,1552.2669999999998,741.565,10348.567,1447.726,177.376,0,6013.007,997.02,2929.973,467.984,0,47.449,11855.710000000001,12867.224,24722.934,3693.995,408.979,28007.95,186.016,1544.071,26277.863,2019,6
,2019-07-01,17694.054,1952.2749999999996,932.662,13015.318,1570.715,223.084,0,5246.006,1240.025,2857.973,479.983,0,47.449,11394.702000000001,16170.788,27565.49,4118.994,587.97,31096.514,139.012,1721.618,29235.884,2019,7
,2019-08-01,15742.005,1713.1369999999988,818.418,11421.047,1593.645,195.758,0,4367.005,714.014,2679.975,483.983,0,47.449,9838.622,14195.809,24034.430999999997,2782.996,558.972,26258.454999999994,129.011,1457.16,24672.283999999996,2019,8
,2019-09-01,16462.806,1807.8600000000006,863.67,12052.544,1532.15,206.582,0,3585.004,1189.024,2156.98,468.984,0,47.449,8932.142,14978.105000000001,23910.247000000003,3343.995,581.971,26672.271,157.014,1480.895,25034.362,2019,9
,2019-10-01,16744.946,1831.168999999998,874.806,12207.94,1621.786,209.245,0,3007.004,1025.02,1666.984,481.983,0,47.449,7802.777,15170.609,22973.386,4182.994,493.975,26662.405,271.024,1475.578,24915.803,2019,10
,2019-11-01,14692.206,1592.3329999999987,760.707,10615.681,1541.531,181.954,0,4719.006,2173.043,871.992,464.984,0,47.449,9770.556,13198.124,22968.68,3600.995,451.977,26117.698,199.017,1443.698,24474.983,2019,11
,2019-12-01,14045.178,1504.902,718.938,10032.8,1616.575,171.963,0,4699.006,2423.048,880.992,460.984,0,47.449,10080.605000000001,12476.052,22556.657,3953.995,553.972,25956.679999999997,284.025,1440.491,24232.163999999997,2019,12
,2020-01-01,17311.905316,1260.4161759999988,942.707844,13280.390856,1591.628247,236.762193,0,3475.334333,1685.982426,1174.378701,488.987563,0,44.10055,8416.31127,15764.377618999999,24180.688888999997,4069,749,27500.688888999997,171,1603.899506,25725.789382999996,2020,1
,2020-02-01,14561.182742,1051.0345930000003,786.104283,11074.239174,1452.373669,197.431023,0,2673.487919,2350.975494,1672.192258,459.988301,0,44.10055,8609.017641,13152.909623,21761.927263999998,4622,549,25834.927263999998,186,1497.969343,24150.957920999997,2020,2
,2020-03-01,13029.79098,918.0784110000004,686.661863,9673.344702,1579.250062,172.455942,0,2877.448852,1754.981706,1946.085818,497.987335,0,44.10055,8655.753773,11494.641468,20150.395241,4434,499,24085.395241,304,1395.79942,22385.595821,2020,3
,2020-04-01,11344.861241,784.0597240000006,586.424759,8261.255122,1565.840362,147.281274,0,3640.302735,1254.986918,2598.62521,476.987869,0,44.10055,9536.743094000001,9823.121429,19359.864523000004,1797,984,20172.864523000004,301,1201.198522,18670.666001000005,2020,4
,2020-05-01,11350.84324,782.5544370000007,585.298904,8245.394653,1590.596732,146.998514,0,5187.006478,1724.982019,2691.845124,478.987818,0,44.10055,11673.418171,9804.347058,21477.765228999997,2326,1046,22757.765228999997,255,1351.478504,21151.286724999998,2020,5
,2020-06-01,13364.782928,943.4486249999991,705.637102,9940.658267,1597.817339,177.221595,0,5414.962815,1572.983604,2749.506926,441.988759,0,44.10055,11777.259443,11811.066139,23588.325582,1566,1051,24103.325582,136,1428.157688,22539.167894000002,2020,6
,2020-07-01,16478.413445,1195.5735969999987,894.209888,12597.176208,1566.871878,224.581874,0,4820.07676,974.989837,3089.711558,462.988225,0,44.10055,10914.638257999999,14955.642116999998,25870.280374999995,3542,495,28917.280374999995,132,1669.906601,27115.373773999996,2020,7
,2020-08-01,15765.558556,1138.004986,851.152378,11990.603808,1572.029454,213.76793,0,4321.172321,1205.987429,2747.584866,469.988047,0,44.10055,10316.762117,14237.629652,24554.391769,2186,654,26086.391769,153,1518.20791,24415.183859,2020,8
,2020-09-01,16408.623456,1187.5795609999986,888.230879,12512.946953,1596.785824,223.080239,0,4045.225176,1349.985928,2261.303669,453.988454,0,44.10055,9707.289051000002,14855.938182,24563.227233,2519,458,26624.227233,194,1537.615902,24892.611331,2020,9
,2020-10-01,13909.144843,989.4927599999992,740.075068,10425.802891,1567.903393,185.870731,0,4477.142446,1604.98327,1759.645991,476.987869,0,44.10055,9886.662969,12385.341999999999,22272.004969,4306,175,26403.004969,277,1508.988265,24617.016704,2020,10
,2020-11-01,15308.932626,1101.3937530000003,823.769601,11604.849105,1572.029454,206.890713,0,3443.340461,1056.988982,1153.23604,461.98825,0,44.10055,7687.583186999999,13781.003722,21468.586908999998,4561,369,25660.586908999998,193,1477.851375,23989.735534,2020,11
,2020-12-01,16012.814517,1154.1077010000026,863.196145,12160.270288,1618.447647,216.792736,0,3614.307714,2008.979059,709.240165,474.98792,0,44.10055,8425.962505,14438.46742,22864.429925,3859,558,26165.429925,255,1517.244888,24393.185037,2020,12
,2021-01-01,16111.517502,1163.1793469999993,869.981135,12255.853794,1604.006432,218.496794,0,3742.283201,2663.972231,884.147631,464.988174,0,44.10055,9359.397669,14551.61162,23911.009289,3863,507,27267.009289,194,1576.892402,25496.116887,2021,1
,2021-02-01,13530.284902,970.9433829999998,726.201361,10230.357133,1420.396692,182.386333,0,3525.324758,1701.982259,1407.908999,426.98914,0,44.10055,8482.601848,12153.988759999998,20636.590608,4602,197,25041.590608,249,1432.941905,23359.648703,2021,2
,2021-03-01,14661.879727,1043.6424940000015,780.575484,10996.352243,1645.267047,196.042459,0,3194.388145,1853.980674,2325.692681,474.98792,0,44.10055,9494.316467,13060.713230000001,22555.029697,4469,206,26818.029697,240,1534.311689,25043.718008000003,2021,3
,2021-04-01,14023.799826,997.5276730000023,746.084651,10510.462849,1582.344608,187.380045,0,3185.389869,1575.983572,2313.199291,458.988326,0,44.10055,9115.905666,12485.555768,21601.461434,3188,310,24479.461434,264,1407.442223,22808.019211,2021,4
,2021-05-01,11304.981247,782.5990319999983,585.332258,8245.864527,1544.178539,147.006891,0,4598.119274,1985.979299,2849.454049,464.988174,0,44.10055,11442.719335,9804.903257999998,21247.622593,3675,227,24695.622593,284,1415.002559,22996.620034,2021,5
