GWh,ITALY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,17352.785,3353.9129999999986,1059.457,11017.092,1703.812,218.511,0,2302.875,1960.608,975.663,509.174,0,54.167,7452.1320000000005,15703.14,23155.272,4474,514.916,27114.356,212.794,1604.701,25296.861,2016,1
,2016-02-01,15092.156,2916.983000000002,921.436,9581.844,1481.848,190.045,0,2670.134,2219.613,1112.7,474.162,0,54.167,7958.456999999999,13664.475,21622.932,5078,463.925,26237.007,215.848,1550.783,24470.376,2016,2
,2016-03-01,15149.965,2928.156000000001,924.966,9618.546,1487.524,190.773,0,3206.024,1707.627,1749.631,505.172,0,54.167,8655.978,13716.608,22372.586,4912,554.91,26729.676,188.358,1584.682,24956.636,2016,3
,2016-04-01,12686.498,2452.021999999999,774.561,8054.518,1245.645,159.752,0,3893.989,1585.151,2122.14,485.165,0,54.167,9332.09,11495.019999999999,20827.11,4106,618.899,24314.211,261.665,1448.109,22604.436999999998,2016,4
,2016-05-01,13201.706,2551.6000000000004,806.017,8381.618,1296.231,166.24,0,4336.77,1710.638,2440.606,498.17,0,54.167,10282.415,11959.642,22242.057,3662,534.913,25369.144,245.375,1504.501,23619.268,2016,5
,2016-06-01,12769.662,2468.0959999999995,779.639,8107.318,1253.81,160.799,0,5842.019,1147.453,2485.963,481.164,0,54.167,11210.409,11570.019,22780.428,3473,460.925,25792.503,138.469,1524.792,24129.242000000002,2016,6
,2016-07-01,16337.58,3157.6960000000017,997.474,10372.55,1604.132,205.728,0,5222.332,874.393,2717.574,488.166,0,54.167,10906.597,14787.615,25694.212,4414,496.919,29611.292999999998,105.888,1748.678,27756.727,2016,7
,2016-08-01,13993.788,2704.691999999999,854.377,8884.502,1374.003,176.214,0,4219.868,1174.558,2705.029,494.168,0,54.167,9967.626,12673.952,22641.578,2817,654.894,24803.684,147.632,1478.628,23177.424000000003,2016,8
,2016-09-01,17383.209,3359.792999999998,1061.314,11036.409,1706.799,218.894,0,3239.129,881.42,2053.621,474.162,0,54.167,8355.131,15730.576999999997,24085.708,3305,403.934,26986.773999999998,169.013,1590.846,25226.914999999997,2016,9
,2016-10-01,17986.653,3476.4259999999977,1098.157,11419.528,1766.049,226.493,0,2760.139,1250.854,1485.208,495.169,0,54.167,7757.419,16274.770999999997,24032.189999999995,2746,452.926,26325.263999999996,211.776,1555.271,24558.216999999997,2016,10
,2016-11-01,18371.03,3550.7169999999987,1121.625,11663.565,1803.79,231.333,0,3326.03,1519.898,977.593,466.159,0,54.167,8093.469999999999,16621.407,24714.877,2322,441.928,26594.949,299.337,1570.295,24725.317,2016,11
,2016-12-01,19795.968,3826.126,1208.623,12568.242,1943.7,249.277,0,2765.312,1490.785,931.271,496.169,0,54.167,7627.236999999999,17906.435,25533.672,1872,554.91,26850.762,271.847,1591.715,24987.199999999997,2016,12
,2017-01-01,21112.515,3548.2999999999993,1165.374,14189.616,1959.175,250.05,0,2805.996,1804.534,1046.398,507.176,0,48.573,8123.279,19201.913,27325.192000000003,2072.994,803.036,28595.15,269.034,1672.335,26653.781000000003,2017,1
,2017-02-01,16868.788,2835.0730000000003,931.127,11337.429,1565.37,199.789,0,2250.602,1542.439,1154.813,456.861,0,48.573,6970.085,15351.991000000002,22322.076,3567.99,383.017,25507.049,214.212,1472.773,23820.064,2017,2
,2017-03-01,14634.3,2459.530999999999,807.788,9835.64,1358.017,173.324,0,2649.885,1943.112,2247.675,504.158,0,48.573,8702.847,13324.856,22027.703,5154.986,404.018,26778.671000000002,192.893,1546.305,25039.473,2017,3
,2017-04-01,13818.391,2322.4039999999986,762.751,9287.272,1282.303,163.661,0,2760.964,1374.739,2412.233,482.019,0,48.573,8312.258,12584.661,20896.919,3612.99,537.024,23972.885,251.776,1394.262,22326.846999999998,2017,4
,2017-05-01,14201.817,2386.845000000001,783.915,9544.971,1317.884,168.202,0,3898.774,1256.245,2725.862,491.076,0,48.573,9689.841,12932.506,22622.347,3700.99,498.022,25825.315,207.106,1497.42,24120.788999999997,2017,5
,2017-06-01,16351.212,2748.0859999999993,902.558,10989.568,1517.341,193.659,0,4721.359,918.836,2753.934,475.981,0,48.573,10387.451000000001,14882.444,25269.895,3289.991,461.021,28098.864999999998,174.619,1624.647,26299.599,2017,6
,2017-07-01,17311.28,2909.440999999999,955.552,11634.826,1606.432,205.029,0,4437.156,1260.261,2926.236,495.101,0,48.573,10725.186,15753.420999999998,26478.606999999996,4160.988,508.023,30131.571999999996,131.979,1742.953,28256.639999999996,2017,7
,2017-08-01,16096.928,2705.3489999999983,888.522,10818.666,1493.744,190.647,0,3862.748,1083.524,2826.533,481.013,0,48.573,9747.562,14651.756999999998,24399.318999999996,3011.992,372.017,27039.293999999994,146.192,1559.31,25333.791999999994,2017,8
,2017-09-01,15259.996,2564.6889999999985,842.325,10256.168,1416.079,180.735,0,3487.481,1358.672,2124.74,464.912,0,48.573,8851.884,13892.489999999998,22744.373999999996,3886.989,347.016,26284.346999999998,142.131,1514.942,24627.273999999998,2017,9
,2017-10-01,17100.045,2873.9389999999985,943.892,11492.856,1586.83,202.528,0,2227.585,1270.303,1856.606,483.025,0,48.573,7424.348999999999,15561.787999999999,22986.137,3781.99,203.009,26565.118000000002,174.619,1522.722,24867.777000000002,2017,10
