GWh,UNITEDKINGDOM,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,19697.703,4983.594000000001,87.16,11271.349,2940.014,415.586,5537.418,1056.737,4661.624,361.027,0,0.001,0,9019.403,22295.107000000004,31314.510000000002,1998.164,189.448,33123.226,353.495,3212.079,29557.652000000002,2016,1
,2016-02-01,18473.01,5186.427,78.913,10129.451,2692.256,385.963,5089.908,948.789,3902.7,511.982,0,0.001,0,8055.728,20870.661999999997,28926.389999999996,2138.279,99.631,30965.037999999993,334.84,2999.147,27631.050999999992,2016,2
,2016-03-01,19757.61,4312.672999999999,83.216,12081.825,2870.484,409.412,5121.012,814.1,3058.412,593.424,0,0.001,0,7336.420999999999,22008.138,29344.558999999997,2300.3,93.402,31551.457,341.971,2886.445,28323.040999999997,2016,3
,2016-04-01,17254.748,1939.0379999999986,206.537,11995.742,2735.186,378.245,4837.042,683.515,2845.952,1314.827,0,0.001,0,7579.481000000001,19356.604,26936.085,1946.992,103.414,28779.662999999997,322.88,2526.845,25929.938,2016,4
,2016-05-01,15028.498,1057.2660000000014,206.699,10609.996,2768.834,385.703,5050.244,535.653,2740.685,1471.87,0,0.001,0,7517.043000000001,17309.908,24826.951,2054.711,132.434,26749.228,308.334,1867.575,24573.319,2016,5
,2016-06-01,15118.957,1490.0100000000002,214.191,10798.085,2249.404,367.267,5242.982,383.834,1595.91,1320.122,0,0.001,0,5549.271000000001,18112.535,23661.806,1711.087,82.663,25290.23,317.072,1889.549,23083.609,2016,6
,2016-07-01,13666.007,924.893,149.969,10410.46,1789.718,390.967,5804.092,570.259,2405.85,1416.217,0,0.001,0,6182.045,17680.381,23862.426,1836.121,62.537,25636.01,293.508,1754.979,23587.522999999997,2016,7
,2016-08-01,13230.42,598.860999999999,151.587,10397.528,1691.736,390.708,5712.369,604.846,2823.751,1383.05,0,0.001,0,6503.384000000001,17251.053,23754.437,1941.659,119.97,25576.126,324.815,1650.78,23600.531,2016,8
,2016-09-01,14430.979,1115.2450000000008,155.398,10786.951,1998.009,375.376,5612.36,625.243,2944.234,1063.953,0,0.001,0,6631.4400000000005,18045.329999999998,24676.769999999997,1253.119,127.865,25802.023999999994,305.26,1879.859,23616.904999999995,2016,9
,2016-10-01,17306.246,1992.7189999999991,161.545,12882.057,1876.829,393.096,5555.052,624.443,2759.112,505.934,0,0.001,0,5766.319,20984.468999999997,26750.787999999997,900.943,480.356,27171.374999999996,378.884,1606.572,25185.918999999998,2016,10
,2016-11-01,19486.63,3339.3420000000024,161.478,13242.475,2359.99,383.345,5759.842,646.182,3339.273,297.15,0,0.001,0,6642.596,22886.482000000004,29529.078,1055.375,489.718,30094.735,367.247,1904.658,27822.83,2016,11
,2016-12-01,19473.982,3205.5059999999994,156.398,12868.351,2850.646,393.081,5826.764,774.649,4081.92,155.549,0,0.001,0,7862.765,22450.1,30312.864999999998,881.173,291.427,30902.610999999997,366.034,2151.987,28384.589999999997,2016,12
,2017-01-01,22884.213,4967.812000000002,181.717,14469.723,2918.857,346.104,5352.472,881.489,3862.591,378.107,0,0.35,0,8041.394,25317.828,33359.222,760.102,631.566,33487.758,395.377,3031.119,30061.262000000002,2017,1
,2017-02-01,17064.576,3723.147000000001,161.095,10218.759,2647.226,314.349,5278.298,757.744,4591.569,443.679,0,0.35,0,8440.568000000001,19695.648,28136.216,1180.323,178.356,29138.183,328.31,2803.639,26006.234,2017,2
,2017-03-01,16588.775,1620.3960000000025,179.078,11564.659,2880.41,344.232,5395.482,951.083,4289.936,756.725,0,0.35,0,8878.504,19103.847,27982.351000000002,1392.878,71.977,29303.252000000004,350.412,2786.921,26165.919000000005,2017,3
,2017-04-01,14199.061,460.15099999999984,57.737,10864.671,2510.797,305.705,4894.133,563.727,3456.486,1462.504,0,0.35,0,7993.8640000000005,16582.396999999997,24576.261,1951.068,47.892,26479.436999999998,303.315,2449.966,23726.156,2017,4
,2017-05-01,14275.196,604.4710000000014,61.326,10403.748,2881.093,324.558,5545.828,467.867,2978.051,1535.75,0,0.35,0,7863.111000000001,16939.931000000004,24803.042000000005,1717.023,28.224,26491.841000000008,335.712,1799.715,24356.414000000008,2017,5
,2017-06-01,12095.184,468.28399999999965,62.254,9106.086,2135.604,322.956,5757.302,526.104,3637.77,1527.242,0,0.35,0,7827.07,15716.882,23543.951999999997,1532.082,101.604,24974.429999999997,300.221,1825.897,22848.311999999998,2017,6
,2017-07-01,13404.471,447.76800000000185,148.863,9775.571,2694.273,337.996,5340.002,536.857,2891.39,1527.722,0,0.35,0,7650.592000000001,16050.2,23700.792,2077.793,56.149,25722.436,335.371,2032.017,23355.048000000003,2017,7
,2017-08-01,12814.156,516.1049999999996,148.313,9100.468,2709.797,339.473,5732.696,647.853,2991.728,1354.646,0,0.35,0,7704.374000000001,15837.055,23541.429,2080.443,81.739,25540.132999999998,251.076,1799.807,23489.25,2017,8
,2017-09-01,13506.246,1175.4839999999986,141.789,9817.143,2047.863,323.967,5433.008,720.22,3696.109,1128.527,0,0.35,0,7593.069,16891.391,24484.46,1629.761,42.382,26071.838999999996,259.649,1945.608,23866.581999999995,2017,9
,2017-10-01,14353.915,982.228000000001,130.723,10879.949,2000.742,360.273,5442.725,890.102,5835.113,575.546,0,0.35,0,9301.853000000001,17795.898,27097.751000000004,1332.928,551.626,27879.053000000004,338.199,1931.298,25609.556000000004,2017,10
,2017-11-01,18777.837,3310.786,132.804,12506.521,2485.298,342.428,4853.208,854.095,5320.302,435.543,0,0.35,0,9095.588,21145.747,30241.335,995.02,1029.614,30206.740999999998,330.144,2045.043,27831.553999999996,2017,11
,2017-12-01,19094.539,3985.1630000000005,139.69,12034.121,2570.267,365.298,4861.707,882.351,6090.079,331.275,0,0.35,0,9874.322,21385.979,31260.301,1517.56,585.92,32191.941,331.407,2383.931,29476.603,2017,12
,2018-01-01,17426.954,1623.7000000000007,161.075,12940.263,2334.935,366.981,5037.648,839.142,6710.218,414.022,0,0.775,0,10299.092,20129.667,30428.759000000002,2288.085,139.304,32577.54,330.964,2892.398,29354.178,2018,1
,2018-02-01,16853.875,2936.469000000001,155.987,11173.864,2258.142,329.413,4908.772,756.003,5190.718,643.5,0,0.775,0,8849.137999999999,19504.505,28353.643,1861.253,207.22,30007.676,316.32,2483.869,27207.487,2018,2
,2018-03-01,18470.574,4126.7029999999995,181.045,11067.057,2737.885,357.884,5171.738,623.481,5461.797,711.308,0,0.775,0,9535.246000000001,20904.427,30439.673000000003,1694.194,120.962,32012.905000000002,364.39,3107.514,28541.001000000004,2018,3
,2018-04-01,14589.393,636.5059999999994,102.67,10845.485,2678.179,326.553,4979.119,659.287,4457.651,1326.152,0,0.775,0,9122.044,16890.333,26012.377,1804.056,113.319,27703.114,318.033,2520.63,24864.451,2018,4
,2018-05-01,13663.183,299.45300000000134,91.814,9941.312,2977.474,353.13,4964.193,536.947,3243.704,1777.234,0,0.775,0,8536.134,15649.902000000002,24186.036,1918.596,133.155,25971.477000000003,280.24,1748.376,23942.861000000004,2018,5
,2018-06-01,13074.662,270.1880000000001,83.874,9826.402,2560.703,333.495,5161.311,384.404,2436.308,1786.439,0,0.775,0,7168.629,15675.27,22843.899,1797.029,122.247,24518.681,298.568,1342.684,22877.429,2018,6
,2018-07-01,14340.776,190.2029999999977,91.084,11104.556,2631.617,323.316,5169.181,307.993,2086.265,1733.453,0,0.775,0,6760.102999999999,16878.34,23638.443,2088.23,108.38,25618.292999999998,256.68,1569.09,23792.522999999997,2018,7
,2018-08-01,12922.36,297.7910000000029,95.846,9286.613,2900.781,341.329,5431.692,423.052,3408.362,1443.732,0,0.775,0,8176.701999999999,15453.271,23629.972999999998,1843.546,155.165,25318.353999999996,250.476,1614.892,23452.985999999997,2018,8
,2018-09-01,11949.168,1360.7469999999994,106.968,7306.184,2856.221,319.048,5065.141,633.454,5050.878,1326.712,0,0.775,0,9868.039999999999,14158.088,24026.127999999997,1486.267,226.107,25286.287999999997,220.096,1670.585,23395.606999999996,2018,9
