GWh,AUSTRIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-12-01,2029.529,418.1640000000002,59.356,1083.425,411.274,57.31,0,3077.246,736.833,34.794,0.007,0,0.854,4260.1539999999995,1619.1090000000002,5879.263,2883.901,1834.635,6928.529,564.427,328.231,6035.871,2017,12
,2018-01-01,2143.511,402.4169999999999,67.52,1210.746,405.095,57.733,0,3835.505,546.716,47.039,0.019,0,0.946,4834.374000000001,1739.3619999999999,6573.736000000001,2315.738,1820.609,7068.865,510.234,330.407,6228.224,2018,1
,2018-02-01,2239.109,398.9869999999996,66.717,1335.838,376.158,61.409,0,2850.949,416.138,77.066,0.019,0,0.699,3720.3299999999995,1863.6499999999996,5583.98,2279.338,1528.207,6335.110999999999,335.387,308.521,5691.202999999999,2018,2
,2018-03-01,1982.073,421.8120000000001,48.107,1044.847,410.762,56.545,0,2809.768,516.403,130.162,0.019,0,0.85,3867.1139999999996,1572.161,5439.275,2850.85,1389.088,6901.037,399.682,305.521,6195.834000000001,2018,3
,2018-04-01,1052.473,225.28099999999995,57.642,336.891,372.549,60.11,0,4248.614,612.826,163.669,0.019,0,1.292,5397.677,681.216,6078.893,1560.558,1559.775,6079.6759999999995,520.837,245.363,5313.476,2018,4
,2018-05-01,899.081,192.77800000000002,63.597,219.365,359.669,63.672,0,4772.258,294.36,167.535,0.019,0,1.434,5593.840999999999,540.846,6134.687,1548.868,1911.764,5771.791,410.447,265.705,5095.639,2018,5
,2018-06-01,932.663,166.649,52.453,278.831,375.782,58.948,0,4186.52,446.337,159.803,0.019,0,1.271,5168.461000000001,558.1519999999999,5726.613000000001,1623.205,1649.703,5700.115000000002,322.394,257.967,5119.754000000002,2018,6
,2018-07-01,960.628,138.94100000000003,66.035,323.575,377.615,54.462,0,3374.006,368.864,166.246,0.019,0,1.141,4286.75,584.154,4870.904,2102.712,1332.308,5641.308,271.525,247.369,5122.414,2018,7
,2018-08-01,1073.441,109.78300000000002,62.99,448.147,399.226,53.295,0,2685.659,289.29,159.803,0.019,0,0.958,3533.997,675.173,4209.17,2587.895,1079.656,5717.409000000001,365.68,250.064,5101.665000000001,2018,8
,2018-09-01,1263.782,173.63899999999967,30.668,602.975,409.831,46.669,0,2808.617,350.696,128.1,0.019,0,1.061,3697.263,855.0119999999997,4552.275,2498.914,1259.804,5791.385,503.472,239.969,5047.944,2018,9
,2018-10-01,1694.346,403.24400000000014,36.015,839.916,366.513,48.658,0,2369.151,666.212,96.655,0.019,0,0.967,3498.5499999999997,1328.8000000000002,4827.35,2971.333,1645.452,6153.231000000001,550.867,273.958,5328.406000000001,2018,10
,2018-11-01,2139.091,406.2850000000001,60.619,1220.027,394.061,58.099,0,2496.172,499.479,50.647,0.019,0,0.934,3440.3779999999997,1745.964,5186.342,2678.871,1605.032,6260.181,425.619,291.714,5542.848,2018,11
,2018-12-01,2581.655,409.3230000000003,69.956,1589.123,450.178,63.075,0,2839.138,738.874,39.822,0.019,0,0.973,4068.0309999999995,2132.4500000000003,6200.481,3057.854,2347.935,6910.4,518.128,319.427,6072.844999999999,2018,12
,2019-01-01,2616.524,366.10899999999947,65.873,1708.608,404.163,71.771,0,3114.984,847.01,55.306,0.016,0,0.869,4421.478999999999,2213.2299999999996,6634.708999999999,2916.255,2382.014,7168.95,450.851,348.378,6369.721,2019,1
,2019-02-01,2181.299,354.4749999999999,57.805,1343.042,363.653,62.324,0,2620.46,694.837,90.612,0.016,0,0.782,3769.5780000000004,1818.4279999999999,5588.006,2609.919,1900.847,6297.0779999999995,351.489,283.383,5662.205999999999,2019,2
,2019-03-01,1574.462,321.29999999999995,46.448,744.257,404.317,58.14,0,3875.185,706.257,153.04,0.016,0,1.015,5138.815,1171.16,6309.974999999999,2591.619,2189.044,6712.549999999999,409.49,284.281,6018.7789999999995,2019,3
,2019-04-01,1393.49,274.51,61.66,589.091,400.04,68.189,0,4027.514,751.759,192.436,0.016,0,1.224,5371.764999999999,994.674,6366.438999999999,1749.688,2148.059,5968.067999999999,383.434,251.368,5333.266,2019,4
,2019-05-01,914.568,244.49,60.88,157.199,389.483,62.516,0,4514.383,777.407,196.982,0.016,0,1.328,5878.271,526.413,6404.683999999999,1589.11,1815.111,6178.682999999999,433.344,249.333,5496.005999999999,2019,5
,2019-06-01,1008.13,258.693,52.878,255.806,385.113,55.64,0,4949.416,376.632,187.89,0.016,0,1.318,5899.067,624.3349999999999,6523.402,1281.604,2094.171,5710.835000000001,485.675,250.834,4974.326000000001,2019,6
,2019-07-01,1360.324,295.4050000000002,58.837,542.42,399.937,63.725,0,3829.561,315.185,195.467,0.016,0,1.061,4740.166,961.4480000000002,5701.6140000000005,1833.456,1912.761,5622.309000000001,247.964,265.167,5109.178000000001,2019,7
,2019-08-01,1424.976,140.8340000000003,61.125,773.458,391.365,58.194,0,3540.387,300.467,187.89,0.016,0,0.942,4420.125,1034.5530000000003,5454.678,1718.215,1632.823,5540.07,261.076,259.361,5019.633,2019,8
,2019-09-01,1663.868,161.0229999999999,36.896,1030.921,379.16,55.868,0,2992.195,386.792,150.615,0.016,0,0.957,3908.778,1285.665,5194.442999999999,2225.062,1709.233,5710.271999999999,395.556,255.14,5059.575999999999,2019,9
,2019-10-01,2046.64,314.6500000000003,59.379,1313.434,301.426,57.751,0,2682.75,479.126,113.643,0.016,0,0.895,3576.961,1746.1090000000002,5323.07,2860.888,1983.569,6200.388999999999,468.977,279.287,5452.124999999999,2019,10
,2019-11-01,2051.314,271.2070000000001,52.235,1299.841,357.271,70.76,0,3091.948,717.072,59.549,0.016,0,0.962,4225.856,1695.0049999999999,5920.861,1985.627,1582.052,6324.436,429.861,274.179,5620.396,2019,11
,2019-12-01,2077.747,267.13300000000004,49.345,1322.389,368.908,69.972,0,2744.556,809.225,46.821,0.016,0,0.878,3969.526,1709.7169999999999,5679.2429999999995,2685.404,1568.58,6796.066999999999,547.239,303.828,5944.999999999999,2019,12
,2020-01-01,2670.927049,304.7277509999999,61.69035,1852.145086,379.959614,72.404248,0,2542.213762,402.292687,66.381493,0.00584,0,0.53567,3390.8533959999995,2291.503105,5682.356500999999,3046.588919,1956.812814,6772.132606,345.96887,330.646692,6095.517044,2020,1
,2020-02-01,1800.997735,286.78103099999976,62.920849,1028.721937,356.327344,66.246574,0,3087.378241,1046.563833,108.756528,0.00584,0,0.648592,4599.031786,1445.318983,6044.350769,2607.285721,2075.413694,6576.222796000001,442.179442,308.609323,5825.434031000001,2020,2
,2020-03-01,1790.414111,293.44747099999995,64.147451,989.584471,388.282055,54.952663,0,3335.305592,720.19592,183.685775,0.00584,0,0.688515,4627.475182,1402.820571,6030.295753,2135.32363,1759.507861,6406.111522,429.087438,271.830157,5705.193927,2020,3
,2020-04-01,1047.500886,136.7533410000001,37.41027,459.400312,363.117232,50.819731,0,3194.295994,382.123349,230.971222,0.00584,0,0.863521,4170.513637,685.2471750000001,4855.760812,1855.68453,1446.730753,5264.714589000001,473.986699,226.04766,4564.680230000001,2020,4
,2020-05-01,762.115395,145.20778500000006,44.171424,175.125428,343.855521,53.755237,0,3991.638115,641.66263,236.427235,0.00584,0,0.986883,5213.589341,419.24675700000006,5632.836098,1722.896644,1842.115884,5513.616858,482.957807,234.300637,4796.358414,2020,5
,2020-06-01,745.054846,140.56810200000007,53.16139,179.22629,322.444212,49.654852,0,4476.396209,590.752774,225.515209,0.00584,0,0.977968,5615.114244000001,423.58860200000004,6038.702846000001,1278.225351,2060.08997,5256.838227000001,384.146728,231.327858,4641.363641000001,2020,6
,2020-07-01,1086.437877,133.8845920000001,67.126771,470.484099,355.203861,59.738554,0,4569.038473,319.689063,234.608564,0.00584,0,1.007581,5478.545800999999,732.2415970000001,6210.7873979999995,1433.905592,2120.482216,5524.210773999999,351.156823,247.153808,4925.900142999999,2020,7
,2020-08-01,1076.594139,149.6668340000001,63.106286,439.29789,368.387885,56.135244,0,4236.471244,359.372645,225.515209,0.00584,0,0.952848,5189.752823000001,709.1591020000002,5898.911925000001,1634.342352,1985.277057,5547.977220000001,383.89856,243.39574,4920.682920000001,2020,8
,2020-09-01,1051.913238,148.55454900000018,60.023019,426.552937,368.767094,48.015639,0,4064.202196,410.149494,180.775901,0.00584,0,0.885227,5023.900525,684.0313710000001,5707.931896,1659.502437,1750.164571,5617.269762,387.046505,243.876843,4986.346414,2020,9
,2020-10-01,1467.218675,183.2622080000001,65.016096,798.222996,358.70337,62.014005,0,4034.679914,676.797094,136.400328,0.00584,0,0.883639,5206.586545999999,1109.398944,6315.985489999999,1915.211822,1841.170502,6390.0268099999985,431.937421,268.15418,5689.935208999998,2020,10
,2020-11-01,1842.739866,156.23075700000004,57.001058,1208.956354,352.499703,68.051994,0,3218.429456,358.716406,71.473772,0.00584,0,0.66834,4001.1251769999994,1490.9085029999999,5492.03368,2464.470038,1778.609606,6177.894112,289.494367,282.214111,5606.1856339999995,2020,11
,2020-12-01,2250.589001,177.55355099999997,59.549552,1506.815159,439.688503,66.982236,0,2680.112378,596.566778,56.196935,0.00584,0,0.534685,3772.5704339999993,1811.435183,5584.005616999999,2769.054965,1710.305071,6642.7555109999985,378.06134,304.264991,5960.429179999998,2020,12
,2021-01-01,2258.908198,175.01859400000012,56.681797,1533.831897,424.765678,68.610232,0,2490.902507,553.572578,66.381493,0.00584,0,0.510673,3535.6280959999995,1834.653193,5370.281289,2893.185164,1537.399315,6726.067137999999,387.772996,314.717042,6023.5770999999995,2021,1
,2021-02-01,1827.894644,167.273189,51.335064,1199.028621,349.097429,61.160341,0,3051.808885,447.550471,108.756528,0.00584,0,0.519349,3957.2191529999996,1479.3165639999997,5436.535716999999,2093.842497,1348.539466,6181.838747999998,299.169494,269.020102,5613.649151999998,2021,2
,2021-03-01,1835.34743,190.49696500000027,58.909448,1162.59406,372.216305,51.130652,0,2708.150836,573.848104,183.685775,0.00584,0,0.61559,3837.9068599999996,1463.7467150000002,5301.653575,2568.021775,1297.797603,6571.877747,296.882492,261.502382,6013.492873,2021,3
,2021-04-01,1510.365191,165.81929300000024,38.409675,884.157338,355.680616,66.298269,0,2866.84067,697.50897,230.971222,0.00584,0,0.778579,4151.007318,1155.4631540000003,5306.470472,2346.29692,1526.620968,6126.146424,416.17443,236.832674,5473.139319999999,2021,4
,2021-05-01,1008.561996,192.660797,60.319643,341.299309,354.520334,59.761913,0,4627.770263,749.563297,236.427235,0.00584,0,1.051907,5968.286969,655.0935690000001,6623.380537999999,1261.716388,1763.497798,6121.599127999999,504.069978,230.867792,5386.661357999999,2021,5
