GWh,PORTUGAL,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,2030.94,857.7990000000002,88.293,854.539,208.575,21.734,0,2219.711,1428.994,37.961,15.98,0,0,3911.2209999999995,1822.3650000000002,5733.585999999999,402.962,1305.04,4831.507999999999,200.901,473.766,4156.8409999999985,2016,1
,2016-02-01,1581.026,667.771,68.733,665.234,162.369,16.919,0,2402.18,1542.993,49.891,14.982,0,0,4172.414999999999,1418.657,5591.071999999999,256.976,1277.039,4571.008999999999,217.416,451.48,3902.1129999999994,2016,2
,2016-03-01,1848.228,780.6280000000002,80.35,777.661,189.811,19.778,0,1992.126,1205.995,75.921,14.982,0,0,3478.8349999999996,1658.4170000000001,5137.2519999999995,440.958,798.024,4780.185999999999,180.303,430.621,4169.261999999999,2016,3
,2016-04-01,1288.478,544.2090000000001,56.015,542.141,132.325,13.788,0,2536.526,1154.995,75.921,6.991,0,0,3906.7579999999994,1156.153,5062.910999999999,196.981,950.029,4309.862999999999,229.576,406.044,3674.2429999999995,2016,4
,2016-05-01,1515.94,640.2810000000002,65.904,637.848,155.685,16.222,0,2313.29,951.357,80.895,7.678,0,0,3508.9049999999997,1360.255,4869.16,214.215,850.697,4232.678,209.371,392.411,3630.8959999999997,2016,5
,2016-06-01,2290.377,967.376,99.572,963.7,235.219,24.51,0,1036.177,810.269,95.932,12.17,0,0,2189.767,2055.158,4244.924999999999,218.866,619.786,3844.004999999999,93.782,344.71,3405.512999999999,2016,6
,2016-07-01,3208.094,1354.9890000000003,139.468,1349.839,329.467,34.331,0,691.156,772.738,100.969,12.669,0,0,1906.999,2878.6270000000004,4785.626,505.271,618.148,4672.749,62.555,408.568,4201.626,2016,7
,2016-08-01,3097.253,1308.173,134.65,1303.201,318.084,33.145,0,623.135,840.159,97.818,12.364,0,0,1891.5600000000002,2779.1690000000003,4670.729,395.832,633.095,4433.466,56.399,391.243,3985.8240000000005,2016,8
,2016-09-01,3096.741,1307.957,134.627,1302.987,318.031,33.139,0,705.823,658.539,87.778,9.563,0,0,1779.7340000000002,2778.71,4558.444,396.983,589.685,4365.742,63.883,382.655,3919.204,2016,9
,2016-10-01,2771.245,1170.4789999999998,120.477,1166.03,284.603,29.656,0,764.006,725.801,63.97,14.71,0,0,1853.09,2486.642,4339.732,545.374,515.308,4369.798,69.149,377.205,3923.444,2016,10
,2016-11-01,2859.566,1207.783,124.316,1203.192,293.674,30.601,0,725.013,1167.705,51.253,14.141,0,0,2251.786,2565.8920000000003,4817.678,485.112,769.725,4533.065,65.619,409.45,4057.9959999999996,2016,11
,2016-12-01,3114.112,1315.2939999999999,135.383,1310.295,319.815,33.325,0,784.972,1083.553,52.295,15.77,0,0,2256.405,2794.2969999999996,5050.701999999999,556.469,774.425,4832.745999999999,71.046,432.951,4328.748999999999,2016,12
,2017-01-01,3187.454,1317.207,94.336,1472.049,278.269,25.593,0,993.016,1168.731,57.455,15.776,0,0,2513.2469999999994,2909.185,5422.431999999999,590.767,840.143,5173.055999999999,183.914,482.476,4506.665999999998,2017,1
,2017-02-01,2481.187,959.4169999999999,80.72,1162.614,255.395,23.041,0,1150.735,1327.256,51.231,15.053,0,0,2799.67,2225.7920000000004,5025.462,276.664,917.061,4385.0650000000005,128.269,412.715,3844.0810000000006,2017,2
,2017-03-01,2599.934,934.758,91.166,1276.458,273.354,24.198,0,1063.968,1282.827,75.97,16.729,0,0,2712.848,2326.58,5039.428,376.485,683.621,4732.2919999999995,241.142,435.513,4055.6369999999997,2017,3
,2017-04-01,2603.674,1074.7830000000001,94.455,1147.012,263.27,24.154,0,671.722,984.654,96.981,16.179,0,0,2032.806,2340.404,4373.21,466.466,576.196,4263.4800000000005,298.845,384.186,3580.4490000000005,2017,4
,2017-05-01,3098.513,1292.28,95.204,1459.681,239.028,12.32,0,587.312,825.889,95.236,16.374,0,0,1763.8390000000002,2859.485,4623.3240000000005,441.171,614.411,4450.084000000001,198.903,409.52,3841.661000000001,2017,5
,2017-06-01,3322.198,1253.0859999999998,106.056,1701.806,240.294,20.956,0,463.628,821.948,101.994,15.243,0,0,1643.1069999999997,3081.904,4725.0109999999995,387.619,632.366,4480.263999999999,151.485,416.793,3911.985999999999,2017,6
,2017-07-01,3677.027,1235.4029999999998,116.522,2037.818,262.355,24.929,0,388.184,905.308,109.387,16.15,0,0,1681.384,3414.6719999999996,5096.056,343.937,812.987,4627.005999999999,108.004,435.114,4083.8879999999995,2017,7
,2017-08-01,3799.189,1269.2820000000002,122.736,2116.312,266.738,24.121,0,425.369,831.331,105.962,15.901,0,0,1645.3010000000002,3532.451,5177.752,151.596,900.199,4429.149,110.017,415.721,3903.411,2017,8
,2017-09-01,3303.661,1252.737,111.513,1669.028,245.836,24.547,0,361.764,837.417,98.534,15.432,0,0,1558.9830000000002,3057.8250000000003,4616.808000000001,352.412,604.744,4364.4760000000015,115.296,409.548,3839.6320000000014,2017,9
,2017-10-01,2948.183,1220.2540000000001,112.336,1342.297,250.418,22.878,0,320.024,752.581,80.438,15.678,0,0,1419.1390000000004,2697.7650000000003,4116.904,720.868,372.994,4464.778000000001,162.006,416.729,3886.043000000001,2017,10
,2017-11-01,3111.776,1159.1380000000001,102.567,1580.86,250.418,18.793,0,434.311,986.141,64.35,16.723,0,0,1751.9429999999998,2861.358,4613.3009999999995,591.892,653.99,4551.2029999999995,219.008,419.793,3912.4019999999996,2017,11
