GWh,CHILE,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-07-01,4358.885,2614.637,78.842,1114.349,551.057,0,0,1691.385,318.038,251.882,8.213,0,0,2820.5750000000003,3807.8280000000004,6628.403,0,0,6628.403,0,359.409,6268.994000000001,2017,7
,2017-08-01,4454.314,2562.8070000000002,146.824,1217.197,527.486,0,0,1621.283,302.998,316.441,10.062,0,0,2778.2699999999995,3926.8280000000004,6705.098,0,0,6705.098,0,362.07,6343.028,2017,8
,2017-09-01,3995.905,2340.268,88.752,1167.824,399.061,0,0,1481.77,323.53,344.393,4.855,0,0,2553.609,3596.844,6150.4529999999995,0,0,6150.4529999999995,0,340.582,5809.870999999999,2017,9
,2017-10-01,3224.863,1980.321,218.265,580.056,446.221,0,0,2356.724,398.707,414.058,10.833,0,0,3626.543,2778.642,6405.1849999999995,0,0,6405.1849999999995,0,354.54,6050.6449999999995,2017,10
,2017-11-01,2652.271,1767.3810000000003,189.268,399.15,296.472,0,0,2862.578,308.381,425.035,7.654,0,0,3900.12,2355.7990000000004,6255.919,0,0,6255.919,0,353.501,5902.418,2017,11
,2017-12-01,3355.656,2407.33,159.72,352.985,435.621,0,0,2569.219,272.127,466.723,5.341,0,0,3749.031,2920.035,6669.066,0,0,6669.066,0,368.621,6300.445,2017,12
,2018-01-01,4235.369,2783.821,65.942,816.824,568.782,0,0,2021.667,284.299,467.981,19.652,0,0,3362.3810000000003,3666.587,7028.968000000001,0,0,7028.968000000001,0,312.134,6716.834000000001,2018,1
,2018-02-01,3089.431,1753.1280000000002,54.916,1014.279,267.108,0,0,2341.275,133.406,418.326,17.753,0,0,3177.8680000000004,2822.3230000000003,6000.191000000001,0,0,6000.191000000001,0,275.384,5724.807000000001,2018,2
,2018-03-01,3270.325,1368.9019999999998,127.568,1510.69,263.165,0,0,2152.904,191.893,469.426,6.05,0,0,3083.438,3007.16,6090.598,0,0,6090.598,0,264.774,5825.824,2018,3
,2018-04-01,4584.944,2731.2240000000006,38.022,1230.1,585.598,0,0,1395.547,236.074,375.587,16.792,0,0,2609.598,3999.3460000000005,6608.944,0,0,6608.944,0,288.082,6320.862,2018,4
,2018-05-01,5121.26,2964.784,88.472,1438.298,629.706,0,0,1341.361,253.869,332.167,19.809,0,0,2576.9120000000003,4491.554,7068.466,0,0,7068.466,0,307.145,6761.321,2018,5
,2018-06-01,4957.061,2749.711,144.656,1535.535,527.159,0,0,1450.023,351.524,294.276,16.463,0,0,2639.4449999999997,4429.902,7069.347,0,0,7069.347,0,303.724,6765.623,2018,6
,2018-07-01,4538.206,2916.516,107.999,990.532,523.159,0,0,1902.54,358.011,310.25,12.061,0,0,3106.021,4015.047,7121.068,0,0,7121.068,0,308.838,6812.2300000000005,2018,7
,2018-08-01,5009.004,2869.474,251.22,1349.792,538.518,0,0,1407.206,321.394,379.255,23.08,0,0,2669.453,4470.486,7139.939,0,0,7139.939,0,301.63,6838.309,2018,8
,2018-09-01,4153.582,2700.4000000000005,42.332,913.086,497.764,0,0,1454.683,360.729,452.457,20.67,0,0,2786.303,3655.818,6442.121,0,0,6442.121,0,283.692,6158.429,2018,9
,2018-10-01,3125.959,2021.061,102.12,581.122,421.656,0,0,2536.903,380.262,510.989,21.877,0,0,3871.687,2704.303,6575.99,0,0,6575.99,0,292.253,6283.737,2018,10
,2018-11-01,2745.305,1730.9159999999997,123.794,594.219,296.376,0,0,2667.656,356.546,548.539,18.9,0,0,3888.0170000000003,2448.929,6336.946,0,0,6336.946,0,287.587,6049.359,2018,11
,2018-12-01,3234.134,2163.251,91.724,621.497,357.662,0,0,2227.359,353.265,562.557,20.994,0,0,3521.837,2876.472,6398.309,0,0,6398.309,0,286.194,6112.115,2018,12
,2019-01-01,3558.195,2068.4860000000003,41.51,1131.031,317.168,0,0,2073.857,321.441,573.251,17.887,0,0,3303.604,3241.0270000000005,6544.631,0,0,6544.631,0,362.871,6181.76,2019,1
,2019-02-01,3741.601,1942.366,138.67,1328.066,332.499,0,0,1569.76,247.784,495.681,15.994,0,0,2661.7180000000003,3409.102,6070.82,0,0,6070.82,0,330.97,5739.849999999999,2019,2
,2019-03-01,4404.78,2297.303,142.763,1568.313,396.401,0,0,1434.264,325.965,541.537,16.28,0,0,2714.4470000000006,4008.379,6722.826000000001,0,0,6722.826000000001,0,371.334,6351.492000000001,2019,3
,2019-04-01,4423.385,2031.201,341.035,1617.291,433.858,0,0,1251.981,274.447,430.552,16.565,0,0,2407.4030000000002,3989.527,6396.93,0,0,6396.93,0,371.334,6025.5960000000005,2019,4
,2019-05-01,4690.352,2372.033,455.636,1427.215,435.468,0,0,1400.559,340.101,364.139,22.094,0,0,2562.3610000000003,4254.884,6817.245000000001,0,0,6817.245000000001,0,305.434,6511.811000000001,2019,5
,2019-06-01,4145.063,2473.617,46.065,1244.656,380.725,0,0,1622.046,439.052,339.77,17.785,0,0,2799.378,3764.338,6563.716,0,0,6563.716,0,300.84,6262.876,2019,6
