GWh,NEWZEALAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,702.757,155.66199999999992,0,495.678,51.417,0,0,1808.694,191.408,3.998,672.585,0,4.248,2728.102,655.588,3383.6899999999996,0,0,3383.6899999999996,0,231.547,3152.1429999999996,2016,1
,2016-02-01,587.874,72.55200000000002,0.061,467.587,47.674,0,0,1926.853,166.314,4.169,609.918,0,4.248,2754.928,544.4480000000001,3299.376,0,0,3299.376,0,231.547,3067.829,2016,2
,2016-03-01,646.319,74.95699999999988,0,524.263,47.099,0,0,2064.89,166.464,4.282,636.477,0,4.248,2919.212,603.468,3522.68,0,0,3522.68,0,231.547,3291.133,2016,3
,2016-04-01,589.746,93.85899999999998,0.235,446.188,49.464,0,0,1955.632,168.731,4.397,630.184,0,4.248,2808.4080000000004,544.53,3352.938,0,0,3352.938,0,249.661,3103.277,2016,4
,2016-05-01,643.773,138.736,0.253,459.225,45.559,0,0,2050.85,233.147,4.519,657.01,0,4.248,2991.085,602.462,3593.547,0,0,3593.547,0,249.661,3343.886,2016,5
,2016-06-01,652.836,91.95900000000006,0.505,510.394,49.978,0,0,2201.473,178.074,4.642,643.969,0,4.248,3078.136,607.1060000000001,3685.242,0,0,3685.242,0,249.661,3435.581,2016,6
,2016-07-01,589.915,62.68399999999997,0.647,474.816,51.768,0,0,2409.648,242.197,4.757,631.494,0,4.248,3339.8640000000005,542.395,3882.2590000000005,0,0,3882.2590000000005,0,262.911,3619.3480000000004,2016,7
,2016-08-01,636.577,72.41199999999992,0.809,510.613,52.743,0,0,2528.02,150.649,4.871,647.948,0,4.248,3384.2309999999998,588.082,3972.3129999999996,0,0,3972.3129999999996,0,262.911,3709.4019999999996,2016,8
,2016-09-01,578.696,50.79200000000003,0.267,479.453,48.184,0,0,2215.84,186.105,4.986,621.614,0,4.248,3076.7290000000003,534.7600000000001,3611.4890000000005,0,0,3611.4890000000005,0,262.911,3348.5780000000004,2016,9
,2016-10-01,544.659,56.307999999999936,0.278,443.497,44.576,0,0,2197.369,197.456,5.101,570.447,0,4.248,3014.9490000000005,504.33099999999996,3519.2800000000007,0,0,3519.2800000000007,0,240.898,3278.3820000000005,2016,10
,2016-11-01,396.459,57.12700000000001,0.019,288.84,50.473,0,0,2149.445,236.552,5.226,559.625,0,4.248,3001.3210000000004,350.234,3351.5550000000003,0,0,3351.5550000000003,0,240.898,3110.657,2016,11
,2016-12-01,410.091,52.428000000000054,0.037,304.905,52.721,0,0,2154.571,190.288,5.347,662.501,0,4.248,3065.428,361.618,3427.046,0,0,3427.046,0,240.898,3186.1479999999997,2016,12
,2017-01-01,453.105,56.136000000000024,0.135,338.141,58.693,0,0,2082.607,249.599,5.674,623.274,0,3.873,3019.847,398.285,3418.132,0,0,3418.132,0,231.561,3186.571,2017,1
,2017-02-01,443.41,47.81000000000006,0.056,350.445,45.099,0,0,2046.594,153.81,5.225,573.693,0,3.873,2824.4210000000003,402.184,3226.6050000000005,0,0,3226.6050000000005,0,231.561,2995.0440000000003,2017,2
,2017-03-01,632.607,40.44200000000001,0.116,537.459,54.59,0,0,2018.219,185.556,5.93,648.182,0,3.873,2912.477,581.89,3494.3669999999997,0,0,3494.3669999999997,0,231.561,3262.8059999999996,2017,3
,2017-04-01,530.788,50.24200000000002,0.012,425.545,54.989,0,0,1981.222,142.677,5.85,649.612,0,3.873,2834.35,479.672,3314.022,0,0,3314.022,0,252.654,3061.368,2017,4
,2017-05-01,828.622,71.93499999999995,0.189,713.826,42.672,0,0,2129.493,146.07,6.164,647.415,0,3.873,2971.8140000000003,789.823,3761.637,0,0,3761.637,0,252.654,3508.983,2017,5
,2017-06-01,1041.259,179.78999999999996,0.812,813.302,47.355,0,0,1945.869,140.28,6.159,646.997,0,3.873,2786.66,997.777,3784.437,0,0,3784.437,0,252.654,3531.783,2017,6
,2017-07-01,1093.564,186.48800000000006,3.261,856.965,46.85,0,0,2050.165,165.915,6.539,675.469,0,3.873,2944.938,1050.5870000000002,3995.5250000000005,0,0,3995.5250000000005,0,264.266,3731.2590000000005,2017,7
,2017-08-01,801.508,97.05099999999993,0.258,655.941,48.258,0,0,2230.24,177.597,6.72,677.336,0,3.873,3140.151,757.123,3897.274,0,0,3897.274,0,264.266,3633.008,2017,8
,2017-09-01,494.477,47.212999999999965,0.175,395.781,51.308,0,0,2289.577,196.745,6.653,618.041,0,3.873,3162.324,447.042,3609.366,0,0,3609.366,0,264.266,3345.1,2017,9
,2017-10-01,453.367,48.54600000000005,0.032,367.097,37.692,0,0,2233.184,191.885,7.044,632.096,0,3.873,3101.9010000000003,419.548,3521.4490000000005,0,0,3521.4490000000005,0,232.915,3288.5340000000006,2017,10
,2017-11-01,592.448,118.25099999999998,0.082,445.064,29.051,0,0,2164.952,138.348,7.004,573.402,0,3.873,2912.757,567.27,3480.027,0,0,3480.027,0,232.915,3247.112,2017,11
,2017-12-01,953.241,189.23199999999997,0.379,715.106,48.524,0,0,1755.652,176.758,7.385,612.461,0,3.873,2600.7799999999997,908.59,3509.37,0,0,3509.37,0,232.915,3276.455,2017,12
,2018-01-01,1016.645,162.38400000000001,0.199,798.496,55.566,0,0,1773.827,119.205,7.524,561.145,0,4.112,2517.267,965.1909999999999,3482.4579999999996,0,0,3482.4579999999996,0,228.641,3253.8169999999996,2018,1
