GWh,AUSTRALIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-03-01,18371.96,13108.848,269.748,4758.815,234.549,0,0,726.587,1021.292,680.016,0.083,0,0,2662.527,18137.411,20799.938000000002,0,0,20799.938000000002,18.828,1129.012,19652.098,2017,3
,2017-04-01,16234.31,11337.817,12.635,4665.284,218.574,0,0,684.095,843.464,627.718,0.083,0,0,2373.934,16015.735999999999,18389.67,0,0,18389.67,17.727,998.184,17373.759,2017,4
,2017-05-01,17156.996,12359.107,60.242,4457.639,280.008,0,0,1422.161,948.204,546.774,0.083,0,0,3197.23,16876.988,20074.218,0,0,20074.218,36.853,1089.62,18947.745000000003,2017,5
,2017-06-01,18146.041,12973.812000000002,10.967,4879.652,281.61,0,0,1485.642,628.305,487.078,0.083,0,0,2882.718,17864.431000000004,20747.149000000005,0,0,20747.149000000005,38.498,1126.147,19582.504000000004,2017,6
,2017-07-01,17984.964,13006.153,131.715,4571.655,275.441,0,0,1510.681,1477.805,554.3,0,0,0,3818.227,17709.523,21527.75,0,0,21527.75,34.785,1165.313,20327.652,2017,7
,2017-08-01,17576.248,12714.592,192.929,4391.535,277.192,0,0,1569.732,1360.886,690.81,0,0,0,3898.62,17299.056,21197.676,0,0,21197.676,36.145,1147.446,20014.085,2017,8
,2017-09-01,15764.686,11289.97,138.441,4062.756,273.519,0,0,1332.375,1575.149,829.325,0,0,0,4010.3679999999995,15491.167,19501.535,0,0,19501.535,30.679,1055.633,18415.222999999998,2017,9
,2017-10-01,16543.218,11412.647,664.329,4176.917,289.325,0,0,1392.771,1191.664,877.254,0,0,0,3751.014,16253.893,20004.907,0,0,20004.907,32.07,1082.881,18889.956,2017,10
,2017-11-01,17449.152,11725.568,483.168,4971.059,269.357,0,0,878.549,1011.974,974.085,0,0,0,3133.965,17179.795,20313.76,0,0,20313.76,20.229,1099.599,19193.931999999997,2017,11
,2017-12-01,17815.59,12900.112000000001,136.489,4504.327,274.662,0,0,793.96,1174.169,1038.477,0,0,0,3281.268,17540.928,20822.196,0,0,20822.196,18.282,1127.121,19676.793,2017,12
,2018-01-01,19246.723,13445.861,851.821,4673.905,275.136,0,0,1165.24,1220.226,1086.474,0,0,0,3747.076,18971.587,22718.663,0,0,22718.663,26.831,1229.778,21462.054,2018,1
,2018-02-01,17212.584,12071.365999999998,1033.39,3868.007,239.821,0,0,997.14,1133.445,915.431,0,0,0,3285.837,16972.763,20258.6,0,0,20258.6,22.96,1096.613,19139.027,2018,2
,2018-03-01,17003.948,12527.216,190.183,3997.927,288.622,0,0,1188.169,1365.254,924.614,0,0,0,3766.659,16715.326,20481.985,0,0,20481.985,27.359,1108.705,19345.921000000002,2018,3
,2018-04-01,15721.723,11696.648000000001,174.632,3577.281,273.162,0,0,1500.098,1041.772,798.958,0,0,0,3613.9900000000002,15448.561000000002,19062.551000000003,0,0,19062.551000000003,34.541,1031.87,17996.140000000003,2018,4
,2018-05-01,16348.97,12412.392,105.568,3548.381,282.629,0,0,1612.847,1418.979,673.31,0,0,0,3987.765,16066.340999999999,20054.106,0,0,20054.106,37.137,1085.544,18931.425,2018,5
,2018-06-01,17510.193,12677.898,433.768,4118.682,279.845,0,0,2079.437,1192.677,565.292,0,0,0,4117.251,17230.347999999998,21347.599,0,0,21347.599,47.881,1155.561,20144.157,2018,6
,2018-07-01,17564.165,12862.352,508.232,3882.667,310.914,0,0,1905.393,1719.151,738.646,0,0,0,4674.103999999999,17253.251,21927.355,0,0,21927.355,74.106,1135.618,20717.631,2018,7
,2018-08-01,16919.77,12134.996,231.687,4253.404,299.683,0,0,2036.282,1739.354,937.352,0,0,0,5012.671,16620.087,21632.758,0,0,21632.758,79.197,1120.361,20433.2,2018,8
,2018-09-01,15543.869,11357.649000000001,45.435,3862.407,278.378,0,0,1551.526,1309.319,1113.58,0,0,0,4252.803,15265.491000000002,19518.294,0,0,19518.294,60.343,1010.852,18447.099000000002,2018,9
,2018-10-01,15814.185,11845.848,320.132,3353.101,295.104,0,0,1108.367,1341.774,1166.161,0,0,0,3911.406,15519.081,19430.487,0,0,19430.487,43.107,1006.305,18381.075,2018,10
,2018-11-01,15367.326,11387.47,185.846,3502.749,291.261,0,0,1221.234,1329.258,1339.549,0,0,0,4181.302,15076.064999999999,19257.367,0,0,19257.367,47.497,997.339,18212.531,2018,11
,2018-12-01,16437.26,12387.976999999999,296.531,3472.569,280.183,0,0,1276.757,1415.211,1649.236,0,0,0,4621.387,16157.077,20778.464,0,0,20778.464,49.657,1076.117,19652.69,2018,12
,2019-01-01,19411.141,13249.654999999999,512.454,5372.947,276.085,0,0,1211.116,1375.129,1761.513,0,0,0,4623.843,19135.055999999997,23758.898999999998,0,0,23758.898999999998,47.104,1230.473,22481.321999999996,2019,1
,2019-02-01,16693.665,11546.103000000001,404.406,4495.89,247.266,0,0,782.757,1399.498,1529.302,0,0,0,3958.8229999999994,16446.399,20405.222,0,0,20405.222,30.444,1056.786,19317.992000000002,2019,2
,2019-03-01,18121.477,12541.129999999997,308.118,5001.97,270.259,0,0,846.494,1400.335,1432.352,0,0,0,3949.4400000000005,17851.217999999997,21800.657999999996,0,0,21800.657999999996,32.922,1129.056,20638.679999999997,2019,3
,2019-04-01,15393.896,11322.573,370.092,3445.452,255.779,0,0,960.256,1459.657,1251.601,0,0,0,3927.293,15138.117000000002,19065.410000000003,0,0,19065.410000000003,37.347,987.398,18040.665000000005,2019,4
,2019-05-01,16972.008,11903.657000000001,601.047,4234.295,233.009,0,0,1341.187,1689.493,1047.135,0,0,0,4310.824,16738.999000000003,21049.823000000004,0,0,21049.823000000004,52.162,1090.17,19907.491000000005,2019,5
,2019-06-01,17765.237,12102.421000000002,830.754,4592.896,239.166,0,0,1725.633,1533.819,880.886,0,0,0,4379.504,17526.071000000004,21905.575000000004,0,0,21905.575000000004,67.115,1134.49,20703.970000000005,2019,6
,2019-07-01,17393.791,12199.641000000001,252.579,4683.015,258.556,0,0,1612.892,1898.067,1056.945,0,0,0,4826.46,17135.235,21961.695,0,0,21961.695,62.73,1137.396,20761.569,2019,7
,2019-08-01,17403.178,11653.247,266.655,5224.479,258.797,0,0,1508.988,1939.744,1325.107,0,0,0,5032.636,17144.381,22177.017,0,0,22177.017,58.689,1148.548,20969.78,2019,8
,2019-09-01,15496.392,10317.896,135.437,4798.717,244.342,0,0,1238.257,1685.339,1642.722,0,0,0,4810.66,15252.05,20062.71,0,0,20062.71,48.159,1039.048,18975.503,2019,9
,2019-10-01,15925.405,10621.881000000001,229.23,4822.71,251.584,0,0,1008.513,1667.095,1947.527,0,0,0,4874.719,15673.821,20548.54,0,0,20548.54,39.224,1064.209,19445.107,2019,10
,2019-11-01,14876.822,10807.296,330.756,3495.842,242.928,0,0,1023.192,1893.351,2097.457,0,0,0,5256.928,14633.894,19890.822,0,0,19890.822,39.795,1030.146,18820.881,2019,11
,2019-12-01,16228.204,12142.123,192.998,3650.564,242.519,0,0,1016.42,1776.066,2211.562,0,0,0,5246.567,15985.685,21232.252,0,0,21232.252,39.531,1099.618,20093.103,2019,12
,2020-01-01,17371.043792,12635.263902,352.237081,4126.39725,257.145559,0,0,1129.64486,1648.134277,2191.314058,0,0,0,5226.238754,17113.898233,22340.136986999998,0,0,22340.136986999998,43.934957,1156.995651,21139.206379,2020,1
,2020-02-01,16601.672088,11527.024911999999,352.237081,4473.399537,249.010558,0,0,1103.516659,1415.308646,1881.622889,0,0,0,4649.458752,16352.661529999998,21002.120281999996,0,0,21002.120281999996,42.91876,1087.699768,19871.501753999997,2020,2
,2020-03-01,15979.254059,11171.008063000001,352.237081,4196.252235,259.75668,0,0,1119.519975,1735.982426,1921.369219,0,0,0,5036.6283,15719.497379,20756.125679,0,0,20756.125679,43.541173,1074.959708,19637.624798,2020,3
