GWh,ICELAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,0.117,0,0.117,0,0,0,0,1155.716,1.037,0,446.78,0,0,1603.533,0.117,1603.6499999999999,0,0,1603.6499999999999,0,41.448,1562.2019999999998,2016,1
,2016-02-01,0.352,0,0.352,0,0,0,0,1074.921,1.032,0,425.956,0,0,1501.909,0.352,1502.2610000000002,0,0,1502.2610000000002,0,39.537,1462.7240000000002,2016,2
,2016-03-01,0.177,0,0.177,0,0,0,0,1119.041,0.953,0,456.348,0,0,1576.3419999999999,0.177,1576.5189999999998,0,0,1576.5189999999998,0,40.196,1536.3229999999999,2016,3
,2016-04-01,0.158,0,0.158,0,0,0,0,1065.069,0.676,0,443.036,0,0,1508.781,0.158,1508.9389999999999,0,0,1508.9389999999999,0,38.783,1470.156,2016,4
,2016-05-01,0.121,0,0.121,0,0,0,0,1112.124,0.593,0,427.959,0,0,1540.6760000000002,0.121,1540.7970000000003,0,0,1540.7970000000003,0,40.695,1500.1020000000003,2016,5
,2016-06-01,0.165,0,0.165,0,0,0,0,1082.36,0.402,0,363.484,0,0,1446.2459999999999,0.165,1446.4109999999998,0,0,1446.4109999999998,0,40.048,1406.3629999999998,2016,6
,2016-07-01,0.139,0,0.139,0,0,0,0,1018.891,0.472,0,424.395,0,0,1443.7579999999998,0.139,1443.8969999999997,0,0,1443.8969999999997,0,40.876,1403.0209999999997,2016,7
,2016-08-01,0.426,0,0.426,0,0,0,0,1067.932,0.351,0,388.324,0,0,1456.6070000000002,0.426,1457.0330000000001,0,0,1457.0330000000001,0,40.754,1416.2790000000002,2016,8
,2016-09-01,0.344,0,0.344,0,0,0,0,1052.153,0.673,0,402.296,0,0,1455.122,0.344,1455.4660000000001,0,0,1455.4660000000001,0,40.752,1414.7140000000002,2016,9
,2016-10-01,0.307,0,0.307,0,0,0,0,1079.432,0.899,0,437.079,0,0,1517.4099999999999,0.307,1517.7169999999999,0,0,1517.7169999999999,0,40.878,1476.839,2016,10
,2016-11-01,0.357,0,0.357,0,0,0,0,1101.757,0.801,0,422.325,0,0,1524.883,0.357,1525.24,0,0,1525.24,0,41.649,1483.591,2016,11
,2016-12-01,0.337,0,0.337,0,0,0,0,1162.213,1.112,0,430.016,0,0,1593.3410000000001,0.337,1593.678,0,0,1593.678,0,43.384,1550.294,2016,12
,2017-01-01,0.109,0,0.109,0,0,0,0,1178.701,1.015,0,423.288,0,0,1603.0040000000001,0.109,1603.113,0,0,1603.113,0,48.049,1555.064,2017,1
,2017-02-01,0.187,0,0.187,0,0,0,0,1088.05,0.732,0,382.132,0,0,1470.914,0.187,1471.1009999999999,0,0,1471.1009999999999,0,48.049,1423.052,2017,2
,2017-03-01,0.159,0,0.159,0,0,0,0,1230.894,0.899,0,430.192,0,0,1661.985,0.159,1662.144,0,0,1662.144,0,51.786,1610.358,2017,3
,2017-04-01,0.224,0,0.224,0,0,0,0,1131.135,0.821,0,412.66,0,0,1544.616,0.224,1544.84,0,0,1544.84,0,49.65,1495.1899999999998,2017,4
,2017-05-01,0.219,0,0.219,0,0,0,0,1155.561,0.898,0,423.325,0,0,1579.7839999999999,0.219,1580.003,0,0,1580.003,0,49.65,1530.3529999999998,2017,5
,2017-06-01,0.105,0,0.105,0,0,0,0,1127.761,0.603,0,377.502,0,0,1505.866,0.105,1505.971,0,0,1505.971,0,48.049,1457.922,2017,6
,2017-07-01,0.165,0,0.165,0,0,0,0,1153.431,0.5,0,394.498,0,0,1548.429,0.165,1548.594,0,0,1548.594,0,49.117,1499.477,2017,7
,2017-08-01,0.222,0,0.222,0,0,0,0,1180.496,0.338,0,374.245,0,0,1555.0790000000002,0.222,1555.3010000000002,0,0,1555.3010000000002,0,49.117,1506.1840000000002,2017,8
,2017-09-01,0.219,0,0.219,0,0,0,0,1144.723,0.498,0,378.013,0,0,1523.234,0.219,1523.453,0,0,1523.453,0,48.583,1474.87,2017,9
,2017-10-01,0.331,0,0.331,0,0,0,0,1154.824,0.531,0,439.477,0,0,1594.8319999999999,0.331,1595.1629999999998,0,0,1595.1629999999998,0,49.117,1546.0459999999998,2017,10
,2017-11-01,0.096,0,0.096,0,0,0,0,1153.577,0.593,0,439.195,0,0,1593.365,0.096,1593.461,0,0,1593.461,0,49.65,1543.811,2017,11
,2017-12-01,0.049,0,0.049,0,0,0,0,1192.776,0.699,0,469.627,0,0,1663.102,0.049,1663.151,0,0,1663.151,0,50.184,1612.967,2017,12
,2018-01-01,0.029,0,0.029,0,0,0,0,1199.856,0.339,0,473.115,0,0,1673.31,0.029,1673.339,0,0,1673.339,0,46.778,1626.561,2018,1
,2018-02-01,0.269,0,0.269,0,0,0,0,1076.547,0.447,0,440.082,0,0,1517.076,0.269,1517.345,0,0,1517.345,0,44.391,1472.954,2018,2
