GWh,IRELAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,1699.764,630.3409999999999,50.584,958.496,54.006,6.337,0,157.844,782.05,0.131,0,0,0,994.031,1645.7579999999998,2639.7889999999998,111.549,113.57,2637.7679999999996,47.806,193.703,2396.2589999999996,2016,1
,2016-02-01,1753.297,580.5,57.192,1053.723,55.652,6.23,0,141.691,642.725,0.223,0,0,0,840.2909999999999,1697.645,2537.9359999999997,101.213,122.176,2516.973,44.211,184.75,2288.0119999999997,2016,2
,2016-03-01,1958.303,718.268,12.075,1162.288,59.313,6.359,0,114.739,524.303,0.507,0,0,0,698.862,1898.99,2597.852,99.84,120.184,2577.508,45.776,188.541,2343.191,2016,3
,2016-04-01,1898.834,658.2930000000001,13.315,1167.87,54.647,4.709,0,86.574,474.569,0.762,0,0,0,616.5519999999999,1844.1870000000001,2460.739,113.91,112.504,2462.145,42.929,176.885,2242.331,2016,4
,2016-05-01,1846.804,447.90800000000036,5.502,1344.635,43.062,5.697,0,46.39,353.471,0.986,0,0,0,443.909,1803.7420000000002,2247.6510000000003,134.325,119.75,2262.226,44.482,169.966,2047.778,2016,5
,2016-06-01,1984.289,670.6859999999999,11.976,1246.532,51,4.095,0,30.674,313.751,0.868,0,0,0,396.29299999999995,1933.289,2329.582,88.383,151.42,2266.5449999999996,33.095,160.147,2073.3029999999994,2016,6
,2016-07-01,2024.605,621.52,2.488,1336.855,58.24,5.502,0,50.527,350.379,0.831,0,0,0,459.97700000000003,1966.365,2426.342,53.465,210.261,2269.5460000000003,41.093,165.308,2063.1450000000004,2016,7
,2016-08-01,1766.192,324.17499999999995,7.462,1369.034,58.86,6.661,0,51.311,505.159,0.731,0,0,0,616.0609999999999,1707.332,2323.393,74.926,207.845,2190.474,47.333,169.138,1974.0030000000002,2016,8
,2016-09-01,1676.854,260.95399999999995,14.291,1343.439,51.846,6.324,0,69.143,538.594,0.479,0,0,0,660.0620000000001,1625.008,2285.07,8.205,137.521,2155.754,47.591,167.123,1941.04,2016,9
,2016-10-01,2045.949,663.424,73.502,1244.076,58.727,6.22,0,64.97,448.422,0.34,0,0,0,572.4590000000001,1987.222,2559.681,15.429,100.959,2474.1510000000003,44.86,177.9,2251.3910000000005,2016,10
,2016-11-01,2069.605,676.3209999999999,17.467,1313.52,55.99,6.307,0,72.016,507.17,0.195,0,0,0,635.3710000000001,2013.615,2648.986,19.728,94.375,2574.339,45.404,188.605,2340.33,2016,11
,2016-12-01,1851.033,517.8609999999999,16.809,1256.217,54.312,5.834,0,76.981,706.449,0.108,0,0,0,837.8499999999999,1796.721,2634.571,50.29,92.445,2592.4159999999997,47.824,192.716,2351.8759999999997,2016,12
,2017-01-01,2156.632,821.5429999999999,10.545,1251.169,58.905,14.47,0,79.434,704.53,0.229,0,0,0,843.098,2097.727,2940.825,55.121,188.371,2807.575,47.385,200.694,2559.4959999999996,2017,1
,2017-02-01,1694.386,667.05,20.963,944.239,49.398,12.736,0,73.522,851.89,0.391,0,0,0,975.2009999999999,1644.988,2620.189,70.734,152.922,2538.0009999999997,42.755,183.038,2312.2079999999996,2017,2
,2017-03-01,1775.976,542.9320000000002,8.263,1155.452,56.905,12.424,0,133.856,778.13,0.889,0,0,0,969.78,1719.0710000000004,2688.8510000000006,86.739,119.351,2656.2390000000005,48.231,194.964,2413.0440000000003,2017,3
,2017-04-01,1902.402,517.8500000000001,5.116,1312.136,56.228,11.072,0,55.691,450.11,1.337,0,0,0,563.366,1846.174,2409.54,87.684,82.707,2414.5170000000003,44.534,175.502,2194.481,2017,4
,2017-05-01,1867.381,529.6389999999999,4.948,1272.243,48.419,12.132,0,35.339,469.864,1.728,0,0,0,555.3499999999999,1818.962,2374.312,44.703,38.932,2380.083,47.636,174.274,2158.1730000000002,2017,5
,2017-06-01,1668.688,252.37700000000018,6.932,1344.96,54.571,9.848,0,42.576,581.806,1.522,0,0,0,680.475,1614.1170000000002,2294.592,88.328,162.331,2220.589,46.211,166.493,2007.885,2017,6
