GWh,IRELAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-07-01,1867.69,245.3860000000002,10.504,1536.852,60.869,14.079,0,24.638,438.978,1.456,0,0,0,525.941,1806.8210000000001,2332.762,82.433,209.796,2205.3990000000003,24.142,169.512,2011.7450000000003,2017,7
,2017-08-01,1776.14,206.04200000000014,15.978,1478.266,62.119,13.735,0,39.973,444.259,1.282,0,0,0,547.633,1714.0210000000002,2261.6540000000005,89.261,172.844,2178.0710000000004,0.215,167.895,2009.9610000000002,2017,8
,2017-09-01,1743.722,344.8319999999999,22.038,1308.305,55.431,13.116,0,64.623,580.775,0.839,0,0,0,701.668,1688.291,2389.959,58.957,216.457,2232.459,0.228,167.846,2064.3849999999998,2017,9
,2017-10-01,1572.942,294.3109999999999,10.968,1207.922,47.816,11.925,0,95.99,714.445,0.596,0,0,0,858.847,1525.126,2383.973,145.53,149.012,2380.491,7.119,180.466,2192.906,2017,10
,2017-11-01,1861.535,514.9940000000004,14.552,1264.616,53.926,13.447,0,109.268,617.301,0.341,0,0,0,780.8360000000001,1807.6090000000002,2588.445,168.781,138.082,2619.1440000000002,44.798,193.656,2380.69,2017,11
,2017-12-01,1864.392,672.556,6.191,1065.38,105.416,14.849,0,130.856,811.95,0.19,0,0,0,1048.412,1758.976,2807.388,138.137,164.105,2781.42,45.391,201.844,2534.185,2017,12
,2018-01-01,1596.872,528.344,0.635,974.032,68.696,25.165,0,166.983,1109.649,0.354,0,0,0,1345.682,1528.176,2873.858,139.055,173.688,2839.225,49.326,204.882,2585.017,2018,1
,2018-02-01,1739.355,725.321,4.504,928.549,57.845,23.136,0,132.412,787.555,0.603,0,0,0,978.4149999999998,1681.51,2659.9249999999997,156.009,135.87,2680.064,43.237,184.81,2452.017,2018,2
,2018-03-01,2135.008,905.0789999999997,43.478,1108.654,56.497,21.3,0,97.295,751.588,1.371,0,0,0,906.751,2078.511,2985.2619999999997,87.745,36.532,3036.4749999999995,47.246,201.862,2787.3669999999993,2018,3
,2018-04-01,1757.119,499.1719999999998,0.257,1167.948,64.214,25.528,0,89.403,708.001,2.061,0,0,0,863.679,1692.905,2556.584,112.653,124.964,2544.2729999999997,42.586,183.451,2318.236,2018,4
,2018-05-01,1861.234,334.7179999999996,0.17,1421.114,75.352,29.88,0,51.693,502.611,2.665,0,0,0,632.3209999999999,1785.8819999999998,2418.2029999999995,94.322,139.513,2373.0119999999997,44.214,178.007,2150.7909999999997,2018,5
,2018-06-01,2057.139,302.1930000000002,0.639,1662.005,71.413,20.889,0,19.599,316.681,2.346,0,0,0,410.039,1985.7260000000003,2395.7650000000003,111.685,222.69,2284.76,27.719,166.822,2090.219,2018,6
,2018-07-01,2150.985,314.08899999999994,2.677,1737.208,79.967,17.044,0,14.989,338.054,2.246,0,0,0,435.256,2071.018,2506.274,93.12,190.458,2408.9359999999997,32.674,172.987,2203.2749999999996,2018,7
,2018-08-01,1814.172,244.02200000000016,7.177,1493.917,51.034,18.022,0,37.908,549.075,1.978,0,0,0,639.995,1763.138,2403.133,117.382,157.654,2362.861,41.983,173.975,2146.903,2018,8
,2018-09-01,1556.164,237.42200000000025,8.33,1214.283,71.936,24.193,0,41.11,646.712,1.294,0,0,0,761.052,1484.228,2245.28,174.238,115.038,2304.48,43.507,173.461,2087.512,2018,9
,2018-10-01,1476.065,0,17.433,1350.106,77.752,30.774,0,47.539,728.385,0.918,0,0,0,854.5939999999999,1398.313,2252.907,191.323,102.2,2342.03,41.653,187.857,2112.5200000000004,2018,10
,2018-11-01,1363.996,0,24.883,1241.829,69.373,27.911,0,76.408,1028.73,0.526,0,0,0,1175.037,1294.623,2469.66,126.467,147.308,2448.819,41.746,194.44,2212.633,2018,11
,2018-12-01,1265.78,0.057999999999992724,24.244,1140.664,73.871,26.943,0,146.638,1172.725,0.293,0,0,0,1393.5269999999998,1191.9089999999999,2585.4359999999997,217.52,103.334,2699.622,43.435,213.009,2443.178,2018,12
,2019-01-01,1953.167,527.8679999999999,41.06,1277.035,75.978,31.226,0,88.191,795.413,0.453,0,0,0,960.035,1877.1889999999999,2837.2239999999997,266.896,87.571,3016.549,45.782,207.265,2763.502,2019,1
,2019-02-01,1339.668,359.5229999999999,9.428,883.689,62.351,24.677,0,106.419,1166.767,0.773,0,0,0,1336.31,1277.3169999999998,2613.6269999999995,134.57,142.335,2605.8619999999996,39.066,184.753,2382.0429999999997,2019,2
,2019-03-01,1475.144,246.78899999999976,15.255,1128.608,57.852,26.64,0,137.67,975.738,1.757,0,0,0,1173.017,1417.2919999999997,2590.3089999999997,201.635,151.977,2639.9669999999996,41.866,194.083,2404.0179999999996,2019,3
,2019-04-01,1504.62,42.10799999999995,32.379,1333.355,68.824,27.954,0,76.795,793.651,2.642,0,0,0,941.912,1435.7959999999998,2377.7079999999996,181.381,132.04,2427.0489999999995,44.991,188.853,2193.2049999999995,2019,4
,2019-05-01,1738.447,6.38799999999992,35.539,1602.036,71.068,23.416,0,31.49,549.125,3.416,0,0,0,655.099,1667.379,2322.478,130.379,106.274,2346.583,20.951,181.425,2144.207,2019,5
,2019-06-01,1780.677,252.51,16.277,1422.221,69.627,20.042,0,50.206,626.092,3.008,0,0,0,748.933,1711.05,2459.983,102.839,160.781,2402.041,20.817,171.004,2210.2200000000003,2019,6
,2019-07-01,1696.67,6.491999999999962,18.044,1598.422,64.518,9.194,0,35.811,495.016,2.879,0,0,0,598.224,1632.152,2230.376,232.378,76.041,2386.713,40.481,177.518,2168.7140000000004,2019,7
,2019-08-01,1400.437,101.41300000000001,12.25,1207.32,63.055,16.399,0,78.361,803.615,2.535,0,0,0,947.5659999999999,1337.382,2284.948,207.92,92.917,2399.951,43.903,178.33,2177.718,2019,8
,2019-09-01,1440.428,166.94100000000026,15.294,1177.936,58.311,21.946,0,87.733,782.635,1.659,0,0,0,930.338,1382.1170000000002,2312.455,198.355,106.559,2404.2509999999997,42.874,178.173,2183.2039999999997,2019,9
,2019-10-01,1407.81,39.49999999999977,34.122,1241.659,64.534,27.995,0,142.525,954.957,1.177,0,0,0,1163.193,1343.2759999999998,2506.469,170.392,157.051,2519.81,46.297,196.382,2277.131,2019,10
,2019-11-01,1823.455,316.02700000000004,26.371,1361.11,90.846,29.101,0,135.38,902.559,0.675,0,0,0,1129.4599999999998,1732.609,2862.0689999999995,154.616,154.201,2862.4839999999995,45.007,206.363,2611.1139999999996,2019,11
,2019-12-01,1533.82,286.44499999999994,14.673,1130.586,76.08,26.036,0,149.562,1173.918,0.376,0,0,0,1399.936,1457.74,2857.676,198.218,167.293,2888.6009999999997,46.283,209.755,2632.5629999999996,2019,12
,2020-01-01,1369.171015,8.0628099999999,19.889762,1222.978723,75.684655,42.555065,0,130.3303,1181.196475,1.354154,0,0,0,1388.565584,1293.4863599999999,2682.051944,210.258324,129.419826,2762.890442,49.047586,214.394696,2499.44816,2020,1
,2020-02-01,1105.284342,0,8.279509,991.015461,70.96329,35.026082,0,140.714455,1505.142963,2.310405,0,0,0,1719.131113,1034.321052,2753.4521649999997,128.568715,225.376846,2656.6440339999995,46.289987,205.291572,2405.0624749999993,2020,2
,2020-03-01,1352.872131,58.17096300000003,17.083061,1164.273961,78.054161,35.289985,0,151.121112,1168.382798,5.249752,0,0,0,1402.807823,1274.81797,2677.625793,184.706121,137.774228,2724.557686,48.168887,207.082754,2469.3060450000003,2020,3
,2020-04-01,1577.529265,152.79860699999995,11.68194,1316.711665,76.392672,19.944381,0,57.619991,576.896206,7.893882,0,0,0,718.802751,1501.136593,2219.939344,216.732725,76.519816,2360.1522529999997,46.684187,170.971763,2142.496303,2020,4
,2020-05-01,1584.036911,20.45532800000001,18.96373,1456.454667,72.894619,15.268567,0,33.636421,771.405569,10.204287,0,0,0,888.140896,1511.142292,2399.283188,112.691313,168.225134,2343.749367,46.824387,172.66366,2124.26132,2020,5
,2020-06-01,1711.900039,170.89802599999985,43.029547,1423.652334,60.133481,14.186651,0,33.008464,728.572125,8.984906,0,0,0,830.698976,1651.766558,2482.465534,103.673112,170.093335,2416.045311,43.708388,171.81632,2200.520603,2020,6
,2020-07-01,1837.132981,209.370764,34.821369,1505.567198,81.176989,6.196661,0,67.614471,765.417815,8.599839,0,0,0,922.809114,1755.955992,2678.765106,106.636212,166.285434,2619.115884,44.327288,182.34159,2392.447006,2020,7
,2020-08-01,1941.231391,207.06028300000003,82.849829,1564.46364,78.248808,8.608831,0,93.977971,632.331596,7.572993,0,0,0,812.131368,1862.982583,2675.113951,89.35671,135.262228,2629.208433,47.106387,182.471685,2399.6303609999995,2020,8
,2020-09-01,1772.457523,182.1734780000004,57.077644,1439.351442,77.577087,16.277872,0,82.683109,758.999769,4.954534,0,0,0,924.2144989999999,1694.8804360000001,2619.094935,139.559816,181.436037,2577.218714,43.527688,183.326915,2350.364111,2020,9
,2020-10-01,1425.65185,162.26164500000004,31.852619,1137.169609,61.713165,32.654812,0,106.258437,1141.910525,3.516949,0,0,0,1313.3990760000002,1363.938685,2677.3377610000002,177.44985,168.109434,2686.6781770000002,46.194287,199.742538,2440.741352,2020,10
,2020-11-01,1498.17561,185.18871400000012,24.633668,1184.661056,65.142225,38.549947,0,154.883531,1064.98642,2.015186,0,0,0,1287.027362,1433.033385,2720.060747,147.157217,174.507536,2692.710428,28.972992,201.130668,2462.6067679999996,2020,11
,2020-12-01,1623.321084,217.6269060000002,29.894703,1284.371214,67.136934,24.291327,0,159.648461,1254.177738,1.123113,0,0,0,1482.0862460000003,1556.18415,3038.2703960000003,144.321886,179.956147,3002.6361350000006,44.929937,218.233839,2739.472359000001,2020,12
,2021-01-01,2105.543175,562.7732269999999,72.442695,1373.0022,80.880623,16.44443,0,155.824076,947.642589,1.354154,0,0,0,1185.701442,2024.6625519999998,3210.363994,97.183011,97.18302,3210.363985,42.132988,217.243029,2950.987968,2021,1
,2021-02-01,1236.02943,187.90464700000007,20.123159,947.66117,66.664268,13.676186,0,149.439174,1353.398958,2.310405,0,0,0,1571.812805,1169.3651619999998,2741.1779669999996,127.329014,127.329026,2741.1779549999997,43.379988,197.78447,2500.0134969999995,2021,2
,2021-03-01,1703.411787,263.3552060000002,50.772456,1289.341279,82.324095,17.618751,0,105.946514,970.595499,5.249752,0,0,0,1164.1158599999999,1621.087692,2785.203552,234.241827,86.781918,2932.6634609999996,32.262191,207.725382,2692.6758879999998,2021,3
,2021-04-01,1909.795102,483.40271900000016,54.859013,1275.88725,78.265727,17.380393,0,67.552001,644.894312,7.893882,0,0,0,798.605922,1831.529375,2630.135297,232.850726,34.987507,2827.998516,43.897588,191.30719,2592.7937380000003,2021,4
,2021-05-01,1784.601914,563.3610020000001,91.973971,1029.950175,79.95928,19.357486,0,62.088195,745.621972,10.204287,0,0,0,897.873734,1704.642634,2602.516368,348.42254,49.23391,2901.704998,45.849087,193.733861,2662.12205,2021,5
