GWh,SWITZERLAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-06-01,258.103,0,2.477,48.09899999999999,123.858,83.669,1360,4221.802,9.041,243.433,0,0,0,4598.134,1494.245,6092.379,1808,2759,5141.379,475,320.583,4345.796,2017,6
,2017-07-01,255.409,0,2.477,48.09899999999999,122.009,82.824,2017,3828.821,11.05,214.605,0,0,0,4176.485,2150.4,6326.885,2078,3300,5104.885,482,354.82,4268.0650000000005,2017,7
,2017-08-01,251.92,0,2.477,47.224999999999994,121.085,81.133,1706,3926.816,8.036,196.988,0,0,0,4252.925,1836.835,6089.76,1825,2730,5184.76,453,358.97,4372.79,2017,8
,2017-09-01,288.31,0,2.477,54.221000000000004,138.647,92.965,1340,3154.852,6.027,128.122,0,0,0,3427.6479999999997,1489.663,4917.311,2564,2313,5168.311,362,347.558,4458.753,2017,9
,2017-10-01,294.492,0,2.477,55.095,141.419,95.501,1287,2566.879,11.05,124.919,0,0,0,2844.267,1440.073,4284.34,3831,2626,5489.34,366,385.945,4737.395,2017,10
,2017-11-01,333.479,0,3.303,62.091999999999985,159.906,108.178,1252,3080.855,16.073,52.85,0,0,0,3309.6839999999997,1425.5729999999999,4735.257,4022,2701,6056.257,354,399.432,5302.825,2017,11
,2017-12-01,378.774,0,3.303,70.83699999999999,182.089,122.545,1586,2988.86,17.077,22.421,0,0,0,3210.447,1782.685,4993.132,4450,3042,6401.132,322,425.369,5653.763,2017,12
,2018-01-01,326.229,0,2.111,54.192999999999984,160.306,109.619,2044.757,0,18.27,43.224,0,0,0,221.8,2210.68,2432.48,3925.198,2841.965,3515.7129999999997,250.387,367.082,2898.2439999999997,2018,1
,2018-02-01,328.587,0,2.111,54.80899999999997,161.192,110.475,1853.185,0,10.15,55.574,0,0,0,226.916,2020.58,2247.496,3981.963,3271.018,2958.4410000000007,154.453,400.632,2403.3560000000007,2018,2
,2018-03-01,259.58,0,1.583,43.108000000000004,127.536,87.353,2132.106,0,14.21,145.111,0,0,0,286.85699999999997,2264.15,2551.007,3897.867,2515.067,3933.807,269.573,400.632,3263.602,2018,3
,2018-04-01,268.396,0,1.583,44.95600000000002,131.079,90.778,2227.395,0,11.165,217.666,0,0,0,359.90999999999997,2364.712,2724.622,2276.909,2509.96,2491.571,396.206,353.267,1742.098,2018,4
,2018-05-01,287.74,0,2.111,48.035000000000025,140.821,96.773,2282.981,0,7.105,216.122,0,0,0,364.048,2429.9,2793.9480000000003,1130.045,3107.569,816.4240000000004,443.213,335.505,37.70600000000036,2018,5
,2018-06-01,261.938,0,1.583,43.72399999999999,128.422,88.209,1620.916,0,7.105,316.465,0,0,0,451.99199999999996,1754.432,2206.424,1175.247,2848.094,533.5770000000002,437.457,306.888,-210.7679999999998,2018,6
,2018-07-01,271.639,0,1.583,45.571000000000026,132.85,91.635,2158.906,0,5.075,262.434,0,0,0,400.35900000000004,2297.695,2698.054,1697.696,3406.884,988.866,304.109,338.465,346.29200000000003,2018,7
,2018-08-01,269.282,0,1.583,44.95599999999996,131.965,90.778,2072.55,0,7.105,225.385,0,0,0,364.455,2209.867,2574.322,1627.265,2794.973,1406.6140000000005,341.524,332.545,732.5450000000005,2018,8
,2018-09-01,297.711,0,2.111,49.26600000000002,146.135,100.199,1723.154,0,7.105,185.248,0,0,0,338.48799999999994,1874.73,2213.218,2279.012,2082.95,2409.2799999999997,387.572,318.73,1702.9779999999996,2018,9
,2018-10-01,297.711,0,2.111,49.26600000000002,146.135,100.199,1723.154,0,7.105,185.248,0,0,0,338.48799999999994,1874.73,2213.218,2279.012,2082.95,2409.2799999999997,387.572,318.73,1702.9779999999996,2018,10
,2018-11-01,331.831,0,2.111,55.42500000000007,162.963,111.332,2223.425,0,9.135,46.312,0,0,0,218.40999999999997,2392.293,2610.703,3074.774,2313.821,3371.656,294.516,368.069,2709.071,2018,11
,2018-12-01,340.03,0,2.111,56.65599999999995,166.506,114.757,2351.47,0,18.27,46.312,0,0,0,231.08800000000002,2524.9939999999997,2756.082,3675.012,2831.749,3599.3450000000003,320.418,387.804,2891.1230000000005,2018,12
,2019-01-01,331.856,0,2.592,53.252999999999986,164.856,111.155,2373,3047.911,11.91,48.037,0,0,0,3272.7139999999995,2540,5812.714,3519.881,2952.835,6379.759999999999,220,378.321,5781.438999999999,2019,1
,2019-02-01,323.151,0,2.592,51.92199999999997,160.775,107.862,2088,2216.663,13.895,113.687,0,0,0,2505.02,2250.376,4755.396000000001,3403.885,2530.858,5628.423000000001,200,372.53,5055.893000000001,2019,2
,2019-03-01,276.518,0,2.592,44.599999999999966,137.108,92.218,2375,2249.672,20.843,192.147,0,0,0,2599.77,2514.41,5114.18,3339.887,2561.857,5892.210000000001,334,370.6,5187.610000000001,2019,3
,2019-04-01,239.573,0,1.944,38.60900000000001,119.153,79.867,2259,2699.807,7.94,208.16,0,0,0,3035.0599999999995,2379.42,5414.48,2247.924,2429.864,5232.539999999999,313,359.019,4560.520999999999,2019,4
,2019-05-01,287.678,0,2.592,45.93099999999998,142.821,96.334,2038,3139.938,11.91,257.798,0,0,0,3552.4669999999996,2182.857,5735.324,2054.93,2418.865,5371.388999999999,384,343.577,4643.811999999999,2019,5
,2019-06-01,280.629,0,1.944,45.265000000000015,139.556,93.864,919,4810.438,6.948,321.847,0,0,0,5278.789,1060.073,6338.862,1723.942,2912.837,5149.967000000001,601,289.531,4259.436000000001,2019,6
,2019-07-01,282.093,0,2.592,45.264999999999986,140.372,93.864,2047,5075.517,6.948,334.657,0,0,0,5557.494000000001,2188.721,7746.215,1209.959,3942.78,5013.394,428,327.171,4258.223,2019,7
,2019-08-01,279.796,0,2.592,44.599999999999966,138.74,93.864,1954,4820.441,7.94,259.399,0,0,0,5226.5199999999995,2095.056,7321.575999999999,1184.96,3690.794,4815.742,338,317.52,4160.222,2019,8
,2019-09-01,291.616,0,2.592,46.59699999999998,145.269,97.158,2163,3057.914,9.925,195.35,0,0,0,3408.458,2309.3469999999998,5717.805,2153.927,2885.839,4985.893,386,310.764,4289.129,2019,9
,2019-10-01,306.563,0,2.592,49.25899999999996,152.614,102.098,2441,3268.976,13.895,136.104,0,0,0,3571.589,2594.949,6166.5380000000005,2764.906,3479.805,5451.638999999999,394,357.089,4700.549999999999,2019,10
,2019-11-01,333.338,0,2.592,53.91900000000004,165.672,111.155,2373,3153.942,12.903,65.65,0,0,0,3398.167,2540.666,5938.8330000000005,2875.903,3143.824,5670.912,248,356.124,5066.7880000000005,2019,11
,2019-12-01,346.804,0,2.592,55.91599999999994,172.201,116.095,2250,3012.901,20.843,44.834,0,0,0,3250.7789999999995,2424.603,5675.382,3024.897,2814.843,5885.435999999999,287,366.74,5231.695999999999,2019,12
,2020-01-01,342.025406,0,2.637778,54.82225599999998,170.214346,114.351026,2186.904876,3219.405556,16.072222,81.25187,0,0,0,3486.943994,2358.715936,5845.65993,3259,3075.055254,6029.604676,206,370.265106,5453.33957,2020,1
,2020-02-01,342.025406,0,2.637778,54.82225599999998,170.214346,114.351026,2046.910965,2736.344704,24.108333,121.877805,0,0,0,3052.5451880000005,2218.722025,5271.267213000001,3232,2972.086888,5531.180325000001,232,377.270122,4921.910203000001,2020,2
,2020-03-01,304.132332,0,2.637778,48.64510000000001,150.944798,101.904656,2184.904963,3005.378595,16.072222,230.75531,0,0,0,3403.150925,2338.092497,5741.243422,2570,2708.167972,5603.075449999999,300,366.26224,4936.813209999999,2020,3
,2020-04-01,248.351771,0,1.318889,40.151512,123.64627,83.2351,1973.91414,2774.349491,7.031597,303.881993,0,0,0,3208.9093510000002,2098.6196410000002,5307.5289920000005,1765,2294.295126,4778.2338660000005,429,326.23358,4023.0002860000004,2020,4
,2020-05-01,271.000891,0,2.637778,43.240088000000014,134.886841,90.236184,1943.915445,3671.462503,10.045139,328.257554,0,0,0,4144.652037,2080.029495,6224.6815320000005,1607,2695.171965,5136.509567000001,600,321.229998,4215.279569000001,2020,5
,2020-06-01,278.868364,0,2.637778,44.784378000000004,138.098432,93.347776,1476.935757,4180.526631,8.036111,290.881694,0,0,0,4617.5428679999995,1617.705689,6235.248556999999,1255,2524.224485,4966.024071999998,487,298.213518,4180.810553999998,2020,6
