GWh,DENMARK,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-05-01,923.987,366.9509999999999,24.656,100.072,371.221,61.087,0,1.229,1014.861,118.041,0,0,0,1505.3519999999999,552.766,2058.118,1412.762,785.886,2684.994,0,127.752,2557.242,2017,5
,2017-06-01,491.174,123.92699999999996,17.426,56.629,245.036,48.156,0,1.048,1271.083,107.68,0,0,0,1624.8470000000002,246.13799999999995,1870.9850000000001,1483.787,766.173,2588.599,0,131.182,2457.4170000000004,2017,6
,2017-07-01,523.114,182.71000000000004,15.48,60.723,211.785,52.416,0,0.932,896.374,103.328,0,0,0,1212.4189999999999,311.329,1523.7479999999998,1679.326,741.074,2461.9999999999995,0,117.938,2344.0619999999994,2017,7
,2017-08-01,606.073,238.78799999999995,16.447,66.799,236.925,47.114,0,1.252,935.882,92.188,0,0,0,1266.247,369.14799999999997,1635.395,1543.091,505.068,2673.4179999999997,0,114.748,2558.6699999999996,2017,8
,2017-09-01,822.835,375.961,7.802,94.811,307.166,37.095,0,1.693,832.463,70.936,0,0,0,1212.2579999999998,515.6690000000001,1727.927,1333.365,384.954,2676.3379999999997,0,112.217,2564.1209999999996,2017,9
,2017-10-01,1009.253,395.731,19.116,102.498,442.453,49.455,0,2.146,1548.154,47.456,0,0,0,2040.2089999999998,566.8000000000001,2607.009,1234.957,874.41,2967.5560000000005,0,149.728,2817.8280000000004,2017,10
,2017-11-01,1406.41,530.8260000000001,30.779,164.669,622.179,57.957,0,2.074,1318.213,24.869,0,0,0,1967.3349999999998,784.2310000000001,2751.566,1256.712,924.946,3083.332,0,144.56,2938.772,2017,11
,2017-12-01,1526.849,564.1219999999998,36.282,155.723,710.763,59.959,0,2.029,1693.812,12.125,0,0,0,2418.729,816.086,3234.8149999999996,1282.765,1294.488,3223.0919999999996,0,187.194,3035.8979999999997,2017,12
,2018-01-01,1789.9,667.8780000000002,26.116,272.82,760.834,62.252,0,2.271,1368.992,10.762,0,0,0,2142.859,1029.066,3171.925,1415.953,1262.019,3325.8590000000004,0,203.264,3122.5950000000003,2018,1
,2018-02-01,1969.796,861.4390000000001,22.5,307.612,726.562,51.683,0,1.912,1160.334,32.964,0,0,0,1921.772,1243.2340000000002,3165.0060000000003,966.615,1108.649,3022.972,0,167.904,2855.068,2018,2
