GWh,FRANCE,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,6355.354,1226.4559999999992,686.607,3501.994,753.371,186.926,41588.517,5778.462,2920.09,280.512,7.328,41.199,46.626,9780.962000000001,47237.126,57018.087999999996,1540.185,6628.361,51929.912,786.096,4239.943,46903.87299999999,2016,1
,2016-02-01,5051.179,967.1489999999999,541.44,2761.576,594.088,186.926,37323.254,7073.672,2954.941,429.784,7.328,41.199,46.626,11101.011999999999,41826.971,52927.98299999999,1216.314,6160.211,47984.08599999999,590.24,3759.835,43634.01099999999,2016,2
,2016-03-01,5900.764,1136.0699999999997,636.007,3243.91,697.851,186.926,37177.228,6738.884,2509.297,702.931,7.328,41.199,46.626,10697.49,42426.767,53124.257,1477.918,5703.161,48899.013999999996,555.239,3746.478,44597.29699999999,2016,3
,2016-04-01,3446.122,648.0190000000002,362.781,1850.339,398.057,186.926,31058.259,6591.294,1724.016,858.847,7.328,41.199,46.626,9620.741,34152.95,43773.691,1636.805,5329.452,40081.044,407.878,3015.433,36657.733,2016,4
,2016-05-01,2381.115,436.2660000000001,244.235,1245.704,267.984,186.926,29445.13,6623.449,1591.796,1012.586,7.328,41.199,46.626,9544.341999999999,31604.887000000002,41149.229,846.241,6117.507,35877.963,614.614,2463.15,32800.199,2016,5
,2016-06-01,2430.015,445.98900000000003,249.678,1273.466,273.956,186.926,28645.564,7289.999,1101.969,1029.148,7.328,41.199,46.626,9743.598999999998,30848.249,40591.848,383.944,7058.825,33916.967000000004,553.067,2277.323,31086.577000000005,2016,6
,2016-07-01,2955.933,550.556,308.218,1572.045,338.188,186.926,28346.39,5400.164,1047.468,1137.079,7.328,41.199,46.626,7971.4259999999995,31010.761,38982.187,1080.987,5364.549,34698.625,468.261,2448.581,31781.783,2016,7
,2016-08-01,3033.659,566.0100000000002,316.87,1616.172,347.681,186.926,27117.281,3949.998,1219.605,1087.852,7.328,41.199,46.626,6653.663,29849.885,36503.547999999995,1539.946,4917.847,33125.64699999999,539.642,2367.253,30218.75199999999,2016,8
,2016-09-01,5167.992,990.375,554.442,2827.894,608.355,186.926,26481.303,3430.94,1024.606,857.974,7.328,41.199,46.626,5970.402,31087.566,37057.968,1655.464,4355.481,34357.951,488.715,2419.485,31449.751,2016,9
,2016-10-01,6124.057,1180.4669999999996,660.862,3370.68,725.122,186.926,29023.286,3106.483,1441.506,622.446,7.328,41.199,46.626,5944.084,34468.846999999994,40412.931,2540.324,3236.055,39717.2,608.954,2872.306,36235.939999999995,2016,10
