GWh,KOREA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-01-01,34416.37,19780.318000000003,2189.544,11914.803,478.626,53.079,14698.564,589.219,140.178,350.27,0,41.333,107.167,1599.6260000000002,48743.475,50343.100999999995,0,0,50343.100999999995,435.743,1722.105,48185.253,2016,1
,2016-02-01,29831.278,17441.221999999998,1948.243,10002.265,395.669,43.879,13483.044,377.753,140.178,409.878,0,41.333,107.167,1364.8110000000001,43025.82,44390.631,0,0,44390.631,279.359,1518.486,42592.786,2016,2
,2016-03-01,30774.235,17939.059,2200.242,10207.936,384.372,42.626,13899.005,379.676,140.178,493.881,0,41.333,107.167,1439.44,44396.035,45835.475000000006,0,0,45835.475000000006,280.781,1567.911,43986.783,2016,3
,2016-04-01,24897.492,15958.278999999999,1642.753,6996.847,269.703,29.91,14593.86,447.922,140.178,564.274,0,41.333,107.167,1463.41,39328.816000000006,40792.22600000001,0,0,40792.22600000001,331.25,1395.394,39065.58200000001,2016,4
,2016-05-01,26992.835,17738.233,1210.074,7653.179,352.282,39.067,13325.036,609.404,140.178,548.205,0,41.333,107.167,1691.402,40072.756,41764.158,0,0,41764.158,450.671,1428.642,39884.845,2016,5
,2016-06-01,29057.351,18575.360999999997,964.018,9021.295,447.095,49.582,12347.479,496.944,140.178,520.695,0,41.333,107.167,1646.2450000000003,41064.902,42711.147000000004,0,0,42711.147000000004,367.503,1461.036,40882.60800000001,2016,6
,2016-07-01,32608.06,20144.976000000002,1443.055,10485.188,481.449,53.392,12911.93,869.891,140.178,398.55,0,41.333,107.167,1931.401,45145.708000000006,47077.109000000004,0,0,47077.109000000004,643.307,1610.385,44823.417,2016,7
,2016-08-01,33622.245,21003.243000000002,997.301,11006.423,553.856,61.422,13945.646,667.076,140.178,404.396,0,41.333,107.167,1806.8390000000002,47121.202000000005,48928.041000000005,0,0,48928.041000000005,493.321,1673.7,46761.020000000004,2016,8
,2016-09-01,28425.875,17891.495000000003,600.282,9383.235,495.872,54.991,12071.441,601.715,140.178,396.621,0,41.333,107.167,1675.719,40108.611000000004,41784.33,0,0,41784.33,444.984,1429.332,39910.014,2016,9
,2016-10-01,30438.299,17924.261,1166.093,10780.588,510.719,56.638,11095.788,453.689,140.178,391.356,0,41.333,107.167,1537.275,41130.535,42667.810000000005,0,0,42667.810000000005,335.515,1459.553,40872.742000000006,2016,10
