country,year,month,Total Combustible Fuels,coal,gas,oil,nuclear,hydro,solar,wind,other
Argentina,2015,1,8875.235,195.203,6767.06,1856.738,559.079,2519.945,1.511,51.294,56.234
Argentina,2015,2,8597.118,203.211,6673.424,1670.965,610.064,2032.279,1.262,42.504,49.518
Argentina,2015,3,9600.665,247.979,7363.379,1903.254,631.876,2142.899,1.313,41.142,86.054
Argentina,2015,4,8704.831,254.968,6962.605,1383.536,356.188,1890.171,1.192,44.253,103.722
Argentina,2015,5,9363.043,280.55,7112.067,1902.151,339.552,1827.25,1.123,47.972,68.275
Argentina,2015,6,8826.882,209.232,6294.628,2220.845,424.153,2736.168,0.975,55.032,102.177
Argentina,2015,7,8016.615,267.781,5653.678,1969.849,880.549,3158.168,1.04,52.493,125.307
Argentina,2015,8,7279.999,214.414,5303.498,1645.941,607.935,3343.331,1.12,51.677,116.145
Argentina,2015,9,7157.786,99.689,5331.615,1606.297,383.907,3460.589,1.36,48.779,120.185
Argentina,2015,10,7062.234,269.088,5023.479,1646.181,247.742,3402.642,1.214,52.399,123.486
Argentina,2015,11,6769.876,277.518,5170.796,1228.492,626.515,2461.563,1.337,45.764,93.069
Argentina,2015,12,8245.409,228.149,6265.463,1675.46,976.517,2868.537,1.465,55.301,76.337
Argentina,2016,1,9362.242,202.149,7360.184,1754.471,692.075,2879.946,1.298,48.728,45.439
Argentina,2016,2,9339.051,250.337,7174.517,1872.046,672.296,2642.561,1.32,44.432,42.15
Argentina,2016,3,7973.022,156.701,6515.623,1253.15,601.438,2310.101,1.257,49.699,47.548
Argentina,2016,4,7570.801,59.612,6072.343,1415.195,717.686,2367.2,0.823,51.064,23.65
Argentina,2016,5,8180.072,46.442,5918.271,2003.11,763.044,2836.279,0.513,33.429,212.249
Argentina,2016,6,9208.799,97.998,6639.911,1893.802,702.222,2444.729,0.751,41.783,577.089
Argentina,2016,7,9611.715,263.314,7208.433,2116.562,686.94,2140.885,1.114,40.589,23.406
Argentina,2016,8,8590.75,281.984,6693.468,1591.317,504.066,2023.766,1.297,44.938,23.982
Argentina,2016,9,7683.728,281.148,5981.143,1378.108,538.127,2206.687,1.307,44.537,43.329
Argentina,2016,10,7405.849,173.867,6006.182,1183.718,754.59,2346.972,1.348,44.446,42.081
Argentina,2016,11,7181.594,176.455,5821.073,1151.12,651.717,2514.232,1.412,45.753,32.947
Argentina,2016,12,9369.77,233.181,7295.052,1816.128,535.968,2603.387,1.477,54.544,25.409
Argentina,2017,1,9842.985,212.805,8155.811,1389.877,643.307,2710.078,1.516,55.788,84.491
Argentina,2017,2,8556.293,231.919,6928.183,1302.301,640.168,2462.237,1.235,41.371,93.89
Argentina,2017,3,8670.94,161.681,7090.955,1315.305,514.62,2456.312,1.381,43.241,102.999
Argentina,2017,4,7756.606,276.379,6520.064,902.217,244.192,2149.589,1.077,45.599,57.947
Argentina,2017,5,8285.542,201.56,7260.554,767.017,195.725,2494.18,1.136,40.923,56.411
Argentina,2017,6,9131.604,181.451,7267.15,1573.502,243.79,2492.291,1.122,53.486,109.501
Argentina,2017,7,10191.786,222.81,8842.653,989.626,254.571,2224.739,1.15,51.038,136.696
Argentina,2017,8,8336.063,184.201,7423.24,589.612,627.465,2505.627,1.363,53.465,139.01
Argentina,2017,9,7410.425,124.212,6372.487,765.641,615.818,2559.332,1.39,46.587,148.086
Argentina,2017,10,6631.554,148.861,5805.761,529.796,622.182,2988.144,1.619,54.393,147.137
Argentina,2017,11,6488.074,,6225.9,132.583,511.901,3351.067,1.634,54.762,129.591
Argentina,2017,12,8854.071,164.896,7903.744,687.648,656.872,2971.606,1.701,66.496,97.783
Argentina,2018,1,9480.1321,275.3227,8344.9223,798.9751,644.6919,2825.4957,1.6132,55.7481,60.912
Argentina,2018,2,8868.21,246.1544,7495.6857,1060.8005,577.4931,2442.0404,1.411,45.4189,65.5695
Argentina,2018,3,8764.4664,288.844,7893.8952,527.9277,509.8864,2360.3319,2.0048,49.8618,53.7996
Argentina,2018,4,8471.0576,189.0145,7488.1914,736.8802,580.6021,2267.9021,1.7048,58.7371,56.9715
Argentina,2018,5,8011.2388,137.0785,7403.8552,366.0921,759.6601,2242.8179,1.2501,62.327,104.213
Argentina,2018,6,9203.4415,303.2648,7620.2954,1132.9512,748.468,2672.0406,1.27,90.1838,146.93
Argentina,2018,7,9546.4122,318.1229,8109.1321,967.8122,713.1307,3055.4521,3.1772,90.8067,151.345
Argentina,2018,8,8625.0298,277.1856,7640.3211,552.0654,671.1736,2766.191,7.251,135.8003,155.4577
Argentina,2018,9,7813.2583,61.084,7528.7627,80.9072,314.9383,2256.4433,10.987,146.9644,142.5044
Argentina,2018,10,6877.0606,46.3964,6671.7715,35.4483,399.5385,2695.0252,14.223,186.5997,123.4445
Argentina,2018,11,6286.1539,0.0,6120.958,46.6616,380.0609,3092.6417,23.8315,223.1793,118.5343
Argentina,2018,12,7351.522,0.0,7169.6647,85.1458,214.6634,3189.3956,38.7888,256.9093,96.7115
Argentina,2019,1,8265.0782,10.3505,7902.8671,283.8862,201.4835,2694.0684,40.1105,285.6112,67.9746
Argentina,2019,2,8388.1556,123.1177,7369.1594,813.9008,302.1093,1982.7133,43.4479,230.6625,81.9778
Argentina,2019,3,7116.98,0.0,6972.2648,41.7964,530.2121,2154.4827,50.3493,305.6787,102.9188
Argentina,2019,4,6887.255,0.0,6748.3905,41.3014,643.5017,1939.1236,49.9768,327.3478,97.5631
Argentina,2019,5,7125.0518,100.0751,6866.8,38.361,841.1869,2171.9999,41.7789,328.137,119.8157
Argentina,2019,6,7603.0936,149.0908,6951.8512,346.2331,746.0853,2082.3117,40.4754,405.9942,155.9184
Argentina,2019,7,8488.7493,310.0549,7543.2281,475.9943,740.595,2330.7422,53.5706,417.2914,159.4721
Argentina,2019,8,7510.2109,0.0,7072.4324,278.6812,870.359,2571.468,66.3814,443.5897,159.0972
Argentina,2019,9,7176.2173,190.1562,6571.426,250.5144,878.5485,2301.237,84.7567,524.6745,164.1207
Argentina,2019,10,7748.9486,48.021,7142.7751,397.6753,716.1968,2186.8036,95.5121,516.5327,160.4772
Argentina,2019,11,7299.9696,18.0113,6984.5984,151.493,765.2331,2438.1799,108.1538,562.9839,145.8669
Argentina,2019,12,7909.9609,235.9043,7418.1718,120.1795,733.9571,2381.3022,117.3301,598.3938,135.7053
Argentina,2020,1,8491.876,61.2653,7415.1231,901.1946,795.3313,2392.7093,105.9125,676.7066,114.293
Argentina,2020,2,7858.7148,120.1288,7270.3051,369.3347,809.144,1953.2474,83.6179,643.7757,98.9462
Argentina,2020,3,8592.0413,198.4896,7995.2466,283.2139,932.5598,1853.7241,97.6025,658.1173,115.0912
Argentina,2020,4,6505.9769,0.0,6370.1373,16.0492,980.5793,1378.2762,79.3179,606.377,119.7903
Argentina,2020,5,6907.5939,24.4611,6729.9543,21.0614,1019.193,1620.6222,71.9245,721.9713,132.1171
Argentina,2020,6,7525.5906,98.864,6773.0636,461.002,931.6715,2170.2652,59.5207,724.0146,192.661
Argentina,2020,7,8291.2808,430.8513,6357.5234,1290.4205,740.6348,2934.9802,66.5484,749.1206,212.4856
Argentina,2020,8,7450.9639,320.9284,6389.8907,514.0404,895.9666,1967.9629,85.8353,920.9252,226.1044
Argentina,2020,9,6849.689,54.2578,6344.8307,222.956,884.8493,1897.7964,124.1807,844.0024,227.6446
Argentina,2020,10,7341.2888,0.0,7071.048,46.6506,694.5088,1905.4022,149.8101,901.2183,223.5902
Argentina,2020,11,8571.3776,201.8526,7080.7475,1060.2481,681.8682,1679.8125,192.6109,857.9366,228.5295
Argentina,2020,12,8860.5864,343.7514,7148.6772,1130.5938,698.1081,1859.0645,214.2726,1014.044,237.564
Argentina,2021,1,9691.0768,288.9077,8256.7512,926.3419,681.4732,2173.3281,193.058,1047.1597,219.076
Argentina,2021,2,7464.9806,36.8251,6880.7257,345.8425,531.3554,2551.7819,168.4395,817.9614,201.5874
Argentina,2021,3,8386.3941,212.3287,7510.5771,451.3054,714.4764,2039.6632,159.4615,943.8398,212.183
Argentina,2021,4,7706.9927,308.5321,6638.8946,545.002,534.0356,1538.8947,144.1641,950.6948,214.564
Argentina,2021,5,8140.6862,366.8754,6588.2553,941.3478,719.7414,2043.3525,121.8275,1015.2811,244.2078
Argentina,2021,6,9398.8346,317.2511,7861.781,902.6642,1069.5723,1763.0046,104.7319,1105.72,317.1383
Argentina,2021,7,9559.339,320.6134,8127.0566,802.9537,1107.2487,1806.1625,137.814,1278.6725,308.7152
Argentina,2021,8,9661.1959,317.5748,8552.3217,447.3064,1068.579,1617.4803,163.6004,1193.3983,343.993
Argentina,2021,9,7878.184,372.1962,6659.0746,516.7102,782.6551,2249.7644,192.7347,1043.5547,330.2031
Argentina,2021,10,7074.1309,161.4677,6010.0567,566.6432,913.7584,2432.8181,263.6656,1222.0907,335.9633
Argentina,2021,11,7618.917,322.9567,6562.9632,426.428,1070.3997,2096.243,277.0935,1095.5569,306.5691
Argentina,2021,12,9467.4544,284.4318,8026.1815,878.8881,1030.7809,1978.255,247.4256,1096.549,277.9529
Australia,2010,1,19289.73,14796.776,3544.365,732.302,,990.728,49.216,409.469,216.287
Australia,2010,2,17725.061,13482.774,3624.479,401.521,,983.425,38.884,390.199,216.287
Australia,2010,3,18167.835,14529.374,3334.396,87.778,,852.869,37.252,415.654,216.287
Australia,2010,4,16667.23,12999.464,3392.874,58.605,,1044.406,26.811,350.511,216.287
Australia,2010,5,18160.76,13822.503,3883.549,238.421,,1318.908,19.523,296.832,216.287
Australia,2010,6,18425.519,14043.301,4124.946,40.985,,1408.504,15.934,312.625,216.287
Australia,2010,7,19252.923,14972.031,4110.435,5.272,,1504.626,64.998,320.106,165.184
Australia,2010,8,18774.54,14207.784,4154.122,247.449,,1671.956,84.458,574.758,165.184
Australia,2010,9,17529.276,12796.702,4046.685,520.705,,1737.34,103.14,408.351,165.184
Australia,2010,10,16848.312,12889.417,3786.357,7.353,,1582.344,137.196,489.709,165.184
Australia,2010,11,16517.718,12582.983,3722.863,46.687,,1732.886,155.683,410.598,165.184
Australia,2010,12,16944.065,12764.666,3953.514,60.7,,1643.899,175.143,562.097,165.184
Australia,2011,1,21700.353,13932.343,4378.49,3224.335,,1171.131,176.116,433.348,165.184
Australia,2011,2,18383.483,12999.254,4091.128,1127.917,,1216.229,139.142,538.337,165.184
Australia,2011,3,18166.21,13989.908,3828.185,182.934,,992.483,133.304,619.066,165.184
Australia,2011,4,16375.276,13143.339,3050.728,16.025,,911.037,95.94,507.972,165.184
Australia,2011,5,18084.205,14230.168,3671.024,17.829,,1291.933,69.863,488.339,165.184
