country,year,month,coal,gas,oil,nuclear,hydro,solar,wind,other
Argentina,2019,10,48.021,7142.7751,397.6753,716.1968,2186.8036,95.5121,516.5327,160.4772
Argentina,2019,11,18.0113,6984.5984,151.493,765.2331,2438.1799,108.1538,562.9839,145.8669
Argentina,2019,12,235.9043,7418.1718,120.1795,733.9571,2381.3022,117.3301,598.3938,135.7053
Argentina,2020,1,61.2653,7415.1231,901.1946,795.3313,2392.7093,105.9125,676.7066,114.293
Argentina,2020,2,120.1288,7270.3051,369.3347,809.144,1953.2474,83.6179,643.7757,98.9462
Argentina,2020,3,198.4896,7995.2466,283.2139,932.5598,1853.7241,97.6025,658.1173,115.0912
Argentina,2020,4,0.0,6370.1373,16.0492,980.5793,1378.2762,79.3179,606.377,119.7903
Argentina,2020,5,24.4611,6729.9543,21.0614,1019.193,1620.6222,71.9245,721.9713,132.1171
Argentina,2020,6,98.864,6773.0636,461.002,931.6715,2170.2652,59.5207,724.0146,192.661
Argentina,2020,7,430.8513,6357.5234,1290.4205,740.6348,2934.9802,66.5484,749.1206,212.4856
Argentina,2020,8,320.9284,6389.8907,514.0404,895.9666,1967.9629,85.8353,920.9252,226.1044
Argentina,2020,9,54.2578,6344.8307,222.956,884.8493,1897.7964,124.1807,844.0024,227.6446
Argentina,2020,10,0.0,7071.048,46.6506,694.5088,1905.4022,149.8101,901.2183,223.5902
Argentina,2020,11,201.8526,7080.7475,1060.2481,681.8682,1679.8125,192.6109,857.9366,228.5295
Argentina,2020,12,343.7514,7148.6772,1130.5938,698.1081,1859.0645,214.2726,1014.044,237.564
Argentina,2021,1,288.9077,8256.7512,926.3419,681.4732,2173.3281,193.058,1047.1597,219.076
Argentina,2021,2,36.8251,6880.7257,345.8425,531.3554,2551.7819,168.4395,817.9614,201.5874
Argentina,2021,3,212.3287,7510.5771,451.3054,714.4764,2039.6632,159.4615,943.8398,212.183
Argentina,2021,4,308.5321,6638.8946,545.002,534.0356,1538.8947,144.1641,950.6948,214.564
Argentina,2021,5,366.8754,6588.2553,941.3478,719.7414,2043.3525,121.8275,1015.2811,244.2078
Argentina,2021,6,317.2511,7861.781,902.6642,1069.5723,1763.0046,104.7319,1105.72,317.1383
Argentina,2021,7,320.6134,8127.0566,802.9537,1107.2487,1806.1625,137.814,1278.6725,308.7152
Argentina,2021,8,317.5748,8552.3217,447.3064,1068.579,1617.4803,163.6004,1193.3983,343.993
Argentina,2021,9,372.1962,6659.0746,516.7102,782.6551,2249.7644,192.7347,1043.5547,330.2031
Argentina,2021,10,161.4677,6010.0567,566.6432,913.7584,2432.8181,263.6656,1222.0907,335.9633
Argentina,2021,11,322.9567,6562.9632,426.428,1070.3997,2096.243,277.0935,1095.5569,306.5691
Argentina,2021,12,284.4318,8026.1815,878.8881,1030.7809,1978.255,247.4256,1096.549,277.9529
Argentina,2022,1,325.7498,8378.5122,1124.4259,981.9046,2011.9096,254.0391,1180.0319,278.0677
Argentina,2022,2,260.1755,6941.6054,661.9436,897.7766,1403.5468,243.165,1043.6263,256.7992
Argentina,2022,3,260.7468,6507.7972,1128.9668,756.0288,1653.1179,260.9629,1255.2082,257.32
Argentina,2022,4,302.5654,5746.5293,537.0408,661.3909,2173.4598,227.0684,1205.4748,262.0856
Australia,2010,1,14796.776,3544.365,732.302,0.0,990.728,49.216,409.469,216.37
Australia,2010,2,13482.774,3624.479,401.521,0.0,983.425,38.884,390.199,216.37
Australia,2010,3,14529.374,3334.396,87.778,0.0,852.869,37.252,415.654,216.37
Australia,2010,4,12999.464,3392.874,58.605,0.0,1044.406,26.811,350.511,216.37
Australia,2010,5,13822.503,3883.549,238.421,0.0,1318.908,19.523,296.832,216.37
Australia,2010,6,14043.301,4124.946,40.985,0.0,1408.504,15.934,312.625,216.37
Australia,2010,7,14972.031,4110.435,5.272,0.0,1504.626,64.998,320.106,165.267
Australia,2010,8,14207.784,4154.122,247.449,0.0,1671.956,84.458,574.758,165.267
Australia,2010,9,12796.702,4046.685,520.705,0.0,1737.34,103.14,408.351,165.267
Australia,2010,10,12889.417,3786.357,7.353,0.0,1582.344,137.196,489.709,165.267
Australia,2010,11,12582.983,3722.863,46.687,0.0,1732.886,155.683,410.598,165.267
Australia,2010,12,12764.666,3953.514,60.7,0.0,1643.899,175.143,562.097,165.267
Australia,2011,1,13932.343,4378.49,3224.335,0.0,1171.131,176.116,433.348,165.267
Australia,2011,2,12999.254,4091.128,1127.917,0.0,1216.229,139.142,538.337,165.267
Australia,2011,3,13989.908,3828.185,182.934,0.0,992.483,133.304,619.066,165.267
Australia,2011,4,13143.339,3050.728,16.025,0.0,911.037,95.94,507.972,165.267
Australia,2011,5,14230.168,3671.024,17.829,0.0,1291.933,69.863,488.339,165.267
Australia,2011,6,14280.544,3411.171,20.742,0.0,1351.137,57.019,732.319,165.267
Australia,2011,7,14623.236,3843.111,54.025,0.0,1525.185,108.563,621.479,237.674
Australia,2011,8,13969.061,3945.561,11.446,0.0,1332.328,141.067,509.829,237.674
Australia,2011,9,13086.859,3050.936,59.061,0.0,1226.283,172.27,728.209,237.674
Australia,2011,10,13549.993,3225.029,241.509,0.0,999.56,229.152,537.447,237.674
Australia,2011,11,13030.17,4192.531,371.763,0.0,1076.628,260.031,532.37,237.674
Australia,2011,12,13114.885,3927.453,12.819,0.0,904.043,292.535,539.034,237.674
Australia,2012,1,13903.974,4215.762,1534.895,0.0,847.242,294.16,743.004,237.674
Australia,2012,2,13285.313,3912.147,652.416,0.0,895.97,232.402,496.331,237.674
Australia,2012,3,13180.618,3807.236,401.522,0.0,1177.444,222.651,589.725,237.674
Australia,2012,4,12256.252,3964.053,64.326,0.0,1207.434,160.244,432.456,237.674
Australia,2012,5,13930.513,3515.632,39.832,0.0,1236.06,116.689,537.198,237.674
Australia,2012,6,13359.347,3909.263,107.363,0.0,1654.823,95.236,702.918,237.674
Australia,2012,7,13035.017,4592.02,67.53,0.0,2094.819,162.307,534.268,246.191
Australia,2012,8,12866.337,4030.572,352.89,0.0,1963.469,210.902,752.073,246.191
Australia,2012,9,11568.088,3616.657,254.679,0.0,1745.342,257.553,663.923,246.191
Australia,2012,10,11778.548,4481.829,25.217,0.0,1504.981,342.595,581.89,246.191
Australia,2012,11,12127.789,4102.862,209.859,0.0,1176.513,388.76,594.983,246.191
Australia,2012,12,12577.106,3957.345,947.424,0.0,1159.981,437.355,760.075,246.191
Australia,2013,1,13105.767,4582.219,3749.94,0.0,1316.816,439.785,669.647,246.191
Australia,2013,2,11600.35,4170.794,220.387,0.0,1371.249,347.454,598.18,246.191
Australia,2013,3,12782.265,4032.348,122.426,0.0,1304.397,332.876,783.985,246.191
Australia,2013,4,11876.644,3325.833,8.372,0.0,1417.845,239.573,582.163,246.191
Australia,2013,5,12813.514,3301.453,17.998,0.0,1621.638,174.456,843.396,246.191
Australia,2013,6,12888.931,3641.521,29.178,0.0,1592.951,142.383,595.417,246.191
Australia,2013,7,12701.0,3846.665,14.221,0.0,1968.52,187.242,881.864,272.463
Australia,2013,8,11993.048,3996.303,15.959,0.0,1808.19,243.302,1180.731,272.463
Australia,2013,9,10863.62,3836.151,34.92,0.0,1706.648,297.12,961.474,272.463
Australia,2013,10,11439.881,3588.871,5.846,0.0,1826.306,395.226,1011.061,272.463
Australia,2013,11,11339.701,3770.706,47.087,0.0,1634.882,448.483,693.445,272.463
Australia,2013,12,11734.61,4034.518,162.277,0.0,1690.361,504.544,742.142,272.463
Australia,2014,1,12756.94,4894.411,1701.775,0.0,1209.916,507.347,837.32,272.463
Australia,2014,2,11605.505,4315.616,1102.282,0.0,1071.815,400.832,707.904,272.463
Australia,2014,3,12404.95,4505.157,423.627,0.0,1041.685,384.014,637.322,272.463
Australia,2014,4,11392.532,4272.442,489.991,0.0,1157.836,276.378,676.409,272.463
Australia,2014,5,11745.105,4742.694,615.293,0.0,1569.176,201.257,831.328,272.463
Australia,2014,6,11386.695,4834.474,53.566,0.0,1735.665,164.257,1091.0,272.463
Australia,2014,7,12918.779,4787.471,21.22,0.0,1585.126,234.542,1287.753,283.262
Australia,2014,8,12950.639,4568.512,20.731,0.0,1438.076,304.765,677.609,283.262
Australia,2014,9,11764.571,3576.636,17.993,0.0,1167.128,372.178,939.783,283.262
Australia,2014,10,12030.29,3978.015,18.189,0.0,1023.924,495.067,931.669,283.262
Australia,2014,11,11823.529,5030.274,445.522,0.0,792.324,561.778,891.187,283.262
Australia,2014,12,12521.549,4420.5,1204.943,0.0,797.707,632.001,901.387,283.262
Australia,2015,1,13052.438,4222.63,3018.812,0.0,940.384,635.512,1066.629,283.262
Australia,2015,2,12053.383,3920.753,478.868,0.0,886.473,502.089,800.916,283.262
Australia,2015,3,12805.52,4357.983,1021.102,0.0,951.309,481.023,913.996,283.262
Australia,2015,4,12051.723,3555.181,54.566,0.0,1067.288,346.196,874.759,283.262
Australia,2015,5,12795.203,3402.366,24.447,0.0,1283.28,252.098,1299.225,283.262
Australia,2015,6,12617.059,3590.303,77.155,0.0,1511.98,205.751,882.087,283.262
Australia,2015,7,13601.256,2952.54,76.891,0.0,1533.708,560.034,1147.926,291.653
Australia,2015,8,12682.807,2991.021,19.329,0.0,1684.63,727.709,1036.166,291.653
Australia,2015,9,11731.535,2916.574,2.256,0.0,1388.749,888.677,812.036,291.653
Australia,2015,10,12123.9,2847.639,5.152,0.0,997.338,1182.108,892.142,291.653
Australia,2015,11,11951.775,3727.97,61.564,0.0,844.464,1341.399,812.479,291.653
Australia,2015,12,12478.585,4110.024,59.946,0.0,1040.414,1509.074,914.346,291.653
Australia,2016,1,13464.124,4539.957,393.566,0.0,1414.75,560.034,1080.024,291.469
Australia,2016,2,13310.944,4563.167,1932.876,0.0,1171.597,727.709,934.504,291.469
Australia,2016,3,13676.62,5171.951,208.296,0.0,1218.021,888.676,846.767,302.255
Australia,2016,4,12636.527,4265.36,1573.538,0.0,953.907,1182.107,889.525,290.242
Australia,2016,5,12590.627,4489.438,171.091,0.0,1300.919,1341.399,1556.841,293.588
Australia,2016,6,13144.174,4825.418,737.725,0.0,1769.596,1509.074,1276.244,280.894
Australia,2016,7,13370.677,3731.024,611.682,0.0,1825.668,426.889,1416.11,274.65000000000003
Australia,2016,8,13611.192,3125.285,50.98,0.0,1683.083,560.78,1151.781,303.30100000000004
Australia,2016,9,12244.255,3345.333,61.567,0.0,1451.654,620.956,1003.459,285.06500000000005
Australia,2016,10,11410.508,2835.42,42.257,0.0,2012.321,834.931,1381.513,306.02000000000004
Australia,2016,11,11768.185,3439.117,75.874,0.0,1717.876,843.251,1090.202,278.33700000000005
Australia,2016,12,12973.815,2913.24,123.921,0.0,1466.037,830.593,1074.389,278.33700000000005
Australia,2017,1,13788.012,4532.208,1606.534,0.0,850.65,850.729,1055.79,279.485
Australia,2017,2,12267.622,4466.776,2001.616,0.0,959.226,760.928,982.49,252.059
Australia,2017,3,13108.848,4758.815,269.748,0.0,726.587,680.016,1021.292,234.632
Australia,2017,4,11337.817,4665.284,12.635,0.0,684.095,627.718,843.464,218.657
Australia,2017,5,12359.107,4457.639,60.242,0.0,1422.161,546.774,948.204,280.091
Australia,2017,6,12973.812,4879.652,10.967,0.0,1485.642,487.078,628.305,281.69300000000004
Australia,2017,7,13006.153,4571.655,131.715,0.0,1510.681,554.3,1477.805,275.441
Australia,2017,8,12714.592,4391.535,192.929,0.0,1569.732,690.81,1360.886,277.192
Australia,2017,9,11289.97,4062.756,138.441,0.0,1332.375,829.325,1575.149,273.519
Australia,2017,10,11412.647,4176.917,664.329,0.0,1392.771,877.254,1191.664,289.325
Australia,2017,11,11725.568,4971.059,483.168,0.0,878.549,974.085,1011.974,269.357
Australia,2017,12,12900.112,4504.327,136.489,0.0,793.96,1038.477,1174.169,274.662
Australia,2018,1,13464.1241,4539.9566,393.5661,0.0,1414.7328,560.034,1080.0245,291.4693
Australia,2018,2,13310.9437,4563.1667,1932.8763,0.0,1171.5834,727.7089,934.504,291.4693
Australia,2018,3,13676.6197,5171.9509,208.2961,0.0,1218.0057,888.6767,846.7669,302.2548
Australia,2018,4,12636.5269,4265.3596,1573.5384,0.0,953.8961,1182.1078,889.5254,290.2421
Australia,2018,5,12590.6267,4489.4384,171.0911,0.0,1300.904,1341.3989,1556.841,293.5883
Australia,2018,6,13144.1741,4825.4177,737.7255,0.0,1769.5754,1509.0737,1276.2436,280.8944
Australia,2018,7,13370.677,3731.0241,611.6816,0.0,1825.6676,426.8891,1416.1099,274.5675
Australia,2018,8,13611.1919,3125.2847,50.9802,0.0,1683.0828,560.7798,1151.7812,303.2179
Australia,2018,9,12244.2555,3345.3332,61.5674,0.0,1451.6542,620.9568,1003.4593,284.9818
Australia,2018,10,11410.5081,2835.4198,42.2574,0.0,2012.321,834.9314,1381.5126,305.9369
Australia,2018,11,11768.1855,3439.1174,75.874,0.0,1717.8766,843.2503,1090.2021,278.254
Australia,2018,12,12973.8148,2913.2397,123.9206,0.0,1466.0374,830.5934,1074.3894,278.254
Australia,2019,1,13249.6553,5372.947,58.9323,0.0,1211.1152,2720.5735,1375.1294,276.0846
Australia,2019,2,11546.1026,4495.8905,130.4512,0.0,782.7572,2361.9358,1399.498,247.2662
Australia,2019,3,12541.1295,5001.9695,84.5544,0.0,846.4939,2212.2005,1400.3354,270.2591
Australia,2019,4,11322.5731,3445.4523,558.7274,0.0,960.2559,1933.0394,1459.657,255.779
Australia,2019,5,11903.657,4234.2951,341.3286,0.0,1341.1871,1617.2513,1689.4928,233.0095
Australia,2019,6,12102.4212,4592.8963,213.7498,0.0,1725.6331,1360.488,1533.8193,239.1665
Australia,2019,7,12199.6405,4683.0149,170.2624,0.0,1612.8909,1632.4014,1898.067,258.5563
Australia,2019,8,11653.2467,5224.4789,-194.4936,0.0,1508.988,2046.5642,1939.7441,258.7969
Australia,2019,9,10317.8957,4798.7168,-267.0819,0.0,1238.2563,2537.1063,1685.3386,244.3417
Australia,2019,10,10621.8806,4822.7095,-220.3184,0.0,1008.5131,3007.8633,1667.0948,251.5841
Australia,2019,11,10807.2962,3495.8416,438.8819,0.0,1023.1918,3239.4238,1893.3505,242.9283
Australia,2019,12,12142.1228,3650.5635,648.6014,0.0,1016.4202,3415.6533,1776.0663,242.519
Australia,2020,1,12622.1666,4122.1199,727.684,0.0,1129.6449,2191.3141,1648.1343,256.8791
Australia,2020,2,11515.0764,4468.7625,329.7365,0.0,1103.5167,1881.6229,1415.3086,248.7525
Australia,2020,3,11159.4286,4191.9025,361.4431,0.0,1119.52,1921.3692,1735.9824,259.4875
Australia,2020,4,10433.3718,3363.7988,583.8425,0.0,1268.3681,1615.8672,1589.6367,250.094
Australia,2020,5,11074.0016,4158.2495,368.608,0.0,1534.621,1428.3351,1915.3787,250.6078
Australia,2020,6,11706.2737,4624.3272,309.4625,0.0,1588.7193,1252.8342,1679.4247,237.148
Australia,2020,7,12185.7347,5385.5441,67.6993,0.0,1605.7045,1419.0751,1588.5624,240.1056
Australia,2020,8,11582.3359,4223.0814,454.9164,0.0,1268.5871,1845.7028,2166.7722,247.0973
Australia,2020,9,10111.2954,2834.9759,764.4965,0.0,1072.4106,2127.118,2260.9596,241.6901
Australia,2020,10,10021.5945,3361.1757,483.9987,0.0,1236.2779,2476.0612,2018.8585,258.6692
Australia,2020,11,10482.4166,2887.5681,817.5613,0.0,994.2664,2860.2242,1951.4705,245.1386
Australia,2020,12,11030.8666,3074.8171,858.1008,0.0,958.9621,2833.6725,2228.2043,246.9102
Australia,2021,1,11375.1775,2946.6436,999.9022,0.0,1082.8252,2873.6558,2196.2908,238.2909
Australia,2021,2,10457.0934,2449.1107,1032.5857,0.0,1029.4513,2467.2183,1898.7975,224.1331
Australia,2021,3,11214.6836,2844.2504,1000.2695,0.0,1285.2699,2254.1462,2003.6571,250.0578
Australia,2021,4,10652.0375,2861.965,881.4153,0.0,1369.9082,2024.4407,1604.5785,232.6574
Australia,2021,5,11224.0349,3466.522,765.8933,0.0,1564.1218,1673.9251,2011.9304,223.716
Australia,2021,6,11227.0729,5056.2442,54.8518,0.0,1788.7299,1393.0164,2153.1767,201.9387
Australia,2021,7,12084.9505,3913.9078,771.7002,0.0,1601.0903,1566.9543,2787.48,221.6777
Australia,2021,8,11022.9291,3331.8914,746.4132,0.0,1452.8445,2111.6386,2458.5881,238.5919
Australia,2021,9,9669.0908,2597.245,777.8564,0.0,1360.897,2551.7561,2384.5018,239.4358
Australia,2021,10,9822.5602,2421.5043,893.2881,0.0,1369.8697,3006.5499,2159.4263,241.133
Australia,2021,11,9741.7492,2300.3448,932.8936,0.0,1371.1681,2787.3993,2200.6424,231.6417
Australia,2021,12,10330.6314,2591.3682,928.6848,0.0,1109.1932,3324.545,2228.1779,240.7331
Australia,2022,1,11249.0004,3086.4082,917.5472,0.0,1248.7384,3241.6514,2471.7482,230.596
Australia,2022,2,9778.4539,2910.3368,690.824,0.0,1050.289,2836.3339,2283.5861,203.2074
Australia,2022,3,10969.0154,3171.734,821.4775,0.0,1194.2567,2699.1193,2272.4127,221.8853
Australia,2022,4,9854.9481,3439.8421,438.141,0.0,1163.4591,2175.3118,2148.4359,234.76
Austria,2010,1,693.73,1858.733,172.672,0.0,2579.264,2.864,200.966,345.53499999999997
Austria,2010,2,665.66,1663.99,183.911,0.0,2235.792,4.692,191.396,307.522
Austria,2010,3,532.328,1369.325,116.477,0.0,2912.003,7.925,222.977,357.105
Austria,2010,4,152.38,1110.346,64.369,0.0,2504.13,9.965,131.107,350.49399999999997
Austria,2010,5,226.565,734.113,39.847,0.0,3937.054,10.2,152.16,367.021
Austria,2010,6,425.06,623.996,38.826,0.0,4422.209,9.73,122.494,363.716
Austria,2010,7,561.4,614.82,51.086,0.0,4022.923,10.122,141.633,368.674
Austria,2010,8,407.015,477.173,60.282,0.0,4334.195,9.73,144.504,386.854
Austria,2010,9,579.445,743.289,59.26,0.0,3768.538,7.799,123.451,367.021
Austria,2010,10,732.828,1368.305,69.478,0.0,2906.637,5.885,156.945,342.23
Austria,2010,11,711.775,1397.874,83.782,0.0,2836.869,3.084,189.483,347.188
Austria,2010,12,683.705,1679.284,270.758,0.0,3042.952,2.425,184.698,357.105
Austria,2011,1,744.159,1674.653,202.38,0.0,2958.927,5.607,149.007,357.08200000000005
Austria,2011,2,613.858,1515.766,156.402,0.0,2493.347,9.187,156.962,313.24800000000005
Austria,2011,3,803.623,1565.332,94.247,0.0,2412.106,15.516,176.17,350.21200000000005
Austria,2011,4,515.778,911.494,55.792,0.0,2585.758,19.51,180.587,340.567
Austria,2011,5,450.383,908.385,22.181,0.0,3148.243,19.971,136.567,378.226
Austria,2011,6,439.362,407.345,45.131,0.0,3892.012,19.049,154.057,371.978
Austria,2011,7,455.681,409.067,64.262,0.0,3609.309,19.818,195.962,384.04200000000003
Austria,2011,8,383.912,212.741,63.223,0.0,3781.455,19.049,104.083,384.028
Austria,2011,9,640.855,578.872,56.772,0.0,3057.114,15.27,134.041,356.55800000000005
Austria,2011,10,636.254,953.474,63.868,0.0,3193.563,11.522,150.7,338.90000000000003
Austria,2011,11,731.798,1350.427,67.784,0.0,2424.668,6.037,109.214,364.476
Austria,2011,12,549.413,1321.333,71.939,0.0,2317.034,4.747,191.135,391.244
Austria,2012,1,531.854,1433.23,59.729,0.0,3292.271,10.931,322.944,373.2
Austria,2012,2,656.067,1773.036,128.272,0.0,2798.332,17.908,301.781,339.154
Austria,2012,3,520.704,991.797,60.206,0.0,3586.861,30.246,225.388,389.839
Austria,2012,4,408.463,561.196,52.17,0.0,3524.788,38.032,203.56,357.68699999999995
Austria,2012,5,230.778,204.775,58.396,0.0,4419.562,38.931,195.742,385.18899999999996
Austria,2012,6,196.055,318.699,48.709,0.0,4785.817,37.134,138.541,382.90999999999997
Austria,2012,7,311.294,178.364,49.499,0.0,4715.358,38.631,131.343,373.578
Austria,2012,8,519.164,216.124,61.12,0.0,4013.608,37.134,101.517,372.032
Austria,2012,9,623.362,318.731,55.962,0.0,3882.842,29.767,185.959,346.60799999999995
Austria,2012,10,665.639,835.057,24.923,0.0,3778.522,22.46,162.461,369.383
Austria,2012,11,641.779,1146.849,49.562,0.0,3532.905,11.769,195.706,387.774
Austria,2012,12,638.877,1294.535,61.597,0.0,3248.777,9.254,186.376,390.47999999999996
Austria,2013,1,677.933,1409.979,61.42,0.0,3507.307,20.287,295.264,381.844
Austria,2013,2,600.423,1010.713,52.01,0.0,3257.423,33.237,232.728,343.418
Austria,2013,3,611.457,800.408,71.232,0.0,3255.907,56.135,338.088,371.816
Austria,2013,4,520.397,455.036,60.69,0.0,3817.434,70.586,208.182,370.573
Austria,2013,5,219.565,211.825,42.41,0.0,5022.145,72.253,273.68,386.121
Austria,2013,6,162.139,118.859,55.604,0.0,4325.454,68.919,275.682,339.994
Austria,2013,7,315.525,110.036,54.5,0.0,4171.461,71.698,159.957,405.639
Austria,2013,8,432.083,128.839,50.156,0.0,3287.691,68.919,151.058,408.429
Austria,2013,9,572.194,218.474,52.343,0.0,3446.13,55.246,224.657,351.026
Austria,2013,10,631.76,396.302,60.859,0.0,3237.052,41.685,210.031,381.478
Austria,2013,11,552.492,694.642,49.357,0.0,3540.673,21.843,325.086,365.819
Austria,2013,12,555.228,797.693,53.779,0.0,2862.347,17.174,317.04,380.094
Austria,2014,1,542.124,787.073,58.115,0.0,2577.358,25.336,299.832,385.88399999999996
Austria,2014,2,399.455,643.886,56.645,0.0,2349.106,41.51,313.244,343.58799999999997
Austria,2014,3,346.678,467.356,61.388,0.0,2883.673,70.109,342.444,373.90599999999995
Austria,2014,4,294.184,288.534,49.032,0.0,3456.392,88.157,262.857,345.714
Austria,2014,5,200.088,284.073,58.946,0.0,4691.227,90.239,442.107,350.54999999999995
Austria,2014,6,175.348,209.683,54.905,0.0,4080.004,86.074,187.546,359.772
Austria,2014,7,201.687,172.955,60.158,0.0,4180.052,89.545,249.209,392.844
Austria,2014,8,257.629,113.237,49.167,0.0,4589.806,86.074,234.476,365.63199999999995
Austria,2014,9,463.455,249.062,28.901,0.0,4303.555,68.998,273.099,354.931
Austria,2014,10,633.05,404.14,24.217,0.0,3301.865,52.061,245.982,337.54699999999997
Austria,2014,11,623.482,571.082,62.515,0.0,3415.141,27.28,365.859,345.87399999999997
Austria,2014,12,493.262,869.334,68.732,0.0,2812.189,21.449,440.889,369.371
Austria,2015,1,526.37,867.051,91.304,0.0,3285.301,30.164,528.849,386.651
