country,year,month,coal,gas,oil,nuclear,hydro,solar,wind,other
Argentina,2015,1,195.203,6767.06,1856.738,559.079,2519.945,1.511,51.294,56.234
Argentina,2015,2,203.211,6673.424,1670.965,610.064,2032.279,1.262,42.504,49.518
Argentina,2015,3,247.979,7363.379,1903.254,631.876,2142.899,1.313,41.142,86.054
Argentina,2015,4,254.968,6962.605,1383.536,356.188,1890.171,1.192,44.253,103.722
Argentina,2015,5,280.55,7112.067,1902.151,339.552,1827.25,1.123,47.972,68.275
Argentina,2015,6,209.232,6294.628,2220.845,424.153,2736.168,0.975,55.032,102.177
Argentina,2015,7,267.781,5653.678,1969.849,880.549,3158.168,1.04,52.493,125.307
Argentina,2015,8,214.414,5303.498,1645.941,607.935,3343.331,1.12,51.677,116.145
Argentina,2015,9,99.689,5331.615,1606.297,383.907,3460.589,1.36,48.779,120.185
Argentina,2015,10,269.088,5023.479,1646.181,247.742,3402.642,1.214,52.399,123.486
Argentina,2015,11,277.518,5170.796,1228.492,626.515,2461.563,1.337,45.764,93.069
Argentina,2015,12,228.149,6265.463,1675.46,976.517,2868.537,1.465,55.301,76.337
Argentina,2016,1,202.149,7360.184,1754.471,692.075,2879.946,1.298,48.728,45.439
Argentina,2016,2,250.337,7174.517,1872.046,672.296,2642.561,1.32,44.432,42.15
Argentina,2016,3,156.701,6515.623,1253.15,601.438,2310.101,1.257,49.699,47.548
Argentina,2016,4,59.612,6072.343,1415.195,717.686,2367.2,0.823,51.064,23.65
Argentina,2016,5,46.442,5918.271,2003.11,763.044,2836.279,0.513,33.429,212.249
Argentina,2016,6,97.998,6639.911,1893.802,702.222,2444.729,0.751,41.783,577.089
Argentina,2016,7,263.314,7208.433,2116.562,686.94,2140.885,1.114,40.589,23.406
Argentina,2016,8,281.984,6693.468,1591.317,504.066,2023.766,1.297,44.938,23.982
Argentina,2016,9,281.148,5981.143,1378.108,538.127,2206.687,1.307,44.537,43.329
Argentina,2016,10,173.867,6006.182,1183.718,754.59,2346.972,1.348,44.446,42.081
Argentina,2016,11,176.455,5821.073,1151.12,651.717,2514.232,1.412,45.753,32.947
Argentina,2016,12,233.181,7295.052,1816.128,535.968,2603.387,1.477,54.544,25.409
Argentina,2017,1,212.805,8155.811,1389.877,643.307,2710.078,1.516,55.788,84.491
Argentina,2017,2,231.919,6928.183,1302.301,640.168,2462.237,1.235,41.371,93.89
Argentina,2017,3,161.681,7090.955,1315.305,514.62,2456.312,1.381,43.241,102.999
Argentina,2017,4,276.379,6520.064,902.217,244.192,2149.589,1.077,45.599,57.947
Argentina,2017,5,201.56,7260.554,767.017,195.725,2494.18,1.136,40.923,56.411
Argentina,2017,6,181.451,7267.15,1573.502,243.79,2492.291,1.122,53.486,109.501
Argentina,2017,7,222.81,8842.653,989.626,254.571,2224.739,1.15,51.038,136.696
Argentina,2017,8,184.201,7423.24,589.612,627.465,2505.627,1.363,53.465,139.01
Argentina,2017,9,124.212,6372.487,765.641,615.818,2559.332,1.39,46.587,148.086
Argentina,2017,10,148.861,5805.761,529.796,622.182,2988.144,1.619,54.393,147.137
Argentina,2017,11,0.0,6225.9,132.583,511.901,3351.067,1.634,54.762,129.591
Argentina,2017,12,164.896,7903.744,687.648,656.872,2971.606,1.701,66.496,97.783
Argentina,2018,1,275.3227,8344.9223,798.9751,644.6919,2825.4957,1.6132,55.7481,60.912
Argentina,2018,2,246.1544,7495.6857,1060.8005,577.4931,2442.0404,1.411,45.4189,65.5695
Argentina,2018,3,288.844,7893.8952,527.9277,509.8864,2360.3319,2.0048,49.8618,53.7996
Argentina,2018,4,189.0145,7488.1914,736.8802,580.6021,2267.9021,1.7048,58.7371,56.9715
Argentina,2018,5,137.0785,7403.8552,366.0921,759.6601,2242.8179,1.2501,62.327,104.213
Argentina,2018,6,303.2648,7620.2954,1132.9512,748.468,2672.0406,1.27,90.1838,146.93
Argentina,2018,7,318.1229,8109.1321,967.8122,713.1307,3055.4521,3.1772,90.8067,151.345
Argentina,2018,8,277.1856,7640.3211,552.0654,671.1736,2766.191,7.251,135.8003,155.4577
Argentina,2018,9,61.084,7528.7627,80.9072,314.9383,2256.4433,10.987,146.9644,142.5044
Argentina,2018,10,46.3964,6671.7715,35.4483,399.5385,2695.0252,14.223,186.5997,123.4445
Argentina,2018,11,0.0,6120.958,46.6616,380.0609,3092.6417,23.8315,223.1793,118.5343
Argentina,2018,12,0.0,7169.6647,85.1458,214.6634,3189.3956,38.7888,256.9093,96.7115
Argentina,2019,1,10.3505,7902.8671,283.8862,201.4835,2694.0684,40.1105,285.6112,67.9746
Argentina,2019,2,123.1177,7369.1594,813.9008,302.1093,1982.7133,43.4479,230.6625,81.9778
Argentina,2019,3,0.0,6972.2648,41.7964,530.2121,2154.4827,50.3493,305.6787,102.9188
Argentina,2019,4,0.0,6748.3905,41.3014,643.5017,1939.1236,49.9768,327.3478,97.5631
Argentina,2019,5,100.0751,6866.8,38.361,841.1869,2171.9999,41.7789,328.137,119.8157
Argentina,2019,6,149.0908,6951.8512,346.2331,746.0853,2082.3117,40.4754,405.9942,155.9184
Argentina,2019,7,310.0549,7543.2281,475.9943,740.595,2330.7422,53.5706,417.2914,159.4721
Argentina,2019,8,0.0,7072.4324,278.6812,870.359,2571.468,66.3814,443.5897,159.0972
Argentina,2019,9,190.1562,6571.426,250.5144,878.5485,2301.237,84.7567,524.6745,164.1207
