"date","year","month","month_date","coal","gas","oil","nuclear","hydro","wind","solar","other","season","weekday","unit","fossil","low.carbon","total.prod","coal.perc","gas.perc","oil.perc","nuclear.perc","hydro.perc","wind.perc","solar.perc","other.perc","fossil.perc","low.carbon.perc"
2018-01-01,2018,1,"1_1",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Monday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-02,2018,1,"1_2",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Tuesday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-03,2018,1,"1_3",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Wednesday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-04,2018,1,"1_4",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Thursday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-05,2018,1,"1_5",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Friday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-06,2018,1,"1_6",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Saturday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-07,2018,1,"1_7",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Sunday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-08,2018,1,"1_8",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Monday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-09,2018,1,"1_9",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Tuesday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-10,2018,1,"1_10",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Wednesday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-11,2018,1,"1_11",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Thursday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-12,2018,1,"1_12",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Friday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-13,2018,1,"1_13",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Saturday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-14,2018,1,"1_14",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Sunday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-15,2018,1,"1_15",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Monday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-16,2018,1,"1_16",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Tuesday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-17,2018,1,"1_17",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Wednesday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-18,2018,1,"1_18",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Thursday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-19,2018,1,"1_19",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Friday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-20,2018,1,"1_20",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Saturday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-21,2018,1,"1_21",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Sunday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-22,2018,1,"1_22",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Monday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-23,2018,1,"1_23",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Tuesday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
2018-01-24,2018,1,"1_24",3977.69625806452,3441.65435483871,277.594612903226,2408.19132258065,879.223129032258,859.820483870968,134.29664516129,226.693806451613,"winter","Wednesday","GWh",7696.94522580645,4508.22538709677,12205.1706129032,0.325902552632843,0.281983305600023,0.02274401740929,0.197309107669066,0.0720369388448163,0.0704472318446717,0.0110032583255586,0.0185735876737318,0.630629875642155,0.369370124357845
