year,month,day,hour,Coal,Natural gas,Nuclear,Petroleum,Other,Solar,Hydro,Wind
2018,6,30,23,1576.001269,2267.676346,10671.76243,0.422747344,34.20926028,0.012495654,5.485909604,1127.632737
2018,7,1,0,82472.00743,100584.8518,73336.73699,2569.680929,7068.171917,-34.18451123,21032.77357,15419.918
2018,7,1,1,102994.2678,105528.6843,79118.43714,3135.179733,7545.995604,-0.901237474,22363.26242,16226.63096
2018,7,1,2,96857.34009,101014.4789,78941.54958,3060.505693,7030.003768,-10.94530711,21126.24287,14334.99368
2018,7,1,3,91978.01162,97533.08991,78980.86849,3060.737049,6924.49113,-24.89061421,20798.16471,13193.40915
2018,7,1,4,88531.06121,95671.25279,79039.76221,3062.491582,6822.592827,-23.78757388,21087.1097,12225.35536
2018,7,1,5,86953.36278,92673.65761,79080.4766,3065.035496,6885.131901,278.7730721,20891.20429,12355.27273
2018,7,1,6,87127.48669,95039.58172,78925.77008,3073.234104,6756.097645,3818.779646,20639.0015,12619.92282
2018,7,1,7,92566.04921,103383.4875,79135.6259,3022.916637,7060.297094,9451.122281,21531.2662,12257.7104
2018,7,1,8,100778.5579,114537.5085,78930.86409,3200.089434,7578.786531,13479.83924,24188.84998,13058.49047
2018,7,1,9,109818.6773,130501.8781,78699.22554,3674.170842,8582.714022,15487.45944,26335.50556,14833.51787
2018,7,1,10,118626.0542,142601.1844,78511.4225,4108.207293,9582.846579,16700.21634,28136.84923,16653.42074
2018,7,1,11,124894.3187,154693.3961,78211.39626,4784.693535,9983.920339,17341.25379,31809.31652,17490.66373
2018,7,1,12,128745.4927,166111.3329,78283.91416,5149.471189,10249.75426,17475.60415,33918.78996,17342.63178
2018,7,1,13,131718.1529,175308.3856,78354.80207,5416.927318,10599.48375,17548.32488,35542.98749,17767.4298
2018,7,1,14,133053.5563,180980.9744,78380.94443,5594.053769,10631.06259,17385.74266,38687.77872,18515.3365
2018,7,1,15,135195.3389,186284.8626,78384.48795,5744.633816,10668.55503,16397.77817,41492.65867,18397.08516
2018,7,1,16,137083.8332,190477.2002,78376.22216,5984.886895,10640.84244,14838.41114,42920.58201,18064.87938
2018,7,1,17,138111.7692,191539.9744,78393.51212,5965.239242,10632.38505,11697.37871,44553.32631,17319.12744
2018,7,1,18,137967.6097,429686469.6,78457.95024,6016.495354,10535.05745,6431.720795,42381.32567,16824.49459
2018,7,1,19,137578.0508,429681479.7,78542.02112,5863.297337,10354.7203,2250.217984,37072.23062,16591.46521
2018,7,1,20,136650.0332,429674677.3,78625.0978,5508.763106,10373.42177,526.775618,33142.90058,16028.8523
2018,7,1,21,134181.1645,167845.8174,78494.66241,4729.904832,9791.164035,267.1162048,30477.00279,16885.68406
2018,7,1,22,128277.2322,152438.7675,78452.45317,4086.473455,9092.317318,251,27817.61618,17436.67225
2018,7,1,23,117712.1953,132439.0856,78558.93798,3413.049109,7955.174836,233,25766.98754,17579.90084
2018,7,2,0,122177.8758,141978.4399,83726.47563,3654.741246,8198.716636,220.9453071,22630.57011,26088.76268
2018,7,2,1,114222.3102,134675.7876,83735.94376,3755.427422,7926.540819,185,20619.03852,23336.56541
2018,7,2,2,108178.2288,128783.499,83816.73696,3697.685401,7729.114958,-15.05469289,19350.58253,21925.32413
2018,7,2,3,104783.8067,125376.0314,83818.41567,3623.023376,7587.449297,-27,18842.72044,21694.54079
2018,7,2,4,103970.0971,126767.1906,83882.03613,3618.730353,7408.969382,-20.86254781,19544.65369,22337.41908
2018,7,2,5,107239.7632,133391.543,83970.33765,3781.023844,7663.214519,264.4218601,20694.61426,21674.96187
2018,7,2,6,114411.9768,141656.0737,84051.74924,3983.261378,7702.541791,3713.578187,22034.74559,19099.78669
2018,7,2,7,123999.8653,151694.1259,84064.79933,4248.64302,8426.85738,9529.948804,23144.83517,16291.90359
2018,7,2,8,133004.6768,166776.1491,84006.22757,4541.193557,8866.374301,13993.42247,24143.98325,13759.922
2018,7,2,9,139286.5353,184810.0216,83982.23887,5182.155893,10254.2572,16588.24722,26346.71094,13726.54685
2018,7,2,10,143807.5529,199893.327,83899.80886,6639.300777,10409.61355,18052.6234,29966.12498,13825.15008
2018,7,2,11,147623.8104,217183.1264,83810.90019,7437.503309,11213.39283,18738.9976,34009.60978,14041.11296
2018,7,2,12,151850.4509,230311.8084,83725.07737,8117.408526,11665.07381,18846.46962,36182.86942,16061.33399
2018,7,2,13,154318.2257,240042.0405,83596.72371,8437.114062,11781.80486,18835.87238,39975.35367,18107.92493
2018,7,2,14,156040.5237,429742913.5,83543.70327,8171.471594,11513.95172,18400.49165,42218.84931,20463.74156
2018,7,2,15,157722.3823,429746801.4,83512.60273,8342.920625,11641.47973,17262.18079,43677.75973,22466.87274
2018,7,2,16,158283.3702,252220.4748,83443.46438,8246.450186,11601.53217,15236.93179,44368.8743,23980.79939
2018,7,2,17,158437.2511,429747983.2,83488.69649,7983.472175,11540.14041,11856.71967,45171.30663,25389.20602
2018,7,2,18,158421.6206,429744618.7,83521.06238,7497.076119,11554.91238,6241.882238,41984.22116,26332.89579
2018,7,2,19,158089.3547,237032.1858,83576.2685,7009.198905,11542.47044,1912.117636,37209.70603,25970.90624
2018,7,2,20,156630.4642,224660.8229,83664.48483,6444.229647,11164.4275,480.0763059,33327.69969,25532.94413
2018,7,2,21,153584.0481,208369.853,83735.49369,5452.725146,9941.473034,271.568396,31607.42322,27238.34366
2018,7,2,22,145543.4967,180171.7309,83813.02075,4977.913056,8816.27531,264,27214.79395,31235.72307
2018,7,2,23,135467.8203,156912.0063,83811.37892,4167.191127,8377.018744,252,23370.59208,33389.64889
2018,7,3,0,123717.34,145268.8498,83850.20067,3953.45022,8074.947307,247.7918517,21254.68091,30901.61028
2018,7,3,1,115464.4962,137672.1835,83911.73663,3726.965198,7463.507488,239.1534554,18819.46529,26518.49679
2018,7,3,2,110134.5399,132432.8371,83908.46234,3570.269222,7203.303113,23.79185171,18731.45123,23539.47662
2018,7,3,3,106197.189,128595.7399,84060.77514,3385.981471,7062.626462,8.208148334,18830.657,22680.05561
2018,7,3,4,106733.4945,128362.6563,84256.82864,3383.206644,7084.704443,8.246838003,19627.67909,21457.52926
