datetime,Coal,region,Wind,Hydro,Solar,Other,Petroleum,Natural gas,Nuclear
2018-07-01 07:00:00,5839,NW,1666,942,-1,47,59,1925,
2018-07-01 08:00:00,8689,NW,4971,16187,-1,734,60,6222,1146.0
2018-07-01 09:00:00,8655,NW,4442,15228,0,748,59,6055,1148.0
2018-07-01 10:00:00,8508,NW,3856,15112,0,754,59,5798,1150.0
2018-07-01 11:00:00,8387,NW,3625,15142,0,774,58,5749,1152.0
2018-07-01 12:00:00,8362,NW,3445,15138,0,783,59,5615,1154.0
2018-07-01 13:00:00,8684,NW,3558,14864,113,787,60,5479,1155.0
2018-07-01 14:00:00,8419,NW,3587,14846,927,777,59,5488,1155.0
2018-07-01 15:00:00,8108,NW,3936,15622,1739,777,58,5355,1151.0
2018-07-01 16:00:00,7663,NW,4628,16704,1971,763,58,5386,1015.0
2018-07-01 17:00:00,7921,NW,4868,17805,2034,708,58,6027,867.0
2018-07-01 18:00:00,8364,NW,5290,18239,2054,664,56,6696,813.0
2018-07-01 19:00:00,8356,NW,5367,18468,2062,650,55,7458,794.0
2018-07-01 20:00:00,8805,NW,5844,18003,2093,675,51,7871,832.0
2018-07-01 21:00:00,9296,NW,6387,17754,2093,668,51,8215,893.0
2018-07-01 22:00:00,9957,NW,6557,17575,2048,680,52,8308,930.0
2018-07-01 23:00:00,10736,NW,6735,17502,1955,659,53,9146,968.0
2018-07-02 00:00:00,10999,NW,7028,17643,1898,658,53,9527,986.0
2018-07-02 01:00:00,10902,NW,6997,18718,1715,655,55,9481,991.0
2018-07-02 02:00:00,11229,NW,7254,18997,1076,657,56,9428,996.0
2018-07-02 03:00:00,11083,NW,7327,18706,252,659,57,9236,1024.0
2018-07-02 04:00:00,10848,NW,7405,18329,4,669,59,9288,1092.0
2018-07-02 05:00:00,10486,NW,7136,17796,-1,661,60,8882,1121.0
2018-07-02 06:00:00,9664,NW,6698,17073,0,664,60,8074,1140.0
2018-07-02 07:00:00,9211,NW,6535,16097,-1,674,59,7244,1147.0
2018-07-02 08:00:00,9237,NW,6176,15011,0,715,59,7093,1151.0
2018-07-02 09:00:00,8560,NW,5940,14765,-1,711,58,6698,1155.0
2018-07-02 10:00:00,8424,NW,6098,14030,-2,726,59,6397,1155.0
2018-07-02 11:00:00,8322,NW,6546,13623,0,724,59,6155,1154.0
2018-07-02 12:00:00,8733,NW,6563,13864,-1,740,58,6420,1152.0
2018-07-02 13:00:00,9494,NW,6032,14518,107,754,59,7012,1153.0
2018-07-02 14:00:00,9577,NW,5324,15832,914,785,58,7254,1155.0
2018-07-02 15:00:00,10153,NW,5595,16457,1743,777,61,7937,1154.0
2018-07-02 16:00:00,10354,NW,5931,16521,1985,788,63,8349,1152.0
2018-07-02 17:00:00,10858,NW,5933,17063,2049,765,59,9222,1152.0
2018-07-02 18:00:00,11300,NW,5868,17485,2074,736,58,10495,1151.0
2018-07-02 19:00:00,11653,NW,6122,17635,1952,720,59,11089,1150.0
2018-07-02 20:00:00,11827,NW,6653,17420,1899,721,58,11357,1148.0
2018-07-02 21:00:00,11714,NW,6876,17810,1929,718,58,11848,1146.0
2018-07-02 22:00:00,12241,NW,6830,17817,1871,711,58,12606,1146.0
2018-07-02 23:00:00,12457,NW,7102,17626,1861,695,59,12860,1144.0
2018-07-03 00:00:00,12213,NW,7021,17490,1768,700,58,13179,1144.0
2018-07-03 01:00:00,12187,NW,7151,17542,1528,716,59,13224,1147.0
2018-07-03 02:00:00,12137,NW,7116,18104,963,719,59,12462,1146.0
2018-07-03 03:00:00,12217,NW,6997,18262,200,727,60,12208,1147.0
2018-07-03 04:00:00,12246,NW,6172,17898,1,735,60,12483,1145.0
2018-07-03 05:00:00,11303,NW,6281,19094,0,743,59,11869,1149.0
2018-07-03 06:00:00,10554,NW,6079,17270,0,748,60,10754,1149.0
2018-07-03 07:00:00,9809,NW,5521,15903,-1,726,60,10143,1150.0
2018-07-03 08:00:00,9894,NW,4959,14967,-2,766,61,9861,1153.0
2018-07-03 09:00:00,10406,NW,4613,13416,0,781,60,9688,1153.0
2018-07-03 10:00:00,10037,NW,4471,13477,0,794,59,9248,1155.0
2018-07-03 11:00:00,9912,NW,4447,13540,0,808,61,8946,1155.0
2018-07-03 12:00:00,10143,NW,4608,13938,-1,806,60,9029,1156.0
2018-07-03 13:00:00,10399,NW,4331,14073,119,828,60,9232,1159.0
2018-07-03 14:00:00,10657,NW,3688,15417,953,833,58,9558,1160.0
2018-07-03 15:00:00,11217,NW,2885,16314,1896,818,60,10150,1160.0
2018-07-03 16:00:00,11167,NW,2564,16970,2123,803,58,10931,1158.0
2018-07-03 17:00:00,11150,NW,2403,16703,2222,789,59,11626,1154.0
2018-07-03 18:00:00,11486,NW,2266,16675,2205,788,58,12658,1153.0
2018-07-03 19:00:00,12036,NW,2019,17098,2188,784,58,12868,1152.0
2018-07-03 20:00:00,12136,NW,2061,17503,2178,771,59,12947,1151.0
2018-07-03 21:00:00,12531,NW,2421,17468,2151,753,58,13339,1149.0
2018-07-03 22:00:00,12575,NW,2874,17876,2020,753,57,13700,1150.0
2018-07-03 23:00:00,12623,NW,3216,18297,2003,745,58,13566,1150.0
2018-07-04 00:00:00,12564,NW,3076,18627,1990,746,58,13665,1147.0
2018-07-04 01:00:00,12542,NW,3026,18819,1722,748,59,13335,1147.0
2018-07-04 02:00:00,12796,NW,2868,19717,1160,751,60,13187,1147.0
2018-07-04 03:00:00,13022,NW,2652,19815,278,754,59,13047,1149.0
2018-07-04 04:00:00,13080,NW,2457,19476,6,760,60,12777,1148.0
2018-07-04 05:00:00,12894,NW,2689,18827,-1,768,59,12251,1149.0
2018-07-04 06:00:00,12312,NW,2876,17461,0,759,59,11234,1151.0
2018-07-04 07:00:00,11655,NW,2472,16048,-1,770,60,10367,1153.0
2018-07-04 08:00:00,11197,NW,2306,14348,-1,765,60,10056,1153.0
2018-07-04 09:00:00,10938,NW,2369,13580,0,784,60,9578,1154.0
2018-07-04 10:00:00,10709,NW,2364,13151,0,783,60,9198,1156.0
2018-07-04 11:00:00,10430,NW,2201,12733,6,801,60,9308,1156.0
2018-07-04 12:00:00,10759,NW,2076,12742,11,812,60,9201,1156.0
2018-07-04 13:00:00,10778,NW,1791,13189,142,809,59,9080,1157.0
2018-07-04 14:00:00,10084,NW,2223,13654,957,816,59,9107,1156.0
2018-07-04 15:00:00,9524,NW,2250,13840,1843,805,60,8840,1154.0
2018-07-04 16:00:00,9582,NW,2365,14260,2114,788,59,9031,1150.0
2018-07-04 17:00:00,10211,NW,3109,14327,2226,778,60,9489,1149.0
2018-07-04 18:00:00,10607,NW,3712,14308,2250,756,59,9897,1147.0
2018-07-04 19:00:00,11003,NW,4283,14732,2263,750,59,10558,1146.0
2018-07-04 20:00:00,11231,NW,4504,15328,2247,750,59,10867,1145.0
2018-07-04 21:00:00,11415,NW,4403,15720,2217,738,61,11402,1144.0
2018-07-04 22:00:00,11650,NW,4754,16078,2227,730,59,11777,1143.0
2018-07-04 23:00:00,11915,NW,4789,16544,2169,720,60,12389,1143.0
2018-07-05 00:00:00,12357,NW,5059,16398,2055,714,60,12495,1143.0
2018-07-05 01:00:00,12319,NW,5151,16591,1772,723,60,12308,1142.0
2018-07-05 02:00:00,12297,NW,4916,17399,1112,723,60,12029,1143.0
2018-07-05 03:00:00,12524,NW,4528,17631,248,734,60,11746,1146.0
2018-07-05 04:00:00,12148,NW,4182,17230,38,765,60,11655,1153.0
2018-07-05 05:00:00,12082,NW,4000,16376,29,782,60,11411,1155.0
2018-07-05 06:00:00,12070,NW,3924,15037,29,792,60,11305,1157.0
2018-07-05 07:00:00,11415,NW,3822,14454,29,792,60,10743,1146.0
2018-07-05 08:00:00,11152,NW,3284,12786,30,802,59,10651,1147.0
2018-07-05 09:00:00,10808,NW,3226,11805,30,800,59,9635,1147.0
2018-07-05 10:00:00,10669,NW,3180,11276,31,797,59,9407,1146.0
2018-07-05 11:00:00,11032,NW,2475,10938,31,825,58,9648,1147.0
2018-07-05 12:00:00,11057,NW,2300,11405,29,830,60,9700,1148.0
2018-07-05 13:00:00,10833,NW,2720,11682,101,849,60,9619,1148.0
2018-07-05 14:00:00,10375,NW,2949,13183,809,841,59,9443,1147.0
2018-07-05 15:00:00,10140,NW,2835,13849,1666,806,59,9728,1147.0
2018-07-05 16:00:00,10942,NW,2493,13862,1870,778,58,10361,1147.0
2018-07-05 17:00:00,11809,NW,2406,14820,2064,764,57,10702,1145.0
2018-07-05 18:00:00,12594,NW,2184,15030,2152,765,58,11583,1145.0
2018-07-05 19:00:00,13093,NW,2012,15926,2191,720,57,11773,1142.0
2018-07-05 20:00:00,13342,NW,2189,16997,2143,708,59,12627,1142.0
2018-07-05 21:00:00,13642,NW,2297,18132,2120,704,58,13473,1138.0
2018-07-05 22:00:00,13781,NW,2503,18537,2024,714,57,13943,1139.0
2018-07-05 23:00:00,13682,NW,3135,18934,1900,751,54,14052,1135.0
2018-07-06 00:00:00,13461,NW,3465,19704,1809,759,55,13797,1135.0
2018-07-06 01:00:00,13448,NW,4241,19626,1691,770,56,13450,1135.0
2018-07-06 02:00:00,13229,NW,5215,19231,1065,754,57,13022,1131.0
2018-07-06 03:00:00,12928,NW,5385,18765,239,748,59,12878,1138.0
2018-07-06 04:00:00,12918,NW,5501,18080,33,767,59,12789,1139.0
2018-07-06 05:00:00,12633,NW,5533,17284,27,770,59,12427,1140.0
2018-07-06 06:00:00,12204,NW,5688,14502,26,763,60,12153,1138.0
2018-07-06 07:00:00,11698,NW,5690,12592,27,760,61,10811,1138.0
2018-07-06 08:00:00,11558,NW,5959,11729,26,780,60,9972,1139.0
2018-07-06 09:00:00,10867,NW,6220,10947,25,808,59,9184,1140.0
2018-07-06 10:00:00,10440,NW,5835,11135,24,833,59,8744,1145.0
2018-07-06 11:00:00,10622,NW,5368,11325,25,821,60,8498,1148.0
2018-07-06 12:00:00,10984,NW,4967,11519,25,835,59,8807,1149.0
2018-07-06 13:00:00,11339,NW,4421,12593,122,857,59,9155,1150.0
2018-07-06 14:00:00,11362,NW,3682,14619,870,848,58,9079,1149.0
2018-07-06 15:00:00,11458,NW,3462,16334,1652,839,56,9468,1147.0
2018-07-06 16:00:00,12155,NW,3117,17403,1961,808,56,10289,1144.0
2018-07-06 17:00:00,12617,NW,2818,18215,2090,813,56,10929,1143.0
2018-07-06 18:00:00,12861,NW,2590,19444,2111,792,56,11775,1141.0
2018-07-06 19:00:00,13385,NW,2134,20083,2171,786,55,12722,1140.0
2018-07-06 20:00:00,13550,NW,2265,20300,2103,768,53,13626,1139.0
2018-07-06 21:00:00,13402,NW,2528,20422,1967,767,49,14593,1139.0
2018-07-06 22:00:00,13519,NW,2857,20985,1817,767,43,15444,1139.0
2018-07-06 23:00:00,13654,NW,3190,21173,1647,758,42,16001,1138.0
2018-07-07 00:00:00,13844,NW,3989,20898,1479,760,43,16048,1137.0
2018-07-07 01:00:00,13826,NW,5208,20008,1107,768,45,15433,1139.0
2018-07-07 02:00:00,13772,NW,6540,19430,671,753,46,14966,1142.0
2018-07-07 03:00:00,13070,NW,7157,19066,168,738,48,14083,1136.0
2018-07-07 04:00:00,12610,NW,7438,18281,34,760,51,13147,1137.0
2018-07-07 05:00:00,12212,NW,7477,17455,31,766,53,12718,1137.0
2018-07-07 06:00:00,12210,NW,7702,14469,31,767,57,12024,1141.0
2018-07-07 07:00:00,12298,NW,7715,13206,32,773,58,11409,1146.0
2018-07-07 08:00:00,11889,NW,7060,12430,32,802,58,10152,1147.0
2018-07-07 09:00:00,11605,NW,6635,12001,32,825,58,9635,1146.0
2018-07-07 10:00:00,11205,NW,6112,11314,29,834,59,9460,1147.0
2018-07-07 11:00:00,11146,NW,5995,11055,32,849,59,9215,1148.0
2018-07-07 12:00:00,10959,NW,5577,11410,31,853,59,9090,1148.0
2018-07-07 13:00:00,11237,NW,4544,12264,100,866,58,9446,1154.0
2018-07-07 14:00:00,11639,NW,3414,14390,468,872,57,9340,1156.0
2018-07-07 15:00:00,12136,NW,3047,14993,941,852,56,9378,1154.0
2018-07-07 16:00:00,12439,NW,2998,15720,1310,851,55,10360,1152.0
2018-07-07 17:00:00,12561,NW,3221,16607,1579,817,56,11015,1149.0
2018-07-07 18:00:00,12932,NW,3261,17157,1682,809,56,12036,1149.0
2018-07-07 19:00:00,13269,NW,2754,17380,1659,790,54,12463,1148.0
2018-07-07 20:00:00,13269,NW,2381,18027,1836,769,54,13049,1148.0
2018-07-07 21:00:00,13262,NW,2259,18509,1874,755,53,13573,1147.0
2018-07-07 22:00:00,13384,NW,2289,18963,1703,753,53,13925,1146.0
2018-07-07 23:00:00,13328,NW,2793,18977,1627,759,53,14392,1145.0
2018-07-08 00:00:00,13139,NW,3353,19768,1543,754,54,14499,1145.0
2018-07-08 01:00:00,13147,NW,3861,19935,1199,753,54,14255,1144.0
2018-07-08 02:00:00,13116,NW,4227,19821,681,759,54,13964,1145.0
2018-07-08 03:00:00,12971,NW,4450,19636,218,749,55,13673,1142.0
2018-07-08 04:00:00,12445,NW,4582,18543,37,732,58,13010,1144.0
2018-07-08 05:00:00,12169,NW,4866,17254,32,742,58,12622,1146.0
2018-07-08 06:00:00,11662,NW,4913,15623,31,757,60,11656,1148.0
2018-07-08 07:00:00,11319,NW,4482,14114,30,771,59,11357,1146.0
2018-07-08 08:00:00,11325,NW,4296,12367,32,790,60,10521,1148.0
2018-07-08 09:00:00,11347,NW,3891,11941,32,792,59,10019,1149.0
2018-07-08 10:00:00,11067,NW,3702,11595,32,792,58,9612,1151.0
2018-07-08 11:00:00,11057,NW,3355,11831,32,828,59,9109,1151.0
2018-07-08 12:00:00,11116,NW,2859,11977,31,832,59,9103,1154.0
