Coal,Lignite,Hydro,Nuclear,"Gas, Naptha & Diesel","RES (Wind, Solar, Biomass & Others)",Total,date
3487,68,373,100,87,475,4590,2022/4/25
3358,74,345,100,81,462,4420,2022/4/24
3481,78,396,100,82,407,4544,2022/4/23
3457,75,381,100,71,435,4519,2022/4/22
3455,78,399,103,82,452,4569,2022/4/21
3432,76,415,102,80,448,4552,2022/4/20
3452,76,407,102,75,478,4590,2022/4/19
3418,74,377,103,67,507,4547,2022/4/18
3307,75,322,104,61,528,4397,2022/4/17
3450,77,358,104,64,500,4553,2022/4/16
3370,74,362,104,64,489,4462,2022/4/15
3402,72,390,105,67,440,4476,2022/4/14
3416,70,441,105,74,454,4560,2022/4/13
3388,62,454,105,77,490,4575,2022/4/12
3384,65,459,110,79,462,4558,2022/4/11
3301,81,421,110,74,443,4430,2022/4/10
3426,82,453,110,67,457,4595,2022/4/9
3437,80,475,111,70,467,4640,2022/4/8
3422,82,459,110,68,436,4578,2022/4/7
3394,84,453,110,68,428,4538,2022/4/6
3424,83,463,110,63,407,4552,2022/4/5
3408,79,448,111,64,414,4524,2022/4/4
3286,78,396,111,65,416,4352,2022/4/3
3414,80,383,111,66,436,4489,2022/4/2
3452,79,391,112,62,451,4547,2022/4/1
3435,75,417,111,78,453,4570,2022/3/31
3427,75,401,111,78,465,4558,2022/3/30
3382,74,395,111,78,496,4536,2022/3/29
3365,76,359,112,76,474,4461,2022/3/28
3283,73,337,112,74,425,4304,2022/3/27
3351,72,370,112,82,381,4368,2022/3/26
3384,65,394,116,76,378,4413,2022/3/25
3372,65,379,134,68,413,4431,2022/3/24
3334,73,404,134,69,435,4448,2022/3/23
3290,71,421,134,72,441,4430,2022/3/22
3253,72,420,135,73,465,4418,2022/3/21
3103,73,376,135,71,493,4251,2022/3/20
3046,74,368,135,72,520,4214,2022/3/19
3038,74,375,135,67,467,4155,2022/3/18
3311,71,438,135,68,443,4466,2022/3/17
3359,77,407,135,62,430,4471,2022/3/16
3324,75,391,135,63,429,4418,2022/3/15
3278,74,353,135,60,428,4328,2022/3/14
3169,77,313,135,60,405,4160,2022/3/13
3244,78,342,135,61,390,4250,2022/3/12
3257,78,340,131,60,414,4279,2022/3/11
3224,77,337,131,60,416,4244,2022/3/10
3182,77,338,131,55,451,4234,2022/3/9
3153,76,333,132,60,451,4205,2022/3/8
3120,74,317,132,61,447,4151,2022/3/7
3097,72,283,131,63,417,4063,2022/3/6
3151,71,324,126,63,447,4181,2022/3/5
3108,71,323,129,65,494,4189,2022/3/4
3059,71,294,136,69,527,4156,2022/3/3
3056,72,300,136,67,487,4119,2022/3/2
3121,73,289,136,66,427,4111,2022/3/1
3075,72,288,135,64,470,4105,2022/2/28
2913,79,272,133,65,508,3971,2022/2/27
3053,85,284,131,64,463,4079,2022/2/26
3140,82,308,132,62,428,4151,2022/2/25
3150,81,318,131,61,404,4144,2022/2/24
3089,84,308,127,63,441,4111,2022/2/23
3057,87,312,118,59,486,4119,2022/2/22
3055,85,302,119,60,435,4056,2022/2/21
2953,83,262,119,64,437,3917,2022/2/20
3049,80,281,119,68,457,4055,2022/2/19
3085,80,286,120,69,443,4083,2022/2/18
3106,85,282,120,69,394,4055,2022/2/17
3135,83,285,120,69,378,4069,2022/2/16
3095,82,286,121,67,387,4038,2022/2/15
3039,80,270,123,65,405,3983,2022/2/14
2969,80,247,124,62,391,3873,2022/2/13
3052,79,275,124,56,392,3977,2022/2/12
3021,85,254,124,63,458,4005,2022/2/11
3032,84,255,123,68,442,4004,2022/2/10
3066,86,274,124,71,392,4012,2022/2/9
3145,86,279,123,70,363,4067,2022/2/8
3105,81,281,124,68,354,4011,2022/2/7
2959,82,244,124,65,376,3849,2022/2/6
3064,83,269,124,65,350,3954,2022/2/5
3028,84,253,121,65,386,3937,2022/2/4
2968,81,259,119,65,443,3935,2022/2/3
3074,81,283,119,66,392,4016,2022/2/2
3058,78,292,119,66,339,3951,2022/2/1
3053,73,291,119,66,362,3964,2022/1/31
2948,82,240,119,64,360,3812,2022/1/30
2982,84,267,119,63,395,3909,2022/1/29
2970,82,244,122,61,467,3946,2022/1/28
2924,82,255,120,62,393,3836,2022/1/27
2871,81,252,119,63,333,3720,2022/1/26
3005,86,280,119,61,335,3886,2022/1/25
2967,82,263,119,62,335,3829,2022/1/24
2763,78,215,119,64,389,3627,2022/1/23
2820,80,237,110,62,472,3781,2022/1/22
2993,84,254,109,61,404,3906,2022/1/21
2984,81,261,117,60,385,3888,2022/1/20
2984,75,268,119,62,351,3858,2022/1/19
2919,75,266,119,62,370,3812,2022/1/18
2808,76,249,119,63,400,3715,2022/1/17
2610,73,227,119,62,403,3495,2022/1/16
2645,67,234,119,63,402,3530,2022/1/15
2688,65,241,119,62,392,3566,2022/1/14
2794,69,246,119,60,384,3673,2022/1/13
2794,72,255,119,61,365,3665,2022/1/12
2768,69,256,118,61,387,3659,2022/1/11
2761,70,260,119,56,341,3606,2022/1/10
2662,68,238,119,57,314,3458,2022/1/9
2775,66,255,103,57,303,3558,2022/1/8
2921,67,260,100,58,302,3709,2022/1/7
2914,67,267,111,57,282,3698,2022/1/6
2980,71,264,124,59,278,3775,2022/1/5
2990,79,260,123,56,331,3839,2022/1/4
2867,78,267,123,60,367,3761,2022/1/3
2686,78,230,127,60,395,3576,2022/1/2
2795,79,247,135,62,377,3694,2022/1/1
2810,77,258,130,63,428,3767,2021/12/31
2737,78,246,131,58,465,3716,2021/12/30
2761,82,257,131,55,366,3652,2021/12/29
2843,81,253,130,59,345,3711,2021/12/28
2908,81,262,135,56,319,3761,2021/12/27
