unit,year,month,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2018,1,0.0,0.0,1144.11,0.0,3191.9061239999996,598.742,13.234623,328.017,1144.11,4131.899747,5276.009746999999,0.0,0.0,0.2168513810366924,0.0,0.6049848800629973,0.11348386919498238,0.002508453098958993,0.062171416606368914,0.2168513810366924,0.7831486189633078
Gwh,2018,2,0.0,0.0,1236.91675,0.0,2295.31675,448.09875,13.395617,293.206,1236.91675,3050.017117,4286.933867000001,0.0,0.0,0.28853180113683335,0.0,0.5354215439778324,0.10452662996492172,0.003124754758433972,0.06839527016197844,0.28853180113683335,0.7114681988631665
Gwh,2018,3,0.0,0.0,945.912,0.0,2290.6337439999998,566.81875,16.713494999999998,319.771,945.912,3193.9369890000003,4139.848989,0.0,0.0,0.2284894938229352,0.0,0.5533133575853725,0.13691773576912952,0.0040372233490664645,0.07724218947349627,0.2284894938229352,0.7715105061770648
Gwh,2018,4,0.0,0.0,242.21975,0.0,3659.5107519999997,672.899999,18.574258,296.901,242.21975,4647.886009000001,4890.105759000001,0.0,0.0,0.0495326199344884,0.0,0.7483500219325213,0.13760438570506586,0.0037983346200263636,0.06071463780789776,0.0495326199344884,0.9504673800655116
Gwh,2018,5,0.0,0.0,110.2445,0.0,4252.840002999999,338.90725,22.598739000000002,303.632,110.2445,4917.977991999999,5028.222492,0.0,0.0,0.02192514356224315,0.0,0.8457939181820914,0.0674010051343607,0.004494379283326272,0.06038555383797842,0.02192514356224315,0.9780748564377567
Gwh,2018,6,0.0,0.0,190.91,0.0,3709.424883,509.69925,22.392622,286.955,190.91,4528.471755,4719.381755,0.0,0.0,0.04045233251108333,0.0,0.7859980555864143,0.10800127568828133,0.004744821072437273,0.06080351514178364,0.04045233251108333,0.9595476674889165
Gwh,2018,7,0.0,0.0,216.356,0.0,2842.55925,418.17975,22.306748,295.705,216.356,3578.750748,3795.106748,0.0,0.0,0.05700920010063443,0.0,0.7490064018615583,0.110189193023458,0.0058777656285308785,0.07791743938581829,0.05700920010063443,0.9429907998993655
Gwh,2018,8,0.0,0.0,325.85225,0.0,2430.156626,339.02175,20.651625,298.537,325.85225,3088.367001,3414.219251,0.0,0.0,0.0954397553421797,0.0,0.7117752104784204,0.09929700616054549,0.006048710841856828,0.08743931717699754,0.0954397553421797,0.9045602446578204
Gwh,2018,9,0.0,0.0,479.34925,0.0,2451.2864959999997,401.687375,18.616001,299.337,479.34925,3170.926872,3650.2761219999998,0.0,0.0,0.1313186274076611,0.0,0.6715345398739125,0.11004301087773984,0.0050998884407134175,0.08200393339997308,0.1313186274076611,0.868681372592339
Gwh,2018,10,0.0,0.0,729.38675,0.0,2033.7009990000001,714.205001,16.305995,310.623,729.38675,3074.834995,3804.2217450000003,0.0,0.0,0.191730871355923,0.0,0.5345905510563239,0.18774010793106383,0.004286289310404012,0.08165218034628524,0.191730871355923,0.808269128644077
Gwh,2018,11,0.0,0.0,1158.22175,0.0,2078.334252,555.72,13.331501,301.95,1158.22175,2949.3357530000003,4107.557503000001,0.0,0.0,0.2819733501366882,0.0,0.5059781270212445,0.1352920804137553,0.0032456030110992206,0.07351083941721263,0.2819733501366882,0.7180266498633117
Gwh,2018,12,0.0,0.0,1536.709,0.0,2304.193626,808.573,10.796001,316.184,1536.709,3439.7466270000004,4976.455627,0.0,0.0,0.308795881081007,0.0,0.46301902372011244,0.1624796965159396,0.00216941570651726,0.06353598297642371,0.308795881081007,0.691204118918993
