datetime,Nuclear,region,Wind,Hydro,Coal,Natural gas,Solar,Other
2022-07-01 00:00:00,10271,MIDW,10701,3122,41266,46905,1090,447
2022-07-01 01:00:00,10269,MIDW,8372,2705,41597,45578,500,452
2022-07-01 02:00:00,10271,MIDW,7538,2056,41331,43081,69,474
2022-07-01 03:00:00,10208,MIDW,8741,1436,40413,39217,0,477
2022-07-01 04:00:00,10266,MIDW,10274,1073,38849,33336,0,454
2022-07-01 05:00:00,10284,MIDW,11269,1030,37164,28383,0,444
2022-07-01 06:00:00,10288,MIDW,11958,982,33878,24086,0,438
2022-07-01 07:00:00,10296,MIDW,12091,969,31798,21023,0,424
2022-07-01 08:00:00,10305,MIDW,11285,963,31083,20223,0,421
2022-07-01 09:00:00,10309,MIDW,10982,963,30743,19686,0,417
2022-07-01 10:00:00,10314,MIDW,10641,956,30516,19929,0,418
2022-07-01 11:00:00,10317,MIDW,9698,936,30381,22531,4,437
2022-07-01 12:00:00,10316,MIDW,7598,921,31527,25309,243,447
2022-07-01 13:00:00,10317,MIDW,5258,947,34509,28630,783,456
2022-07-01 14:00:00,10312,MIDW,3299,956,37755,31819,1094,475
2022-07-01 15:00:00,10302,MIDW,2860,959,39174,36111,1333,481
2022-07-01 16:00:00,10296,MIDW,2643,1005,40098,40010,1641,481
2022-07-01 17:00:00,10292,MIDW,2550,1808,40948,42774,1734,483
2022-07-01 18:00:00,10295,MIDW,2180,2380,41648,44598,1598,495
2022-07-01 19:00:00,10293,MIDW,2309,2682,42149,44996,1601,504
2022-07-01 20:00:00,10285,MIDW,2538,2848,42456,44978,1514,502
2022-07-01 21:00:00,10278,MIDW,2318,2950,42387,44555,1416,491
2022-07-01 22:00:00,10278,MIDW,2325,2883,42126,44543,1476,483
2022-07-01 23:00:00,10279,MIDW,2532,2824,41654,43821,1266,479
2022-07-02 00:00:00,10280,MIDW,2398,1975,41374,43759,1063,475
2022-07-02 01:00:00,10285,MIDW,1845,1125,40670,42958,483,476
2022-07-02 02:00:00,10288,MIDW,1698,933,39873,40554,41,472
2022-07-02 03:00:00,10288,MIDW,1985,907,39063,36975,0,455
2022-07-02 04:00:00,10292,MIDW,1985,902,37754,33373,0,439
2022-07-02 05:00:00,10300,MIDW,2441,872,36450,29284,0,429
2022-07-02 06:00:00,10309,MIDW,3577,867,33523,25515,0,428
2022-07-02 07:00:00,10317,MIDW,4840,867,30152,23565,0,413
2022-07-02 08:00:00,10328,MIDW,5905,868,28736,21565,0,401
2022-07-02 09:00:00,10332,MIDW,6079,871,28197,19976,0,406
2022-07-02 10:00:00,10339,MIDW,6044,875,27986,19312,0,409
2022-07-02 11:00:00,10342,MIDW,5561,872,28176,19109,15,410
2022-07-02 12:00:00,10347,MIDW,4917,876,28671,19888,302,413
2022-07-02 13:00:00,10343,MIDW,3621,880,29941,22863,963,420
2022-07-02 14:00:00,10341,MIDW,2359,879,32037,26428,1244,435
2022-07-02 15:00:00,10336,MIDW,2807,886,34086,28630,1465,439
2022-07-02 16:00:00,10331,MIDW,4196,899,35213,30961,1446,442
2022-07-02 17:00:00,10329,MIDW,4908,947,36398,33285,1501,443
2022-07-02 18:00:00,10327,MIDW,5171,1079,37371,34953,1542,451
2022-07-02 19:00:00,10326,MIDW,5387,1860,37873,36176,1554,450
2022-07-02 20:00:00,10318,MIDW,5327,2174,38421,37265,1315,474
2022-07-02 21:00:00,10312,MIDW,4545,2650,38750,38244,1202,481
2022-07-02 22:00:00,10310,MIDW,3881,2685,38943,39154,1034,489
2022-07-02 23:00:00,10307,MIDW,3731,2534,39211,39159,846,484
2022-07-03 00:00:00,10306,MIDW,3723,2123,38593,38207,613,464
2022-07-03 01:00:00,10309,MIDW,3844,1159,37989,36545,275,450
2022-07-03 02:00:00,10311,MIDW,4417,896,36878,34090,33,448
2022-07-03 03:00:00,10314,MIDW,6042,856,35343,31693,0,447
2022-07-03 04:00:00,10316,MIDW,8050,872,33158,28152,0,454
2022-07-03 05:00:00,10317,MIDW,8323,874,31269,25394,0,455
2022-07-03 06:00:00,10321,MIDW,8499,846,29361,22661,0,446
2022-07-03 07:00:00,10327,MIDW,7851,834,28074,21326,0,445
2022-07-03 08:00:00,10333,MIDW,7331,836,27735,19965,0,436
2022-07-03 09:00:00,10338,MIDW,7539,834,26970,18181,0,441
2022-07-03 10:00:00,10337,MIDW,7561,833,26224,17965,0,439
2022-07-03 11:00:00,10340,MIDW,7032,825,26268,17470,13,439
2022-07-03 12:00:00,10346,MIDW,5596,826,26938,18284,266,440
2022-07-03 13:00:00,10345,MIDW,4778,830,28560,20002,787,444
2022-07-03 14:00:00,10343,MIDW,3795,848,30425,23655,1315,450
2022-07-03 15:00:00,10334,MIDW,3941,897,32479,25813,1535,463
2022-07-03 16:00:00,10329,MIDW,4312,897,34602,28947,1715,475
2022-07-03 17:00:00,10319,MIDW,5106,942,36501,31021,1803,474
2022-07-03 18:00:00,10385,MIDW,5807,1223,37393,33731,1790,473
2022-07-03 19:00:00,10508,MIDW,6608,1330,37930,35560,1742,471
