datetime,Nuclear,region,Wind,Hydro,Coal,Natural gas,Solar,Other
2022-07-01 00:00:00,4999,TEX,6329,126,10555,38925,6815,239
2022-07-01 01:00:00,4998,TEX,8467,38,10251,38335,3731,201
2022-07-01 02:00:00,4999,TEX,10262,31,10651,37294,558,204
2022-07-01 03:00:00,4999,TEX,13082,31,10034,33888,30,143
2022-07-01 04:00:00,5000,TEX,15939,8,9677,28219,14,213
2022-07-01 05:00:00,4999,TEX,17559,6,9564,23009,0,140
2022-07-01 06:00:00,5000,TEX,17939,6,8567,20349,0,126
2022-07-01 07:00:00,5001,TEX,18391,37,7984,17728,0,86
2022-07-01 08:00:00,5002,TEX,17885,45,7947,16280,0,101
2022-07-01 09:00:00,5002,TEX,17129,45,7874,15746,0,95
2022-07-01 10:00:00,5003,TEX,15992,45,7926,16158,0,82
2022-07-01 11:00:00,5004,TEX,14594,65,7974,17854,0,121
2022-07-01 12:00:00,5003,TEX,13128,46,8316,19057,47,160
2022-07-01 13:00:00,5004,TEX,11108,64,8743,19436,2122,119
2022-07-01 14:00:00,5004,TEX,9259,96,8742,19925,6116,130
2022-07-01 15:00:00,5005,TEX,9829,118,8591,21050,7698,117
2022-07-01 16:00:00,5005,TEX,7111,137,8896,26352,8291,157
2022-07-01 17:00:00,5004,TEX,4008,136,9361,32285,8504,151
2022-07-01 18:00:00,5006,TEX,2326,124,10911,35625,8300,167
2022-07-01 19:00:00,5005,TEX,2483,119,11271,37497,8148,356
2022-07-01 20:00:00,5005,TEX,3625,65,11348,38384,8252,225
2022-07-01 21:00:00,5004,TEX,5549,122,11228,38010,8239,118
2022-07-01 22:00:00,5004,TEX,7534,124,11157,37722,7982,166
2022-07-01 23:00:00,5003,TEX,8087,124,11441,37961,7420,194
2022-07-02 00:00:00,5003,TEX,9966,124,10457,36725,6855,181
2022-07-02 01:00:00,5003,TEX,12804,37,9962,35346,4095,143
2022-07-02 02:00:00,5002,TEX,14510,31,10147,34415,584,180
2022-07-02 03:00:00,5002,TEX,16078,31,10094,31501,0,106
2022-07-02 04:00:00,5002,TEX,17850,12,9975,26637,0,164
2022-07-02 05:00:00,5003,TEX,18343,7,9482,23169,0,117
2022-07-02 06:00:00,5004,TEX,18497,45,8423,20530,0,107
2022-07-02 07:00:00,5004,TEX,17055,96,8501,19188,0,103
2022-07-02 08:00:00,5005,TEX,15796,94,8484,18307,0,87
2022-07-02 09:00:00,5005,TEX,15177,84,8119,17576,0,115
2022-07-02 10:00:00,5005,TEX,13678,49,8341,17837,0,100
2022-07-02 11:00:00,5005,TEX,12475,47,8443,18472,0,122
2022-07-02 12:00:00,5006,TEX,11209,46,8461,19407,50,108
2022-07-02 13:00:00,5006,TEX,9073,65,8450,20285,2182,98
2022-07-02 14:00:00,5007,TEX,7562,116,8483,20462,6894,112
2022-07-02 15:00:00,5007,TEX,8197,140,8493,22431,8595,93
2022-07-02 16:00:00,5007,TEX,7126,160,8547,27167,9270,125
2022-07-02 17:00:00,5007,TEX,5752,159,8919,32329,8888,157
2022-07-02 18:00:00,5010,TEX,5036,128,9895,35295,8597,173
2022-07-02 19:00:00,5009,TEX,5129,90,11096,36201,8430,171
2022-07-02 20:00:00,5007,TEX,6208,43,11217,37193,7843,269
2022-07-02 21:00:00,5005,TEX,8458,115,10836,36804,7858,253
2022-07-02 22:00:00,5003,TEX,10657,124,10457,36901,7383,118
2022-07-02 23:00:00,5002,TEX,12686,124,9578,35979,7420,163
2022-07-03 00:00:00,5002,TEX,13646,106,9533,34792,6689,158
2022-07-03 01:00:00,5002,TEX,14805,13,9559,34265,3941,151
2022-07-03 02:00:00,5003,TEX,15860,7,9688,33728,596,142
2022-07-03 03:00:00,5003,TEX,15525,7,9849,32411,0,119
2022-07-03 04:00:00,5004,TEX,14688,7,9603,30449,0,162
2022-07-03 05:00:00,5005,TEX,14318,7,9680,27327,0,119
2022-07-03 06:00:00,5006,TEX,13912,45,8588,25365,0,128
2022-07-03 07:00:00,5006,TEX,13205,96,7694,24200,0,73
2022-07-03 08:00:00,5006,TEX,12982,84,7638,22451,0,85
2022-07-03 09:00:00,5008,TEX,12038,84,7669,21724,0,65
2022-07-03 10:00:00,5008,TEX,11116,46,7855,21271,0,72
2022-07-03 11:00:00,5008,TEX,11438,46,8036,20212,0,71
2022-07-03 12:00:00,5008,TEX,10908,46,8390,19607,44,71
2022-07-03 13:00:00,5009,TEX,10244,65,8376,19142,1974,62
2022-07-03 14:00:00,5009,TEX,9871,118,8372,18634,6429,67
