Date_Time_Hour_Beginning,International_Exports,International_Imports,Thermal_Generation,Nuclear_Generation,Eskom_Gas_Generation,Eskom_OCGT_Generation,Hydro_Water_Generation,Pumped_Water_Generation,ILS_Usage,Manual_Load_Reduction_MLR,IOS_Excl_ILS_and_MLR,Dispatchable_IPP_OCGT,Eskom_Gas_SCO_Pumping,Eskom_OCGT_SCO_Pumping,Hydro_Water_SCO_Pumping,Pumped_Water_SCO_Pumping,Wind,PV,CSP,Other_RE,Thermal_Gen_Excl_Pumping_and_SCO
2018/4/1 0:00,1215.902,1120,19444,931,0,0,360,0,0,0,0,0,-2,-2,0,-1614,454.964,0,17.555,12.539,
2018/4/1 1:00,1203.474,1106,19297,930,0,0,360,0,0,0,0,0,-2,-2,0,-1945,392.958,0,39.131,12.404,
2018/4/1 2:00,1177.571,1117,19165,931,0,0,360,0,0,0,0,0,-2,-2,0,-1938,337.358,0,39.163,12.082,
2018/4/1 3:00,1184.312,1118,19279,930,0,0,360,0,0,0,0,0,-2,-2,0,-1952,297.234,0,38.942,12.278,
2018/4/1 4:00,1197.271,1108,19369,930,0,0,360,0,0,0,0,0,-2,-2,0,-1873,309.978,0,25.024,12.488,
2018/4/1 5:00,1270.385,1125,19342,931,0,0,360,0,0,0,0,0,-2,-2,0,-1382,345.302,0,0,12.148,
2018/4/1 6:00,1289.362,1178,19363,931,0,0,360,0,0,0,0,0,-2,-2,0,-548,335.408,8.849,0,12.14,
2018/4/1 7:00,1367.023,1214,19867,932,0,0,475,208,0,0,0,0,-2,-2,0,-41,364.519,289.484,0.257,11.945,
2018/4/1 8:00,1396.007,1236,20645,931,0,0,481,416,0,0,0,0,-2,-2,0,-28,325.85,757.341,42.06,11.782,
2018/4/1 9:00,1395.675,1234,20880,931,0,0,362,679,0,0,0,0,-2,-2,0,-29,298.114,1023.372,98.601,12.374,
2018/4/1 10:00,1407.647,1217,20593,930,0,0,360,642,0,0,0,0,-2,-2,0,-30,406.136,1139.942,143.683,12.386,
2018/4/1 11:00,1424.925,1209,20516,930,0,0,360,248,0,0,412.5,0,-2,-2,0,-34,449.808,1191.935,149.134,12.625,
2018/4/1 12:00,1435.328,1205,20099,930,0,0,360,282,0,0,467.5,0,-2,-1,0,-32,444.294,1167.252,194.491,12.654,
2018/4/1 13:00,1263.491,1220,19700,930,0,0,360,94,0,0,0,0,-2,-2,0,-36,430.223,1143.799,178.35,12.491,
