datetime,Coal,region,Wind,Hydro,Solar,Other,Petroleum,Nuclear,Natural gas
2021-11-01 00:00:00,0,NE,655,1407,1,703,0,1214,6210
2021-11-01 01:00:00,0,NE,699,879,0,715,0,1217,6347
2021-11-01 02:00:00,0,NE,700,810,0,716,0,1212,6068
2021-11-01 03:00:00,0,NE,686,696,0,680,0,1193,5491
2021-11-01 04:00:00,0,NE,702,701,0,686,0,1212,4799
2021-11-01 05:00:00,0,NE,734,705,0,677,0,1213,4529
2021-11-01 06:00:00,0,NE,752,709,0,680,0,1211,4197
2021-11-01 07:00:00,0,NE,786,714,0,700,0,1226,4015
2021-11-01 08:00:00,0,NE,789,708,0,705,0,1220,3902
2021-11-01 09:00:00,0,NE,793,692,0,699,0,1229,4366
2021-11-01 10:00:00,0,NE,803,690,0,707,0,1231,4933
2021-11-01 11:00:00,0,NE,787,704,0,701,32,1237,6111
2021-11-01 12:00:00,0,NE,816,1105,4,692,246,1230,6852
2021-11-01 13:00:00,0,NE,736,1020,67,678,4,1213,6940
2021-11-01 14:00:00,0,NE,773,770,175,681,0,1213,6489
2021-11-01 15:00:00,0,NE,819,693,278,673,0,1215,5797
2021-11-01 16:00:00,0,NE,961,705,303,673,0,1221,5789
2021-11-01 17:00:00,0,NE,970,707,322,655,0,1212,5519
2021-11-01 18:00:00,0,NE,961,708,291,667,0,1222,5575
2021-11-01 19:00:00,0,NE,931,712,290,658,0,1219,5509
2021-11-01 20:00:00,14,NE,920,734,226,667,0,1226,6070
2021-11-01 21:00:00,12,NE,907,738,100,681,0,1232,6816
2021-11-01 22:00:00,10,NE,822,1139,10,674,0,1228,7688
2021-11-01 23:00:00,0,NE,781,1869,1,673,0,1221,7875
2021-11-02 00:00:00,0,NE,731,1231,1,673,0,1213,7977
2021-11-02 01:00:00,0,NE,730,821,0,659,0,1212,7971
2021-11-02 02:00:00,0,NE,736,734,0,651,0,1203,7067
2021-11-02 03:00:00,0,NE,709,718,0,652,0,1209,6215
2021-11-02 04:00:00,0,NE,660,700,0,647,0,1197,5324
2021-11-02 05:00:00,0,NE,658,742,0,645,0,1210,4849
2021-11-02 06:00:00,0,NE,678,759,0,655,0,1226,4757
