datetime,data,type,unit,network,region
2021-11-01 00:00:00,277.8,wind,MW,wem,WEM
2021-11-01 00:30:00,254.0,wind,MW,wem,WEM
2021-11-01 01:00:00,281.0,wind,MW,wem,WEM
2021-11-01 01:30:00,232.3,wind,MW,wem,WEM
2021-11-01 02:00:00,204.4,wind,MW,wem,WEM
2021-11-01 02:30:00,205.2,wind,MW,wem,WEM
2021-11-01 03:00:00,200.7,wind,MW,wem,WEM
2021-11-01 03:30:00,181.8,wind,MW,wem,WEM
2021-11-01 04:00:00,211.6,wind,MW,wem,WEM
2021-11-01 04:30:00,225.1,wind,MW,wem,WEM
2021-11-01 05:00:00,261.3,wind,MW,wem,WEM
2021-11-01 05:30:00,340.6,wind,MW,wem,WEM
2021-11-01 06:00:00,285.4,wind,MW,wem,WEM
2021-11-01 06:30:00,324.5,wind,MW,wem,WEM
2021-11-01 07:00:00,418.6,wind,MW,wem,WEM
2021-11-01 07:30:00,490.1,wind,MW,wem,WEM
2021-11-01 08:00:00,591.8,wind,MW,wem,WEM
2021-11-01 08:30:00,571.2,wind,MW,wem,WEM
2021-11-01 09:00:00,626.4,wind,MW,wem,WEM
2021-11-01 09:30:00,598.2,wind,MW,wem,WEM
2021-11-01 10:00:00,467.2,wind,MW,wem,WEM
2021-11-01 10:30:00,516.0,wind,MW,wem,WEM
2021-11-01 11:00:00,485.9,wind,MW,wem,WEM
2021-11-01 11:30:00,494.5,wind,MW,wem,WEM
2021-11-01 12:00:00,392.7,wind,MW,wem,WEM
2021-11-01 12:30:00,402.5,wind,MW,wem,WEM
2021-11-01 13:00:00,307.6,wind,MW,wem,WEM
2021-11-01 13:30:00,407.0,wind,MW,wem,WEM
2021-11-01 14:00:00,401.0,wind,MW,wem,WEM
2021-11-01 14:30:00,285.3,wind,MW,wem,WEM
2021-11-01 15:00:00,345.1,wind,MW,wem,WEM
2021-11-01 15:30:00,439.7,wind,MW,wem,WEM
2021-11-01 16:00:00,586.8,wind,MW,wem,WEM
2021-11-01 16:30:00,687.2,wind,MW,wem,WEM
2021-11-01 17:00:00,627.1,wind,MW,wem,WEM
2021-11-01 17:30:00,582.4,wind,MW,wem,WEM
2021-11-01 18:00:00,466.9,wind,MW,wem,WEM
2021-11-01 18:30:00,379.0,wind,MW,wem,WEM
2021-11-01 19:00:00,299.7,wind,MW,wem,WEM
2021-11-01 19:30:00,311.5,wind,MW,wem,WEM
2021-11-01 20:00:00,217.8,wind,MW,wem,WEM
2021-11-01 20:30:00,232.3,wind,MW,wem,WEM
2021-11-01 21:00:00,197.7,wind,MW,wem,WEM
2021-11-01 21:30:00,183.3,wind,MW,wem,WEM
2021-11-01 22:00:00,148.7,wind,MW,wem,WEM
2021-11-01 22:30:00,130.0,wind,MW,wem,WEM
2021-11-01 23:00:00,129.8,wind,MW,wem,WEM
2021-11-01 23:30:00,124.6,wind,MW,wem,WEM
2021-11-02 00:00:00,142.0,wind,MW,wem,WEM
2021-11-02 00:30:00,158.4,wind,MW,wem,WEM
2021-11-02 01:00:00,202.6,wind,MW,wem,WEM
2021-11-02 01:30:00,168.0,wind,MW,wem,WEM
2021-11-02 02:00:00,140.1,wind,MW,wem,WEM
2021-11-02 02:30:00,176.9,wind,MW,wem,WEM
2021-11-02 03:00:00,203.8,wind,MW,wem,WEM
2021-11-02 03:30:00,189.1,wind,MW,wem,WEM
2021-11-02 04:00:00,141.6,wind,MW,wem,WEM
2021-11-02 04:30:00,116.2,wind,MW,wem,WEM
2021-11-02 05:00:00,141.1,wind,MW,wem,WEM
2021-11-02 05:30:00,90.68,wind,MW,wem,WEM
2021-11-02 06:00:00,66.12,wind,MW,wem,WEM
2021-11-02 06:30:00,85.86,wind,MW,wem,WEM
2021-11-02 07:00:00,112.3,wind,MW,wem,WEM
2021-11-02 07:30:00,145.6,wind,MW,wem,WEM
2021-11-02 08:00:00,96.23,wind,MW,wem,WEM
2021-11-02 08:30:00,76.46,wind,MW,wem,WEM
2021-11-02 09:00:00,135.3,wind,MW,wem,WEM
