datetime,Coal,region,Wind,Hydro,Solar,Other,Nuclear,Natural gas
2019-01-01 00:00:00,9400,TEX,5020,189,161,26,3915,19491
2019-01-01 01:00:00,10389,TEX,5597,188,0,24,3915,20168
2019-01-01 02:00:00,9953,TEX,6637,159,0,23,3915,19096
2019-01-01 03:00:00,8359,TEX,8692,133,0,23,3915,17909
2019-01-01 04:00:00,7253,TEX,11110,99,0,23,3914,16086
2019-01-01 05:00:00,6908,TEX,12431,99,0,24,3915,14365
2019-01-01 06:00:00,6114,TEX,13676,99,0,24,3915,13386
2019-01-01 07:00:00,6215,TEX,14318,168,0,26,3915,12517
2019-01-01 08:00:00,6412,TEX,14127,168,0,22,3915,12459
2019-01-01 09:00:00,6322,TEX,13687,169,0,22,3915,12903
2019-01-01 10:00:00,6584,TEX,13345,169,0,22,3914,13266
2019-01-01 11:00:00,6607,TEX,13238,168,0,23,3914,13905
2019-01-01 12:00:00,6996,TEX,12348,203,0,22,3914,15322
2019-01-01 13:00:00,7572,TEX,11367,205,0,21,3914,16812
2019-01-01 14:00:00,7823,TEX,10412,204,1,16,3914,18070
2019-01-01 15:00:00,8272,TEX,9485,204,28,12,3914,19010
2019-01-01 16:00:00,9357,TEX,8162,205,73,12,3914,19984
2019-01-01 17:00:00,10055,TEX,6986,204,136,13,3914,20859
2019-01-01 18:00:00,10598,TEX,6126,181,204,13,3914,21260
2019-01-01 19:00:00,10966,TEX,5501,168,250,14,3914,21210
2019-01-01 20:00:00,11090,TEX,5043,168,199,14,3914,21071
2019-01-01 21:00:00,11369,TEX,4596,169,156,14,3914,20911
2019-01-01 22:00:00,11686,TEX,3943,194,87,14,3915,21252
2019-01-01 23:00:00,12097,TEX,3493,230,38,13,3915,22126
2019-01-02 00:00:00,12394,TEX,3253,229,7,14,3915,24321
2019-01-02 01:00:00,12439,TEX,2934,202,0,14,3915,25977
2019-01-02 02:00:00,12487,TEX,2779,202,0,14,3915,25947
2019-01-02 03:00:00,12527,TEX,2783,177,0,14,3915,25495
2019-01-02 04:00:00,12538,TEX,2651,176,0,16,3915,24631
2019-01-02 05:00:00,12287,TEX,2427,140,0,13,3915,23453
2019-01-02 06:00:00,11681,TEX,2500,141,0,13,3915,22266
